===2023-05-13 10:33:15===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[371,1115,371,1115,371,1115,371,1115,371,1115,
client_nums=[2,2,2,2,2,domain number = 5
============ Train epoch 0 ============
 Site-MNIST           | Train Loss: 1.6577 | Train Acc: 0.6226
 Site-MNIST           | Train Loss: 1.7244 | Train Acc: 0.5498
 Site-USPS            | Train Loss: 1.6048 | Train Acc: 0.7008
 Site-USPS            | Train Loss: 1.6220 | Train Acc: 0.6735
 Site-SynthDigits     | Train Loss: 2.0655 | Train Acc: 0.2776
 Site-SynthDigits     | Train Loss: 2.0175 | Train Acc: 0.3309
 Site-MNIST-M         | Train Loss: 2.1771 | Train Acc: 0.2129
 Site-MNIST-M         | Train Loss: 2.1844 | Train Acc: 0.2206
 Site-SVHN            | Train Loss: 2.1841 | Train Acc: 0.2183
 Site-SVHN            | Train Loss: 2.1690 | Train Acc: 0.2448
 Site-MNIST           | Val  Loss: 1.7510 | Val  Acc: 0.5435
 Site-MNIST           | Val  Loss: 1.6884 | Val  Acc: 0.6115
 Site-USPS            | Val  Loss: 1.6320 | Val  Acc: 0.6739
 Site-USPS            | Val  Loss: 1.6428 | Val  Acc: 0.6547
 Site-SynthDigits     | Val  Loss: 2.0598 | Val  Acc: 0.2826
 Site-SynthDigits     | Val  Loss: 2.0373 | Val  Acc: 0.3094
 Site-MNIST-M         | Val  Loss: 2.2408 | Val  Acc: 0.2283
 Site-MNIST-M         | Val  Loss: 2.1832 | Val  Acc: 0.2338
 Site-SVHN            | Val  Loss: 2.1533 | Val  Acc: 0.3043
 Site-SVHN            | Val  Loss: 2.1661 | Val  Acc: 0.2590
Average Valid Accuracy: 0.4101
 Best site-MNIST            | Epoch:0 | Val Acc: 0.5435
 Best site-MNIST            | Epoch:0 | Val Acc: 0.6115
 Best site-USPS             | Epoch:0 | Val Acc: 0.6739
 Best site-USPS             | Epoch:0 | Val Acc: 0.6547
 Best site-SynthDigits      | Epoch:0 | Val Acc: 0.2826
 Best site-SynthDigits      | Epoch:0 | Val Acc: 0.3094
 Best site-MNIST-M          | Epoch:0 | Val Acc: 0.2283
 Best site-MNIST-M          | Epoch:0 | Val Acc: 0.2338
 Best site-SVHN             | Epoch:0 | Val Acc: 0.3043
 Best site-SVHN             | Epoch:0 | Val Acc: 0.2590
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1.0_1/CoCoOP...
============ Train epoch 1 ============
 Site-MNIST           | Train Loss: 1.1428 | Train Acc: 0.7951
 Site-MNIST           | Train Loss: 1.2390 | Train Acc: 0.7336
 Site-USPS            | Train Loss: 1.0403 | Train Acc: 0.8059
 Site-USPS            | Train Loss: 1.0619 | Train Acc: 0.7830
 Site-SynthDigits     | Train Loss: 1.7995 | Train Acc: 0.3666
 Site-SynthDigits     | Train Loss: 1.7155 | Train Acc: 0.4188
 Site-MNIST-M         | Train Loss: 1.9224 | Train Acc: 0.3504
 Site-MNIST-M         | Train Loss: 1.9439 | Train Acc: 0.3345
 Site-SVHN            | Train Loss: 2.0186 | Train Acc: 0.2965
 Site-SVHN            | Train Loss: 2.0055 | Train Acc: 0.2924
 Site-MNIST           | Val  Loss: 1.2328 | Val  Acc: 0.7283
 Site-MNIST           | Val  Loss: 1.1918 | Val  Acc: 0.7734
 Site-USPS            | Val  Loss: 1.0935 | Val  Acc: 0.7826
