===2023-05-12 15:25:43===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[297,891,297,891,297,891,297,891,297,891,
client_nums=[2,2,2,2,2,domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 1.4191 | Train Acc: 0.7306
 Site-MNIST     | Train Loss: 1.4981 | Train Acc: 0.6599
 Site-USPS      | Train Loss: 1.2090 | Train Acc: 0.8047
 Site-USPS      | Train Loss: 1.2261 | Train Acc: 0.7621
 Site-SynthDigits| Train Loss: 1.9465 | Train Acc: 0.3502
 Site-SynthDigits| Train Loss: 1.9112 | Train Acc: 0.3636
 Site-MNIST-M   | Train Loss: 2.1114 | Train Acc: 0.2997
 Site-MNIST-M   | Train Loss: 2.0962 | Train Acc: 0.3042
 Site-SVHN      | Train Loss: 2.1733 | Train Acc: 0.2222
 Site-SVHN      | Train Loss: 2.1587 | Train Acc: 0.2413
 Site-MNIST     | Val  Loss: 1.4591 | Val  Acc: 0.7297
 Site-MNIST     | Val  Loss: 1.4668 | Val  Acc: 0.7297
 Site-USPS      | Val  Loss: 1.2122 | Val  Acc: 0.7432
 Site-USPS      | Val  Loss: 1.2229 | Val  Acc: 0.7477
 Site-SynthDigits| Val  Loss: 1.9346 | Val  Acc: 0.2703
 Site-SynthDigits| Val  Loss: 1.9466 | Val  Acc: 0.3198
 Site-MNIST-M   | Val  Loss: 2.1404 | Val  Acc: 0.3514
 Site-MNIST-M   | Val  Loss: 2.1030 | Val  Acc: 0.2973
 Site-SVHN      | Val  Loss: 2.2051 | Val  Acc: 0.1892
 Site-SVHN      | Val  Loss: 2.1355 | Val  Acc: 0.2613
Average Valid Accuracy: 0.4640
 Best site-MNIST      | Epoch:0 | Val Acc: 0.7297
 Best site-MNIST      | Epoch:0 | Val Acc: 0.7297
 Best site-USPS       | Epoch:0 | Val Acc: 0.7432
 Best site-USPS       | Epoch:0 | Val Acc: 0.7477
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.2703
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.3198
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.3514
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.2973
 Best site-SVHN       | Epoch:0 | Val Acc: 0.1892
 Best site-SVHN       | Epoch:0 | Val Acc: 0.2613
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1.0_1/harmo-fl...
============ Train epoch 1 ============
 Site-MNIST     | Train Loss: 0.9686 | Train Acc: 0.7879
 Site-MNIST     | Train Loss: 1.0648 | Train Acc: 0.7329
 Site-USPS      | Train Loss: 0.8415 | Train Acc: 0.8249
 Site-USPS      | Train Loss: 0.8552 | Train Acc: 0.8260
 Site-SynthDigits| Train Loss: 1.5859 | Train Acc: 0.5118
 Site-SynthDigits| Train Loss: 1.5501 | Train Acc: 0.5365
 Site-MNIST-M   | Train Loss: 1.8696 | Train Acc: 0.4276
 Site-MNIST-M   | Train Loss: 1.8577 | Train Acc: 0.3928
 Site-SVHN      | Train Loss: 2.0187 | Train Acc: 0.3232
 Site-SVHN      | Train Loss: 1.9526 | Train Acc: 0.3704
 Site-MNIST     | Val  Loss: 0.9119 | Val  Acc: 0.8243
 Site-MNIST     | Val  Loss: 1.0000 | Val  Acc: 0.8018
 Site-USPS      | Val  Loss: 0.7953 | Val  Acc: 0.8649
 Site-USPS      | Val  Loss: 0.8809 | Val  Acc: 0.8243
 Site-SynthDigits| Val  Loss: 1.6409 | Val  Acc: 0.3784
 Site-SynthDigits| Val  Loss: 1.6158 | Val  Acc: 0.4640
 Site-MNIST-M   | Val  Loss: 1.9121 | Val  Acc: 0.4459
 Site-MNIST-M   | Val  Loss: 1.8296 | Val  Acc: 0.4189
 Site-SVHN      | Val  Loss: 1.9708 | Val  Acc: 0.3649
 Site-SVHN      | Val  Loss: 1.9269 | Val  Acc: 0.3514
Average Valid Accuracy: 0.5739
 Best site-MNIST      | Epoch:1 | Val Acc: 0.8243
 Best site-MNIST      | Epoch:1 | Val Acc: 0.8018
 Best site-USPS       | Epoch:1 | Val Acc: 0.8649
 Best site-USPS       | Epoch:1 | Val Acc: 0.8243
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.3784
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.4640
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.4459
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.4189
 Best site-SVHN       | Epoch:1 | Val Acc: 0.3649
 Best site-SVHN       | Epoch:1 | Val Acc: 0.3514
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1.0_1/harmo-fl...
============ Train epoch 2 ============
 Site-MNIST     | Train Loss: 0.7469 | Train Acc: 0.8215
 Site-MNIST     | Train Loss: 0.8383 | Train Acc: 0.7778
 Site-USPS      | Train Loss: 0.5811 | Train Acc: 0.8653
 Site-USPS      | Train Loss: 0.6107 | Train Acc: 0.8485
 Site-SynthDigits| Train Loss: 1.5284 | Train Acc: 0.4882
 Site-SynthDigits| Train Loss: 1.4478 | Train Acc: 0.5455
 Site-MNIST-M   | Train Loss: 1.7476 | Train Acc: 0.4411
 Site-MNIST-M   | Train Loss: 1.7421 | Train Acc: 0.4287
 Site-SVHN      | Train Loss: 1.9817 | Train Acc: 0.3535
 Site-SVHN      | Train Loss: 1.9111 | Train Acc: 0.3782
 Site-MNIST     | Val  Loss: 0.7026 | Val  Acc: 0.8514
 Site-MNIST     | Val  Loss: 0.7622 | Val  Acc: 0.8288
 Site-USPS      | Val  Loss: 0.5543 | Val  Acc: 0.8514
 Site-USPS      | Val  Loss: 0.6339 | Val  Acc: 0.8243
 Site-SynthDigits| Val  Loss: 1.5810 | Val  Acc: 0.3784
 Site-SynthDigits| Val  Loss: 1.5262 | Val  Acc: 0.4595
 Site-MNIST-M   | Val  Loss: 1.8516 | Val  Acc: 0.4595
 Site-MNIST-M   | Val  Loss: 1.7051 | Val  Acc: 0.4414
 Site-SVHN      | Val  Loss: 1.9340 | Val  Acc: 0.3919
 Site-SVHN      | Val  Loss: 1.8903 | Val  Acc: 0.3784
Average Valid Accuracy: 0.5865
 Best site-MNIST      | Epoch:2 | Val Acc: 0.8514
 Best site-MNIST      | Epoch:2 | Val Acc: 0.8288
 Best site-USPS       | Epoch:2 | Val Acc: 0.8514
 Best site-USPS       | Epoch:2 | Val Acc: 0.8243
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.3784
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.4595
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.4595
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.4414
 Best site-SVHN       | Epoch:2 | Val Acc: 0.3919
 Best site-SVHN       | Epoch:2 | Val Acc: 0.3784
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1.0_1/harmo-fl...
============ Train epoch 3 ============
 Site-MNIST     | Train Loss: 0.6734 | Train Acc: 0.8013
 Site-MNIST     | Train Loss: 0.7546 | Train Acc: 0.7868
 Site-USPS      | Train Loss: 0.5251 | Train Acc: 0.8620
 Site-USPS      | Train Loss: 0.5496 | Train Acc: 0.8519
 Site-SynthDigits| Train Loss: 1.3423 | Train Acc: 0.5724
 Site-SynthDigits| Train Loss: 1.2844 | Train Acc: 0.5859
 Site-MNIST-M   | Train Loss: 1.6568 | Train Acc: 0.4512
 Site-MNIST-M   | Train Loss: 1.6583 | Train Acc: 0.4467
 Site-SVHN      | Train Loss: 1.9163 | Train Acc: 0.3670
 Site-SVHN      | Train Loss: 1.7842 | Train Acc: 0.4040
 Site-MNIST     | Val  Loss: 0.5798 | Val  Acc: 0.8514
 Site-MNIST     | Val  Loss: 0.6721 | Val  Acc: 0.8153
 Site-USPS      | Val  Loss: 0.4994 | Val  Acc: 0.8514
 Site-USPS      | Val  Loss: 0.6001 | Val  Acc: 0.8243
 Site-SynthDigits| Val  Loss: 1.3265 | Val  Acc: 0.5000
 Site-SynthDigits| Val  Loss: 1.3510 | Val  Acc: 0.5541
 Site-MNIST-M   | Val  Loss: 1.7742 | Val  Acc: 0.5270
 Site-MNIST-M   | Val  Loss: 1.5952 | Val  Acc: 0.4730
 Site-SVHN      | Val  Loss: 1.7601 | Val  Acc: 0.4054
 Site-SVHN      | Val  Loss: 1.7651 | Val  Acc: 0.4144
Average Valid Accuracy: 0.6216
 Best site-MNIST      | Epoch:3 | Val Acc: 0.8514
 Best site-MNIST      | Epoch:3 | Val Acc: 0.8153
 Best site-USPS       | Epoch:3 | Val Acc: 0.8514
 Best site-USPS       | Epoch:3 | Val Acc: 0.8243
 Best site-SynthDigits | Epoch:3 | Val Acc: 0.5000
 Best site-SynthDigits | Epoch:3 | Val Acc: 0.5541
 Best site-MNIST-M    | Epoch:3 | Val Acc: 0.5270
 Best site-MNIST-M    | Epoch:3 | Val Acc: 0.4730
 Best site-SVHN       | Epoch:3 | Val Acc: 0.4054
 Best site-SVHN       | Epoch:3 | Val Acc: 0.4144
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1.0_1/harmo-fl...
============ Train epoch 4 ============
 Site-MNIST     | Train Loss: 0.5418 | Train Acc: 0.8586
 Site-MNIST     | Train Loss: 0.6301 | Train Acc: 0.8204
 Site-USPS      | Train Loss: 0.4763 | Train Acc: 0.8754
 Site-USPS      | Train Loss: 0.4798 | Train Acc: 0.8563
 Site-SynthDigits| Train Loss: 1.2938 | Train Acc: 0.5724
 Site-SynthDigits| Train Loss: 1.2148 | Train Acc: 0.6072
 Site-MNIST-M   | Train Loss: 1.5822 | Train Acc: 0.4983
 Site-MNIST-M   | Train Loss: 1.5529 | Train Acc: 0.4815
 Site-SVHN      | Train Loss: 1.8693 | Train Acc: 0.3670
 Site-SVHN      | Train Loss: 1.7373 | Train Acc: 0.4052
 Site-MNIST     | Val  Loss: 0.4875 | Val  Acc: 0.8514
 Site-MNIST     | Val  Loss: 0.5638 | Val  Acc: 0.8514
 Site-USPS      | Val  Loss: 0.4160 | Val  Acc: 0.8514
 Site-USPS      | Val  Loss: 0.5374 | Val  Acc: 0.8378
 Site-SynthDigits| Val  Loss: 1.2561 | Val  Acc: 0.4730
 Site-SynthDigits| Val  Loss: 1.2802 | Val  Acc: 0.5541
 Site-MNIST-M   | Val  Loss: 1.6801 | Val  Acc: 0.5270
 Site-MNIST-M   | Val  Loss: 1.4905 | Val  Acc: 0.5180
 Site-SVHN      | Val  Loss: 1.7256 | Val  Acc: 0.4189
 Site-SVHN      | Val  Loss: 1.7233 | Val  Acc: 0.3964
Average Valid Accuracy: 0.6279
 Best site-MNIST      | Epoch:4 | Val Acc: 0.8514
 Best site-MNIST      | Epoch:4 | Val Acc: 0.8514
 Best site-USPS       | Epoch:4 | Val Acc: 0.8514
 Best site-USPS       | Epoch:4 | Val Acc: 0.8378
 Best site-SynthDigits | Epoch:4 | Val Acc: 0.4730
 Best site-SynthDigits | Epoch:4 | Val Acc: 0.5541
 Best site-MNIST-M    | Epoch:4 | Val Acc: 0.5270
 Best site-MNIST-M    | Epoch:4 | Val Acc: 0.5180
 Best site-SVHN       | Epoch:4 | Val Acc: 0.4189
 Best site-SVHN       | Epoch:4 | Val Acc: 0.3964
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1.0_1/harmo-fl...
============ Train epoch 5 ============
 Site-MNIST     | Train Loss: 0.4968 | Train Acc: 0.8620
 Site-MNIST     | Train Loss: 0.5746 | Train Acc: 0.8384
 Site-USPS      | Train Loss: 0.4193 | Train Acc: 0.8956
 Site-USPS      | Train Loss: 0.4220 | Train Acc: 0.8844
 Site-SynthDigits| Train Loss: 1.2450 | Train Acc: 0.6162
