===2023-04-18 19:50:42===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    tune: False
    lambda for constrastive: 0.5
data_number=[59,118,37,74,52,104,44,88,29,58,]
label set of clients: [10, 10, 9, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 2.2853 | Train Acc: 0.0508
 Site-MNIST     | Train Loss: 2.2909 | Train Acc: 0.0932
 Site-SVHN      | Train Loss: 2.3853 | Train Acc: 0.0541
 Site-SVHN      | Train Loss: 2.3341 | Train Acc: 0.0946
 Site-USPS      | Train Loss: 2.3426 | Train Acc: 0.0577
 Site-USPS      | Train Loss: 2.2894 | Train Acc: 0.0865
 Site-SynthDigits| Train Loss: 2.3232 | Train Acc: 0.0682
 Site-SynthDigits| Train Loss: 2.2693 | Train Acc: 0.1250
 Site-MNIST-M   | Train Loss: 2.4633 | Train Acc: 0.0000
 Site-MNIST-M   | Train Loss: 2.3969 | Train Acc: 0.0690
 Site-MNIST     | Val  Loss: 2.3161 | Val  Acc: 0.1026
 Site-MNIST     | Val  Loss: 2.2956 | Val  Acc: 0.0897
 Site-SVHN      | Val  Loss: 2.3306 | Val  Acc: 0.0000
 Site-SVHN      | Val  Loss: 2.3812 | Val  Acc: 0.0816
 Site-USPS      | Val  Loss: 2.2963 | Val  Acc: 0.0882
 Site-USPS      | Val  Loss: 2.3097 | Val  Acc: 0.0725
 Site-SynthDigits| Val  Loss: 2.2576 | Val  Acc: 0.0690
 Site-SynthDigits| Val  Loss: 2.2899 | Val  Acc: 0.1034
 Site-MNIST-M   | Val  Loss: 2.4063 | Val  Acc: 0.1053
 Site-MNIST-M   | Val  Loss: 2.3921 | Val  Acc: 0.1026
Average Valid Accuracy: 0.0815
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1026
 Best site-MNIST      | Epoch:0 | Val Acc: 0.0897
 Best site-SVHN       | Epoch:0 | Val Acc: 0.0000
 Best site-SVHN       | Epoch:0 | Val Acc: 0.0816
 Best site-USPS       | Epoch:0 | Val Acc: 0.0882
 Best site-USPS       | Epoch:0 | Val Acc: 0.0725
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.0690
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.1034
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.1053
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.1026
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/drfl...
============ Train epoch 1 ============
 Site-MNIST     | Train Loss: 2.1707 | Train Acc: 0.1356
 Site-MNIST     | Train Loss: 2.1587 | Train Acc: 0.2034
 Site-SVHN      | Train Loss: 2.3650 | Train Acc: 0.0541
 Site-SVHN      | Train Loss: 2.2867 | Train Acc: 0.1757
 Site-USPS      | Train Loss: 2.1976 | Train Acc: 0.2885
 Site-USPS      | Train Loss: 2.1525 | Train Acc: 0.2500
 Site-SynthDigits| Train Loss: 2.2752 | Train Acc: 0.1136
 Site-SynthDigits| Train Loss: 2.2456 | Train Acc: 0.1591
 Site-MNIST-M   | Train Loss: 2.4314 | Train Acc: 0.0000
 Site-MNIST-M   | Train Loss: 2.3700 | Train Acc: 0.0862
 Site-MNIST     | Val  Loss: 2.1759 | Val  Acc: 0.2051
 Site-MNIST     | Val  Loss: 2.1549 | Val  Acc: 0.2051
 Site-SVHN      | Val  Loss: 2.2876 | Val  Acc: 0.1250
 Site-SVHN      | Val  Loss: 2.3606 | Val  Acc: 0.1633
 Site-USPS      | Val  Loss: 2.1992 | Val  Acc: 0.1765
 Site-USPS      | Val  Loss: 2.1752 | Val  Acc: 0.2464
 Site-SynthDigits| Val  Loss: 2.2293 | Val  Acc: 0.1379
 Site-SynthDigits| Val  Loss: 2.2585 | Val  Acc: 0.1552
 Site-MNIST-M   | Val  Loss: 2.4057 | Val  Acc: 0.1053
 Site-MNIST-M   | Val  Loss: 2.3662 | Val  Acc: 0.1026
Average Valid Accuracy: 0.1622
 Best site-MNIST      | Epoch:1 | Val Acc: 0.2051
 Best site-MNIST      | Epoch:1 | Val Acc: 0.2051
 Best site-SVHN       | Epoch:1 | Val Acc: 0.1250
 Best site-SVHN       | Epoch:1 | Val Acc: 0.1633
 Best site-USPS       | Epoch:1 | Val Acc: 0.1765
 Best site-USPS       | Epoch:1 | Val Acc: 0.2464
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.1379
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.1552
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.1053
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.1026
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/drfl...
============ Train epoch 2 ============
 Site-MNIST     | Train Loss: 2.0690 | Train Acc: 0.2373
 Site-MNIST     | Train Loss: 2.0189 | Train Acc: 0.3220
 Site-SVHN      | Train Loss: 2.2630 | Train Acc: 0.0811
 Site-SVHN      | Train Loss: 2.2516 | Train Acc: 0.2027
 Site-USPS      | Train Loss: 2.0921 | Train Acc: 0.3462
 Site-USPS      | Train Loss: 2.0557 | Train Acc: 0.3654
 Site-SynthDigits| Train Loss: 2.2253 | Train Acc: 0.1364
 Site-SynthDigits| Train Loss: 2.1985 | Train Acc: 0.2045
 Site-MNIST-M   | Train Loss: 2.4088 | Train Acc: 0.0345
 Site-MNIST-M   | Train Loss: 2.3328 | Train Acc: 0.1379
 Site-MNIST     | Val  Loss: 2.0731 | Val  Acc: 0.3077
 Site-MNIST     | Val  Loss: 2.0413 | Val  Acc: 0.3590
 Site-SVHN      | Val  Loss: 2.2575 | Val  Acc: 0.1667
 Site-SVHN      | Val  Loss: 2.3415 | Val  Acc: 0.1837
 Site-USPS      | Val  Loss: 2.1069 | Val  Acc: 0.3824
 Site-USPS      | Val  Loss: 2.0644 | Val  Acc: 0.3913
 Site-SynthDigits| Val  Loss: 2.1772 | Val  Acc: 0.2414
 Site-SynthDigits| Val  Loss: 2.2079 | Val  Acc: 0.2069
 Site-MNIST-M   | Val  Loss: 2.4002 | Val  Acc: 0.1053
 Site-MNIST-M   | Val  Loss: 2.3428 | Val  Acc: 0.1026
Average Valid Accuracy: 0.2447
 Best site-MNIST      | Epoch:2 | Val Acc: 0.3077
 Best site-MNIST      | Epoch:2 | Val Acc: 0.3590
 Best site-SVHN       | Epoch:2 | Val Acc: 0.1667
 Best site-SVHN       | Epoch:2 | Val Acc: 0.1837
 Best site-USPS       | Epoch:2 | Val Acc: 0.3824
 Best site-USPS       | Epoch:2 | Val Acc: 0.3913
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.2414
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.2069
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.1053
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.1026
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/drfl...
============ Train epoch 3 ============
 Site-MNIST     | Train Loss: 1.9629 | Train Acc: 0.3220
 Site-MNIST     | Train Loss: 1.9128 | Train Acc: 0.4237
 Site-SVHN      | Train Loss: 2.2955 | Train Acc: 0.1622
 Site-SVHN      | Train Loss: 2.2203 | Train Acc: 0.2027
 Site-USPS      | Train Loss: 2.0097 | Train Acc: 0.3846
 Site-USPS      | Train Loss: 1.9482 | Train Acc: 0.4231
 Site-SynthDigits| Train Loss: 2.1912 | Train Acc: 0.1591
 Site-SynthDigits| Train Loss: 2.1563 | Train Acc: 0.2159
 Site-MNIST-M   | Train Loss: 2.3959 | Train Acc: 0.0345
 Site-MNIST-M   | Train Loss: 2.2951 | Train Acc: 0.1379
 Site-MNIST     | Val  Loss: 1.9811 | Val  Acc: 0.3846
 Site-MNIST     | Val  Loss: 1.9422 | Val  Acc: 0.4231
 Site-SVHN      | Val  Loss: 2.2304 | Val  Acc: 0.1667
 Site-SVHN      | Val  Loss: 2.3189 | Val  Acc: 0.1837
 Site-USPS      | Val  Loss: 2.0330 | Val  Acc: 0.4412
 Site-USPS      | Val  Loss: 1.9756 | Val  Acc: 0.4348
 Site-SynthDigits| Val  Loss: 2.1289 | Val  Acc: 0.2759
 Site-SynthDigits| Val  Loss: 2.1570 | Val  Acc: 0.2069
 Site-MNIST-M   | Val  Loss: 2.3879 | Val  Acc: 0.0526
 Site-MNIST-M   | Val  Loss: 2.3207 | Val  Acc: 0.0769
Average Valid Accuracy: 0.2646
 Best site-MNIST      | Epoch:3 | Val Acc: 0.3846
 Best site-MNIST      | Epoch:3 | Val Acc: 0.4231
 Best site-SVHN       | Epoch:3 | Val Acc: 0.1667
 Best site-SVHN       | Epoch:3 | Val Acc: 0.1837
 Best site-USPS       | Epoch:3 | Val Acc: 0.4412
 Best site-USPS       | Epoch:3 | Val Acc: 0.4348
 Best site-SynthDigits | Epoch:3 | Val Acc: 0.2759
 Best site-SynthDigits | Epoch:3 | Val Acc: 0.2069
 Best site-MNIST-M    | Epoch:3 | Val Acc: 0.0526
 Best site-MNIST-M    | Epoch:3 | Val Acc: 0.0769
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/drfl...
============ Train epoch 4 ============
 Site-MNIST     | Train Loss: 1.9004 | Train Acc: 0.3559
 Site-MNIST     | Train Loss: 1.8235 | Train Acc: 0.4746
 Site-SVHN      | Train Loss: 2.2676 | Train Acc: 0.1622
 Site-SVHN      | Train Loss: 2.2021 | Train Acc: 0.2027
 Site-USPS      | Train Loss: 1.8354 | Train Acc: 0.5577
 Site-USPS      | Train Loss: 1.8894 | Train Acc: 0.4712
 Site-SynthDigits| Train Loss: 2.1610 | Train Acc: 0.2045
 Site-SynthDigits| Train Loss: 2.1292 | Train Acc: 0.2386
 Site-MNIST-M   | Train Loss: 2.3657 | Train Acc: 0.0345
 Site-MNIST-M   | Train Loss: 2.2781 | Train Acc: 0.1379
 Site-MNIST     | Val  Loss: 1.8982 | Val  Acc: 0.4872
 Site-MNIST     | Val  Loss: 1.8508 | Val  Acc: 0.4872
 Site-SVHN      | Val  Loss: 2.2007 | Val  Acc: 0.1667
 Site-SVHN      | Val  Loss: 2.2921 | Val  Acc: 0.1837
 Site-USPS      | Val  Loss: 1.9500 | Val  Acc: 0.4412
 Site-USPS      | Val  Loss: 1.8815 | Val  Acc: 0.4928
 Site-SynthDigits| Val  Loss: 2.0780 | Val  Acc: 0.2759
 Site-SynthDigits| Val  Loss: 2.1085 | Val  Acc: 0.2414
 Site-MNIST-M   | Val  Loss: 2.3773 | Val  Acc: 0.0526
 Site-MNIST-M   | Val  Loss: 2.2961 | Val  Acc: 0.0769
Average Valid Accuracy: 0.2905
 Best site-MNIST      | Epoch:4 | Val Acc: 0.4872
 Best site-MNIST      | Epoch:4 | Val Acc: 0.4872
 Best site-SVHN       | Epoch:4 | Val Acc: 0.1667
 Best site-SVHN       | Epoch:4 | Val Acc: 0.1837
 Best site-USPS       | Epoch:4 | Val Acc: 0.4412
 Best site-USPS       | Epoch:4 | Val Acc: 0.4928
 Best site-SynthDigits | Epoch:4 | Val Acc: 0.2759
 Best site-SynthDigits | Epoch:4 | Val Acc: 0.2414
 Best site-MNIST-M    | Epoch:4 | Val Acc: 0.0526
 Best site-MNIST-M    | Epoch:4 | Val Acc: 0.0769
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/drfl...
============ Train epoch 5 ============
 Site-MNIST     | Train Loss: 1.8122 | Train Acc: 0.4407
 Site-MNIST     | Train Loss: 1.7440 | Train Acc: 0.5254
 Site-SVHN      | Train Loss: 2.2164 | Train Acc: 0.1351
 Site-SVHN      | Train Loss: 2.1590 | Train Acc: 0.1892
 Site-USPS      | Train Loss: 1.7656 | Train Acc: 0.5577
 Site-USPS      | Train Loss: 1.7978 | Train Acc: 0.5481
 Site-SynthDigits| Train Loss: 2.1152 | Train Acc: 0.2500
 Site-SynthDigits| Train Loss: 2.0619 | Train Acc: 0.2386
 Site-MNIST-M   | Train Loss: 2.3450 | Train Acc: 0.0345
 Site-MNIST-M   | Train Loss: 2.2575 | Train Acc: 0.1552
 Site-MNIST     | Val  Loss: 1.8240 | Val  Acc: 0.5641
 Site-MNIST     | Val  Loss: 1.7681 | Val  Acc: 0.5128
 Site-SVHN      | Val  Loss: 2.1786 | Val  Acc: 0.1667
