===2023-04-22 01:15:21===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[59,118,37,74,52,104,44,88,29,58,]
label set of clients: [10, 10, 9, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 2.2988 | Train Acc: 0.0847
 Site-MNIST     | Train Loss: 2.2987 | Train Acc: 0.1017
 Site-SVHN      | Train Loss: 2.3106 | Train Acc: 0.0811
 Site-SVHN      | Train Loss: 2.3089 | Train Acc: 0.0811
 Site-USPS      | Train Loss: 2.3167 | Train Acc: 0.1154
 Site-USPS      | Train Loss: 2.3183 | Train Acc: 0.1058
 Site-SynthDigits| Train Loss: 2.3137 | Train Acc: 0.0909
 Site-SynthDigits| Train Loss: 2.3170 | Train Acc: 0.1023
 Site-MNIST-M   | Train Loss: 2.2845 | Train Acc: 0.0690
 Site-MNIST-M   | Train Loss: 2.2881 | Train Acc: 0.1552
 Site-MNIST     | Val  Loss: 2.2854 | Val  Acc: 0.1026
 Site-MNIST     | Val  Loss: 2.2980 | Val  Acc: 0.1154
 Site-SVHN      | Val  Loss: 2.2947 | Val  Acc: 0.0833
 Site-SVHN      | Val  Loss: 2.3040 | Val  Acc: 0.1020
 Site-USPS      | Val  Loss: 2.3277 | Val  Acc: 0.0882
 Site-USPS      | Val  Loss: 2.3144 | Val  Acc: 0.0725
 Site-SynthDigits| Val  Loss: 2.3023 | Val  Acc: 0.1034
 Site-SynthDigits| Val  Loss: 2.3143 | Val  Acc: 0.1207
 Site-MNIST-M   | Val  Loss: 2.2817 | Val  Acc: 0.1579
 Site-MNIST-M   | Val  Loss: 2.2784 | Val  Acc: 0.2308
Average Valid Accuracy: 0.1177
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1026
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1154
 Best site-SVHN       | Epoch:0 | Val Acc: 0.0833
 Best site-SVHN       | Epoch:0 | Val Acc: 0.1020
 Best site-USPS       | Epoch:0 | Val Acc: 0.0882
 Best site-USPS       | Epoch:0 | Val Acc: 0.0725
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.1034
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.1207
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.1579
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.2308
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/fedavg...
============ Train epoch 1 ============
 Site-MNIST     | Train Loss: 2.2921 | Train Acc: 0.0847
 Site-MNIST     | Train Loss: 2.2806 | Train Acc: 0.1864
 Site-SVHN      | Train Loss: 2.2962 | Train Acc: 0.1081
 Site-SVHN      | Train Loss: 2.3066 | Train Acc: 0.1081
 Site-USPS      | Train Loss: 2.2862 | Train Acc: 0.1731
 Site-USPS      | Train Loss: 2.2979 | Train Acc: 0.1346
 Site-SynthDigits| Train Loss: 2.3074 | Train Acc: 0.0909
 Site-SynthDigits| Train Loss: 2.3129 | Train Acc: 0.1136
 Site-MNIST-M   | Train Loss: 2.2822 | Train Acc: 0.0690
 Site-MNIST-M   | Train Loss: 2.2940 | Train Acc: 0.1552
 Site-MNIST     | Val  Loss: 2.2684 | Val  Acc: 0.1538
 Site-MNIST     | Val  Loss: 2.2799 | Val  Acc: 0.1795
 Site-SVHN      | Val  Loss: 2.2928 | Val  Acc: 0.0833
 Site-SVHN      | Val  Loss: 2.3021 | Val  Acc: 0.1020
 Site-USPS      | Val  Loss: 2.3051 | Val  Acc: 0.1176
 Site-USPS      | Val  Loss: 2.2932 | Val  Acc: 0.0870
 Site-SynthDigits| Val  Loss: 2.3003 | Val  Acc: 0.1379
 Site-SynthDigits| Val  Loss: 2.3128 | Val  Acc: 0.1379
 Site-MNIST-M   | Val  Loss: 2.2792 | Val  Acc: 0.1579
 Site-MNIST-M   | Val  Loss: 2.2760 | Val  Acc: 0.2308
Average Valid Accuracy: 0.1388
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1538
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1795
 Best site-SVHN       | Epoch:1 | Val Acc: 0.0833
 Best site-SVHN       | Epoch:1 | Val Acc: 0.1020
 Best site-USPS       | Epoch:1 | Val Acc: 0.1176
 Best site-USPS       | Epoch:1 | Val Acc: 0.0870
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.1379
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.1379
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.1579
