===2023-04-22 21:53:42===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[59,118,37,74,52,104,44,88,29,58,]
label set of clients: [10, 10, 9, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 1.9309 | Train Acc: 0.5593
 Site-MNIST     | Train Loss: 1.8817 | Train Acc: 0.5424
 Site-SVHN      | Train Loss: 2.2172 | Train Acc: 0.1892
 Site-SVHN      | Train Loss: 2.2006 | Train Acc: 0.2703
 Site-USPS      | Train Loss: 1.8125 | Train Acc: 0.6154
 Site-USPS      | Train Loss: 1.8166 | Train Acc: 0.6250
 Site-SynthDigits| Train Loss: 2.1804 | Train Acc: 0.1818
 Site-SynthDigits| Train Loss: 2.1331 | Train Acc: 0.3068
 Site-MNIST-M   | Train Loss: 2.2425 | Train Acc: 0.1379
 Site-MNIST-M   | Train Loss: 2.1700 | Train Acc: 0.2414
 Site-MNIST     | Val  Loss: 1.8713 | Val  Acc: 0.5641
 Site-MNIST     | Val  Loss: 1.8587 | Val  Acc: 0.5897
 Site-SVHN      | Val  Loss: 2.2390 | Val  Acc: 0.2083
 Site-SVHN      | Val  Loss: 2.1992 | Val  Acc: 0.2449
 Site-USPS      | Val  Loss: 1.8549 | Val  Acc: 0.6176
 Site-USPS      | Val  Loss: 1.8427 | Val  Acc: 0.5942
 Site-SynthDigits| Val  Loss: 2.0693 | Val  Acc: 0.4828
 Site-SynthDigits| Val  Loss: 2.1112 | Val  Acc: 0.3276
 Site-MNIST-M   | Val  Loss: 2.2517 | Val  Acc: 0.3158
 Site-MNIST-M   | Val  Loss: 2.1847 | Val  Acc: 0.2308
Average Valid Accuracy: 0.4176
 Best site-MNIST      | Epoch:0 | Val Acc: 0.5641
 Best site-MNIST      | Epoch:0 | Val Acc: 0.5897
 Best site-SVHN       | Epoch:0 | Val Acc: 0.2083
 Best site-SVHN       | Epoch:0 | Val Acc: 0.2449
 Best site-USPS       | Epoch:0 | Val Acc: 0.6176
 Best site-USPS       | Epoch:0 | Val Acc: 0.5942
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.4828
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.3276
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.3158
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.2308
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/harmo-fl...
============ Train epoch 1 ============
 Site-MNIST     | Train Loss: 1.6482 | Train Acc: 0.5424
 Site-MNIST     | Train Loss: 1.5244 | Train Acc: 0.7712
 Site-SVHN      | Train Loss: 2.1986 | Train Acc: 0.1892
 Site-SVHN      | Train Loss: 2.1097 | Train Acc: 0.2838
 Site-USPS      | Train Loss: 1.3900 | Train Acc: 0.8077
 Site-USPS      | Train Loss: 1.4491 | Train Acc: 0.7404
 Site-SynthDigits| Train Loss: 2.0463 | Train Acc: 0.2045
 Site-SynthDigits| Train Loss: 2.0095 | Train Acc: 0.3750
 Site-MNIST-M   | Train Loss: 2.2039 | Train Acc: 0.1379
 Site-MNIST-M   | Train Loss: 2.0793 | Train Acc: 0.3448
 Site-MNIST     | Val  Loss: 1.5710 | Val  Acc: 0.7179
 Site-MNIST     | Val  Loss: 1.5185 | Val  Acc: 0.7692
 Site-SVHN      | Val  Loss: 2.1583 | Val  Acc: 0.2083
 Site-SVHN      | Val  Loss: 2.1239 | Val  Acc: 0.2653
 Site-USPS      | Val  Loss: 1.4694 | Val  Acc: 0.7353
 Site-USPS      | Val  Loss: 1.4332 | Val  Acc: 0.7536
 Site-SynthDigits| Val  Loss: 1.9147 | Val  Acc: 0.5172
 Site-SynthDigits| Val  Loss: 1.9672 | Val  Acc: 0.3966
 Site-MNIST-M   | Val  Loss: 2.1729 | Val  Acc: 0.4211
 Site-MNIST-M   | Val  Loss: 2.1028 | Val  Acc: 0.3333
Average Valid Accuracy: 0.5118
 Best site-MNIST      | Epoch:1 | Val Acc: 0.7179
 Best site-MNIST      | Epoch:1 | Val Acc: 0.7692
 Best site-SVHN       | Epoch:1 | Val Acc: 0.2083
 Best site-SVHN       | Epoch:1 | Val Acc: 0.2653
 Best site-USPS       | Epoch:1 | Val Acc: 0.7353
 Best site-USPS       | Epoch:1 | Val Acc: 0.7536
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.5172
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.3966
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.4211
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.3333
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/harmo-fl...
============ Train epoch 2 ============
 Site-MNIST     | Train Loss: 1.4356 | Train Acc: 0.6441
 Site-MNIST     | Train Loss: 1.2663 | Train Acc: 0.7881
 Site-SVHN      | Train Loss: 2.1431 | Train Acc: 0.2432
 Site-SVHN      | Train Loss: 2.0610 | Train Acc: 0.3514
 Site-USPS      | Train Loss: 1.0535 | Train Acc: 0.8462
 Site-USPS      | Train Loss: 1.1822 | Train Acc: 0.7788
 Site-SynthDigits| Train Loss: 1.9390 | Train Acc: 0.4318
 Site-SynthDigits| Train Loss: 1.8624 | Train Acc: 0.5000
 Site-MNIST-M   | Train Loss: 2.1724 | Train Acc: 0.1034
 Site-MNIST-M   | Train Loss: 2.0112 | Train Acc: 0.3621
 Site-MNIST     | Val  Loss: 1.3189 | Val  Acc: 0.7692
 Site-MNIST     | Val  Loss: 1.2491 | Val  Acc: 0.7949
 Site-SVHN      | Val  Loss: 2.0968 | Val  Acc: 0.3750
 Site-SVHN      | Val  Loss: 2.0835 | Val  Acc: 0.3673
 Site-USPS      | Val  Loss: 1.1161 | Val  Acc: 0.7353
 Site-USPS      | Val  Loss: 1.1150 | Val  Acc: 0.8116
 Site-SynthDigits| Val  Loss: 1.7592 | Val  Acc: 0.6207
 Site-SynthDigits| Val  Loss: 1.8193 | Val  Acc: 0.5000
 Site-MNIST-M   | Val  Loss: 2.0638 | Val  Acc: 0.4737
 Site-MNIST-M   | Val  Loss: 2.0359 | Val  Acc: 0.3846
Average Valid Accuracy: 0.5832
 Best site-MNIST      | Epoch:2 | Val Acc: 0.7692
 Best site-MNIST      | Epoch:2 | Val Acc: 0.7949
 Best site-SVHN       | Epoch:2 | Val Acc: 0.3750
 Best site-SVHN       | Epoch:2 | Val Acc: 0.3673
 Best site-USPS       | Epoch:2 | Val Acc: 0.7353
 Best site-USPS       | Epoch:2 | Val Acc: 0.8116
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.6207
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.5000
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.4737
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.3846
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/harmo-fl...
============ Train epoch 3 ============
 Site-MNIST     | Train Loss: 1.2455 | Train Acc: 0.7288
 Site-MNIST     | Train Loss: 1.1026 | Train Acc: 0.8136
 Site-SVHN      | Train Loss: 2.1537 | Train Acc: 0.2432
 Site-SVHN      | Train Loss: 2.0148 | Train Acc: 0.3514
 Site-USPS      | Train Loss: 1.0302 | Train Acc: 0.7885
 Site-USPS      | Train Loss: 1.0154 | Train Acc: 0.7692
 Site-SynthDigits| Train Loss: 1.8938 | Train Acc: 0.4318
 Site-SynthDigits| Train Loss: 1.7556 | Train Acc: 0.4886
 Site-MNIST-M   | Train Loss: 2.1151 | Train Acc: 0.2069
 Site-MNIST-M   | Train Loss: 1.9493 | Train Acc: 0.3966
 Site-MNIST     | Val  Loss: 1.1438 | Val  Acc: 0.7692
 Site-MNIST     | Val  Loss: 1.0898 | Val  Acc: 0.8205
 Site-SVHN      | Val  Loss: 2.0732 | Val  Acc: 0.3333
 Site-SVHN      | Val  Loss: 2.0371 | Val  Acc: 0.3469
 Site-USPS      | Val  Loss: 0.9515 | Val  Acc: 0.7059
 Site-USPS      | Val  Loss: 0.9843 | Val  Acc: 0.7681
 Site-SynthDigits| Val  Loss: 1.6728 | Val  Acc: 0.5862
 Site-SynthDigits| Val  Loss: 1.7241 | Val  Acc: 0.4828
 Site-MNIST-M   | Val  Loss: 1.9887 | Val  Acc: 0.5263
 Site-MNIST-M   | Val  Loss: 1.9595 | Val  Acc: 0.4359
Average Valid Accuracy: 0.5775
============ Train epoch 4 ============
 Site-MNIST     | Train Loss: 1.0757 | Train Acc: 0.7627
 Site-MNIST     | Train Loss: 0.9649 | Train Acc: 0.8136
 Site-SVHN      | Train Loss: 2.1105 | Train Acc: 0.2432
 Site-SVHN      | Train Loss: 1.9483 | Train Acc: 0.3919
 Site-USPS      | Train Loss: 0.9135 | Train Acc: 0.8077
 Site-USPS      | Train Loss: 0.8702 | Train Acc: 0.7981
 Site-SynthDigits| Train Loss: 1.8626 | Train Acc: 0.3636
 Site-SynthDigits| Train Loss: 1.7233 | Train Acc: 0.5000
 Site-MNIST-M   | Train Loss: 2.0945 | Train Acc: 0.2069
 Site-MNIST-M   | Train Loss: 1.8974 | Train Acc: 0.4138
 Site-MNIST     | Val  Loss: 1.0120 | Val  Acc: 0.7949
 Site-MNIST     | Val  Loss: 0.9623 | Val  Acc: 0.8077
 Site-SVHN      | Val  Loss: 1.9921 | Val  Acc: 0.3750
 Site-SVHN      | Val  Loss: 1.9738 | Val  Acc: 0.3673
 Site-USPS      | Val  Loss: 0.8759 | Val  Acc: 0.7059
 Site-USPS      | Val  Loss: 0.8804 | Val  Acc: 0.7971
 Site-SynthDigits| Val  Loss: 1.6141 | Val  Acc: 0.5862
 Site-SynthDigits| Val  Loss: 1.6614 | Val  Acc: 0.5000
 Site-MNIST-M   | Val  Loss: 1.9704 | Val  Acc: 0.5263
 Site-MNIST-M   | Val  Loss: 1.9019 | Val  Acc: 0.4359
Average Valid Accuracy: 0.5896
 Best site-MNIST      | Epoch:4 | Val Acc: 0.7949
 Best site-MNIST      | Epoch:4 | Val Acc: 0.8077
 Best site-SVHN       | Epoch:4 | Val Acc: 0.3750
 Best site-SVHN       | Epoch:4 | Val Acc: 0.3673
 Best site-USPS       | Epoch:4 | Val Acc: 0.7059
 Best site-USPS       | Epoch:4 | Val Acc: 0.7971
 Best site-SynthDigits | Epoch:4 | Val Acc: 0.5862
 Best site-SynthDigits | Epoch:4 | Val Acc: 0.5000
 Best site-MNIST-M    | Epoch:4 | Val Acc: 0.5263
 Best site-MNIST-M    | Epoch:4 | Val Acc: 0.4359
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/harmo-fl...
============ Train epoch 5 ============
 Site-MNIST     | Train Loss: 0.9759 | Train Acc: 0.7627
 Site-MNIST     | Train Loss: 0.8823 | Train Acc: 0.8475
 Site-SVHN      | Train Loss: 2.1073 | Train Acc: 0.2703
 Site-SVHN      | Train Loss: 1.9094 | Train Acc: 0.3919
 Site-USPS      | Train Loss: 0.7683 | Train Acc: 0.8462
 Site-USPS      | Train Loss: 0.7657 | Train Acc: 0.8365
 Site-SynthDigits| Train Loss: 1.7956 | Train Acc: 0.4091
 Site-SynthDigits| Train Loss: 1.6850 | Train Acc: 0.5114
 Site-MNIST-M   | Train Loss: 2.0823 | Train Acc: 0.1379
 Site-MNIST-M   | Train Loss: 1.8576 | Train Acc: 0.3966
 Site-MNIST     | Val  Loss: 0.9127 | Val  Acc: 0.8462
 Site-MNIST     | Val  Loss: 0.8546 | Val  Acc: 0.8590
 Site-SVHN      | Val  Loss: 1.9324 | Val  Acc: 0.3750
 Site-SVHN      | Val  Loss: 1.9556 | Val  Acc: 0.3469
 Site-USPS      | Val  Loss: 0.7515 | Val  Acc: 0.7647
 Site-USPS      | Val  Loss: 0.7483 | Val  Acc: 0.8551
 Site-SynthDigits| Val  Loss: 1.5458 | Val  Acc: 0.5517
 Site-SynthDigits| Val  Loss: 1.5969 | Val  Acc: 0.5000
 Site-MNIST-M   | Val  Loss: 1.9300 | Val  Acc: 0.5263
 Site-MNIST-M   | Val  Loss: 1.8510 | Val  Acc: 0.4103
Average Valid Accuracy: 0.6035
 Best site-MNIST      | Epoch:5 | Val Acc: 0.8462
 Best site-MNIST      | Epoch:5 | Val Acc: 0.8590
 Best site-SVHN       | Epoch:5 | Val Acc: 0.3750
 Best site-SVHN       | Epoch:5 | Val Acc: 0.3469
 Best site-USPS       | Epoch:5 | Val Acc: 0.7647
 Best site-USPS       | Epoch:5 | Val Acc: 0.8551
 Best site-SynthDigits | Epoch:5 | Val Acc: 0.5517
 Best site-SynthDigits | Epoch:5 | Val Acc: 0.5000
 Best site-MNIST-M    | Epoch:5 | Val Acc: 0.5263
 Best site-MNIST-M    | Epoch:5 | Val Acc: 0.4103
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/harmo-fl...
============ Train epoch 6 ============
 Site-MNIST     | Train Loss: 0.9151 | Train Acc: 0.7966
 Site-MNIST     | Train Loss: 0.8030 | Train Acc: 0.8559
 Site-SVHN      | Train Loss: 2.0776 | Train Acc: 0.2432
 Site-SVHN      | Train Loss: 1.8582 | Train Acc: 0.4054
 Site-USPS      | Train Loss: 0.6686 | Train Acc: 0.8462
 Site-USPS      | Train Loss: 0.7079 | Train Acc: 0.8365
 Site-SynthDigits| Train Loss: 1.7575 | Train Acc: 0.4318
 Site-SynthDigits| Train Loss: 1.6040 | Train Acc: 0.5341
 Site-MNIST-M   | Train Loss: 2.0568 | Train Acc: 0.1379
 Site-MNIST-M   | Train Loss: 1.7873 | Train Acc: 0.3966
 Site-MNIST     | Val  Loss: 0.8695 | Val  Acc: 0.8718
 Site-MNIST     | Val  Loss: 0.7936 | Val  Acc: 0.8590
 Site-SVHN      | Val  Loss: 1.8739 | Val  Acc: 0.3750
 Site-SVHN      | Val  Loss: 1.9176 | Val  Acc: 0.3673
 Site-USPS      | Val  Loss: 0.6531 | Val  Acc: 0.7647
 Site-USPS      | Val  Loss: 0.6572 | Val  Acc: 0.8696
 Site-SynthDigits| Val  Loss: 1.5018 | Val  Acc: 0.5862
 Site-SynthDigits| Val  Loss: 1.5464 | Val  Acc: 0.5345
 Site-MNIST-M   | Val  Loss: 1.8948 | Val  Acc: 0.4737
 Site-MNIST-M   | Val  Loss: 1.8036 | Val  Acc: 0.4103
Average Valid Accuracy: 0.6112
 Best site-MNIST      | Epoch:6 | Val Acc: 0.8718
 Best site-MNIST      | Epoch:6 | Val Acc: 0.8590
 Best site-SVHN       | Epoch:6 | Val Acc: 0.3750
 Best site-SVHN       | Epoch:6 | Val Acc: 0.3673
 Best site-USPS       | Epoch:6 | Val Acc: 0.7647
 Best site-USPS       | Epoch:6 | Val Acc: 0.8696
 Best site-SynthDigits | Epoch:6 | Val Acc: 0.5862
 Best site-SynthDigits | Epoch:6 | Val Acc: 0.5345
 Best site-MNIST-M    | Epoch:6 | Val Acc: 0.4737
 Best site-MNIST-M    | Epoch:6 | Val Acc: 0.4103
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/harmo-fl...
============ Train epoch 7 ============
 Site-MNIST     | Train Loss: 0.8459 | Train Acc: 0.7627
 Site-MNIST     | Train Loss: 0.7639 | Train Acc: 0.8390
 Site-SVHN      | Train Loss: 2.0585 | Train Acc: 0.2703
 Site-SVHN      | Train Loss: 1.8352 | Train Acc: 0.3919
 Site-USPS      | Train Loss: 0.7193 | Train Acc: 0.8462
 Site-USPS      | Train Loss: 0.6115 | Train Acc: 0.8750
 Site-SynthDigits| Train Loss: 1.7465 | Train Acc: 0.5227
 Site-SynthDigits| Train Loss: 1.5652 | Train Acc: 0.5568
 Site-MNIST-M   | Train Loss: 2.0160 | Train Acc: 0.2414
 Site-MNIST-M   | Train Loss: 1.7287 | Train Acc: 0.3793
 Site-MNIST     | Val  Loss: 0.7460 | Val  Acc: 0.8205
 Site-MNIST     | Val  Loss: 0.7201 | Val  Acc: 0.8205
 Site-SVHN      | Val  Loss: 1.8348 | Val  Acc: 0.3750
 Site-SVHN      | Val  Loss: 1.8942 | Val  Acc: 0.3673
 Site-USPS      | Val  Loss: 0.5625 | Val  Acc: 0.7941
 Site-USPS      | Val  Loss: 0.5862 | Val  Acc: 0.8696
 Site-SynthDigits| Val  Loss: 1.4502 | Val  Acc: 0.6207
 Site-SynthDigits| Val  Loss: 1.4868 | Val  Acc: 0.5690
 Site-MNIST-M   | Val  Loss: 1.8545 | Val  Acc: 0.5263
 Site-MNIST-M   | Val  Loss: 1.7581 | Val  Acc: 0.4103
Average Valid Accuracy: 0.6173
 Best site-MNIST      | Epoch:7 | Val Acc: 0.8205
 Best site-MNIST      | Epoch:7 | Val Acc: 0.8205
 Best site-SVHN       | Epoch:7 | Val Acc: 0.3750
 Best site-SVHN       | Epoch:7 | Val Acc: 0.3673
 Best site-USPS       | Epoch:7 | Val Acc: 0.7941
 Best site-USPS       | Epoch:7 | Val Acc: 0.8696
 Best site-SynthDigits | Epoch:7 | Val Acc: 0.6207
 Best site-SynthDigits | Epoch:7 | Val Acc: 0.5690
 Best site-MNIST-M    | Epoch:7 | Val Acc: 0.5263
 Best site-MNIST-M    | Epoch:7 | Val Acc: 0.4103
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/harmo-fl...
============ Train epoch 8 ============
 Site-MNIST     | Train Loss: 0.7997 | Train Acc: 0.7797
 Site-MNIST     | Train Loss: 0.6995 | Train Acc: 0.8475
 Site-SVHN      | Train Loss: 2.1302 | Train Acc: 0.2162
 Site-SVHN      | Train Loss: 1.7703 | Train Acc: 0.4324
 Site-USPS      | Train Loss: 0.6539 | Train Acc: 0.8654
 Site-USPS      | Train Loss: 0.5851 | Train Acc: 0.8750
 Site-SynthDigits| Train Loss: 1.6912 | Train Acc: 0.5455
 Site-SynthDigits| Train Loss: 1.5148 | Train Acc: 0.6364
 Site-MNIST-M   | Train Loss: 1.9908 | Train Acc: 0.3103
 Site-MNIST-M   | Train Loss: 1.7145 | Train Acc: 0.3793
 Site-MNIST     | Val  Loss: 0.6881 | Val  Acc: 0.8718
 Site-MNIST     | Val  Loss: 0.6704 | Val  Acc: 0.8590
 Site-SVHN      | Val  Loss: 1.7845 | Val  Acc: 0.4583
 Site-SVHN      | Val  Loss: 1.8759 | Val  Acc: 0.3878
 Site-USPS      | Val  Loss: 0.5117 | Val  Acc: 0.7941
 Site-USPS      | Val  Loss: 0.5204 | Val  Acc: 0.8696
 Site-SynthDigits| Val  Loss: 1.4117 | Val  Acc: 0.7241
 Site-SynthDigits| Val  Loss: 1.4515 | Val  Acc: 0.6379
 Site-MNIST-M   | Val  Loss: 1.8532 | Val  Acc: 0.5263
 Site-MNIST-M   | Val  Loss: 1.7306 | Val  Acc: 0.4103
Average Valid Accuracy: 0.6539
 Best site-MNIST      | Epoch:8 | Val Acc: 0.8718
 Best site-MNIST      | Epoch:8 | Val Acc: 0.8590
 Best site-SVHN       | Epoch:8 | Val Acc: 0.4583
 Best site-SVHN       | Epoch:8 | Val Acc: 0.3878
 Best site-USPS       | Epoch:8 | Val Acc: 0.7941
 Best site-USPS       | Epoch:8 | Val Acc: 0.8696
