===2023-04-18 16:30:31===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    tune: False
    lambda for constrastive: 0.5
data_number=[59,118,37,74,52,104,44,88,29,58,]
label set of clients: [10, 10, 9, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 5
=================================
 ==== model type: CoCoOP ====
=================================
============ Train epoch 0 ============
denominator: 57354.734375
 Site-MNIST     | Train Loss: 2.3252 | Train Acc: 0.0678
 Site-MNIST     | Train Loss: 2.3533 | Train Acc: 0.0678
 Site-SVHN      | Train Loss: 2.3843 | Train Acc: 0.0811
 Site-SVHN      | Train Loss: 2.3473 | Train Acc: 0.0541
 Site-USPS      | Train Loss: 2.3965 | Train Acc: 0.0385
 Site-USPS      | Train Loss: 2.3420 | Train Acc: 0.0577
 Site-SynthDigits| Train Loss: 2.3340 | Train Acc: 0.0455
 Site-SynthDigits| Train Loss: 2.2833 | Train Acc: 0.1364
 Site-MNIST-M   | Train Loss: 2.4560 | Train Acc: 0.0000
 Site-MNIST-M   | Train Loss: 2.4008 | Train Acc: 0.0690
 Site-MNIST     | Val  Loss: 2.3729 | Val  Acc: 0.0513
 Site-MNIST     | Val  Loss: 2.3554 | Val  Acc: 0.0513
 Site-SVHN      | Val  Loss: 2.3483 | Val  Acc: 0.0417
 Site-SVHN      | Val  Loss: 2.3825 | Val  Acc: 0.0612
 Site-USPS      | Val  Loss: 2.3461 | Val  Acc: 0.0882
 Site-USPS      | Val  Loss: 2.3673 | Val  Acc: 0.0725
 Site-SynthDigits| Val  Loss: 2.2680 | Val  Acc: 0.0690
 Site-SynthDigits| Val  Loss: 2.3031 | Val  Acc: 0.1034
 Site-MNIST-M   | Val  Loss: 2.4045 | Val  Acc: 0.1053
 Site-MNIST-M   | Val  Loss: 2.4002 | Val  Acc: 0.0769
Average Valid Accuracy: 0.0721
 Best site-MNIST      | Epoch:0 | Val Acc: 0.0513
 Best site-MNIST      | Epoch:0 | Val Acc: 0.0513
 Best site-SVHN       | Epoch:0 | Val Acc: 0.0417
 Best site-SVHN       | Epoch:0 | Val Acc: 0.0612
 Best site-USPS       | Epoch:0 | Val Acc: 0.0882
 Best site-USPS       | Epoch:0 | Val Acc: 0.0725
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.0690
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.1034
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.1053
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.0769
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/q-ffl...
============ Train epoch 1 ============
denominator: 52485.9140625
 Site-MNIST     | Train Loss: 2.2422 | Train Acc: 0.0847
 Site-MNIST     | Train Loss: 2.2674 | Train Acc: 0.1186
 Site-SVHN      | Train Loss: 2.3524 | Train Acc: 0.0541
 Site-SVHN      | Train Loss: 2.3092 | Train Acc: 0.1081
 Site-USPS      | Train Loss: 2.2974 | Train Acc: 0.0962
 Site-USPS      | Train Loss: 2.2378 | Train Acc: 0.1154
 Site-SynthDigits| Train Loss: 2.2856 | Train Acc: 0.1136
 Site-SynthDigits| Train Loss: 2.2674 | Train Acc: 0.1591
 Site-MNIST-M   | Train Loss: 2.4261 | Train Acc: 0.0000
 Site-MNIST-M   | Train Loss: 2.3788 | Train Acc: 0.0862
 Site-MNIST     | Val  Loss: 2.2791 | Val  Acc: 0.1538
 Site-MNIST     | Val  Loss: 2.2578 | Val  Acc: 0.1282
 Site-SVHN      | Val  Loss: 2.3164 | Val  Acc: 0.0417
 Site-SVHN      | Val  Loss: 2.3522 | Val  Acc: 0.1224
 Site-USPS      | Val  Loss: 2.2807 | Val  Acc: 0.0588
 Site-USPS      | Val  Loss: 2.2730 | Val  Acc: 0.1159
 Site-SynthDigits| Val  Loss: 2.2460 | Val  Acc: 0.1379
 Site-SynthDigits| Val  Loss: 2.2768 | Val  Acc: 0.1552
 Site-MNIST-M   | Val  Loss: 2.4105 | Val  Acc: 0.1053
 Site-MNIST-M   | Val  Loss: 2.3776 | Val  Acc: 0.1026
Average Valid Accuracy: 0.1122
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1538
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1282
 Best site-SVHN       | Epoch:1 | Val Acc: 0.0417
 Best site-SVHN       | Epoch:1 | Val Acc: 0.1224
 Best site-USPS       | Epoch:1 | Val Acc: 0.0588
 Best site-USPS       | Epoch:1 | Val Acc: 0.1159
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.1379
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.1552
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.1053
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.1026
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/q-ffl...
============ Train epoch 2 ============
denominator: 50563.10546875
 Site-MNIST     | Train Loss: 2.1650 | Train Acc: 0.1186
 Site-MNIST     | Train Loss: 2.1471 | Train Acc: 0.2034
 Site-SVHN      | Train Loss: 2.2552 | Train Acc: 0.0811
 Site-SVHN      | Train Loss: 2.2792 | Train Acc: 0.1486
 Site-USPS      | Train Loss: 2.2103 | Train Acc: 0.2885
 Site-USPS      | Train Loss: 2.1710 | Train Acc: 0.2692
 Site-SynthDigits| Train Loss: 2.2360 | Train Acc: 0.0682
 Site-SynthDigits| Train Loss: 2.2398 | Train Acc: 0.1705
 Site-MNIST-M   | Train Loss: 2.3970 | Train Acc: 0.0345
 Site-MNIST-M   | Train Loss: 2.3431 | Train Acc: 0.0862
 Site-MNIST     | Val  Loss: 2.2034 | Val  Acc: 0.2308
 Site-MNIST     | Val  Loss: 2.1712 | Val  Acc: 0.2179
 Site-SVHN      | Val  Loss: 2.2856 | Val  Acc: 0.1250
 Site-SVHN      | Val  Loss: 2.3425 | Val  Acc: 0.1837
 Site-USPS      | Val  Loss: 2.2170 | Val  Acc: 0.1471
 Site-USPS      | Val  Loss: 2.1878 | Val  Acc: 0.2464
 Site-SynthDigits| Val  Loss: 2.2184 | Val  Acc: 0.2069
 Site-SynthDigits| Val  Loss: 2.2502 | Val  Acc: 0.1724
 Site-MNIST-M   | Val  Loss: 2.4130 | Val  Acc: 0.1053
 Site-MNIST-M   | Val  Loss: 2.3536 | Val  Acc: 0.1026
Average Valid Accuracy: 0.1738
 Best site-MNIST      | Epoch:2 | Val Acc: 0.2308
 Best site-MNIST      | Epoch:2 | Val Acc: 0.2179
 Best site-SVHN       | Epoch:2 | Val Acc: 0.1250
 Best site-SVHN       | Epoch:2 | Val Acc: 0.1837
 Best site-USPS       | Epoch:2 | Val Acc: 0.1471
 Best site-USPS       | Epoch:2 | Val Acc: 0.2464
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.2069
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.1724
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.1053
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.1026
 Saving the local and server checkpoint to ../checkpoint/fed_digit_even_1/q-ffl...
============ Train epoch 3 ============
denominator: 48993.29296875
 Site-MNIST     | Train Loss: 2.0717 | Train Acc: 0.2373
 Site-MNIST     | Train Loss: 2.0622 | Train Acc: 0.2881
 Site-SVHN      | Train Loss: 2.2721 | Train Acc: 0.1351
 Site-SVHN      | Train Loss: 2.2501 | Train Acc: 0.1622
 Site-USPS      | Train Loss: 2.1325 | Train Acc: 0.4038
 Site-USPS      | Train Loss: 2.0775 | Train Acc: 0.3558
 Site-SynthDigits| Train Loss: 2.2082 | Train Acc: 0.1136
 Site-SynthDigits| Train Loss: 2.2087 | Train Acc: 0.1818
 Site-MNIST-M   | Train Loss: 2.3854 | Train Acc: 0.0345
 Site-MNIST-M   | Train Loss: 2.3049 | Train Acc: 0.1379
 Site-MNIST     | Val  Loss: 2.1258 | Val  Acc: 0.3333
 Site-MNIST     | Val  Loss: 2.0898 | Val  Acc: 0.2821
 Site-SVHN      | Val  Loss: 2.2611 | Val  Acc: 0.1667
 Site-SVHN      | Val  Loss: 2.3252 | Val  Acc: 0.1837
 Site-USPS      | Val  Loss: 2.1558 | Val  Acc: 0.3824
 Site-USPS      | Val  Loss: 2.1090 | Val  Acc: 0.3623
 Site-SynthDigits| Val  Loss: 2.1838 | Val  Acc: 0.2414
 Site-SynthDigits| Val  Loss: 2.2117 | Val  Acc: 0.2069
