===2023-04-23 03:19:09===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[35,71,106,142,33,66,100,44,55,33,]
label set of clients: [10, 10, 10, 10, 8, 10, 10, 10, 10, 10, ]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 1.7920 | Train Acc: 0.6571
 Site-MNIST     | Train Loss: 1.7557 | Train Acc: 0.6761
 Site-MNIST     | Train Loss: 1.8034 | Train Acc: 0.6792
 Site-MNIST     | Train Loss: 1.7242 | Train Acc: 0.7183
 Site-SVHN      | Train Loss: 2.2172 | Train Acc: 0.2424
 Site-SVHN      | Train Loss: 2.2326 | Train Acc: 0.2576
 Site-SVHN      | Train Loss: 2.1917 | Train Acc: 0.2600
 Site-USPS      | Train Loss: 1.8288 | Train Acc: 0.5455
 Site-SynthDigits| Train Loss: 2.1783 | Train Acc: 0.2000
 Site-MNIST-M   | Train Loss: 2.4494 | Train Acc: 0.0909
 Site-MNIST     | Val  Loss: 1.6452 | Val  Acc: 0.7391
 Site-MNIST     | Val  Loss: 1.7516 | Val  Acc: 0.6596
 Site-MNIST     | Val  Loss: 1.8731 | Val  Acc: 0.6479
 Site-MNIST     | Val  Loss: 1.7840 | Val  Acc: 0.6809
 Site-SVHN      | Val  Loss: 2.1277 | Val  Acc: 0.4091
 Site-SVHN      | Val  Loss: 2.1469 | Val  Acc: 0.3636
 Site-SVHN      | Val  Loss: 2.2295 | Val  Acc: 0.1970
 Site-USPS      | Val  Loss: 1.8837 | Val  Acc: 0.5862
 Site-SynthDigits| Val  Loss: 2.2655 | Val  Acc: 0.1622
 Site-MNIST-M   | Val  Loss: 2.2132 | Val  Acc: 0.3182
Average Valid Accuracy: 0.4764
 Best site-MNIST      | Epoch:0 | Val Acc: 0.7391
 Best site-MNIST      | Epoch:0 | Val Acc: 0.6596
 Best site-MNIST      | Epoch:0 | Val Acc: 0.6479
 Best site-MNIST      | Epoch:0 | Val Acc: 0.6809
 Best site-SVHN       | Epoch:0 | Val Acc: 0.4091
 Best site-SVHN       | Epoch:0 | Val Acc: 0.3636
 Best site-SVHN       | Epoch:0 | Val Acc: 0.1970
 Best site-USPS       | Epoch:0 | Val Acc: 0.5862
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.1622
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.3182
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-1_1/harmo-fl...
============ Train epoch 1 ============
 Site-MNIST     | Train Loss: 1.4412 | Train Acc: 0.7714
 Site-MNIST     | Train Loss: 1.2459 | Train Acc: 0.8028
 Site-MNIST     | Train Loss: 1.3718 | Train Acc: 0.7075
 Site-MNIST     | Train Loss: 1.2565 | Train Acc: 0.7958
 Site-SVHN      | Train Loss: 2.1287 | Train Acc: 0.1818
 Site-SVHN      | Train Loss: 2.1386 | Train Acc: 0.3636
 Site-SVHN      | Train Loss: 2.0622 | Train Acc: 0.3400
 Site-USPS      | Train Loss: 1.4631 | Train Acc: 0.6591
 Site-SynthDigits| Train Loss: 2.0076 | Train Acc: 0.2364
 Site-MNIST-M   | Train Loss: 2.2219 | Train Acc: 0.1515
 Site-MNIST     | Val  Loss: 1.1690 | Val  Acc: 0.9130
 Site-MNIST     | Val  Loss: 1.2992 | Val  Acc: 0.7872
 Site-MNIST     | Val  Loss: 1.4313 | Val  Acc: 0.7042
 Site-MNIST     | Val  Loss: 1.3405 | Val  Acc: 0.7128
 Site-SVHN      | Val  Loss: 1.9990 | Val  Acc: 0.4545
 Site-SVHN      | Val  Loss: 2.0250 | Val  Acc: 0.4773
 Site-SVHN      | Val  Loss: 2.1398 | Val  Acc: 0.3333
 Site-USPS      | Val  Loss: 1.5840 | Val  Acc: 0.5517
 Site-SynthDigits| Val  Loss: 2.1760 | Val  Acc: 0.2162
 Site-MNIST-M   | Val  Loss: 2.1781 | Val  Acc: 0.4091
Average Valid Accuracy: 0.5559
 Best site-MNIST      | Epoch:1 | Val Acc: 0.9130
 Best site-MNIST      | Epoch:1 | Val Acc: 0.7872
 Best site-MNIST      | Epoch:1 | Val Acc: 0.7042
 Best site-MNIST      | Epoch:1 | Val Acc: 0.7128
 Best site-SVHN       | Epoch:1 | Val Acc: 0.4545
 Best site-SVHN       | Epoch:1 | Val Acc: 0.4773
 Best site-SVHN       | Epoch:1 | Val Acc: 0.3333
 Best site-USPS       | Epoch:1 | Val Acc: 0.5517
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.2162
