===2023-04-18 17:29:56===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    tune: False
    lambda for constrastive: 0.5
data_number=[35,71,106,142,33,66,100,44,55,33,]
label set of clients: [10, 10, 10, 10, 8, 10, 10, 10, 10, 10, ]
domain number = 5
=================================
 ==== model type: CoCoOP ====
=================================
============ Train epoch 0 ============
denominator: 57596.796875
 Site-MNIST     | Train Loss: 2.2498 | Train Acc: 0.0857
 Site-MNIST     | Train Loss: 2.2985 | Train Acc: 0.0563
 Site-MNIST     | Train Loss: 2.3124 | Train Acc: 0.0849
 Site-MNIST     | Train Loss: 2.3080 | Train Acc: 0.0704
 Site-SVHN      | Train Loss: 2.3526 | Train Acc: 0.0606
 Site-SVHN      | Train Loss: 2.3316 | Train Acc: 0.0758
 Site-SVHN      | Train Loss: 2.2924 | Train Acc: 0.1100
 Site-USPS      | Train Loss: 2.4267 | Train Acc: 0.0000
 Site-SynthDigits| Train Loss: 2.3257 | Train Acc: 0.0727
 Site-MNIST-M   | Train Loss: 2.2986 | Train Acc: 0.0000
 Site-MNIST     | Val  Loss: 2.2878 | Val  Acc: 0.0870
 Site-MNIST     | Val  Loss: 2.3010 | Val  Acc: 0.0851
 Site-MNIST     | Val  Loss: 2.2968 | Val  Acc: 0.0986
 Site-MNIST     | Val  Loss: 2.3245 | Val  Acc: 0.0638
 Site-SVHN      | Val  Loss: 2.2333 | Val  Acc: 0.0455
 Site-SVHN      | Val  Loss: 2.2650 | Val  Acc: 0.0682
 Site-SVHN      | Val  Loss: 2.3084 | Val  Acc: 0.0455
 Site-USPS      | Val  Loss: 2.3936 | Val  Acc: 0.0345
 Site-SynthDigits| Val  Loss: 2.3842 | Val  Acc: 0.0541
 Site-MNIST-M   | Val  Loss: 2.3740 | Val  Acc: 0.1364
Average Valid Accuracy: 0.0718
 Best site-MNIST      | Epoch:0 | Val Acc: 0.0870
 Best site-MNIST      | Epoch:0 | Val Acc: 0.0851
 Best site-MNIST      | Epoch:0 | Val Acc: 0.0986
 Best site-MNIST      | Epoch:0 | Val Acc: 0.0638
 Best site-SVHN       | Epoch:0 | Val Acc: 0.0455
 Best site-SVHN       | Epoch:0 | Val Acc: 0.0682
 Best site-SVHN       | Epoch:0 | Val Acc: 0.0455
 Best site-USPS       | Epoch:0 | Val Acc: 0.0345
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.0541
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.1364
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-1_1/q-ffl...
============ Train epoch 1 ============
denominator: 52234.046875
 Site-MNIST     | Train Loss: 2.2295 | Train Acc: 0.2000
 Site-MNIST     | Train Loss: 2.1772 | Train Acc: 0.0986
 Site-MNIST     | Train Loss: 2.1949 | Train Acc: 0.2264
 Site-MNIST     | Train Loss: 2.1811 | Train Acc: 0.2042
 Site-SVHN      | Train Loss: 2.4187 | Train Acc: 0.0909
 Site-SVHN      | Train Loss: 2.3176 | Train Acc: 0.1818
 Site-SVHN      | Train Loss: 2.2504 | Train Acc: 0.1700
 Site-USPS      | Train Loss: 2.2332 | Train Acc: 0.2273
 Site-SynthDigits| Train Loss: 2.3186 | Train Acc: 0.1091
 Site-MNIST-M   | Train Loss: 2.3672 | Train Acc: 0.0303
 Site-MNIST     | Val  Loss: 2.1389 | Val  Acc: 0.1739
 Site-MNIST     | Val  Loss: 2.1790 | Val  Acc: 0.1702
 Site-MNIST     | Val  Loss: 2.1929 | Val  Acc: 0.1972
 Site-MNIST     | Val  Loss: 2.1962 | Val  Acc: 0.1915
 Site-SVHN      | Val  Loss: 2.1496 | Val  Acc: 0.3182
 Site-SVHN      | Val  Loss: 2.2006 | Val  Acc: 0.2045
 Site-SVHN      | Val  Loss: 2.2984 | Val  Acc: 0.1212
 Site-USPS      | Val  Loss: 2.1845 | Val  Acc: 0.3448
 Site-SynthDigits| Val  Loss: 2.3452 | Val  Acc: 0.0541
 Site-MNIST-M   | Val  Loss: 2.3410 | Val  Acc: 0.1364
Average Valid Accuracy: 0.1912
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1739
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1702
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1972
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1915
 Best site-SVHN       | Epoch:1 | Val Acc: 0.3182
 Best site-SVHN       | Epoch:1 | Val Acc: 0.2045
 Best site-SVHN       | Epoch:1 | Val Acc: 0.1212
 Best site-USPS       | Epoch:1 | Val Acc: 0.3448
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.0541
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.1364
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-1_1/q-ffl...
============ Train epoch 2 ============
denominator: 50237.125
 Site-MNIST     | Train Loss: 2.1120 | Train Acc: 0.3143
 Site-MNIST     | Train Loss: 2.0611 | Train Acc: 0.3239
 Site-MNIST     | Train Loss: 2.0856 | Train Acc: 0.3491
 Site-MNIST     | Train Loss: 2.0751 | Train Acc: 0.2746
 Site-SVHN      | Train Loss: 2.1416 | Train Acc: 0.0909
 Site-SVHN      | Train Loss: 2.2411 | Train Acc: 0.2121
 Site-SVHN      | Train Loss: 2.2163 | Train Acc: 0.2300
