===2023-04-20 21:27:09===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[23,47,71,94,118,50,44,74,148,33,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 2.2742 | Train Acc: 0.2174
 Site-MNIST     | Train Loss: 2.2829 | Train Acc: 0.1277
 Site-MNIST     | Train Loss: 2.2828 | Train Acc: 0.1268
 Site-MNIST     | Train Loss: 2.2776 | Train Acc: 0.1170
 Site-MNIST     | Train Loss: 2.2841 | Train Acc: 0.0847
 Site-SVHN      | Train Loss: 2.2585 | Train Acc: 0.1600
 Site-USPS      | Train Loss: 2.2836 | Train Acc: 0.0909
 Site-SynthDigits| Train Loss: 2.2871 | Train Acc: 0.0946
 Site-SynthDigits| Train Loss: 2.3081 | Train Acc: 0.1014
 Site-MNIST-M   | Train Loss: 2.2818 | Train Acc: 0.0303
 Site-MNIST     | Val  Loss: 2.2947 | Val  Acc: 0.0667
 Site-MNIST     | Val  Loss: 2.2929 | Val  Acc: 0.0968
 Site-MNIST     | Val  Loss: 2.2787 | Val  Acc: 0.1277
 Site-MNIST     | Val  Loss: 2.2780 | Val  Acc: 0.1111
 Site-MNIST     | Val  Loss: 2.2775 | Val  Acc: 0.1139
 Site-SVHN      | Val  Loss: 2.3146 | Val  Acc: 0.0909
 Site-USPS      | Val  Loss: 2.2914 | Val  Acc: 0.1034
 Site-SynthDigits| Val  Loss: 2.3503 | Val  Acc: 0.0204
 Site-SynthDigits| Val  Loss: 2.3044 | Val  Acc: 0.0918
 Site-MNIST-M   | Val  Loss: 2.3179 | Val  Acc: 0.1364
Average Valid Accuracy: 0.0959
 Best site-MNIST      | Epoch:0 | Val Acc: 0.0667
 Best site-MNIST      | Epoch:0 | Val Acc: 0.0968
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1277
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1111
 Best site-MNIST      | Epoch:0 | Val Acc: 0.1139
 Best site-SVHN       | Epoch:0 | Val Acc: 0.0909
 Best site-USPS       | Epoch:0 | Val Acc: 0.1034
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.0204
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.0918
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.1364
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-2_1/drfl...
============ Train epoch 1 ============
 Site-MNIST     | Train Loss: 2.2769 | Train Acc: 0.2174
 Site-MNIST     | Train Loss: 2.2669 | Train Acc: 0.1915
 Site-MNIST     | Train Loss: 2.2618 | Train Acc: 0.1408
 Site-MNIST     | Train Loss: 2.2582 | Train Acc: 0.1596
 Site-MNIST     | Train Loss: 2.2497 | Train Acc: 0.1356
 Site-SVHN      | Train Loss: 2.2614 | Train Acc: 0.1600
 Site-USPS      | Train Loss: 2.2686 | Train Acc: 0.1136
 Site-SynthDigits| Train Loss: 2.2834 | Train Acc: 0.0946
 Site-SynthDigits| Train Loss: 2.3008 | Train Acc: 0.1149
 Site-MNIST-M   | Train Loss: 2.2777 | Train Acc: 0.0303
 Site-MNIST     | Val  Loss: 2.2640 | Val  Acc: 0.1333
 Site-MNIST     | Val  Loss: 2.2698 | Val  Acc: 0.1290
 Site-MNIST     | Val  Loss: 2.2648 | Val  Acc: 0.1702
 Site-MNIST     | Val  Loss: 2.2595 | Val  Acc: 0.1587
 Site-MNIST     | Val  Loss: 2.2546 | Val  Acc: 0.1519
 Site-SVHN      | Val  Loss: 2.3078 | Val  Acc: 0.0909
 Site-USPS      | Val  Loss: 2.2725 | Val  Acc: 0.1379
 Site-SynthDigits| Val  Loss: 2.3364 | Val  Acc: 0.0408
 Site-SynthDigits| Val  Loss: 2.2946 | Val  Acc: 0.1224
 Site-MNIST-M   | Val  Loss: 2.3134 | Val  Acc: 0.1364
Average Valid Accuracy: 0.1272
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1333
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1290
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1702
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1587
 Best site-MNIST      | Epoch:1 | Val Acc: 0.1519
 Best site-SVHN       | Epoch:1 | Val Acc: 0.0909
 Best site-USPS       | Epoch:1 | Val Acc: 0.1379
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.0408
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.1224
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.1364
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-2_1/drfl...
============ Train epoch 2 ============
 Site-MNIST     | Train Loss: 2.2573 | Train Acc: 0.2609
 Site-MNIST     | Train Loss: 2.2481 | Train Acc: 0.1915
 Site-MNIST     | Train Loss: 2.2301 | Train Acc: 0.2394
 Site-MNIST     | Train Loss: 2.2393 | Train Acc: 0.2447
 Site-MNIST     | Train Loss: 2.2258 | Train Acc: 0.2458
 Site-SVHN      | Train Loss: 2.2802 | Train Acc: 0.1600
 Site-USPS      | Train Loss: 2.2496 | Train Acc: 0.2500
 Site-SynthDigits| Train Loss: 2.2792 | Train Acc: 0.0946
 Site-SynthDigits| Train Loss: 2.2859 | Train Acc: 0.1351
 Site-MNIST-M   | Train Loss: 2.3599 | Train Acc: 0.0303
 Site-MNIST     | Val  Loss: 2.2376 | Val  Acc: 0.2667
 Site-MNIST     | Val  Loss: 2.2497 | Val  Acc: 0.2581
 Site-MNIST     | Val  Loss: 2.2504 | Val  Acc: 0.2340
 Site-MNIST     | Val  Loss: 2.2383 | Val  Acc: 0.2540
 Site-MNIST     | Val  Loss: 2.2311 | Val  Acc: 0.2405
 Site-SVHN      | Val  Loss: 2.3031 | Val  Acc: 0.0909
 Site-USPS      | Val  Loss: 2.2525 | Val  Acc: 0.1379
 Site-SynthDigits| Val  Loss: 2.3314 | Val  Acc: 0.0612
 Site-SynthDigits| Val  Loss: 2.2873 | Val  Acc: 0.1429
 Site-MNIST-M   | Val  Loss: 2.3090 | Val  Acc: 0.1364
Average Valid Accuracy: 0.1823
 Best site-MNIST      | Epoch:2 | Val Acc: 0.2667
 Best site-MNIST      | Epoch:2 | Val Acc: 0.2581
 Best site-MNIST      | Epoch:2 | Val Acc: 0.2340
 Best site-MNIST      | Epoch:2 | Val Acc: 0.2540
 Best site-MNIST      | Epoch:2 | Val Acc: 0.2405
 Best site-SVHN       | Epoch:2 | Val Acc: 0.0909
 Best site-USPS       | Epoch:2 | Val Acc: 0.1379
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.0612
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.1429
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.1364
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-2_1/drfl...
============ Train epoch 3 ============
 Site-MNIST     | Train Loss: 2.2420 | Train Acc: 0.2174
 Site-MNIST     | Train Loss: 2.2317 | Train Acc: 0.2979
 Site-MNIST     | Train Loss: 2.2147 | Train Acc: 0.3944
 Site-MNIST     | Train Loss: 2.2175 | Train Acc: 0.3191
 Site-MNIST     | Train Loss: 2.2004 | Train Acc: 0.3983
 Site-SVHN      | Train Loss: 2.2556 | Train Acc: 0.1600
 Site-USPS      | Train Loss: 2.2250 | Train Acc: 0.3182
 Site-SynthDigits| Train Loss: 2.2739 | Train Acc: 0.1081
 Site-SynthDigits| Train Loss: 2.2784 | Train Acc: 0.1622
 Site-MNIST-M   | Train Loss: 2.3636 | Train Acc: 0.0303
 Site-MNIST     | Val  Loss: 2.2098 | Val  Acc: 0.4667
 Site-MNIST     | Val  Loss: 2.2284 | Val  Acc: 0.3548
 Site-MNIST     | Val  Loss: 2.2359 | Val  Acc: 0.2766
 Site-MNIST     | Val  Loss: 2.2152 | Val  Acc: 0.3175
 Site-MNIST     | Val  Loss: 2.2058 | Val  Acc: 0.4051
 Site-SVHN      | Val  Loss: 2.2986 | Val  Acc: 0.1212
 Site-USPS      | Val  Loss: 2.2270 | Val  Acc: 0.2414
 Site-SynthDigits| Val  Loss: 2.3260 | Val  Acc: 0.1020
 Site-SynthDigits| Val  Loss: 2.2795 | Val  Acc: 0.1633
 Site-MNIST-M   | Val  Loss: 2.3064 | Val  Acc: 0.1364
Average Valid Accuracy: 0.2585
 Best site-MNIST      | Epoch:3 | Val Acc: 0.4667
 Best site-MNIST      | Epoch:3 | Val Acc: 0.3548
 Best site-MNIST      | Epoch:3 | Val Acc: 0.2766
 Best site-MNIST      | Epoch:3 | Val Acc: 0.3175
 Best site-MNIST      | Epoch:3 | Val Acc: 0.4051
 Best site-SVHN       | Epoch:3 | Val Acc: 0.1212
 Best site-USPS       | Epoch:3 | Val Acc: 0.2414
 Best site-SynthDigits | Epoch:3 | Val Acc: 0.1020
 Best site-SynthDigits | Epoch:3 | Val Acc: 0.1633
 Best site-MNIST-M    | Epoch:3 | Val Acc: 0.1364
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-2_1/drfl...
============ Train epoch 4 ============
 Site-MNIST     | Train Loss: 2.2386 | Train Acc: 0.1739
 Site-MNIST     | Train Loss: 2.2142 | Train Acc: 0.2766
 Site-MNIST     | Train Loss: 2.1893 | Train Acc: 0.4366
 Site-MNIST     | Train Loss: 2.1978 | Train Acc: 0.3617
 Site-MNIST     | Train Loss: 2.1729 | Train Acc: 0.4576
 Site-SVHN      | Train Loss: 2.2789 | Train Acc: 0.1600
 Site-USPS      | Train Loss: 2.2107 | Train Acc: 0.4091
 Site-SynthDigits| Train Loss: 2.2675 | Train Acc: 0.1081
 Site-SynthDigits| Train Loss: 2.2764 | Train Acc: 0.1757
 Site-MNIST-M   | Train Loss: 2.3253 | Train Acc: 0.0303
 Site-MNIST     | Val  Loss: 2.1827 | Val  Acc: 0.4667
 Site-MNIST     | Val  Loss: 2.2067 | Val  Acc: 0.3226
 Site-MNIST     | Val  Loss: 2.2217 | Val  Acc: 0.2979
 Site-MNIST     | Val  Loss: 2.1956 | Val  Acc: 0.3968
 Site-MNIST     | Val  Loss: 2.1824 | Val  Acc: 0.4557
 Site-SVHN      | Val  Loss: 2.2963 | Val  Acc: 0.0909
 Site-USPS      | Val  Loss: 2.2090 | Val  Acc: 0.4483
 Site-SynthDigits| Val  Loss: 2.3199 | Val  Acc: 0.1020
 Site-SynthDigits| Val  Loss: 2.2713 | Val  Acc: 0.1735
