===2023-05-01 18:47:27===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[23,47,71,94,118,33,37,74,111,59,118,44,88,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 2.1215 | Train Acc: 0.3043
 Site-MNIST     | Train Loss: 2.0814 | Train Acc: 0.2979
 Site-MNIST     | Train Loss: 1.9774 | Train Acc: 0.4085
 Site-MNIST     | Train Loss: 2.0371 | Train Acc: 0.3723
 Site-MNIST     | Train Loss: 1.9118 | Train Acc: 0.4576
 Site-SVHN      | Train Loss: 2.5090 | Train Acc: 0.0000
 Site-USPS      | Train Loss: 2.0035 | Train Acc: 0.3243
 Site-USPS      | Train Loss: 2.0235 | Train Acc: 0.2838
 Site-USPS      | Train Loss: 2.0184 | Train Acc: 0.3604
 Site-SynthDigits| Train Loss: 2.2770 | Train Acc: 0.1695
 Site-SynthDigits| Train Loss: 2.2407 | Train Acc: 0.1271
 Site-MNIST-M   | Train Loss: 2.3131 | Train Acc: 0.1818
 Site-MNIST-M   | Train Loss: 2.2857 | Train Acc: 0.1250
 Site-MNIST     | Val  Loss: 1.9763 | Val  Acc: 0.2667
 Site-MNIST     | Val  Loss: 2.0056 | Val  Acc: 0.3226
 Site-MNIST     | Val  Loss: 2.0861 | Val  Acc: 0.3404
 Site-MNIST     | Val  Loss: 2.0673 | Val  Acc: 0.3333
 Site-MNIST     | Val  Loss: 1.9712 | Val  Acc: 0.4177
 Site-SVHN      | Val  Loss: 2.2407 | Val  Acc: 0.0909
 Site-USPS      | Val  Loss: 2.0688 | Val  Acc: 0.1667
 Site-USPS      | Val  Loss: 1.9917 | Val  Acc: 0.2857
 Site-USPS      | Val  Loss: 2.0331 | Val  Acc: 0.3108
 Site-SynthDigits| Val  Loss: 2.1903 | Val  Acc: 0.1282
 Site-SynthDigits| Val  Loss: 2.2298 | Val  Acc: 0.1282
 Site-MNIST-M   | Val  Loss: 2.2095 | Val  Acc: 0.1724
 Site-MNIST-M   | Val  Loss: 2.2774 | Val  Acc: 0.1207
Average Valid Accuracy: 0.2373
 Best site-MNIST      | Epoch:0 | Val Acc: 0.2667
 Best site-MNIST      | Epoch:0 | Val Acc: 0.3226
 Best site-MNIST      | Epoch:0 | Val Acc: 0.3404
 Best site-MNIST      | Epoch:0 | Val Acc: 0.3333
 Best site-MNIST      | Epoch:0 | Val Acc: 0.4177
 Best site-SVHN       | Epoch:0 | Val Acc: 0.0909
 Best site-USPS       | Epoch:0 | Val Acc: 0.1667
 Best site-USPS       | Epoch:0 | Val Acc: 0.2857
 Best site-USPS       | Epoch:0 | Val Acc: 0.3108
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.1282
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.1282
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.1724
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.1207
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-3_1/CoCoOP...
============ Train epoch 1 ============
 Site-MNIST     | Train Loss: 1.9168 | Train Acc: 0.3913
 Site-MNIST     | Train Loss: 1.7974 | Train Acc: 0.5532
 Site-MNIST     | Train Loss: 1.7156 | Train Acc: 0.5775
 Site-MNIST     | Train Loss: 1.7946 | Train Acc: 0.5213
 Site-MNIST     | Train Loss: 1.6739 | Train Acc: 0.5593
 Site-SVHN      | Train Loss: 2.4038 | Train Acc: 0.1212
 Site-USPS      | Train Loss: 1.7052 | Train Acc: 0.4865
 Site-USPS      | Train Loss: 1.7593 | Train Acc: 0.5541
 Site-USPS      | Train Loss: 1.8040 | Train Acc: 0.5045
 Site-SynthDigits| Train Loss: 2.1183 | Train Acc: 0.2712
 Site-SynthDigits| Train Loss: 2.1025 | Train Acc: 0.2627
 Site-MNIST-M   | Train Loss: 2.2742 | Train Acc: 0.2045
 Site-MNIST-M   | Train Loss: 2.1960 | Train Acc: 0.2159
 Site-MNIST     | Val  Loss: 1.7096 | Val  Acc: 0.6667
 Site-MNIST     | Val  Loss: 1.7229 | Val  Acc: 0.6129
 Site-MNIST     | Val  Loss: 1.8227 | Val  Acc: 0.5532
 Site-MNIST     | Val  Loss: 1.8311 | Val  Acc: 0.4762
 Site-MNIST     | Val  Loss: 1.7066 | Val  Acc: 0.5823
 Site-SVHN      | Val  Loss: 2.2213 | Val  Acc: 0.1364
 Site-USPS      | Val  Loss: 1.8171 | Val  Acc: 0.4167
 Site-USPS      | Val  Loss: 1.7693 | Val  Acc: 0.5306
 Site-USPS      | Val  Loss: 1.7682 | Val  Acc: 0.5270
 Site-SynthDigits| Val  Loss: 2.0795 | Val  Acc: 0.2564
 Site-SynthDigits| Val  Loss: 2.0931 | Val  Acc: 0.2564
 Site-MNIST-M   | Val  Loss: 2.1228 | Val  Acc: 0.2759
 Site-MNIST-M   | Val  Loss: 2.1853 | Val  Acc: 0.2069
Average Valid Accuracy: 0.4229
 Best site-MNIST      | Epoch:1 | Val Acc: 0.6667
 Best site-MNIST      | Epoch:1 | Val Acc: 0.6129
 Best site-MNIST      | Epoch:1 | Val Acc: 0.5532
 Best site-MNIST      | Epoch:1 | Val Acc: 0.4762
 Best site-MNIST      | Epoch:1 | Val Acc: 0.5823
 Best site-SVHN       | Epoch:1 | Val Acc: 0.1364
 Best site-USPS       | Epoch:1 | Val Acc: 0.4167
 Best site-USPS       | Epoch:1 | Val Acc: 0.5306
 Best site-USPS       | Epoch:1 | Val Acc: 0.5270
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.2564
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.2564
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.2759
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.2069
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-3_1/CoCoOP...
============ Train epoch 2 ============
 Site-MNIST     | Train Loss: 1.6675 | Train Acc: 0.6087
 Site-MNIST     | Train Loss: 1.5542 | Train Acc: 0.6383
 Site-MNIST     | Train Loss: 1.4903 | Train Acc: 0.6901
 Site-MNIST     | Train Loss: 1.5675 | Train Acc: 0.6489
 Site-MNIST     | Train Loss: 1.4058 | Train Acc: 0.7288
 Site-SVHN      | Train Loss: 2.4311 | Train Acc: 0.1212
 Site-USPS      | Train Loss: 1.5814 | Train Acc: 0.5946
 Site-USPS      | Train Loss: 1.5058 | Train Acc: 0.6622
 Site-USPS      | Train Loss: 1.5876 | Train Acc: 0.6486
 Site-SynthDigits| Train Loss: 2.0354 | Train Acc: 0.3559
 Site-SynthDigits| Train Loss: 2.0095 | Train Acc: 0.2966
 Site-MNIST-M   | Train Loss: 2.2091 | Train Acc: 0.2955
 Site-MNIST-M   | Train Loss: 2.1079 | Train Acc: 0.2727
 Site-MNIST     | Val  Loss: 1.4351 | Val  Acc: 0.7333
 Site-MNIST     | Val  Loss: 1.4768 | Val  Acc: 0.8065
 Site-MNIST     | Val  Loss: 1.6027 | Val  Acc: 0.7447
 Site-MNIST     | Val  Loss: 1.6066 | Val  Acc: 0.6032
 Site-MNIST     | Val  Loss: 1.4849 | Val  Acc: 0.6709
 Site-SVHN      | Val  Loss: 2.1824 | Val  Acc: 0.0909
 Site-USPS      | Val  Loss: 1.5822 | Val  Acc: 0.6250
 Site-USPS      | Val  Loss: 1.5352 | Val  Acc: 0.6531
 Site-USPS      | Val  Loss: 1.5427 | Val  Acc: 0.6622
 Site-SynthDigits| Val  Loss: 1.9692 | Val  Acc: 0.3590
 Site-SynthDigits| Val  Loss: 1.9767 | Val  Acc: 0.3590
 Site-MNIST-M   | Val  Loss: 2.0660 | Val  Acc: 0.3103
 Site-MNIST-M   | Val  Loss: 2.1170 | Val  Acc: 0.2759
Average Valid Accuracy: 0.5303
 Best site-MNIST      | Epoch:2 | Val Acc: 0.7333
 Best site-MNIST      | Epoch:2 | Val Acc: 0.8065
 Best site-MNIST      | Epoch:2 | Val Acc: 0.7447
 Best site-MNIST      | Epoch:2 | Val Acc: 0.6032
 Best site-MNIST      | Epoch:2 | Val Acc: 0.6709
 Best site-SVHN       | Epoch:2 | Val Acc: 0.0909
 Best site-USPS       | Epoch:2 | Val Acc: 0.6250
 Best site-USPS       | Epoch:2 | Val Acc: 0.6531
 Best site-USPS       | Epoch:2 | Val Acc: 0.6622
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.3590
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.3590
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.3103
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.2759
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-3_1/CoCoOP...
============ Train epoch 3 ============
 Site-MNIST     | Train Loss: 1.5327 | Train Acc: 0.6957
 Site-MNIST     | Train Loss: 1.3357 | Train Acc: 0.7234
 Site-MNIST     | Train Loss: 1.3012 | Train Acc: 0.7465
 Site-MNIST     | Train Loss: 1.3620 | Train Acc: 0.7660
 Site-MNIST     | Train Loss: 1.1827 | Train Acc: 0.8390
 Site-SVHN      | Train Loss: 2.2689 | Train Acc: 0.1212
 Site-USPS      | Train Loss: 1.2739 | Train Acc: 0.7568
 Site-USPS      | Train Loss: 1.2873 | Train Acc: 0.7432
 Site-USPS      | Train Loss: 1.3583 | Train Acc: 0.7027
 Site-SynthDigits| Train Loss: 1.9560 | Train Acc: 0.3729
 Site-SynthDigits| Train Loss: 1.8839 | Train Acc: 0.3390
