===2023-04-26 20:42:08===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[23,47,71,94,118,50,29,59,89,74,148,44,88,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 2.0526 | Train Acc: 0.3478
 Site-MNIST     | Train Loss: 1.8282 | Train Acc: 0.4894
 Site-MNIST     | Train Loss: 1.8649 | Train Acc: 0.5775
 Site-MNIST     | Train Loss: 1.8898 | Train Acc: 0.4894
 Site-MNIST     | Train Loss: 1.7498 | Train Acc: 0.6271
 Site-SVHN      | Train Loss: 2.2365 | Train Acc: 0.2000
 Site-USPS      | Train Loss: 1.7562 | Train Acc: 0.6897
 Site-USPS      | Train Loss: 1.8044 | Train Acc: 0.6441
 Site-USPS      | Train Loss: 1.7954 | Train Acc: 0.5730
 Site-SynthDigits| Train Loss: 2.1451 | Train Acc: 0.3514
 Site-SynthDigits| Train Loss: 2.1327 | Train Acc: 0.4054
 Site-MNIST-M   | Train Loss: 2.2328 | Train Acc: 0.1818
 Site-MNIST-M   | Train Loss: 2.1594 | Train Acc: 0.3068
 Site-MNIST     | Val  Loss: 1.7369 | Val  Acc: 0.6667
 Site-MNIST     | Val  Loss: 1.8193 | Val  Acc: 0.6774
 Site-MNIST     | Val  Loss: 1.9277 | Val  Acc: 0.5106
 Site-MNIST     | Val  Loss: 1.9019 | Val  Acc: 0.4762
 Site-MNIST     | Val  Loss: 1.8133 | Val  Acc: 0.5823
 Site-SVHN      | Val  Loss: 2.1350 | Val  Acc: 0.3636
 Site-USPS      | Val  Loss: 1.7487 | Val  Acc: 0.5789
 Site-USPS      | Val  Loss: 1.7211 | Val  Acc: 0.5641
 Site-USPS      | Val  Loss: 1.8170 | Val  Acc: 0.5763
 Site-SynthDigits| Val  Loss: 2.1255 | Val  Acc: 0.3878
 Site-SynthDigits| Val  Loss: 2.1222 | Val  Acc: 0.3980
 Site-MNIST-M   | Val  Loss: 2.1314 | Val  Acc: 0.3448
 Site-MNIST-M   | Val  Loss: 2.1493 | Val  Acc: 0.3276
Average Valid Accuracy: 0.4965
 Best site-MNIST      | Epoch:0 | Val Acc: 0.6667
 Best site-MNIST      | Epoch:0 | Val Acc: 0.6774
 Best site-MNIST      | Epoch:0 | Val Acc: 0.5106
 Best site-MNIST      | Epoch:0 | Val Acc: 0.4762
 Best site-MNIST      | Epoch:0 | Val Acc: 0.5823
 Best site-SVHN       | Epoch:0 | Val Acc: 0.3636
 Best site-USPS       | Epoch:0 | Val Acc: 0.5789
 Best site-USPS       | Epoch:0 | Val Acc: 0.5641
 Best site-USPS       | Epoch:0 | Val Acc: 0.5763
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.3878
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.3980
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.3448
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.3276
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-3_1/harmo-fl...
============ Train epoch 1 ============
 Site-MNIST     | Train Loss: 1.7480 | Train Acc: 0.4348
 Site-MNIST     | Train Loss: 1.4931 | Train Acc: 0.5745
 Site-MNIST     | Train Loss: 1.5067 | Train Acc: 0.6056
 Site-MNIST     | Train Loss: 1.5884 | Train Acc: 0.5851
 Site-MNIST     | Train Loss: 1.4133 | Train Acc: 0.7119
 Site-SVHN      | Train Loss: 2.1984 | Train Acc: 0.2800
 Site-USPS      | Train Loss: 1.4178 | Train Acc: 0.6897
 Site-USPS      | Train Loss: 1.4511 | Train Acc: 0.7458
 Site-USPS      | Train Loss: 1.4363 | Train Acc: 0.6854
 Site-SynthDigits| Train Loss: 1.9727 | Train Acc: 0.3649
 Site-SynthDigits| Train Loss: 1.9162 | Train Acc: 0.4662
 Site-MNIST-M   | Train Loss: 2.1769 | Train Acc: 0.1136
 Site-MNIST-M   | Train Loss: 2.0504 | Train Acc: 0.4432
 Site-MNIST     | Val  Loss: 1.3579 | Val  Acc: 0.8000
 Site-MNIST     | Val  Loss: 1.4546 | Val  Acc: 0.7419
 Site-MNIST     | Val  Loss: 1.6321 | Val  Acc: 0.5745
 Site-MNIST     | Val  Loss: 1.6095 | Val  Acc: 0.5714
 Site-MNIST     | Val  Loss: 1.4693 | Val  Acc: 0.6582
 Site-SVHN      | Val  Loss: 2.0501 | Val  Acc: 0.3030
 Site-USPS      | Val  Loss: 1.4095 | Val  Acc: 0.6842
 Site-USPS      | Val  Loss: 1.3655 | Val  Acc: 0.7179
 Site-USPS      | Val  Loss: 1.4752 | Val  Acc: 0.7119
 Site-SynthDigits| Val  Loss: 2.0310 | Val  Acc: 0.4898
 Site-SynthDigits| Val  Loss: 1.9492 | Val  Acc: 0.4796
 Site-MNIST-M   | Val  Loss: 2.0080 | Val  Acc: 0.5172
 Site-MNIST-M   | Val  Loss: 2.0221 | Val  Acc: 0.5000
Average Valid Accuracy: 0.5961
 Best site-MNIST      | Epoch:1 | Val Acc: 0.8000
 Best site-MNIST      | Epoch:1 | Val Acc: 0.7419
 Best site-MNIST      | Epoch:1 | Val Acc: 0.5745
 Best site-MNIST      | Epoch:1 | Val Acc: 0.5714
 Best site-MNIST      | Epoch:1 | Val Acc: 0.6582
 Best site-SVHN       | Epoch:1 | Val Acc: 0.3030
 Best site-USPS       | Epoch:1 | Val Acc: 0.6842
 Best site-USPS       | Epoch:1 | Val Acc: 0.7179
 Best site-USPS       | Epoch:1 | Val Acc: 0.7119
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.4898
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.4796
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.5172
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.5000
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-3_1/harmo-fl...
============ Train epoch 2 ============
 Site-MNIST     | Train Loss: 1.7418 | Train Acc: 0.5652
 Site-MNIST     | Train Loss: 1.2498 | Train Acc: 0.6809
 Site-MNIST     | Train Loss: 1.2991 | Train Acc: 0.7042
 Site-MNIST     | Train Loss: 1.3902 | Train Acc: 0.6383
 Site-MNIST     | Train Loss: 1.1780 | Train Acc: 0.8051
 Site-SVHN      | Train Loss: 2.1937 | Train Acc: 0.2400
 Site-USPS      | Train Loss: 1.1713 | Train Acc: 0.7931
 Site-USPS      | Train Loss: 1.2304 | Train Acc: 0.7797
 Site-USPS      | Train Loss: 1.2369 | Train Acc: 0.7191
 Site-SynthDigits| Train Loss: 1.8644 | Train Acc: 0.4730
 Site-SynthDigits| Train Loss: 1.8175 | Train Acc: 0.5405
 Site-MNIST-M   | Train Loss: 2.1521 | Train Acc: 0.2045
 Site-MNIST-M   | Train Loss: 1.9619 | Train Acc: 0.4659
 Site-MNIST     | Val  Loss: 1.1408 | Val  Acc: 0.7333
 Site-MNIST     | Val  Loss: 1.2291 | Val  Acc: 0.7742
 Site-MNIST     | Val  Loss: 1.4316 | Val  Acc: 0.6383
 Site-MNIST     | Val  Loss: 1.4321 | Val  Acc: 0.6032
 Site-MNIST     | Val  Loss: 1.2465 | Val  Acc: 0.7468
 Site-SVHN      | Val  Loss: 1.9954 | Val  Acc: 0.2121
 Site-USPS      | Val  Loss: 1.1684 | Val  Acc: 0.6842
 Site-USPS      | Val  Loss: 1.1259 | Val  Acc: 0.7436
 Site-USPS      | Val  Loss: 1.2254 | Val  Acc: 0.7627
 Site-SynthDigits| Val  Loss: 1.9622 | Val  Acc: 0.5714
 Site-SynthDigits| Val  Loss: 1.8401 | Val  Acc: 0.5612
 Site-MNIST-M   | Val  Loss: 1.9158 | Val  Acc: 0.5172
 Site-MNIST-M   | Val  Loss: 1.9243 | Val  Acc: 0.5000
Average Valid Accuracy: 0.6191
 Best site-MNIST      | Epoch:2 | Val Acc: 0.7333
 Best site-MNIST      | Epoch:2 | Val Acc: 0.7742
 Best site-MNIST      | Epoch:2 | Val Acc: 0.6383
 Best site-MNIST      | Epoch:2 | Val Acc: 0.6032
 Best site-MNIST      | Epoch:2 | Val Acc: 0.7468
 Best site-SVHN       | Epoch:2 | Val Acc: 0.2121
 Best site-USPS       | Epoch:2 | Val Acc: 0.6842
 Best site-USPS       | Epoch:2 | Val Acc: 0.7436
 Best site-USPS       | Epoch:2 | Val Acc: 0.7627
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.5714
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.5612
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.5172
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.5000
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven-3_1/harmo-fl...
============ Train epoch 3 ============
 Site-MNIST     | Train Loss: 1.3952 | Train Acc: 0.4783
 Site-MNIST     | Train Loss: 1.0950 | Train Acc: 0.7660
 Site-MNIST     | Train Loss: 1.1382 | Train Acc: 0.6901
 Site-MNIST     | Train Loss: 1.2032 | Train Acc: 0.7553
 Site-MNIST     | Train Loss: 1.0380 | Train Acc: 0.8136
 Site-SVHN      | Train Loss: 2.0833 | Train Acc: 0.3000
 Site-USPS      | Train Loss: 1.0133 | Train Acc: 0.7931
 Site-USPS      | Train Loss: 1.0570 | Train Acc: 0.7797
 Site-USPS      | Train Loss: 1.0673 | Train Acc: 0.6629
 Site-SynthDigits| Train Loss: 1.7728 | Train Acc: 0.4324
 Site-SynthDigits| Train Loss: 1.7013 | Train Acc: 0.5405
 Site-MNIST-M   | Train Loss: 2.1298 | Train Acc: 0.2273
 Site-MNIST-M   | Train Loss: 1.8747 | Train Acc: 0.5000
 Site-MNIST     | Val  Loss: 0.9394 | Val  Acc: 0.8667
 Site-MNIST     | Val  Loss: 1.0212 | Val  Acc: 0.8387
