===2023-04-27 16:45:02===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: True
    lambda for constrastive: 0.5
data_number=[23,47,71,94,118,44,29,59,89,74,148,29,58,]
domain number = 5
============ Train epoch 0 ============
denominator: 29949.533203125
 Site-MNIST     | Train Loss: 2.2955 | Train Acc: 0.0435
 Site-MNIST     | Train Loss: 2.2834 | Train Acc: 0.1915
 Site-MNIST     | Train Loss: 2.2667 | Train Acc: 0.1408
 Site-MNIST     | Train Loss: 2.3021 | Train Acc: 0.0426
 Site-MNIST     | Train Loss: 2.3039 | Train Acc: 0.0593
 Site-SVHN      | Train Loss: 2.2879 | Train Acc: 0.0227
 Site-USPS      | Train Loss: 2.2878 | Train Acc: 0.1379
 Site-USPS      | Train Loss: 2.2867 | Train Acc: 0.1695
 Site-USPS      | Train Loss: 2.2996 | Train Acc: 0.0899
 Site-SynthDigits| Train Loss: 2.2981 | Train Acc: 0.1486
 Site-SynthDigits| Train Loss: 2.3029 | Train Acc: 0.0743
 Site-MNIST-M   | Train Loss: 2.2994 | Train Acc: 0.1379
 Site-MNIST-M   | Train Loss: 2.2966 | Train Acc: 0.1207
 Site-MNIST     | Val  Loss: 2.3376 | Val  Acc: 0.0000
 Site-MNIST     | Val  Loss: 2.3170 | Val  Acc: 0.0000
 Site-MNIST     | Val  Loss: 2.2965 | Val  Acc: 0.0213
 Site-MNIST     | Val  Loss: 2.3048 | Val  Acc: 0.0476
 Site-MNIST     | Val  Loss: 2.2804 | Val  Acc: 0.1139
 Site-SVHN      | Val  Loss: 2.3268 | Val  Acc: 0.0345
 Site-USPS      | Val  Loss: 2.2750 | Val  Acc: 0.1053
 Site-USPS      | Val  Loss: 2.2966 | Val  Acc: 0.0769
 Site-USPS      | Val  Loss: 2.2993 | Val  Acc: 0.1017
 Site-SynthDigits| Val  Loss: 2.3045 | Val  Acc: 0.0000
 Site-SynthDigits| Val  Loss: 2.2927 | Val  Acc: 0.0510
 Site-MNIST-M   | Val  Loss: 2.2453 | Val  Acc: 0.1053
 Site-MNIST-M   | Val  Loss: 2.2799 | Val  Acc: 0.1282
Average Valid Accuracy: 0.0604
 Best site-MNIST      | Epoch:0 | Val Acc: 0.0000
