===2023-07-27 08:32:27===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[225,338,507,761,1142,417,626,939,528,792,352,528,587,
client_nums=[5,3,2,2,1,]
len_dataset=[3719,2479,1652,1101,734,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.1011 | Train Acc: 0.5289
 Site-MNIST                         | Train Loss: 2.1003 | Train Acc: 0.5059
 Site-MNIST                         | Train Loss: 2.1169 | Train Acc: 0.4793
 Site-MNIST                         | Train Loss: 2.1056 | Train Acc: 0.5020
 Site-MNIST                         | Train Loss: 2.1028 | Train Acc: 0.5158
 Site-USPS                          | Train Loss: 2.0791 | Train Acc: 0.4940
 Site-USPS                          | Train Loss: 2.0767 | Train Acc: 0.4968
 Site-USPS                          | Train Loss: 2.0672 | Train Acc: 0.5453
 Site-SynthDigits                   | Train Loss: 2.2606 | Train Acc: 0.1667
 Site-SynthDigits                   | Train Loss: 2.2432 | Train Acc: 0.2412
 Site-MNIST_M                       | Train Loss: 2.2628 | Train Acc: 0.2017
 Site-MNIST_M                       | Train Loss: 2.2801 | Train Acc: 0.1667
 Site-SVHN                          | Train Loss: 2.2757 | Train Acc: 0.1687
Average Train Accuracy: 0.3856
 Site-MNIST                         | Val  Loss: 2.1223 | Val  Acc: 0.4821
 Site-MNIST                         | Val  Loss: 2.1349 | Val  Acc: 0.4881
 Site-MNIST                         | Val  Loss: 2.0989 | Val  Acc: 0.5476
 Site-MNIST                         | Val  Loss: 2.1062 | Val  Acc: 0.5053
 Site-MNIST                         | Val  Loss: 2.1080 | Val  Acc: 0.4982
 Site-USPS                          | Val  Loss: 2.0945 | Val  Acc: 0.4423
 Site-USPS                          | Val  Loss: 2.0967 | Val  Acc: 0.4038
 Site-USPS                          | Val  Loss: 2.0762 | Val  Acc: 0.4701
 Site-SynthDigits                   | Val  Loss: 2.2811 | Val  Acc: 0.1742
 Site-SynthDigits                   | Val  Loss: 2.2427 | Val  Acc: 0.1515
 Site-MNIST_M                       | Val  Loss: 2.2424 | Val  Acc: 0.1932
 Site-MNIST_M                       | Val  Loss: 2.2287 | Val  Acc: 0.2273
 Site-SVHN                          | Val  Loss: 2.2946 | Val  Acc: 0.1096
Average Valid Accuracy: 0.3610
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4821
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4881
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5476
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5053
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4982
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4423
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4038
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4701
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1742
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1515
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.1932
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.2273
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1096
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_0/fedmix...
============ Train epoch 1 ============
 Site-MNIST                         | Train Loss: 1.9085 | Train Acc: 0.6133
 Site-MNIST                         | Train Loss: 1.9127 | Train Acc: 0.6213
 Site-MNIST                         | Train Loss: 1.9432 | Train Acc: 0.5483
 Site-MNIST                         | Train Loss: 1.9182 | Train Acc: 0.5637
 Site-MNIST                         | Train Loss: 1.9155 | Train Acc: 0.5823
 Site-USPS                          | Train Loss: 1.8746 | Train Acc: 0.5875
 Site-USPS                          | Train Loss: 1.8747 | Train Acc: 0.6214
 Site-USPS                          | Train Loss: 1.8553 | Train Acc: 0.6411
 Site-SynthDigits                   | Train Loss: 2.2011 | Train Acc: 0.2538
 Site-SynthDigits                   | Train Loss: 2.1782 | Train Acc: 0.3270
 Site-MNIST_M                       | Train Loss: 2.2378 | Train Acc: 0.2415
 Site-MNIST_M                       | Train Loss: 2.2553 | Train Acc: 0.2292
 Site-SVHN                          | Train Loss: 2.2541 | Train Acc: 0.2078
Average Train Accuracy: 0.4645
 Site-MNIST                         | Val  Loss: 1.9499 | Val  Acc: 0.5536
 Site-MNIST                         | Val  Loss: 1.9666 | Val  Acc: 0.5714
 Site-MNIST                         | Val  Loss: 1.9093 | Val  Acc: 0.5952
