===2023-07-26 23:20:03===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[225,338,507,761,1142,417,626,939,528,792,352,528,587,
client_nums=[5,3,2,2,1,]
len_dataset=[3719,2479,1652,1101,734,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 1.1229 | Train Acc: 0.7778
 Site-MNIST                         | Train Loss: 1.1751 | Train Acc: 0.7870
 Site-MNIST                         | Train Loss: 1.2163 | Train Acc: 0.7239
 Site-MNIST                         | Train Loss: 1.1638 | Train Acc: 0.7595
 Site-MNIST                         | Train Loss: 1.1498 | Train Acc: 0.7609
 Site-USPS                          | Train Loss: 1.0134 | Train Acc: 0.7794
 Site-USPS                          | Train Loss: 0.9777 | Train Acc: 0.8067
 Site-USPS                          | Train Loss: 0.9556 | Train Acc: 0.8232
 Site-SynthDigits                   | Train Loss: 1.9748 | Train Acc: 0.3106
 Site-SynthDigits                   | Train Loss: 1.8808 | Train Acc: 0.3586
 Site-MNIST_M                       | Train Loss: 2.0623 | Train Acc: 0.3040
 Site-MNIST_M                       | Train Loss: 2.0964 | Train Acc: 0.3030
 Site-SVHN                          | Train Loss: 2.2044 | Train Acc: 0.2010
Average Train Accuracy: 0.5920
 Site-MNIST                         | Val  Loss: 1.1760 | Val  Acc: 0.7321
 Site-MNIST                         | Val  Loss: 1.2240 | Val  Acc: 0.7500
 Site-MNIST                         | Val  Loss: 1.1465 | Val  Acc: 0.7619
 Site-MNIST                         | Val  Loss: 1.1810 | Val  Acc: 0.7526
 Site-MNIST                         | Val  Loss: 1.1686 | Val  Acc: 0.7895
 Site-USPS                          | Val  Loss: 0.9854 | Val  Acc: 0.7981
 Site-USPS                          | Val  Loss: 1.0061 | Val  Acc: 0.7949
 Site-USPS                          | Val  Loss: 0.9818 | Val  Acc: 0.8034
 Site-SynthDigits                   | Val  Loss: 2.1276 | Val  Acc: 0.2727
 Site-SynthDigits                   | Val  Loss: 1.9554 | Val  Acc: 0.3081
 Site-MNIST_M                       | Val  Loss: 2.0166 | Val  Acc: 0.3295
 Site-MNIST_M                       | Val  Loss: 2.0953 | Val  Acc: 0.3182
 Site-SVHN                          | Val  Loss: 2.2070 | Val  Acc: 0.2055
Average Valid Accuracy: 0.5859
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7321
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7500
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7619
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7526
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7895
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7981
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7949
 Best site-USPS                      | Epoch:0 | Val Acc: 0.8034
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2727
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.3081
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.3295
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.3182
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.2055
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_0/harmo-fl...
============ Train epoch 1 ============
 Site-MNIST                         | Train Loss: 0.7497 | Train Acc: 0.8311
 Site-MNIST                         | Train Loss: 0.7249 | Train Acc: 0.8462
 Site-MNIST                         | Train Loss: 0.8175 | Train Acc: 0.7949
 Site-MNIST                         | Train Loss: 0.7447 | Train Acc: 0.8344
 Site-MNIST                         | Train Loss: 0.7381 | Train Acc: 0.8494
 Site-USPS                          | Train Loss: 0.6364 | Train Acc: 0.8441
 Site-USPS                          | Train Loss: 0.6165 | Train Acc: 0.8610
 Site-USPS                          | Train Loss: 0.5894 | Train Acc: 0.8818
 Site-SynthDigits                   | Train Loss: 1.7965 | Train Acc: 0.3561
 Site-SynthDigits                   | Train Loss: 1.6797 | Train Acc: 0.4293
 Site-MNIST_M                       | Train Loss: 1.8690 | Train Acc: 0.3778
 Site-MNIST_M                       | Train Loss: 1.9147 | Train Acc: 0.3636
 Site-SVHN                          | Train Loss: 2.1448 | Train Acc: 0.2010
Average Train Accuracy: 0.6516
 Site-MNIST                         | Val  Loss: 0.7428 | Val  Acc: 0.8393
 Site-MNIST                         | Val  Loss: 0.7637 | Val  Acc: 0.8333
 Site-MNIST                         | Val  Loss: 0.7192 | Val  Acc: 0.8651
 Site-MNIST                         | Val  Loss: 0.7675 | Val  Acc: 0.8316
 Site-MNIST                         | Val  Loss: 0.7492 | Val  Acc: 0.8351
 Site-USPS                          | Val  Loss: 0.5969 | Val  Acc: 0.8654
 Site-USPS                          | Val  Loss: 0.6262 | Val  Acc: 0.8462
 Site-USPS                          | Val  Loss: 0.6248 | Val  Acc: 0.8419
 Site-SynthDigits                   | Val  Loss: 2.0541 | Val  Acc: 0.3106
 Site-SynthDigits                   | Val  Loss: 1.7656 | Val  Acc: 0.3333
 Site-MNIST_M                       | Val  Loss: 1.7879 | Val  Acc: 0.4545
 Site-MNIST_M                       | Val  Loss: 1.8916 | Val  Acc: 0.3864
 Site-SVHN                          | Val  Loss: 2.1567 | Val  Acc: 0.2055
Average Valid Accuracy: 0.6499
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8393
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8333
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8651
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8316
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8351
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8654
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8462
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8419
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3106
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3333
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.4545
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.3864
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.2055
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_0/harmo-fl...
============ Train epoch 2 ============
 Site-MNIST                         | Train Loss: 0.5241 | Train Acc: 0.8533
 Site-MNIST                         | Train Loss: 0.5604 | Train Acc: 0.8580
 Site-MNIST                         | Train Loss: 0.6308 | Train Acc: 0.8047
 Site-MNIST                         | Train Loss: 0.5623 | Train Acc: 0.8528
 Site-MNIST                         | Train Loss: 0.5545 | Train Acc: 0.8757
 Site-USPS                          | Train Loss: 0.5640 | Train Acc: 0.8417
 Site-USPS                          | Train Loss: 0.5138 | Train Acc: 0.8658
 Site-USPS                          | Train Loss: 0.4973 | Train Acc: 0.8722
 Site-SynthDigits                   | Train Loss: 1.5467 | Train Acc: 0.4848
 Site-SynthDigits                   | Train Loss: 1.4822 | Train Acc: 0.5467
 Site-MNIST_M                       | Train Loss: 1.7137 | Train Acc: 0.4375
 Site-MNIST_M                       | Train Loss: 1.7559 | Train Acc: 0.3996
 Site-SVHN                          | Train Loss: 2.0024 | Train Acc: 0.2658
Average Train Accuracy: 0.6891
