===2023-07-26 18:20:28===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[225,338,507,761,1142,417,626,939,528,792,352,528,587,
client_nums=[5,3,2,2,1,]
len_dataset=[3719,2479,1652,1101,734,]
domain number = 5
============ Train epoch 0 ============
denominator: 38786.4375
 Site-MNIST                         | Train Loss: 2.1745 | Train Acc: 0.4844
 Site-MNIST                         | Train Loss: 2.1796 | Train Acc: 0.4645
 Site-MNIST                         | Train Loss: 2.1895 | Train Acc: 0.4122
 Site-MNIST                         | Train Loss: 2.1848 | Train Acc: 0.4415
 Site-MNIST                         | Train Loss: 2.1798 | Train Acc: 0.4475
 Site-USPS                          | Train Loss: 2.1393 | Train Acc: 0.5060
 Site-USPS                          | Train Loss: 2.1496 | Train Acc: 0.4728
 Site-USPS                          | Train Loss: 2.1361 | Train Acc: 0.5069
 Site-SynthDigits                   | Train Loss: 2.2615 | Train Acc: 0.2008
 Site-SynthDigits                   | Train Loss: 2.2550 | Train Acc: 0.2235
 Site-MNIST_M                       | Train Loss: 2.2874 | Train Acc: 0.1449
 Site-MNIST_M                       | Train Loss: 2.2809 | Train Acc: 0.1420
 Site-SVHN                          | Train Loss: 2.2811 | Train Acc: 0.1465
Average Train Accuracy: 0.3534
 Site-MNIST                         | Val  Loss: 2.1888 | Val  Acc: 0.4286
 Site-MNIST                         | Val  Loss: 2.1909 | Val  Acc: 0.4167
 Site-MNIST                         | Val  Loss: 2.1650 | Val  Acc: 0.5238
 Site-MNIST                         | Val  Loss: 2.1834 | Val  Acc: 0.4526
 Site-MNIST                         | Val  Loss: 2.1841 | Val  Acc: 0.4561
 Site-USPS                          | Val  Loss: 2.1618 | Val  Acc: 0.3942
 Site-USPS                          | Val  Loss: 2.1684 | Val  Acc: 0.4295
 Site-USPS                          | Val  Loss: 2.1343 | Val  Acc: 0.5342
 Site-SynthDigits                   | Val  Loss: 2.2688 | Val  Acc: 0.2348
 Site-SynthDigits                   | Val  Loss: 2.2724 | Val  Acc: 0.1919
 Site-MNIST_M                       | Val  Loss: 2.2745 | Val  Acc: 0.1477
 Site-MNIST_M                       | Val  Loss: 2.2982 | Val  Acc: 0.0985
 Site-SVHN                          | Val  Loss: 2.2811 | Val  Acc: 0.1438
Average Valid Accuracy: 0.3425
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4286
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4167
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5238
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4526
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4561
 Best site-USPS                      | Epoch:0 | Val Acc: 0.3942
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4295
 Best site-USPS                      | Epoch:0 | Val Acc: 0.5342
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2348
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1919
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.1477
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.0985
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1438
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_0/q-ffl...
============ Train epoch 1 ============
denominator: 37604.95703125
 Site-MNIST                         | Train Loss: 2.0369 | Train Acc: 0.5511
 Site-MNIST                         | Train Loss: 2.0538 | Train Acc: 0.5533
 Site-MNIST                         | Train Loss: 2.0675 | Train Acc: 0.5010
 Site-MNIST                         | Train Loss: 2.0578 | Train Acc: 0.5125
 Site-MNIST                         | Train Loss: 2.0516 | Train Acc: 0.5228
 Site-USPS                          | Train Loss: 2.0021 | Train Acc: 0.5635
 Site-USPS                          | Train Loss: 2.0144 | Train Acc: 0.5463
 Site-USPS                          | Train Loss: 1.9956 | Train Acc: 0.5793
 Site-SynthDigits                   | Train Loss: 2.2226 | Train Acc: 0.2879
 Site-SynthDigits                   | Train Loss: 2.2099 | Train Acc: 0.2967
 Site-MNIST_M                       | Train Loss: 2.2686 | Train Acc: 0.1875
 Site-MNIST_M                       | Train Loss: 2.2637 | Train Acc: 0.1799
 Site-SVHN                          | Train Loss: 2.2666 | Train Acc: 0.1704
Average Train Accuracy: 0.4194
 Site-MNIST                         | Val  Loss: 2.0664 | Val  Acc: 0.5179
 Site-MNIST                         | Val  Loss: 2.0767 | Val  Acc: 0.5119
 Site-MNIST                         | Val  Loss: 2.0364 | Val  Acc: 0.5873
 Site-MNIST                         | Val  Loss: 2.0616 | Val  Acc: 0.5211
 Site-MNIST                         | Val  Loss: 2.0596 | Val  Acc: 0.5368
 Site-USPS                          | Val  Loss: 2.0318 | Val  Acc: 0.4904
 Site-USPS                          | Val  Loss: 2.0428 | Val  Acc: 0.5192
 Site-USPS                          | Val  Loss: 2.0011 | Val  Acc: 0.5726
 Site-SynthDigits                   | Val  Loss: 2.2389 | Val  Acc: 0.3333
 Site-SynthDigits                   | Val  Loss: 2.2303 | Val  Acc: 0.2778
 Site-MNIST_M                       | Val  Loss: 2.2491 | Val  Acc: 0.1477
 Site-MNIST_M                       | Val  Loss: 2.2702 | Val  Acc: 0.1212
 Site-SVHN                          | Val  Loss: 2.2664 | Val  Acc: 0.1644
Average Valid Accuracy: 0.4078
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5179
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5119
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5873
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5211
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5368
 Best site-USPS                      | Epoch:1 | Val Acc: 0.4904
 Best site-USPS                      | Epoch:1 | Val Acc: 0.5192
 Best site-USPS                      | Epoch:1 | Val Acc: 0.5726
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3333
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.2778
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.1477
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.1212
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.1644
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_0/q-ffl...
============ Train epoch 2 ============
denominator: 36467.421875
 Site-MNIST                         | Train Loss: 1.8992 | Train Acc: 0.6133
 Site-MNIST                         | Train Loss: 1.9189 | Train Acc: 0.5917
 Site-MNIST                         | Train Loss: 1.9495 | Train Acc: 0.5424
 Site-MNIST                         | Train Loss: 1.9303 | Train Acc: 0.5440
 Site-MNIST                         | Train Loss: 1.9239 | Train Acc: 0.5560
 Site-USPS                          | Train Loss: 1.8702 | Train Acc: 0.5947
 Site-USPS                          | Train Loss: 1.8767 | Train Acc: 0.5927
 Site-USPS                          | Train Loss: 1.8533 | Train Acc: 0.6209
 Site-SynthDigits                   | Train Loss: 2.1822 | Train Acc: 0.3125
 Site-SynthDigits                   | Train Loss: 2.1571 | Train Acc: 0.3295
 Site-MNIST_M                       | Train Loss: 2.2473 | Train Acc: 0.2358
 Site-MNIST_M                       | Train Loss: 2.2461 | Train Acc: 0.2254
 Site-SVHN                          | Train Loss: 2.2550 | Train Acc: 0.1840
Average Train Accuracy: 0.4572
 Site-MNIST                         | Val  Loss: 1.9482 | Val  Acc: 0.5536
 Site-MNIST                         | Val  Loss: 1.9575 | Val  Acc: 0.5476
 Site-MNIST                         | Val  Loss: 1.9083 | Val  Acc: 0.6270
 Site-MNIST                         | Val  Loss: 1.9451 | Val  Acc: 0.5263
 Site-MNIST                         | Val  Loss: 1.9379 | Val  Acc: 0.5614
 Site-USPS                          | Val  Loss: 1.9010 | Val  Acc: 0.5577
 Site-USPS                          | Val  Loss: 1.9135 | Val  Acc: 0.5577
 Site-USPS                          | Val  Loss: 1.8658 | Val  Acc: 0.5897
 Site-SynthDigits                   | Val  Loss: 2.2068 | Val  Acc: 0.3106
 Site-SynthDigits                   | Val  Loss: 2.1835 | Val  Acc: 0.2980
 Site-MNIST_M                       | Val  Loss: 2.2170 | Val  Acc: 0.2386
 Site-MNIST_M                       | Val  Loss: 2.2401 | Val  Acc: 0.2045
