===2023-05-12 04:20:45===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[225,338,507,761,1142,417,626,939,528,792,352,528,587,
client_nums=[5,3,2,2,1,domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 1.6468 | Train Acc: 0.6178
 Site-MNIST     | Train Loss: 1.6274 | Train Acc: 0.6864
 Site-MNIST     | Train Loss: 1.6846 | Train Acc: 0.5897
 Site-MNIST     | Train Loss: 1.6493 | Train Acc: 0.6255
 Site-MNIST     | Train Loss: 1.6548 | Train Acc: 0.6235
 Site-USPS      | Train Loss: 1.6233 | Train Acc: 0.6978
 Site-USPS      | Train Loss: 1.6312 | Train Acc: 0.7125
 Site-USPS      | Train Loss: 1.6259 | Train Acc: 0.6826
 Site-SynthDigits| Train Loss: 2.0878 | Train Acc: 0.2595
 Site-SynthDigits| Train Loss: 2.0690 | Train Acc: 0.2854
 Site-MNIST-M   | Train Loss: 2.1978 | Train Acc: 0.1989
 Site-MNIST-M   | Train Loss: 2.1943 | Train Acc: 0.2254
 Site-SVHN      | Train Loss: 2.2139 | Train Acc: 0.2044
 Site-MNIST     | Val  Loss: 1.7572 | Val  Acc: 0.5714
 Site-MNIST     | Val  Loss: 1.7533 | Val  Acc: 0.6190
 Site-MNIST     | Val  Loss: 1.6058 | Val  Acc: 0.6587
 Site-MNIST     | Val  Loss: 1.6483 | Val  Acc: 0.6474
 Site-MNIST     | Val  Loss: 1.6445 | Val  Acc: 0.6772
 Site-USPS      | Val  Loss: 1.6568 | Val  Acc: 0.6442
 Site-USPS      | Val  Loss: 1.6721 | Val  Acc: 0.6795
 Site-USPS      | Val  Loss: 1.6026 | Val  Acc: 0.7009
 Site-SynthDigits| Val  Loss: 2.2367 | Val  Acc: 0.2197
 Site-SynthDigits| Val  Loss: 2.0762 | Val  Acc: 0.2071
 Site-MNIST-M   | Val  Loss: 2.1291 | Val  Acc: 0.2273
 Site-MNIST-M   | Val  Loss: 2.1798 | Val  Acc: 0.1818
 Site-SVHN      | Val  Loss: 2.2123 | Val  Acc: 0.2329
Average Valid Accuracy: 0.4821
 Best site-MNIST      | Epoch:0 | Val Acc: 0.5714
 Best site-MNIST      | Epoch:0 | Val Acc: 0.6190
 Best site-MNIST      | Epoch:0 | Val Acc: 0.6587
 Best site-MNIST      | Epoch:0 | Val Acc: 0.6474
 Best site-MNIST      | Epoch:0 | Val Acc: 0.6772
 Best site-USPS       | Epoch:0 | Val Acc: 0.6442
 Best site-USPS       | Epoch:0 | Val Acc: 0.6795
 Best site-USPS       | Epoch:0 | Val Acc: 0.7009
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.2197
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.2071
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.2273
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.1818
 Best site-SVHN       | Epoch:0 | Val Acc: 0.2329
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_1/CoCoOP...
============ Train epoch 1 ============
 Site-MNIST     | Train Loss: 1.0819 | Train Acc: 0.7911
 Site-MNIST     | Train Loss: 1.0478 | Train Acc: 0.8107
 Site-MNIST     | Train Loss: 1.1476 | Train Acc: 0.7732
 Site-MNIST     | Train Loss: 1.0944 | Train Acc: 0.7832
 Site-MNIST     | Train Loss: 1.0862 | Train Acc: 0.7855
 Site-USPS      | Train Loss: 1.0669 | Train Acc: 0.8153
 Site-USPS      | Train Loss: 1.0594 | Train Acc: 0.7955
 Site-USPS      | Train Loss: 1.0537 | Train Acc: 0.8030
 Site-SynthDigits| Train Loss: 1.8554 | Train Acc: 0.3523
 Site-SynthDigits| Train Loss: 1.8224 | Train Acc: 0.3561
 Site-MNIST-M   | Train Loss: 2.0397 | Train Acc: 0.2756
 Site-MNIST-M   | Train Loss: 2.0000 | Train Acc: 0.3106
 Site-SVHN      | Train Loss: 2.0921 | Train Acc: 0.2624
 Site-MNIST     | Val  Loss: 1.1823 | Val  Acc: 0.7857
 Site-MNIST     | Val  Loss: 1.1649 | Val  Acc: 0.8214
 Site-MNIST     | Val  Loss: 1.0595 | Val  Acc: 0.8333
 Site-MNIST     | Val  Loss: 1.1250 | Val  Acc: 0.7684
 Site-MNIST     | Val  Loss: 1.0934 | Val  Acc: 0.7965
 Site-USPS      | Val  Loss: 1.0633 | Val  Acc: 0.7885
 Site-USPS      | Val  Loss: 1.1284 | Val  Acc: 0.7564
 Site-USPS      | Val  Loss: 1.0560 | Val  Acc: 0.8205
 Site-SynthDigits| Val  Loss: 2.0901 | Val  Acc: 0.3864
 Site-SynthDigits| Val  Loss: 1.7848 | Val  Acc: 0.3434
 Site-MNIST-M   | Val  Loss: 1.8937 | Val  Acc: 0.3636
 Site-MNIST-M   | Val  Loss: 2.0218 | Val  Acc: 0.2348
 Site-SVHN      | Val  Loss: 2.1034 | Val  Acc: 0.2877
Average Valid Accuracy: 0.6144
 Best site-MNIST      | Epoch:1 | Val Acc: 0.7857
 Best site-MNIST      | Epoch:1 | Val Acc: 0.8214
 Best site-MNIST      | Epoch:1 | Val Acc: 0.8333
 Best site-MNIST      | Epoch:1 | Val Acc: 0.7684
 Best site-MNIST      | Epoch:1 | Val Acc: 0.7965
 Best site-USPS       | Epoch:1 | Val Acc: 0.7885
 Best site-USPS       | Epoch:1 | Val Acc: 0.7564
 Best site-USPS       | Epoch:1 | Val Acc: 0.8205
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.3864
 Best site-SynthDigits | Epoch:1 | Val Acc: 0.3434
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.3636
 Best site-MNIST-M    | Epoch:1 | Val Acc: 0.2348
 Best site-SVHN       | Epoch:1 | Val Acc: 0.2877
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_1/CoCoOP...
============ Train epoch 2 ============
 Site-MNIST     | Train Loss: 0.8128 | Train Acc: 0.8311
 Site-MNIST     | Train Loss: 0.7926 | Train Acc: 0.8462
 Site-MNIST     | Train Loss: 0.8764 | Train Acc: 0.8146
 Site-MNIST     | Train Loss: 0.8309 | Train Acc: 0.8213
 Site-MNIST     | Train Loss: 0.8149 | Train Acc: 0.8205
 Site-USPS      | Train Loss: 0.7712 | Train Acc: 0.8369
 Site-USPS      | Train Loss: 0.7682 | Train Acc: 0.8211
 Site-USPS      | Train Loss: 0.7605 | Train Acc: 0.8371
 Site-SynthDigits| Train Loss: 1.6797 | Train Acc: 0.4186
 Site-SynthDigits| Train Loss: 1.6481 | Train Acc: 0.4268
 Site-MNIST-M   | Train Loss: 1.8831 | Train Acc: 0.3352
 Site-MNIST-M   | Train Loss: 1.8796 | Train Acc: 0.3580
 Site-SVHN      | Train Loss: 1.9992 | Train Acc: 0.2896
 Site-MNIST     | Val  Loss: 0.8762 | Val  Acc: 0.8036
 Site-MNIST     | Val  Loss: 0.8725 | Val  Acc: 0.8690
 Site-MNIST     | Val  Loss: 0.7804 | Val  Acc: 0.8492
 Site-MNIST     | Val  Loss: 0.8651 | Val  Acc: 0.8158
 Site-MNIST     | Val  Loss: 0.8302 | Val  Acc: 0.8351
 Site-USPS      | Val  Loss: 0.7535 | Val  Acc: 0.8462
 Site-USPS      | Val  Loss: 0.8310 | Val  Acc: 0.7949
 Site-USPS      | Val  Loss: 0.7759 | Val  Acc: 0.8333
 Site-SynthDigits| Val  Loss: 1.9606 | Val  Acc: 0.4394
 Site-SynthDigits| Val  Loss: 1.5920 | Val  Acc: 0.3990
 Site-MNIST-M   | Val  Loss: 1.7370 | Val  Acc: 0.4205
 Site-MNIST-M   | Val  Loss: 1.8980 | Val  Acc: 0.3182
 Site-SVHN      | Val  Loss: 2.0103 | Val  Acc: 0.3014
Average Valid Accuracy: 0.6558
 Best site-MNIST      | Epoch:2 | Val Acc: 0.8036
 Best site-MNIST      | Epoch:2 | Val Acc: 0.8690
 Best site-MNIST      | Epoch:2 | Val Acc: 0.8492
 Best site-MNIST      | Epoch:2 | Val Acc: 0.8158
 Best site-MNIST      | Epoch:2 | Val Acc: 0.8351
 Best site-USPS       | Epoch:2 | Val Acc: 0.8462
 Best site-USPS       | Epoch:2 | Val Acc: 0.7949
 Best site-USPS       | Epoch:2 | Val Acc: 0.8333
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.4394
 Best site-SynthDigits | Epoch:2 | Val Acc: 0.3990
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.4205
 Best site-MNIST-M    | Epoch:2 | Val Acc: 0.3182
