===2023-05-12 08:02:29===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[225,338,507,761,1142,417,626,939,528,792,352,528,587,
client_nums=[5,3,2,2,1,domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 1.1941 | Train Acc: 0.7911
 Site-MNIST     | Train Loss: 1.2586 | Train Acc: 0.7308
 Site-MNIST     | Train Loss: 1.2878 | Train Acc: 0.6963
 Site-MNIST     | Train Loss: 1.2398 | Train Acc: 0.7503
 Site-MNIST     | Train Loss: 1.2249 | Train Acc: 0.7574
 Site-USPS      | Train Loss: 1.0726 | Train Acc: 0.7290
 Site-USPS      | Train Loss: 1.0432 | Train Acc: 0.7780
 Site-USPS      | Train Loss: 1.0329 | Train Acc: 0.7732
 Site-SynthDigits| Train Loss: 1.9672 | Train Acc: 0.3314
 Site-SynthDigits| Train Loss: 1.9130 | Train Acc: 0.3485
 Site-MNIST-M   | Train Loss: 2.1268 | Train Acc: 0.2955
 Site-MNIST-M   | Train Loss: 2.1121 | Train Acc: 0.2538
 Site-SVHN      | Train Loss: 2.2138 | Train Acc: 0.1789
 Site-MNIST     | Val  Loss: 1.2388 | Val  Acc: 0.6786
 Site-MNIST     | Val  Loss: 1.2839 | Val  Acc: 0.7381
 Site-MNIST     | Val  Loss: 1.2031 | Val  Acc: 0.7381
 Site-MNIST     | Val  Loss: 1.2453 | Val  Acc: 0.6737
 Site-MNIST     | Val  Loss: 1.2344 | Val  Acc: 0.7193
 Site-USPS      | Val  Loss: 1.0267 | Val  Acc: 0.7788
 Site-USPS      | Val  Loss: 1.0707 | Val  Acc: 0.7692
 Site-USPS      | Val  Loss: 1.0719 | Val  Acc: 0.7521
 Site-SynthDigits| Val  Loss: 2.1436 | Val  Acc: 0.3182
 Site-SynthDigits| Val  Loss: 1.9833 | Val  Acc: 0.3535
 Site-MNIST-M   | Val  Loss: 2.0860 | Val  Acc: 0.3409
 Site-MNIST-M   | Val  Loss: 2.1482 | Val  Acc: 0.2803
 Site-SVHN      | Val  Loss: 2.2063 | Val  Acc: 0.1781
Average Valid Accuracy: 0.5630
 Best site-MNIST      | Epoch:0 | Val Acc: 0.6786
 Best site-MNIST      | Epoch:0 | Val Acc: 0.7381
 Best site-MNIST      | Epoch:0 | Val Acc: 0.7381
 Best site-MNIST      | Epoch:0 | Val Acc: 0.6737
 Best site-MNIST      | Epoch:0 | Val Acc: 0.7193
 Best site-USPS       | Epoch:0 | Val Acc: 0.7788
 Best site-USPS       | Epoch:0 | Val Acc: 0.7692
 Best site-USPS       | Epoch:0 | Val Acc: 0.7521
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.3182
 Best site-SynthDigits | Epoch:0 | Val Acc: 0.3535
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.3409
 Best site-MNIST-M    | Epoch:0 | Val Acc: 0.2803
 Best site-SVHN       | Epoch:0 | Val Acc: 0.1781
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_1/harmo-fl...
============ Train epoch 1 ============
 Site-MNIST     | Train Loss: 0.7057 | Train Acc: 0.8400
 Site-MNIST     | Train Loss: 0.7859 | Train Acc: 0.8491
 Site-MNIST     | Train Loss: 0.8264 | Train Acc: 0.8008
 Site-MNIST     | Train Loss: 0.7554 | Train Acc: 0.8344
 Site-MNIST     | Train Loss: 0.7374 | Train Acc: 0.8546
 Site-USPS      | Train Loss: 0.6983 | Train Acc: 0.8153
 Site-USPS      | Train Loss: 0.6572 | Train Acc: 0.8466
 Site-USPS      | Train Loss: 0.6452 | Train Acc: 0.8562
 Site-SynthDigits| Train Loss: 1.7542 | Train Acc: 0.4205
 Site-SynthDigits| Train Loss: 1.6314 | Train Acc: 0.4722
 Site-MNIST-M   | Train Loss: 1.9586 | Train Acc: 0.3381
 Site-MNIST-M   | Train Loss: 1.9673 | Train Acc: 0.3333
 Site-SVHN      | Train Loss: 2.1428 | Train Acc: 0.2129
 Site-MNIST     | Val  Loss: 0.7567 | Val  Acc: 0.8393
 Site-MNIST     | Val  Loss: 0.7541 | Val  Acc: 0.8452
 Site-MNIST     | Val  Loss: 0.7380 | Val  Acc: 0.8413
 Site-MNIST     | Val  Loss: 0.7859 | Val  Acc: 0.8263
 Site-MNIST     | Val  Loss: 0.7658 | Val  Acc: 0.8421
 Site-USPS      | Val  Loss: 0.6212 | Val  Acc: 0.8750
 Site-USPS      | Val  Loss: 0.6914 | Val  Acc: 0.8141
 Site-USPS      | Val  Loss: 0.7105 | Val  Acc: 0.8120
 Site-SynthDigits| Val  Loss: 2.0138 | Val  Acc: 0.4091
 Site-SynthDigits| Val  Loss: 1.7329 | Val  Acc: 0.4596
 Site-MNIST-M   | Val  Loss: 1.8629 | Val  Acc: 0.3864
 Site-MNIST-M   | Val  Loss: 1.9646 | Val  Acc: 0.3258
