===2023-06-04 13:38:45===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[451,676,1015,1522,2284,834,1252,1878,1057,1586,704,1057,1174,
client_nums=[5,3,2,2,1,]
len_dataset=[7438,4958,3305,2203,1468,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                    | Train Loss: 2.1889 | Train Acc: 0.4834
 Site-MNIST                    | Train Loss: 2.2030 | Train Acc: 0.4142
 Site-MNIST                    | Train Loss: 2.1982 | Train Acc: 0.4473
 Site-MNIST                    | Train Loss: 2.1998 | Train Acc: 0.4277
 Site-MNIST                    | Train Loss: 2.2017 | Train Acc: 0.4256
 Site-USPS                     | Train Loss: 2.1801 | Train Acc: 0.4976
 Site-USPS                     | Train Loss: 2.1769 | Train Acc: 0.5144
 Site-USPS                     | Train Loss: 2.1801 | Train Acc: 0.4957
 Site-SynthDigits              | Train Loss: 2.2809 | Train Acc: 0.1580
 Site-SynthDigits              | Train Loss: 2.2710 | Train Acc: 0.1917
 Site-MNIST-M                  | Train Loss: 2.2932 | Train Acc: 0.1207
 Site-MNIST-M                  | Train Loss: 2.2933 | Train Acc: 0.1060
 Site-SVHN                     | Train Loss: 2.2887 | Train Acc: 0.1150
 Site-MNIST                         | Val  Loss: 2.1983 | Val  Acc: 0.4196
 Site-MNIST                         | Val  Loss: 2.2028 | Val  Acc: 0.4320
 Site-MNIST                         | Val  Loss: 2.1968 | Val  Acc: 0.4506
 Site-MNIST                         | Val  Loss: 2.2076 | Val  Acc: 0.4053
 Site-MNIST                         | Val  Loss: 2.2042 | Val  Acc: 0.4175
 Site-USPS                          | Val  Loss: 2.1717 | Val  Acc: 0.5288
 Site-USPS                          | Val  Loss: 2.1751 | Val  Acc: 0.5256
 Site-USPS                          | Val  Loss: 2.1793 | Val  Acc: 0.5203
