===2023-06-21 16:08:23===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[451,676,1015,1522,2284,834,1252,1878,1057,1586,704,1057,1174,
client_nums=[5,3,2,2,1,]
len_dataset=[7438,4958,3305,2203,1468,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.2422 | Train Acc: 0.2262
 Site-MNIST                         | Train Loss: 2.2554 | Train Acc: 0.2101
 Site-MNIST                         | Train Loss: 2.2518 | Train Acc: 0.2099
 Site-MNIST                         | Train Loss: 2.2476 | Train Acc: 0.2188
 Site-MNIST                         | Train Loss: 2.2514 | Train Acc: 0.2058
 Site-USPS                          | Train Loss: 2.2271 | Train Acc: 0.3681
 Site-USPS                          | Train Loss: 2.2316 | Train Acc: 0.3970
 Site-USPS                          | Train Loss: 2.2340 | Train Acc: 0.3823
 Site-SynthDigits                   | Train Loss: 2.2953 | Train Acc: 0.1362
 Site-SynthDigits                   | Train Loss: 2.2974 | Train Acc: 0.1330
 Site-MNIST-M                       | Train Loss: 2.3104 | Train Acc: 0.1009
 Site-MNIST-M                       | Train Loss: 2.3048 | Train Acc: 0.1107
 Site-SVHN                          | Train Loss: 2.2957 | Train Acc: 0.1193
Average Train Accuracy: 0.2168
 Site-MNIST                         | Val  Loss: 2.2549 | Val  Acc: 0.2143
 Site-MNIST                         | Val  Loss: 2.2548 | Val  Acc: 0.2012
 Site-MNIST                         | Val  Loss: 2.2532 | Val  Acc: 0.1818
 Site-MNIST                         | Val  Loss: 2.2534 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.2541 | Val  Acc: 0.2088
 Site-USPS                          | Val  Loss: 2.2274 | Val  Acc: 0.4231
 Site-USPS                          | Val  Loss: 2.2272 | Val  Acc: 0.4006
 Site-USPS                          | Val  Loss: 2.2346 | Val  Acc: 0.3689
 Site-SynthDigits                   | Val  Loss: 2.2947 | Val  Acc: 0.1667
 Site-SynthDigits                   | Val  Loss: 2.3017 | Val  Acc: 0.1364
 Site-MNIST-M                       | Val  Loss: 2.3115 | Val  Acc: 0.0852
 Site-MNIST-M                       | Val  Loss: 2.3158 | Val  Acc: 0.1023
 Site-SVHN                          | Val  Loss: 2.2957 | Val  Acc: 0.1263
Average Valid Accuracy: 0.2166
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.2143
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.2012
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1818
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.2088
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4231
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4006
 Best site-USPS                      | Epoch:0 | Val Acc: 0.3689
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1667
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1364
 Best site-MNIST-M                   | Epoch:0 | Val Acc: 0.0852
 Best site-MNIST-M                   | Epoch:0 | Val Acc: 0.1023
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1263
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_1/gifair...
============ Train epoch 1 ============
 Site-MNIST                         | Train Loss: 2.1946 | Train Acc: 0.4213
 Site-MNIST                         | Train Loss: 2.2090 | Train Acc: 0.3402
 Site-MNIST                         | Train Loss: 2.2008 | Train Acc: 0.3704
 Site-MNIST                         | Train Loss: 2.1980 | Train Acc: 0.3844
 Site-MNIST                         | Train Loss: 2.2028 | Train Acc: 0.3722
 Site-USPS                          | Train Loss: 2.1726 | Train Acc: 0.4652
 Site-USPS                          | Train Loss: 2.1678 | Train Acc: 0.4888
 Site-USPS                          | Train Loss: 2.1717 | Train Acc: 0.4883
 Site-SynthDigits                   | Train Loss: 2.2811 | Train Acc: 0.1798
 Site-SynthDigits                   | Train Loss: 2.2836 | Train Acc: 0.1828
 Site-MNIST-M                       | Train Loss: 2.3035 | Train Acc: 0.1222
 Site-MNIST-M                       | Train Loss: 2.2987 | Train Acc: 0.1183
 Site-SVHN                          | Train Loss: 2.2896 | Train Acc: 0.1320
Average Train Accuracy: 0.3128
 Site-MNIST                         | Val  Loss: 2.2045 | Val  Acc: 0.3839
 Site-MNIST                         | Val  Loss: 2.2048 | Val  Acc: 0.3491
 Site-MNIST                         | Val  Loss: 2.2026 | Val  Acc: 0.3478
 Site-MNIST                         | Val  Loss: 2.2087 | Val  Acc: 0.3316
 Site-MNIST                         | Val  Loss: 2.2078 | Val  Acc: 0.3368
 Site-USPS                          | Val  Loss: 2.1600 | Val  Acc: 0.5769
 Site-USPS                          | Val  Loss: 2.1635 | Val  Acc: 0.5128
 Site-USPS                          | Val  Loss: 2.1757 | Val  Acc: 0.4542
 Site-SynthDigits                   | Val  Loss: 2.2820 | Val  Acc: 0.2083
 Site-SynthDigits                   | Val  Loss: 2.2887 | Val  Acc: 0.1995
 Site-MNIST-M                       | Val  Loss: 2.3052 | Val  Acc: 0.1136
 Site-MNIST-M                       | Val  Loss: 2.3112 | Val  Acc: 0.1288
 Site-SVHN                          | Val  Loss: 2.2886 | Val  Acc: 0.1502
Average Valid Accuracy: 0.3149
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3839
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3491
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3478
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3316
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3368
 Best site-USPS                      | Epoch:1 | Val Acc: 0.5769
 Best site-USPS                      | Epoch:1 | Val Acc: 0.5128
 Best site-USPS                      | Epoch:1 | Val Acc: 0.4542
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.2083
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.1995
 Best site-MNIST-M                   | Epoch:1 | Val Acc: 0.1136
 Best site-MNIST-M                   | Epoch:1 | Val Acc: 0.1288
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.1502
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_1/gifair...
============ Train epoch 2 ============
 Site-MNIST                         | Train Loss: 2.1301 | Train Acc: 0.4834
 Site-MNIST                         | Train Loss: 2.1622 | Train Acc: 0.4038
 Site-MNIST                         | Train Loss: 2.1492 | Train Acc: 0.4286
 Site-MNIST                         | Train Loss: 2.1477 | Train Acc: 0.4488
 Site-MNIST                         | Train Loss: 2.1538 | Train Acc: 0.4308
 Site-USPS                          | Train Loss: 2.0923 | Train Acc: 0.5048
 Site-USPS                          | Train Loss: 2.1063 | Train Acc: 0.5240
 Site-USPS                          | Train Loss: 2.1089 | Train Acc: 0.5314
