===2023-06-04 02:19:13===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[451,676,1015,1522,2284,834,1252,1878,1057,1586,704,1057,1174,
client_nums=[5,3,2,2,1,]
len_dataset=[7438,4958,3305,2203,1468,]
domain number = 5
============ Train epoch 0 ============
denominator: 29580.806640625
 Site-MNIST                    | Train Loss: 2.2086 | Train Acc: 0.3703
 Site-MNIST                    | Train Loss: 2.2206 | Train Acc: 0.3284
 Site-MNIST                    | Train Loss: 2.2181 | Train Acc: 0.3695
 Site-MNIST                    | Train Loss: 2.2195 | Train Acc: 0.3686
 Site-MNIST                    | Train Loss: 2.2212 | Train Acc: 0.3546
 Site-USPS                     | Train Loss: 2.2046 | Train Acc: 0.4472
 Site-USPS                     | Train Loss: 2.2012 | Train Acc: 0.4601
 Site-USPS                     | Train Loss: 2.2046 | Train Acc: 0.4281
 Site-SynthDigits              | Train Loss: 2.2854 | Train Acc: 0.1495
 Site-SynthDigits              | Train Loss: 2.2761 | Train Acc: 0.1772
 Site-MNIST-M                  | Train Loss: 2.2951 | Train Acc: 0.1193
 Site-MNIST-M                  | Train Loss: 2.2952 | Train Acc: 0.1041
 Site-SVHN                     | Train Loss: 2.2894 | Train Acc: 0.1184
 Site-MNIST                         | Val  Loss: 2.2178 | Val  Acc: 0.3214
 Site-MNIST                         | Val  Loss: 2.2218 | Val  Acc: 0.3787
 Site-MNIST                         | Val  Loss: 2.2163 | Val  Acc: 0.3874
 Site-MNIST                         | Val  Loss: 2.2255 | Val  Acc: 0.3211
 Site-MNIST                         | Val  Loss: 2.2225 | Val  Acc: 0.3351
 Site-USPS                          | Val  Loss: 2.1981 | Val  Acc: 0.4663
 Site-USPS                          | Val  Loss: 2.1999 | Val  Acc: 0.4519
 Site-USPS                          | Val  Loss: 2.2033 | Val  Acc: 0.4691
 Site-SynthDigits                   | Val  Loss: 2.2873 | Val  Acc: 0.1553
 Site-SynthDigits                   | Val  Loss: 2.2807 | Val  Acc: 0.1540
 Site-MNIST-M                       | Val  Loss: 2.2951 | Val  Acc: 0.1250
 Site-MNIST-M                       | Val  Loss: 2.2973 | Val  Acc: 0.0871
 Site-SVHN                          | Val  Loss: 2.2871 | Val  Acc: 0.1024
Average Valid Accuracy: 0.2888
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.3214
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.3787
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.3874
