===2023-06-20 21:48:19===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[225,338,507,761,1142,417,626,939,528,792,352,528,587,
client_nums=[5,3,2,2,1,]
len_dataset=[3719,2479,1652,1101,734,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.2646 | Train Acc: 0.1644
 Site-MNIST                         | Train Loss: 2.2817 | Train Acc: 0.1420
 Site-MNIST                         | Train Loss: 2.2762 | Train Acc: 0.1381
 Site-MNIST                         | Train Loss: 2.2774 | Train Acc: 0.1327
 Site-MNIST                         | Train Loss: 2.2731 | Train Acc: 0.1384
 Site-USPS                          | Train Loss: 2.2688 | Train Acc: 0.2302
 Site-USPS                          | Train Loss: 2.2605 | Train Acc: 0.2764
 Site-USPS                          | Train Loss: 2.2667 | Train Acc: 0.2630
 Site-SynthDigits                   | Train Loss: 2.2997 | Train Acc: 0.1193
 Site-SynthDigits                   | Train Loss: 2.3056 | Train Acc: 0.1149
 Site-MNIST-M                       | Train Loss: 2.3163 | Train Acc: 0.0966
 Site-MNIST-M                       | Train Loss: 2.3115 | Train Acc: 0.1042
 Site-SVHN                          | Train Loss: 2.2944 | Train Acc: 0.1073
Average Train Accuracy: 0.1560
 Site-MNIST                         | Val  Loss: 2.2559 | Val  Acc: 0.2321
 Site-MNIST                         | Val  Loss: 2.2607 | Val  Acc: 0.1548
 Site-MNIST                         | Val  Loss: 2.2794 | Val  Acc: 0.1508
 Site-MNIST                         | Val  Loss: 2.2816 | Val  Acc: 0.1421
 Site-MNIST                         | Val  Loss: 2.2746 | Val  Acc: 0.1544
 Site-USPS                          | Val  Loss: 2.2710 | Val  Acc: 0.2115
 Site-USPS                          | Val  Loss: 2.2625 | Val  Acc: 0.2692
 Site-USPS                          | Val  Loss: 2.2605 | Val  Acc: 0.2436
 Site-SynthDigits                   | Val  Loss: 2.3042 | Val  Acc: 0.1439
 Site-SynthDigits                   | Val  Loss: 2.2959 | Val  Acc: 0.1414
 Site-MNIST-M                       | Val  Loss: 2.3365 | Val  Acc: 0.0795
 Site-MNIST-M                       | Val  Loss: 2.3401 | Val  Acc: 0.0985
 Site-SVHN                          | Val  Loss: 2.2906 | Val  Acc: 0.0890
Average Valid Accuracy: 0.1624
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.2321
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1548
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1508
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1421
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1544
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2115
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2692
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2436
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1439
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1414
 Best site-MNIST-M                   | Epoch:0 | Val Acc: 0.0795
 Best site-MNIST-M                   | Epoch:0 | Val Acc: 0.0985
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.0890
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_1/term...
============ Train epoch 1 ============
 Site-MNIST                         | Train Loss: 2.2361 | Train Acc: 0.2444
 Site-MNIST                         | Train Loss: 2.2532 | Train Acc: 0.2160
 Site-MNIST                         | Train Loss: 2.2518 | Train Acc: 0.2150
 Site-MNIST                         | Train Loss: 2.2504 | Train Acc: 0.2011
 Site-MNIST                         | Train Loss: 2.2451 | Train Acc: 0.2338
 Site-USPS                          | Train Loss: 2.2318 | Train Acc: 0.3669
 Site-USPS                          | Train Loss: 2.2276 | Train Acc: 0.3930
 Site-USPS                          | Train Loss: 2.2305 | Train Acc: 0.3951
 Site-SynthDigits                   | Train Loss: 2.2895 | Train Acc: 0.1326
 Site-SynthDigits                   | Train Loss: 2.2981 | Train Acc: 0.1490
 Site-MNIST-M                       | Train Loss: 2.3132 | Train Acc: 0.1051
 Site-MNIST-M                       | Train Loss: 2.3075 | Train Acc: 0.1061
 Site-SVHN                          | Train Loss: 2.2905 | Train Acc: 0.1107
Average Train Accuracy: 0.2207
 Site-MNIST                         | Val  Loss: 2.2350 | Val  Acc: 0.3393
 Site-MNIST                         | Val  Loss: 2.2407 | Val  Acc: 0.2381
 Site-MNIST                         | Val  Loss: 2.2519 | Val  Acc: 0.1905
 Site-MNIST                         | Val  Loss: 2.2573 | Val  Acc: 0.1737
 Site-MNIST                         | Val  Loss: 2.2494 | Val  Acc: 0.2281
 Site-USPS                          | Val  Loss: 2.2423 | Val  Acc: 0.3077
 Site-USPS                          | Val  Loss: 2.2349 | Val  Acc: 0.3654
 Site-USPS                          | Val  Loss: 2.2260 | Val  Acc: 0.3932
 Site-SynthDigits                   | Val  Loss: 2.2993 | Val  Acc: 0.1515
 Site-SynthDigits                   | Val  Loss: 2.2898 | Val  Acc: 0.1364
 Site-MNIST-M                       | Val  Loss: 2.3301 | Val  Acc: 0.0795
 Site-MNIST-M                       | Val  Loss: 2.3349 | Val  Acc: 0.0985
 Site-SVHN                          | Val  Loss: 2.2872 | Val  Acc: 0.0822
Average Valid Accuracy: 0.2142
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3393
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2381
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.1905
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.1737
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2281
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3077
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3654
 Best site-USPS                      | Epoch:1 | Val Acc: 0.3932
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.1515
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.1364
 Best site-MNIST-M                   | Epoch:1 | Val Acc: 0.0795
 Best site-MNIST-M                   | Epoch:1 | Val Acc: 0.0985
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.0822
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_1/term...
============ Train epoch 2 ============
 Site-MNIST                         | Train Loss: 2.2103 | Train Acc: 0.3600
 Site-MNIST                         | Train Loss: 2.2274 | Train Acc: 0.3166
 Site-MNIST                         | Train Loss: 2.2273 | Train Acc: 0.2939
 Site-MNIST                         | Train Loss: 2.2239 | Train Acc: 0.3062
 Site-MNIST                         | Train Loss: 2.2179 | Train Acc: 0.3450
 Site-USPS                          | Train Loss: 2.2019 | Train Acc: 0.4293
 Site-USPS                          | Train Loss: 2.1967 | Train Acc: 0.4425
 Site-USPS                          | Train Loss: 2.1961 | Train Acc: 0.4430
 Site-SynthDigits                   | Train Loss: 2.2854 | Train Acc: 0.1515
 Site-SynthDigits                   | Train Loss: 2.2917 | Train Acc: 0.1629
 Site-MNIST-M                       | Train Loss: 2.3094 | Train Acc: 0.1250
 Site-MNIST-M                       | Train Loss: 2.3009 | Train Acc: 0.1155
 Site-SVHN                          | Train Loss: 2.2879 | Train Acc: 0.1193
Average Train Accuracy: 0.2777
 Site-MNIST                         | Val  Loss: 2.2142 | Val  Acc: 0.3929
 Site-MNIST                         | Val  Loss: 2.2208 | Val  Acc: 0.2619
 Site-MNIST                         | Val  Loss: 2.2247 | Val  Acc: 0.3016
 Site-MNIST                         | Val  Loss: 2.2332 | Val  Acc: 0.2842
 Site-MNIST                         | Val  Loss: 2.2244 | Val  Acc: 0.3053
 Site-USPS                          | Val  Loss: 2.2141 | Val  Acc: 0.3558
 Site-USPS                          | Val  Loss: 2.2080 | Val  Acc: 0.4359
 Site-USPS                          | Val  Loss: 2.1927 | Val  Acc: 0.4444
 Site-SynthDigits                   | Val  Loss: 2.2946 | Val  Acc: 0.1818
 Site-SynthDigits                   | Val  Loss: 2.2834 | Val  Acc: 0.1414
 Site-MNIST-M                       | Val  Loss: 2.3238 | Val  Acc: 0.0909
 Site-MNIST-M                       | Val  Loss: 2.3304 | Val  Acc: 0.0985
 Site-SVHN                          | Val  Loss: 2.2839 | Val  Acc: 0.0959
Average Valid Accuracy: 0.2608
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.3929
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.2619
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.3016
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.2842
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.3053
 Best site-USPS                      | Epoch:2 | Val Acc: 0.3558
 Best site-USPS                      | Epoch:2 | Val Acc: 0.4359
 Best site-USPS                      | Epoch:2 | Val Acc: 0.4444
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.1818
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.1414
 Best site-MNIST-M                   | Epoch:2 | Val Acc: 0.0909
 Best site-MNIST-M                   | Epoch:2 | Val Acc: 0.0985
 Best site-SVHN                      | Epoch:2 | Val Acc: 0.0959
