===2023-07-27 13:25:08===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[225,338,507,761,1142,417,626,939,528,792,352,528,587,
client_nums=[5,3,2,2,1,]
len_dataset=[3719,2479,1652,1101,734,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.1152 | Train Acc: 0.5333
 Site-MNIST                         | Train Loss: 2.1202 | Train Acc: 0.4941
 Site-MNIST                         | Train Loss: 2.1353 | Train Acc: 0.5069
 Site-MNIST                         | Train Loss: 2.1228 | Train Acc: 0.5085
 Site-MNIST                         | Train Loss: 2.1204 | Train Acc: 0.5236
 Site-USPS                          | Train Loss: 2.0922 | Train Acc: 0.6235
 Site-USPS                          | Train Loss: 2.1032 | Train Acc: 0.6182
 Site-USPS                          | Train Loss: 2.0878 | Train Acc: 0.6305
 Site-SynthDigits                   | Train Loss: 2.2536 | Train Acc: 0.2083
 Site-SynthDigits                   | Train Loss: 2.2436 | Train Acc: 0.2298
 Site-MNIST_M                       | Train Loss: 2.2787 | Train Acc: 0.1932
 Site-MNIST_M                       | Train Loss: 2.2852 | Train Acc: 0.1364
 Site-SVHN                          | Train Loss: 2.2807 | Train Acc: 0.1567
Average Train Accuracy: 0.4125
 Site-MNIST                         | Val  Loss: 2.1504 | Val  Acc: 0.4643
 Site-MNIST                         | Val  Loss: 2.1633 | Val  Acc: 0.4762
 Site-MNIST                         | Val  Loss: 2.1265 | Val  Acc: 0.5317
 Site-MNIST                         | Val  Loss: 2.1291 | Val  Acc: 0.5105
 Site-MNIST                         | Val  Loss: 2.1275 | Val  Acc: 0.4842
 Site-USPS                          | Val  Loss: 2.1094 | Val  Acc: 0.6154
 Site-USPS                          | Val  Loss: 2.1103 | Val  Acc: 0.5897
 Site-USPS                          | Val  Loss: 2.0907 | Val  Acc: 0.6538
 Site-SynthDigits                   | Val  Loss: 2.2589 | Val  Acc: 0.2045
 Site-SynthDigits                   | Val  Loss: 2.2495 | Val  Acc: 0.2121
 Site-MNIST_M                       | Val  Loss: 2.2839 | Val  Acc: 0.2045
 Site-MNIST_M                       | Val  Loss: 2.2653 | Val  Acc: 0.1818
 Site-SVHN                          | Val  Loss: 2.2871 | Val  Acc: 0.1507
Average Valid Accuracy: 0.4061
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4643
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4762
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5317
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5105
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4842
 Best site-USPS                      | Epoch:0 | Val Acc: 0.6154
 Best site-USPS                      | Epoch:0 | Val Acc: 0.5897
 Best site-USPS                      | Epoch:0 | Val Acc: 0.6538
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2045
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2121
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.2045
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.1818
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1507
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_2/afl...
============ Train epoch 1 ============
 Site-MNIST                         | Train Loss: 1.9365 | Train Acc: 0.5911
 Site-MNIST                         | Train Loss: 1.9574 | Train Acc: 0.5680
 Site-MNIST                         | Train Loss: 1.9756 | Train Acc: 0.5404
 Site-MNIST                         | Train Loss: 1.9501 | Train Acc: 0.5493
 Site-MNIST                         | Train Loss: 1.9477 | Train Acc: 0.5692
 Site-USPS                          | Train Loss: 1.8896 | Train Acc: 0.6691
 Site-USPS                          | Train Loss: 1.8966 | Train Acc: 0.6821
 Site-USPS                          | Train Loss: 1.8739 | Train Acc: 0.7284
 Site-SynthDigits                   | Train Loss: 2.1962 | Train Acc: 0.2614
 Site-SynthDigits                   | Train Loss: 2.1783 | Train Acc: 0.3005
 Site-MNIST_M                       | Train Loss: 2.2506 | Train Acc: 0.2472
 Site-MNIST_M                       | Train Loss: 2.2595 | Train Acc: 0.1970
 Site-SVHN                          | Train Loss: 2.2594 | Train Acc: 0.1976
Average Train Accuracy: 0.4693
 Site-MNIST                         | Val  Loss: 1.9819 | Val  Acc: 0.5536
 Site-MNIST                         | Val  Loss: 2.0062 | Val  Acc: 0.5476
 Site-MNIST                         | Val  Loss: 1.9567 | Val  Acc: 0.5873
 Site-MNIST                         | Val  Loss: 1.9708 | Val  Acc: 0.5474
 Site-MNIST                         | Val  Loss: 1.9628 | Val  Acc: 0.5509
 Site-USPS                          | Val  Loss: 1.9186 | Val  Acc: 0.6731
 Site-USPS                          | Val  Loss: 1.9203 | Val  Acc: 0.6731
 Site-USPS                          | Val  Loss: 1.8834 | Val  Acc: 0.6752
 Site-SynthDigits                   | Val  Loss: 2.2206 | Val  Acc: 0.2500
 Site-SynthDigits                   | Val  Loss: 2.1900 | Val  Acc: 0.2626
 Site-MNIST_M                       | Val  Loss: 2.2482 | Val  Acc: 0.3068
 Site-MNIST_M                       | Val  Loss: 2.2360 | Val  Acc: 0.2500
 Site-SVHN                          | Val  Loss: 2.2705 | Val  Acc: 0.1849
Average Valid Accuracy: 0.4663
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5536
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5476
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5873
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5474
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5509
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6731
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6731
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6752
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.2500
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.2626
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.3068
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.2500
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.1849
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_2/afl...
============ Train epoch 2 ============
 Site-MNIST                         | Train Loss: 1.7894 | Train Acc: 0.6622
 Site-MNIST                         | Train Loss: 1.8167 | Train Acc: 0.6509
 Site-MNIST                         | Train Loss: 1.8321 | Train Acc: 0.5957
 Site-MNIST                         | Train Loss: 1.7986 | Train Acc: 0.6294
 Site-MNIST                         | Train Loss: 1.7960 | Train Acc: 0.6401
 Site-USPS                          | Train Loss: 1.7181 | Train Acc: 0.6978
 Site-USPS                          | Train Loss: 1.7182 | Train Acc: 0.7173
 Site-USPS                          | Train Loss: 1.6923 | Train Acc: 0.7551
 Site-SynthDigits                   | Train Loss: 2.1250 | Train Acc: 0.3087
 Site-SynthDigits                   | Train Loss: 2.1070 | Train Acc: 0.3523
 Site-MNIST_M                       | Train Loss: 2.2195 | Train Acc: 0.3068
 Site-MNIST_M                       | Train Loss: 2.2215 | Train Acc: 0.2008
 Site-SVHN                          | Train Loss: 2.2405 | Train Acc: 0.2470
Average Train Accuracy: 0.5203
 Site-MNIST                         | Val  Loss: 1.8339 | Val  Acc: 0.6071
 Site-MNIST                         | Val  Loss: 1.8591 | Val  Acc: 0.5952
 Site-MNIST                         | Val  Loss: 1.8050 | Val  Acc: 0.6190
 Site-MNIST                         | Val  Loss: 1.8283 | Val  Acc: 0.6000
 Site-MNIST                         | Val  Loss: 1.8144 | Val  Acc: 0.6281
 Site-USPS                          | Val  Loss: 1.7552 | Val  Acc: 0.7019
 Site-USPS                          | Val  Loss: 1.7550 | Val  Acc: 0.6795
 Site-USPS                          | Val  Loss: 1.7046 | Val  Acc: 0.7094
 Site-SynthDigits                   | Val  Loss: 2.1720 | Val  Acc: 0.3106
 Site-SynthDigits                   | Val  Loss: 2.1304 | Val  Acc: 0.2828
 Site-MNIST_M                       | Val  Loss: 2.2130 | Val  Acc: 0.3182
 Site-MNIST_M                       | Val  Loss: 2.1994 | Val  Acc: 0.3106
 Site-SVHN                          | Val  Loss: 2.2499 | Val  Acc: 0.2260
Average Valid Accuracy: 0.5068
