===2023-07-27 11:43:56===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[225,338,507,761,1142,417,626,939,528,792,352,528,587,
client_nums=[5,3,2,2,1,]
len_dataset=[3719,2479,1652,1101,734,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.0980 | Train Acc: 0.5200
 Site-MNIST                         | Train Loss: 2.1145 | Train Acc: 0.4852
 Site-MNIST                         | Train Loss: 2.1280 | Train Acc: 0.4418
 Site-MNIST                         | Train Loss: 2.1130 | Train Acc: 0.4809
 Site-MNIST                         | Train Loss: 2.1108 | Train Acc: 0.4974
 Site-USPS                          | Train Loss: 2.0908 | Train Acc: 0.4508
 Site-USPS                          | Train Loss: 2.0858 | Train Acc: 0.4872
 Site-USPS                          | Train Loss: 2.0779 | Train Acc: 0.4856
 Site-SynthDigits                   | Train Loss: 2.2592 | Train Acc: 0.2159
 Site-SynthDigits                   | Train Loss: 2.2400 | Train Acc: 0.2487
 Site-MNIST_M                       | Train Loss: 2.2725 | Train Acc: 0.1847
 Site-MNIST_M                       | Train Loss: 2.2835 | Train Acc: 0.1648
 Site-SVHN                          | Train Loss: 2.2637 | Train Acc: 0.2164
Average Train Accuracy: 0.3753
 Site-MNIST                         | Val  Loss: 2.1281 | Val  Acc: 0.4464
 Site-MNIST                         | Val  Loss: 2.1333 | Val  Acc: 0.4524
 Site-MNIST                         | Val  Loss: 2.1160 | Val  Acc: 0.4524
 Site-MNIST                         | Val  Loss: 2.1306 | Val  Acc: 0.4421
 Site-MNIST                         | Val  Loss: 2.1272 | Val  Acc: 0.4632
 Site-USPS                          | Val  Loss: 2.1021 | Val  Acc: 0.4615
 Site-USPS                          | Val  Loss: 2.1053 | Val  Acc: 0.4487
 Site-USPS                          | Val  Loss: 2.0800 | Val  Acc: 0.4701
 Site-SynthDigits                   | Val  Loss: 2.2608 | Val  Acc: 0.2273
 Site-SynthDigits                   | Val  Loss: 2.2586 | Val  Acc: 0.2172
 Site-MNIST_M                       | Val  Loss: 2.2600 | Val  Acc: 0.2159
 Site-MNIST_M                       | Val  Loss: 2.2472 | Val  Acc: 0.2121
 Site-SVHN                          | Val  Loss: 2.2716 | Val  Acc: 0.1986
Average Valid Accuracy: 0.3621
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4464
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4524
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4524
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4421
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4632
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4615
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4487
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4701
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2273
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2172
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.2159
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.2121
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1986
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_2/fedavg...
============ Train epoch 1 ============
 Site-MNIST                         | Train Loss: 1.8957 | Train Acc: 0.6400
 Site-MNIST                         | Train Loss: 1.9157 | Train Acc: 0.6302
 Site-MNIST                         | Train Loss: 1.9452 | Train Acc: 0.5799
 Site-MNIST                         | Train Loss: 1.9142 | Train Acc: 0.5900
 Site-MNIST                         | Train Loss: 1.9109 | Train Acc: 0.6200
 Site-USPS                          | Train Loss: 1.8543 | Train Acc: 0.5707
 Site-USPS                          | Train Loss: 1.8476 | Train Acc: 0.6246
 Site-USPS                          | Train Loss: 1.8334 | Train Acc: 0.6379
 Site-SynthDigits                   | Train Loss: 2.2051 | Train Acc: 0.2822
 Site-SynthDigits                   | Train Loss: 2.1648 | Train Acc: 0.3333
 Site-MNIST_M                       | Train Loss: 2.2414 | Train Acc: 0.2500
 Site-MNIST_M                       | Train Loss: 2.2463 | Train Acc: 0.2102
 Site-SVHN                          | Train Loss: 2.2453 | Train Acc: 0.2470
Average Train Accuracy: 0.4782
 Site-MNIST                         | Val  Loss: 1.9343 | Val  Acc: 0.5714
 Site-MNIST                         | Val  Loss: 1.9472 | Val  Acc: 0.6310
 Site-MNIST                         | Val  Loss: 1.9182 | Val  Acc: 0.6190
 Site-MNIST                         | Val  Loss: 1.9442 | Val  Acc: 0.5684
 Site-MNIST                         | Val  Loss: 1.9371 | Val  Acc: 0.6070
 Site-USPS                          | Val  Loss: 1.8723 | Val  Acc: 0.6058
 Site-USPS                          | Val  Loss: 1.8797 | Val  Acc: 0.5897
 Site-USPS                          | Val  Loss: 1.8441 | Val  Acc: 0.5812
 Site-SynthDigits                   | Val  Loss: 2.2155 | Val  Acc: 0.3106
 Site-SynthDigits                   | Val  Loss: 2.1996 | Val  Acc: 0.2778
 Site-MNIST_M                       | Val  Loss: 2.2217 | Val  Acc: 0.2727
 Site-MNIST_M                       | Val  Loss: 2.2086 | Val  Acc: 0.2955
 Site-SVHN                          | Val  Loss: 2.2542 | Val  Acc: 0.2055
Average Valid Accuracy: 0.4720
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5714
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6310
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6190
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5684
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6070
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6058
 Best site-USPS                      | Epoch:1 | Val Acc: 0.5897
 Best site-USPS                      | Epoch:1 | Val Acc: 0.5812
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3106
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.2778
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.2727
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.2955
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.2055
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_2/fedavg...
============ Train epoch 2 ============
 Site-MNIST                         | Train Loss: 1.6964 | Train Acc: 0.7022
 Site-MNIST                         | Train Loss: 1.7327 | Train Acc: 0.6864
 Site-MNIST                         | Train Loss: 1.7686 | Train Acc: 0.6193
 Site-MNIST                         | Train Loss: 1.7293 | Train Acc: 0.6347
 Site-MNIST                         | Train Loss: 1.7219 | Train Acc: 0.6611
 Site-USPS                          | Train Loss: 1.6745 | Train Acc: 0.6163
 Site-USPS                          | Train Loss: 1.6565 | Train Acc: 0.6486
 Site-USPS                          | Train Loss: 1.6366 | Train Acc: 0.6805
 Site-SynthDigits                   | Train Loss: 2.1453 | Train Acc: 0.2955
 Site-SynthDigits                   | Train Loss: 2.1011 | Train Acc: 0.3548
 Site-MNIST_M                       | Train Loss: 2.2039 | Train Acc: 0.2670
 Site-MNIST_M                       | Train Loss: 2.2231 | Train Acc: 0.2273
 Site-SVHN                          | Train Loss: 2.2294 | Train Acc: 0.2453
Average Train Accuracy: 0.5107
 Site-MNIST                         | Val  Loss: 1.7504 | Val  Acc: 0.6964
 Site-MNIST                         | Val  Loss: 1.7681 | Val  Acc: 0.7024
 Site-MNIST                         | Val  Loss: 1.7262 | Val  Acc: 0.6587
 Site-MNIST                         | Val  Loss: 1.7639 | Val  Acc: 0.6053
 Site-MNIST                         | Val  Loss: 1.7550 | Val  Acc: 0.6632
 Site-USPS                          | Val  Loss: 1.6937 | Val  Acc: 0.6731
 Site-USPS                          | Val  Loss: 1.6956 | Val  Acc: 0.6346
 Site-USPS                          | Val  Loss: 1.6536 | Val  Acc: 0.6239
 Site-SynthDigits                   | Val  Loss: 2.1643 | Val  Acc: 0.3182
 Site-SynthDigits                   | Val  Loss: 2.1389 | Val  Acc: 0.2576
 Site-MNIST_M                       | Val  Loss: 2.1883 | Val  Acc: 0.3068
 Site-MNIST_M                       | Val  Loss: 2.1791 | Val  Acc: 0.3182
 Site-SVHN                          | Val  Loss: 2.2458 | Val  Acc: 0.1781
Average Valid Accuracy: 0.5105
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.6964
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.7024
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.6587
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.6053
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.6632
 Best site-USPS                      | Epoch:2 | Val Acc: 0.6731
 Best site-USPS                      | Epoch:2 | Val Acc: 0.6346
 Best site-USPS                      | Epoch:2 | Val Acc: 0.6239
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.3182
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.2576
 Best site-MNIST_M                   | Epoch:2 | Val Acc: 0.3068
 Best site-MNIST_M                   | Epoch:2 | Val Acc: 0.3182
 Best site-SVHN                      | Epoch:2 | Val Acc: 0.1781
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_2/fedavg...
============ Train epoch 3 ============
 Site-MNIST                         | Train Loss: 1.5273 | Train Acc: 0.7600
 Site-MNIST                         | Train Loss: 1.5780 | Train Acc: 0.7278
 Site-MNIST                         | Train Loss: 1.6096 | Train Acc: 0.6805
 Site-MNIST                         | Train Loss: 1.5609 | Train Acc: 0.7188
 Site-MNIST                         | Train Loss: 1.5567 | Train Acc: 0.7277
 Site-USPS                          | Train Loss: 1.4945 | Train Acc: 0.6643
 Site-USPS                          | Train Loss: 1.4739 | Train Acc: 0.7109
 Site-USPS                          | Train Loss: 1.4564 | Train Acc: 0.7327
 Site-SynthDigits                   | Train Loss: 2.0649 | Train Acc: 0.3049
 Site-SynthDigits                   | Train Loss: 2.0349 | Train Acc: 0.3826
 Site-MNIST_M                       | Train Loss: 2.1702 | Train Acc: 0.2898
 Site-MNIST_M                       | Train Loss: 2.1910 | Train Acc: 0.2557
 Site-SVHN                          | Train Loss: 2.2119 | Train Acc: 0.2641
Average Train Accuracy: 0.5554
 Site-MNIST                         | Val  Loss: 1.5892 | Val  Acc: 0.7321
 Site-MNIST                         | Val  Loss: 1.6100 | Val  Acc: 0.7262
 Site-MNIST                         | Val  Loss: 1.5648 | Val  Acc: 0.7143
 Site-MNIST                         | Val  Loss: 1.6036 | Val  Acc: 0.6842
 Site-MNIST                         | Val  Loss: 1.5936 | Val  Acc: 0.7018
 Site-USPS                          | Val  Loss: 1.5215 | Val  Acc: 0.7212
 Site-USPS                          | Val  Loss: 1.5181 | Val  Acc: 0.6795
 Site-USPS                          | Val  Loss: 1.4712 | Val  Acc: 0.6581
 Site-SynthDigits                   | Val  Loss: 2.1160 | Val  Acc: 0.3258
 Site-SynthDigits                   | Val  Loss: 2.0842 | Val  Acc: 0.2727
 Site-MNIST_M                       | Val  Loss: 2.1564 | Val  Acc: 0.3295
 Site-MNIST_M                       | Val  Loss: 2.1475 | Val  Acc: 0.3333
 Site-SVHN                          | Val  Loss: 2.2347 | Val  Acc: 0.1986
Average Valid Accuracy: 0.5444
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.7321
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.7262
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.7143
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.6842
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.7018
 Best site-USPS                      | Epoch:3 | Val Acc: 0.7212
 Best site-USPS                      | Epoch:3 | Val Acc: 0.6795
 Best site-USPS                      | Epoch:3 | Val Acc: 0.6581
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.3258
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.2727
 Best site-MNIST_M                   | Epoch:3 | Val Acc: 0.3295
 Best site-MNIST_M                   | Epoch:3 | Val Acc: 0.3333
 Best site-SVHN                      | Epoch:3 | Val Acc: 0.1986
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_2/fedavg...
============ Train epoch 4 ============
 Site-MNIST                         | Train Loss: 1.3871 | Train Acc: 0.7956
 Site-MNIST                         | Train Loss: 1.4278 | Train Acc: 0.7456
 Site-MNIST                         | Train Loss: 1.4719 | Train Acc: 0.7258
 Site-MNIST                         | Train Loss: 1.4165 | Train Acc: 0.7648
 Site-MNIST                         | Train Loss: 1.4141 | Train Acc: 0.7723
 Site-USPS                          | Train Loss: 1.3252 | Train Acc: 0.7218
 Site-USPS                          | Train Loss: 1.3070 | Train Acc: 0.7700
 Site-USPS                          | Train Loss: 1.2850 | Train Acc: 0.7785
 Site-SynthDigits                   | Train Loss: 2.0123 | Train Acc: 0.3466
 Site-SynthDigits                   | Train Loss: 1.9653 | Train Acc: 0.3977
 Site-MNIST_M                       | Train Loss: 2.1369 | Train Acc: 0.3011
 Site-MNIST_M                       | Train Loss: 2.1561 | Train Acc: 0.2860
 Site-SVHN                          | Train Loss: 2.2036 | Train Acc: 0.2794
Average Train Accuracy: 0.5912
 Site-MNIST                         | Val  Loss: 1.4398 | Val  Acc: 0.7679
 Site-MNIST                         | Val  Loss: 1.4663 | Val  Acc: 0.7976
 Site-MNIST                         | Val  Loss: 1.4235 | Val  Acc: 0.7698
 Site-MNIST                         | Val  Loss: 1.4635 | Val  Acc: 0.6895
 Site-MNIST                         | Val  Loss: 1.4519 | Val  Acc: 0.7263
 Site-USPS                          | Val  Loss: 1.3528 | Val  Acc: 0.7596
 Site-USPS                          | Val  Loss: 1.3468 | Val  Acc: 0.7436
 Site-USPS                          | Val  Loss: 1.3045 | Val  Acc: 0.7265
 Site-SynthDigits                   | Val  Loss: 2.0695 | Val  Acc: 0.3712
 Site-SynthDigits                   | Val  Loss: 2.0296 | Val  Acc: 0.2980
 Site-MNIST_M                       | Val  Loss: 2.1236 | Val  Acc: 0.3409
 Site-MNIST_M                       | Val  Loss: 2.1159 | Val  Acc: 0.3333
 Site-SVHN                          | Val  Loss: 2.2225 | Val  Acc: 0.2192
Average Valid Accuracy: 0.5803
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.7679
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.7976
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.7698
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.6895
 Best site-MNIST                     | Epoch:4 | Val Acc: 0.7263
 Best site-USPS                      | Epoch:4 | Val Acc: 0.7596
 Best site-USPS                      | Epoch:4 | Val Acc: 0.7436
 Best site-USPS                      | Epoch:4 | Val Acc: 0.7265
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.3712
 Best site-SynthDigits               | Epoch:4 | Val Acc: 0.2980
 Best site-MNIST_M                   | Epoch:4 | Val Acc: 0.3409
 Best site-MNIST_M                   | Epoch:4 | Val Acc: 0.3333
 Best site-SVHN                      | Epoch:4 | Val Acc: 0.2192
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.5_2/fedavg...
============ Train epoch 5 ============
 Site-MNIST                         | Train Loss: 1.2553 | Train Acc: 0.7956
 Site-MNIST                         | Train Loss: 1.2933 | Train Acc: 0.7544
 Site-MNIST                         | Train Loss: 1.3422 | Train Acc: 0.7219
 Site-MNIST                         | Train Loss: 1.2817 | Train Acc: 0.7648
 Site-MNIST                         | Train Loss: 1.2783 | Train Acc: 0.7732
 Site-USPS                          | Train Loss: 1.1973 | Train Acc: 0.7410
 Site-USPS                          | Train Loss: 1.1903 | Train Acc: 0.7780
 Site-USPS                          | Train Loss: 1.1628 | Train Acc: 0.7987
 Site-SynthDigits                   | Train Loss: 1.9865 | Train Acc: 0.3542
 Site-SynthDigits                   | Train Loss: 1.9231 | Train Acc: 0.4116
 Site-MNIST_M                       | Train Loss: 2.1000 | Train Acc: 0.3409
 Site-MNIST_M                       | Train Loss: 2.1329 | Train Acc: 0.3087
 Site-SVHN                          | Train Loss: 2.1942 | Train Acc: 0.2896
Average Train Accuracy: 0.6025
 Site-MNIST                         | Val  Loss: 1.3044 | Val  Acc: 0.7679
 Site-MNIST                         | Val  Loss: 1.3307 | Val  Acc: 0.7857
 Site-MNIST                         | Val  Loss: 1.2890 | Val  Acc: 0.7619
 Site-MNIST                         | Val  Loss: 1.3347 | Val  Acc: 0.7000
