===2023-07-28 12:50:24===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 1.1703 | Train Acc: 0.8333
 Site-MNIST                         | Train Loss: 1.2149 | Train Acc: 0.8333
 Site-MNIST                         | Train Loss: 0.9789 | Train Acc: 0.9524
 Site-MNIST                         | Train Loss: 1.0871 | Train Acc: 0.8947
 Site-MNIST                         | Train Loss: 1.0905 | Train Acc: 0.7857
 Site-MNIST                         | Train Loss: 1.1817 | Train Acc: 0.7937
 Site-MNIST                         | Train Loss: 1.1648 | Train Acc: 0.8018
 Site-MNIST                         | Train Loss: 1.1969 | Train Acc: 0.7506
 Site-MNIST                         | Train Loss: 1.1783 | Train Acc: 0.7935
 Site-MNIST                         | Train Loss: 1.1378 | Train Acc: 0.8045
 Site-USPS                          | Train Loss: 1.0925 | Train Acc: 0.8000
 Site-USPS                          | Train Loss: 1.0211 | Train Acc: 0.7500
 Site-USPS                          | Train Loss: 0.8554 | Train Acc: 0.7984
 Site-USPS                          | Train Loss: 1.0846 | Train Acc: 0.7682
 Site-USPS                          | Train Loss: 1.0507 | Train Acc: 0.8143
 Site-USPS                          | Train Loss: 1.0730 | Train Acc: 0.7923
 Site-SynthDigits                   | Train Loss: 2.0209 | Train Acc: 0.2781
 Site-SynthDigits                   | Train Loss: 2.0692 | Train Acc: 0.2711
 Site-SynthDigits                   | Train Loss: 1.9676 | Train Acc: 0.3075
 Site-MNIST_M                       | Train Loss: 2.1370 | Train Acc: 0.2652
 Site-MNIST_M                       | Train Loss: 2.1002 | Train Acc: 0.3058
 Site-SVHN                          | Train Loss: 2.2464 | Train Acc: 0.1596
Average Train Accuracy: 0.6616
 Site-MNIST                         | Val  Loss: 0.8395 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.9394 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 1.0986 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 1.2428 | Val  Acc: 0.6667
 Site-MNIST                         | Val  Loss: 1.1850 | Val  Acc: 0.7647
 Site-MNIST                         | Val  Loss: 1.2161 | Val  Acc: 0.8065
 Site-MNIST                         | Val  Loss: 1.1933 | Val  Acc: 0.8214
 Site-MNIST                         | Val  Loss: 1.1594 | Val  Acc: 0.7843
 Site-MNIST                         | Val  Loss: 1.1586 | Val  Acc: 0.7705
 Site-MNIST                         | Val  Loss: 1.1541 | Val  Acc: 0.7795
 Site-USPS                          | Val  Loss: 0.9246 | Val  Acc: 0.9000
 Site-USPS                          | Val  Loss: 1.2656 | Val  Acc: 0.5556
 Site-USPS                          | Val  Loss: 1.2245 | Val  Acc: 0.6250
 Site-USPS                          | Val  Loss: 1.1996 | Val  Acc: 0.6552
 Site-USPS                          | Val  Loss: 1.1251 | Val  Acc: 0.7429
