===2023-05-11 13:51:07===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 1.7733 | Train Acc: 0.6667
 Site-MNIST     | Train Loss: 1.7100 | Train Acc: 0.5833
 Site-MNIST     | Train Loss: 1.4892 | Train Acc: 0.6667
 Site-MNIST     | Train Loss: 1.6487 | Train Acc: 0.5789
 Site-MNIST     | Train Loss: 1.5763 | Train Acc: 0.7429
 Site-MNIST     | Train Loss: 1.5703 | Train Acc: 0.7460
 Site-MNIST     | Train Loss: 1.5603 | Train Acc: 0.7181
 Site-MNIST     | Train Loss: 1.6527 | Train Acc: 0.6259
 Site-MNIST     | Train Loss: 1.6308 | Train Acc: 0.6332
 Site-MNIST     | Train Loss: 1.6011 | Train Acc: 0.6657
 Site-USPS      | Train Loss: 1.6413 | Train Acc: 0.7250
 Site-USPS      | Train Loss: 1.6840 | Train Acc: 0.6528
 Site-USPS      | Train Loss: 1.6587 | Train Acc: 0.6899
 Site-USPS      | Train Loss: 1.6473 | Train Acc: 0.6781
 Site-USPS      | Train Loss: 1.6743 | Train Acc: 0.7048
 Site-USPS      | Train Loss: 1.6719 | Train Acc: 0.6839
 Site-SynthDigits| Train Loss: 2.1020 | Train Acc: 0.2517
 Site-SynthDigits| Train Loss: 2.1342 | Train Acc: 0.2198
 Site-SynthDigits| Train Loss: 2.0972 | Train Acc: 0.2627
 Site-MNIST-M   | Train Loss: 2.2319 | Train Acc: 0.1878
 Site-MNIST-M   | Train Loss: 2.1981 | Train Acc: 0.2171
 Site-SVHN      | Train Loss: 2.2413 | Train Acc: 0.1773
 Site-MNIST     | Val  Loss: 1.9585 | Val  Acc: 0.0000
 Site-MNIST     | Val  Loss: 1.7670 | Val  Acc: 0.3333
 Site-MNIST     | Val  Loss: 1.5296 | Val  Acc: 0.6000
 Site-MNIST     | Val  Loss: 1.6605 | Val  Acc: 0.5556
 Site-MNIST     | Val  Loss: 1.6260 | Val  Acc: 0.5882
 Site-MNIST     | Val  Loss: 1.6472 | Val  Acc: 0.6129
 Site-MNIST     | Val  Loss: 1.5679 | Val  Acc: 0.7321
 Site-MNIST     | Val  Loss: 1.5608 | Val  Acc: 0.7549
 Site-MNIST     | Val  Loss: 1.6024 | Val  Acc: 0.6831
 Site-MNIST     | Val  Loss: 1.5719 | Val  Acc: 0.6677
 Site-USPS      | Val  Loss: 1.5809 | Val  Acc: 0.9000
