===2023-05-13 15:13:12===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 2
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
label set of clients: [4, 7, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST           | Train Loss: 2.3039 | Train Acc: 0.1667
 Site-MNIST           | Train Loss: 2.3016 | Train Acc: 0.1667
 Site-MNIST           | Train Loss: 2.2748 | Train Acc: 0.1429
 Site-MNIST           | Train Loss: 2.2699 | Train Acc: 0.1842
 Site-MNIST           | Train Loss: 2.2505 | Train Acc: 0.3000
 Site-MNIST           | Train Loss: 2.2640 | Train Acc: 0.3175
 Site-MNIST           | Train Loss: 2.2642 | Train Acc: 0.2863
 Site-MNIST           | Train Loss: 2.2749 | Train Acc: 0.2176
 Site-MNIST           | Train Loss: 2.2729 | Train Acc: 0.2283
 Site-MNIST           | Train Loss: 2.2646 | Train Acc: 0.2468
 Site-USPS            | Train Loss: 2.2764 | Train Acc: 0.2250
 Site-USPS            | Train Loss: 2.2679 | Train Acc: 0.2361
 Site-USPS            | Train Loss: 2.2710 | Train Acc: 0.2481
 Site-USPS            | Train Loss: 2.2653 | Train Acc: 0.1674
 Site-USPS            | Train Loss: 2.2570 | Train Acc: 0.2167
 Site-USPS            | Train Loss: 2.2582 | Train Acc: 0.2249
 Site-SynthDigits     | Train Loss: 2.3010 | Train Acc: 0.1391
 Site-SynthDigits     | Train Loss: 2.2958 | Train Acc: 0.1355
 Site-SynthDigits     | Train Loss: 2.2993 | Train Acc: 0.1141
 Site-MNIST-M         | Train Loss: 2.2842 | Train Acc: 0.1436
 Site-MNIST-M         | Train Loss: 2.3011 | Train Acc: 0.1131
 Site-SVHN            | Train Loss: 2.3024 | Train Acc: 0.1028
 Site-MNIST           | Val  Loss: 2.1990 | Val  Acc: 1.0000
 Site-MNIST           | Val  Loss: 2.2506 | Val  Acc: 0.3333
 Site-MNIST           | Val  Loss: 2.2475 | Val  Acc: 0.4000
 Site-MNIST           | Val  Loss: 2.2704 | Val  Acc: 0.3333
 Site-MNIST           | Val  Loss: 2.2689 | Val  Acc: 0.2353
 Site-MNIST           | Val  Loss: 2.2628 | Val  Acc: 0.2903
 Site-MNIST           | Val  Loss: 2.2723 | Val  Acc: 0.2321
 Site-MNIST           | Val  Loss: 2.2679 | Val  Acc: 0.2941
 Site-MNIST           | Val  Loss: 2.2757 | Val  Acc: 0.2240
 Site-MNIST           | Val  Loss: 2.2693 | Val  Acc: 0.2296
 Site-USPS            | Val  Loss: 2.2973 | Val  Acc: 0.2000
 Site-USPS            | Val  Loss: 2.3002 | Val  Acc: 0.0000
 Site-USPS            | Val  Loss: 2.2709 | Val  Acc: 0.1250
 Site-USPS            | Val  Loss: 2.2749 | Val  Acc: 0.1379
 Site-USPS            | Val  Loss: 2.2669 | Val  Acc: 0.1429
 Site-USPS            | Val  Loss: 2.2589 | Val  Acc: 0.2011
 Site-SynthDigits     | Val  Loss: 2.3095 | Val  Acc: 0.1892
 Site-SynthDigits     | Val  Loss: 2.2988 | Val  Acc: 0.1618
 Site-SynthDigits     | Val  Loss: 2.2966 | Val  Acc: 0.1393
 Site-MNIST-M         | Val  Loss: 2.2904 | Val  Acc: 0.1111
 Site-MNIST-M         | Val  Loss: 2.2869 | Val  Acc: 0.1358
 Site-SVHN            | Val  Loss: 2.2879 | Val  Acc: 0.0714
Average Valid Accuracy: 0.2358
 Best site-MNIST            | Epoch:0 | Val Acc: 1.0000
 Best site-MNIST            | Epoch:0 | Val Acc: 0.3333
 Best site-MNIST            | Epoch:0 | Val Acc: 0.4000
 Best site-MNIST            | Epoch:0 | Val Acc: 0.3333
 Best site-MNIST            | Epoch:0 | Val Acc: 0.2353
 Best site-MNIST            | Epoch:0 | Val Acc: 0.2903
 Best site-MNIST            | Epoch:0 | Val Acc: 0.2321
 Best site-MNIST            | Epoch:0 | Val Acc: 0.2941
 Best site-MNIST            | Epoch:0 | Val Acc: 0.2240
 Best site-MNIST            | Epoch:0 | Val Acc: 0.2296
 Best site-USPS             | Epoch:0 | Val Acc: 0.2000
 Best site-USPS             | Epoch:0 | Val Acc: 0.0000
 Best site-USPS             | Epoch:0 | Val Acc: 0.1250
 Best site-USPS             | Epoch:0 | Val Acc: 0.1379
