===2023-05-11 16:59:00===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,domain number = 5
============ Train epoch 0 ============
 Site-MNIST     | Train Loss: 1.2279 | Train Acc: 0.8333
 Site-MNIST     | Train Loss: 1.1968 | Train Acc: 0.7500
 Site-MNIST     | Train Loss: 0.9121 | Train Acc: 0.9524
 Site-MNIST     | Train Loss: 1.1090 | Train Acc: 0.8158
 Site-MNIST     | Train Loss: 1.1621 | Train Acc: 0.7714
 Site-MNIST     | Train Loss: 1.1568 | Train Acc: 0.8413
 Site-MNIST     | Train Loss: 1.1495 | Train Acc: 0.7885
 Site-MNIST     | Train Loss: 1.2219 | Train Acc: 0.7115
 Site-MNIST     | Train Loss: 1.1741 | Train Acc: 0.7677
 Site-MNIST     | Train Loss: 1.1260 | Train Acc: 0.7977
 Site-USPS      | Train Loss: 1.1746 | Train Acc: 0.7000
 Site-USPS      | Train Loss: 1.3358 | Train Acc: 0.6806
 Site-USPS      | Train Loss: 1.3950 | Train Acc: 0.7442
 Site-USPS      | Train Loss: 1.1379 | Train Acc: 0.7382
 Site-USPS      | Train Loss: 1.0764 | Train Acc: 0.7738
 Site-USPS      | Train Loss: 1.0973 | Train Acc: 0.7712
 Site-SynthDigits| Train Loss: 2.0472 | Train Acc: 0.2517
 Site-SynthDigits| Train Loss: 2.0793 | Train Acc: 0.2674
 Site-SynthDigits| Train Loss: 2.0066 | Train Acc: 0.2790
 Site-MNIST-M   | Train Loss: 2.1580 | Train Acc: 0.2265
 Site-MNIST-M   | Train Loss: 2.1520 | Train Acc: 0.2263
 Site-SVHN      | Train Loss: 2.2667 | Train Acc: 0.1348
 Site-MNIST     | Val  Loss: 0.8372 | Val  Acc: 1.0000
 Site-MNIST     | Val  Loss: 1.0905 | Val  Acc: 0.6667
 Site-MNIST     | Val  Loss: 1.1332 | Val  Acc: 0.8000
 Site-MNIST     | Val  Loss: 1.3086 | Val  Acc: 0.6667
 Site-MNIST     | Val  Loss: 1.2413 | Val  Acc: 0.7059
 Site-MNIST     | Val  Loss: 1.2025 | Val  Acc: 0.7419
 Site-MNIST     | Val  Loss: 1.1655 | Val  Acc: 0.7857
 Site-MNIST     | Val  Loss: 1.1354 | Val  Acc: 0.7451
 Site-MNIST     | Val  Loss: 1.1605 | Val  Acc: 0.7377
