===2023-06-04 18:52:26===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[13,24,43,77,140,252,454,818,1473,2651,80,144,259,467,840,1513,303,547,984,364,655,566,
client_nums=[10,6,3,2,1,]
len_dataset=[7438,4132,2295,1275,708,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                    | Train Loss: 2.1849 | Train Acc: 0.6154
 Site-MNIST                    | Train Loss: 2.1844 | Train Acc: 0.5000
 Site-MNIST                    | Train Loss: 2.1626 | Train Acc: 0.5349
 Site-MNIST                    | Train Loss: 2.1671 | Train Acc: 0.5065
 Site-MNIST                    | Train Loss: 2.1866 | Train Acc: 0.4643
 Site-MNIST                    | Train Loss: 2.1879 | Train Acc: 0.4683
 Site-MNIST                    | Train Loss: 2.1950 | Train Acc: 0.4383
 Site-MNIST                    | Train Loss: 2.1921 | Train Acc: 0.4548
 Site-MNIST                    | Train Loss: 2.1928 | Train Acc: 0.4474
 Site-MNIST                    | Train Loss: 2.1930 | Train Acc: 0.4523
 Site-USPS                     | Train Loss: 2.1911 | Train Acc: 0.4500
 Site-USPS                     | Train Loss: 2.1919 | Train Acc: 0.4375
 Site-USPS                     | Train Loss: 2.1827 | Train Acc: 0.4363
 Site-USPS                     | Train Loss: 2.1821 | Train Acc: 0.4775
 Site-USPS                     | Train Loss: 2.1847 | Train Acc: 0.4714
 Site-USPS                     | Train Loss: 2.1807 | Train Acc: 0.4805
 Site-SynthDigits              | Train Loss: 2.2851 | Train Acc: 0.1419
 Site-SynthDigits              | Train Loss: 2.2846 | Train Acc: 0.1536
 Site-SynthDigits              | Train Loss: 2.2718 | Train Acc: 0.1931
 Site-MNIST-M                  | Train Loss: 2.2936 | Train Acc: 0.1236
 Site-MNIST-M                  | Train Loss: 2.2948 | Train Acc: 0.1069
 Site-SVHN                     | Train Loss: 2.2917 | Train Acc: 0.1095
 Site-MNIST                         | Val  Loss: 2.2193 | Val  Acc: 0.3333
 Site-MNIST                         | Val  Loss: 2.1428 | Val  Acc: 0.6667
 Site-MNIST                         | Val  Loss: 2.1432 | Val  Acc: 0.5000
 Site-MNIST                         | Val  Loss: 2.1591 | Val  Acc: 0.5789
 Site-MNIST                         | Val  Loss: 2.1753 | Val  Acc: 0.4857
 Site-MNIST                         | Val  Loss: 2.2014 | Val  Acc: 0.4444
 Site-MNIST                         | Val  Loss: 2.1906 | Val  Acc: 0.4336
 Site-MNIST                         | Val  Loss: 2.1904 | Val  Acc: 0.4657
 Site-MNIST                         | Val  Loss: 2.1941 | Val  Acc: 0.4375
 Site-MNIST                         | Val  Loss: 2.1963 | Val  Acc: 0.4350
 Site-USPS                          | Val  Loss: 2.1878 | Val  Acc: 0.4500
 Site-USPS                          | Val  Loss: 2.2181 | Val  Acc: 0.5278
 Site-USPS                          | Val  Loss: 2.1771 | Val  Acc: 0.5000
 Site-USPS                          | Val  Loss: 2.1901 | Val  Acc: 0.4483
 Site-USPS                          | Val  Loss: 2.1802 | Val  Acc: 0.4762
 Site-USPS                          | Val  Loss: 2.1889 | Val  Acc: 0.4683
 Site-SynthDigits                   | Val  Loss: 2.2755 | Val  Acc: 0.1200
 Site-SynthDigits                   | Val  Loss: 2.2783 | Val  Acc: 0.1397
 Site-SynthDigits                   | Val  Loss: 2.2862 | Val  Acc: 0.1306
 Site-MNIST-M                       | Val  Loss: 2.2909 | Val  Acc: 0.1111
 Site-MNIST-M                       | Val  Loss: 2.2999 | Val  Acc: 0.1595
 Site-SVHN                          | Val  Loss: 2.2861 | Val  Acc: 0.1489
Average Valid Accuracy: 0.3846
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.3333
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.6667
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5789
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4857
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4444
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4336
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4657
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4375
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4350
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4500
 Best site-USPS                      | Epoch:0 | Val Acc: 0.5278
 Best site-USPS                      | Epoch:0 | Val Acc: 0.5000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4483
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4762
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4683
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1200
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1397
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1306
 Best site-MNIST-M                   | Epoch:0 | Val Acc: 0.1111
 Best site-MNIST-M                   | Epoch:0 | Val Acc: 0.1595
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1489
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1/drfl...
============ Train epoch 1 ============
 Site-MNIST                    | Train Loss: 2.0988 | Train Acc: 0.5385
 Site-MNIST                    | Train Loss: 2.0812 | Train Acc: 0.6250
 Site-MNIST                    | Train Loss: 2.0602 | Train Acc: 0.7442
 Site-MNIST                    | Train Loss: 2.0521 | Train Acc: 0.6883
 Site-MNIST                    | Train Loss: 2.0780 | Train Acc: 0.6786
 Site-MNIST                    | Train Loss: 2.0851 | Train Acc: 0.6071
 Site-MNIST                    | Train Loss: 2.0947 | Train Acc: 0.5529
 Site-MNIST                    | Train Loss: 2.0886 | Train Acc: 0.5819
 Site-MNIST                    | Train Loss: 2.0850 | Train Acc: 0.5784
 Site-MNIST                    | Train Loss: 2.0910 | Train Acc: 0.5847
 Site-USPS                     | Train Loss: 2.0803 | Train Acc: 0.5875
 Site-USPS                     | Train Loss: 2.0783 | Train Acc: 0.5625
 Site-USPS                     | Train Loss: 2.0574 | Train Acc: 0.5753
 Site-USPS                     | Train Loss: 2.0723 | Train Acc: 0.6317
 Site-USPS                     | Train Loss: 2.0700 | Train Acc: 0.6226
 Site-USPS                     | Train Loss: 2.0659 | Train Acc: 0.6424
 Site-SynthDigits              | Train Loss: 2.2648 | Train Acc: 0.2013
 Site-SynthDigits              | Train Loss: 2.2569 | Train Acc: 0.1974
 Site-SynthDigits              | Train Loss: 2.2477 | Train Acc: 0.2571
 Site-MNIST-M                  | Train Loss: 2.2823 | Train Acc: 0.1511
 Site-MNIST-M                  | Train Loss: 2.2834 | Train Acc: 0.1313
 Site-SVHN                     | Train Loss: 2.2854 | Train Acc: 0.1166
 Site-MNIST                         | Val  Loss: 2.0993 | Val  Acc: 0.6667
 Site-MNIST                         | Val  Loss: 1.9834 | Val  Acc: 0.8333
 Site-MNIST                         | Val  Loss: 2.0018 | Val  Acc: 0.6000
 Site-MNIST                         | Val  Loss: 2.0181 | Val  Acc: 0.6842
 Site-MNIST                         | Val  Loss: 2.0917 | Val  Acc: 0.5429
 Site-MNIST                         | Val  Loss: 2.1042 | Val  Acc: 0.5556
 Site-MNIST                         | Val  Loss: 2.0908 | Val  Acc: 0.5929
 Site-MNIST                         | Val  Loss: 2.0892 | Val  Acc: 0.6176
 Site-MNIST                         | Val  Loss: 2.0962 | Val  Acc: 0.5788
 Site-MNIST                         | Val  Loss: 2.1008 | Val  Acc: 0.5529
 Site-USPS                          | Val  Loss: 2.0608 | Val  Acc: 0.5500
 Site-USPS                          | Val  Loss: 2.0987 | Val  Acc: 0.6111
 Site-USPS                          | Val  Loss: 2.0406 | Val  Acc: 0.6562
 Site-USPS                          | Val  Loss: 2.0671 | Val  Acc: 0.6293
 Site-USPS                          | Val  Loss: 2.0600 | Val  Acc: 0.6429
 Site-USPS                          | Val  Loss: 2.0818 | Val  Acc: 0.6058
 Site-SynthDigits                   | Val  Loss: 2.2498 | Val  Acc: 0.1733
 Site-SynthDigits                   | Val  Loss: 2.2529 | Val  Acc: 0.1838
