===2023-06-20 03:56:31===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.2718 | Train Acc: 0.3333
 Site-MNIST                         | Train Loss: 2.3090 | Train Acc: 0.0000
 Site-MNIST                         | Train Loss: 2.2926 | Train Acc: 0.0952
 Site-MNIST                         | Train Loss: 2.2848 | Train Acc: 0.1053
 Site-MNIST                         | Train Loss: 2.2857 | Train Acc: 0.0857
 Site-MNIST                         | Train Loss: 2.3140 | Train Acc: 0.0317
 Site-MNIST                         | Train Loss: 2.3058 | Train Acc: 0.0573
 Site-MNIST                         | Train Loss: 2.2987 | Train Acc: 0.1051
 Site-MNIST                         | Train Loss: 2.3003 | Train Acc: 0.0883
 Site-MNIST                         | Train Loss: 2.3014 | Train Acc: 0.0687
 Site-USPS                          | Train Loss: 2.2978 | Train Acc: 0.0750
 Site-USPS                          | Train Loss: 2.3222 | Train Acc: 0.0417
 Site-USPS                          | Train Loss: 2.3322 | Train Acc: 0.0930
 Site-USPS                          | Train Loss: 2.2973 | Train Acc: 0.0858
 Site-USPS                          | Train Loss: 2.2994 | Train Acc: 0.0786
 Site-USPS                          | Train Loss: 2.2971 | Train Acc: 0.0820
 Site-SynthDigits                   | Train Loss: 2.2994 | Train Acc: 0.1258
 Site-SynthDigits                   | Train Loss: 2.3081 | Train Acc: 0.0952
 Site-SynthDigits                   | Train Loss: 2.3102 | Train Acc: 0.1059
 Site-MNIST-M                       | Train Loss: 2.3104 | Train Acc: 0.1105
 Site-MNIST-M                       | Train Loss: 2.3135 | Train Acc: 0.0795
 Site-SVHN                          | Train Loss: 2.2980 | Train Acc: 0.0993
Average Train Accuracy: 0.0929
 Site-MNIST                         | Val  Loss: 2.2329 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3684 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3605 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3762 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3376 | Val  Acc: 0.0588
 Site-MNIST                         | Val  Loss: 2.3109 | Val  Acc: 0.0968
 Site-MNIST                         | Val  Loss: 2.3002 | Val  Acc: 0.1071
 Site-MNIST                         | Val  Loss: 2.3022 | Val  Acc: 0.0686
 Site-MNIST                         | Val  Loss: 2.3002 | Val  Acc: 0.1038
 Site-MNIST                         | Val  Loss: 2.3057 | Val  Acc: 0.0785
 Site-USPS                          | Val  Loss: 2.2264 | Val  Acc: 0.3000
 Site-USPS                          | Val  Loss: 2.2664 | Val  Acc: 0.2778
 Site-USPS                          | Val  Loss: 2.2949 | Val  Acc: 0.1250
 Site-USPS                          | Val  Loss: 2.2906 | Val  Acc: 0.0862
 Site-USPS                          | Val  Loss: 2.2948 | Val  Acc: 0.0667
 Site-USPS                          | Val  Loss: 2.3042 | Val  Acc: 0.0741
 Site-SynthDigits                   | Val  Loss: 2.3079 | Val  Acc: 0.1351
 Site-SynthDigits                   | Val  Loss: 2.3321 | Val  Acc: 0.1029
 Site-SynthDigits                   | Val  Loss: 2.3019 | Val  Acc: 0.0492
 Site-MNIST-M                       | Val  Loss: 2.3173 | Val  Acc: 0.1333
 Site-MNIST-M                       | Val  Loss: 2.3120 | Val  Acc: 0.0988
 Site-SVHN                          | Val  Loss: 2.3149 | Val  Acc: 0.1571
Average Valid Accuracy: 0.0964
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0000
