===2023-06-20 05:14:54===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.2303 | Train Acc: 0.5000
 Site-MNIST                         | Train Loss: 2.2593 | Train Acc: 0.1667
 Site-MNIST                         | Train Loss: 2.2423 | Train Acc: 0.2381
 Site-MNIST                         | Train Loss: 2.2434 | Train Acc: 0.3684
 Site-MNIST                         | Train Loss: 2.2302 | Train Acc: 0.3714
 Site-MNIST                         | Train Loss: 2.2501 | Train Acc: 0.2143
 Site-MNIST                         | Train Loss: 2.2411 | Train Acc: 0.2643
 Site-MNIST                         | Train Loss: 2.2505 | Train Acc: 0.2323
 Site-MNIST                         | Train Loss: 2.2463 | Train Acc: 0.2500
 Site-MNIST                         | Train Loss: 2.2419 | Train Acc: 0.2672
 Site-USPS                          | Train Loss: 2.2546 | Train Acc: 0.4000
 Site-USPS                          | Train Loss: 2.2278 | Train Acc: 0.2917
 Site-USPS                          | Train Loss: 2.2678 | Train Acc: 0.3721
 Site-USPS                          | Train Loss: 2.2276 | Train Acc: 0.3820
 Site-USPS                          | Train Loss: 2.2417 | Train Acc: 0.3690
 Site-USPS                          | Train Loss: 2.2326 | Train Acc: 0.3796
 Site-SynthDigits                   | Train Loss: 2.2925 | Train Acc: 0.1325
 Site-SynthDigits                   | Train Loss: 2.2976 | Train Acc: 0.1062
 Site-SynthDigits                   | Train Loss: 2.2975 | Train Acc: 0.1487
 Site-MNIST-M                       | Train Loss: 2.3038 | Train Acc: 0.1160
 Site-MNIST-M                       | Train Loss: 2.3145 | Train Acc: 0.1009
 Site-SVHN                          | Train Loss: 2.2942 | Train Acc: 0.1028
Average Train Accuracy: 0.2625
 Site-MNIST                         | Val  Loss: 2.1406 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 2.3019 | Val  Acc: 0.3333
 Site-MNIST                         | Val  Loss: 2.2931 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.3185 | Val  Acc: 0.1111
 Site-MNIST                         | Val  Loss: 2.2820 | Val  Acc: 0.2353
 Site-MNIST                         | Val  Loss: 2.2619 | Val  Acc: 0.1935
 Site-MNIST                         | Val  Loss: 2.2494 | Val  Acc: 0.2500
 Site-MNIST                         | Val  Loss: 2.2477 | Val  Acc: 0.2451
 Site-MNIST                         | Val  Loss: 2.2471 | Val  Acc: 0.2350
 Site-MNIST                         | Val  Loss: 2.2485 | Val  Acc: 0.2205
 Site-USPS                          | Val  Loss: 2.1752 | Val  Acc: 0.7000
 Site-USPS                          | Val  Loss: 2.2218 | Val  Acc: 0.5000
 Site-USPS                          | Val  Loss: 2.2302 | Val  Acc: 0.4375
 Site-USPS                          | Val  Loss: 2.2348 | Val  Acc: 0.3621
 Site-USPS                          | Val  Loss: 2.2289 | Val  Acc: 0.3619
 Site-USPS                          | Val  Loss: 2.2363 | Val  Acc: 0.3704
 Site-SynthDigits                   | Val  Loss: 2.3184 | Val  Acc: 0.1622
 Site-SynthDigits                   | Val  Loss: 2.3156 | Val  Acc: 0.1471
 Site-SynthDigits                   | Val  Loss: 2.2922 | Val  Acc: 0.0820
 Site-MNIST-M                       | Val  Loss: 2.3095 | Val  Acc: 0.1333
 Site-MNIST-M                       | Val  Loss: 2.3098 | Val  Acc: 0.1111
 Site-SVHN                          | Val  Loss: 2.3048 | Val  Acc: 0.1571
Average Valid Accuracy: 0.2977
 Best site-MNIST                     | Epoch:0 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.3333
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1111
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.2353
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1935
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.2500
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.2451
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.2350
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.2205
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.5000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.4375
 Best site-USPS                      | Epoch:0 | Val Acc: 0.3621
 Best site-USPS                      | Epoch:0 | Val Acc: 0.3619
 Best site-USPS                      | Epoch:0 | Val Acc: 0.3704
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1622
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1471
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.0820
 Best site-MNIST-M                   | Epoch:0 | Val Acc: 0.1333
 Best site-MNIST-M                   | Epoch:0 | Val Acc: 0.1111
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1571
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1/fedmix...
============ Train epoch 1 ============
 Site-MNIST                         | Train Loss: 2.1891 | Train Acc: 0.5000
 Site-MNIST                         | Train Loss: 2.2085 | Train Acc: 0.4167
 Site-MNIST                         | Train Loss: 2.1872 | Train Acc: 0.3333
 Site-MNIST                         | Train Loss: 2.1769 | Train Acc: 0.5263
 Site-MNIST                         | Train Loss: 2.1486 | Train Acc: 0.5571
 Site-MNIST                         | Train Loss: 2.1864 | Train Acc: 0.4206
 Site-MNIST                         | Train Loss: 2.1834 | Train Acc: 0.4449
 Site-MNIST                         | Train Loss: 2.2001 | Train Acc: 0.3936
 Site-MNIST                         | Train Loss: 2.1920 | Train Acc: 0.4008
 Site-MNIST                         | Train Loss: 2.1836 | Train Acc: 0.4513
 Site-USPS                          | Train Loss: 2.1622 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.1704 | Train Acc: 0.4583
 Site-USPS                          | Train Loss: 2.1559 | Train Acc: 0.4341
 Site-USPS                          | Train Loss: 2.1703 | Train Acc: 0.4678
 Site-USPS                          | Train Loss: 2.1794 | Train Acc: 0.4381
 Site-USPS                          | Train Loss: 2.1720 | Train Acc: 0.4788
 Site-SynthDigits                   | Train Loss: 2.2852 | Train Acc: 0.1656
 Site-SynthDigits                   | Train Loss: 2.2882 | Train Acc: 0.1392
 Site-SynthDigits                   | Train Loss: 2.2843 | Train Acc: 0.2016
 Site-MNIST-M                       | Train Loss: 2.3003 | Train Acc: 0.1492
 Site-MNIST-M                       | Train Loss: 2.3102 | Train Acc: 0.1162
 Site-SVHN                          | Train Loss: 2.2905 | Train Acc: 0.0851
Average Train Accuracy: 0.3672
 Site-MNIST                         | Val  Loss: 2.0634 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 2.2468 | Val  Acc: 0.3333
 Site-MNIST                         | Val  Loss: 2.2335 | Val  Acc: 0.4000
 Site-MNIST                         | Val  Loss: 2.2651 | Val  Acc: 0.2222
 Site-MNIST                         | Val  Loss: 2.2273 | Val  Acc: 0.2941
 Site-MNIST                         | Val  Loss: 2.2105 | Val  Acc: 0.3548
 Site-MNIST                         | Val  Loss: 2.1958 | Val  Acc: 0.4464
 Site-MNIST                         | Val  Loss: 2.1990 | Val  Acc: 0.4608
 Site-MNIST                         | Val  Loss: 2.1940 | Val  Acc: 0.4208
 Site-MNIST                         | Val  Loss: 2.1932 | Val  Acc: 0.3988
 Site-USPS                          | Val  Loss: 2.1238 | Val  Acc: 0.7000
 Site-USPS                          | Val  Loss: 2.1812 | Val  Acc: 0.5556
 Site-USPS                          | Val  Loss: 2.1723 | Val  Acc: 0.5000
 Site-USPS                          | Val  Loss: 2.1808 | Val  Acc: 0.4310
 Site-USPS                          | Val  Loss: 2.1647 | Val  Acc: 0.4476
 Site-USPS                          | Val  Loss: 2.1718 | Val  Acc: 0.4709
 Site-SynthDigits                   | Val  Loss: 2.3155 | Val  Acc: 0.2162
 Site-SynthDigits                   | Val  Loss: 2.3114 | Val  Acc: 0.2353
 Site-SynthDigits                   | Val  Loss: 2.2818 | Val  Acc: 0.1475
 Site-MNIST-M                       | Val  Loss: 2.3013 | Val  Acc: 0.1333
 Site-MNIST-M                       | Val  Loss: 2.3010 | Val  Acc: 0.1728
 Site-SVHN                          | Val  Loss: 2.3028 | Val  Acc: 0.1143
Average Valid Accuracy: 0.3844
 Best site-MNIST                     | Epoch:1 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3333
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.4000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2222
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2941
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3548
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.4464
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.4608
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.4208
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3988
 Best site-USPS                      | Epoch:1 | Val Acc: 0.7000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.5556
