===2023-07-01 09:57:17===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.2963 | Train Acc: 0.0000
 Site-MNIST                         | Train Loss: 2.3255 | Train Acc: 0.0000
 Site-MNIST                         | Train Loss: 2.2967 | Train Acc: 0.0476
 Site-MNIST                         | Train Loss: 2.2889 | Train Acc: 0.1316
 Site-MNIST                         | Train Loss: 2.2926 | Train Acc: 0.0571
 Site-MNIST                         | Train Loss: 2.3212 | Train Acc: 0.0317
 Site-MNIST                         | Train Loss: 2.3084 | Train Acc: 0.0661
 Site-MNIST                         | Train Loss: 2.3027 | Train Acc: 0.0782
 Site-MNIST                         | Train Loss: 2.3011 | Train Acc: 0.0897
 Site-MNIST                         | Train Loss: 2.3042 | Train Acc: 0.0664
 Site-USPS                          | Train Loss: 2.3042 | Train Acc: 0.0750
 Site-USPS                          | Train Loss: 2.3206 | Train Acc: 0.0694
 Site-USPS                          | Train Loss: 2.3368 | Train Acc: 0.0310
 Site-USPS                          | Train Loss: 2.2987 | Train Acc: 0.0858
 Site-USPS                          | Train Loss: 2.3029 | Train Acc: 0.0619
 Site-USPS                          | Train Loss: 2.3031 | Train Acc: 0.0608
 Site-SynthDigits                   | Train Loss: 2.2935 | Train Acc: 0.1523
 Site-SynthDigits                   | Train Loss: 2.3075 | Train Acc: 0.0916
 Site-SynthDigits                   | Train Loss: 2.3112 | Train Acc: 0.0937
 Site-MNIST_M                       | Train Loss: 2.3107 | Train Acc: 0.1105
 Site-MNIST_M                       | Train Loss: 2.3154 | Train Acc: 0.0765
 Site-SVHN                          | Train Loss: 2.3017 | Train Acc: 0.0816
Average Train Accuracy: 0.0708
 Site-MNIST                         | Val  Loss: 2.2102 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3544 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3300 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3568 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3280 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3108 | Val  Acc: 0.0968
 Site-MNIST                         | Val  Loss: 2.3006 | Val  Acc: 0.0714
 Site-MNIST                         | Val  Loss: 2.3031 | Val  Acc: 0.0588
 Site-MNIST                         | Val  Loss: 2.3047 | Val  Acc: 0.0820
 Site-MNIST                         | Val  Loss: 2.3100 | Val  Acc: 0.0816
 Site-USPS                          | Val  Loss: 2.2266 | Val  Acc: 0.1000
 Site-USPS                          | Val  Loss: 2.2779 | Val  Acc: 0.1667
 Site-USPS                          | Val  Loss: 2.2987 | Val  Acc: 0.1250
 Site-USPS                          | Val  Loss: 2.2924 | Val  Acc: 0.1034
 Site-USPS                          | Val  Loss: 2.2979 | Val  Acc: 0.0762
 Site-USPS                          | Val  Loss: 2.3088 | Val  Acc: 0.0582
 Site-SynthDigits                   | Val  Loss: 2.3034 | Val  Acc: 0.1081
 Site-SynthDigits                   | Val  Loss: 2.3165 | Val  Acc: 0.0735
 Site-SynthDigits                   | Val  Loss: 2.2995 | Val  Acc: 0.0492
 Site-MNIST_M                       | Val  Loss: 2.3178 | Val  Acc: 0.0667
 Site-MNIST_M                       | Val  Loss: 2.3101 | Val  Acc: 0.0864
 Site-SVHN                          | Val  Loss: 2.3153 | Val  Acc: 0.1286
Average Valid Accuracy: 0.0697
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0968
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0714
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0588
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0820
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0816
 Best site-USPS                      | Epoch:0 | Val Acc: 0.1000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.1667
 Best site-USPS                      | Epoch:0 | Val Acc: 0.1250
 Best site-USPS                      | Epoch:0 | Val Acc: 0.1034
 Best site-USPS                      | Epoch:0 | Val Acc: 0.0762
 Best site-USPS                      | Epoch:0 | Val Acc: 0.0582
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1081
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.0735
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.0492
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.0667
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.0864
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1286
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1/fpl...
============ Train epoch 1 ============
 Site-MNIST                         | Train Loss: 2.2949 | Train Acc: 0.0000
 Site-MNIST                         | Train Loss: 2.3237 | Train Acc: 0.0000
 Site-MNIST                         | Train Loss: 2.3119 | Train Acc: 0.0000
 Site-MNIST                         | Train Loss: 2.2857 | Train Acc: 0.1842
 Site-MNIST                         | Train Loss: 2.3129 | Train Acc: 0.0143
 Site-MNIST                         | Train Loss: 2.3213 | Train Acc: 0.0238
