===2023-06-22 01:00:56===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[13,24,43,77,140,252,454,818,1473,2651,80,144,259,467,840,1513,303,547,984,364,655,566,
client_nums=[10,6,3,2,1,]
len_dataset=[7438,4132,2295,1275,708,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.2324 | Train Acc: 0.3077
 Site-MNIST                         | Train Loss: 2.2595 | Train Acc: 0.1250
 Site-MNIST                         | Train Loss: 2.2307 | Train Acc: 0.3488
 Site-MNIST                         | Train Loss: 2.2130 | Train Acc: 0.3247
 Site-MNIST                         | Train Loss: 2.2496 | Train Acc: 0.1857
 Site-MNIST                         | Train Loss: 2.2504 | Train Acc: 0.2262
 Site-MNIST                         | Train Loss: 2.2452 | Train Acc: 0.2291
 Site-MNIST                         | Train Loss: 2.2487 | Train Acc: 0.2054
 Site-MNIST                         | Train Loss: 2.2496 | Train Acc: 0.2295
 Site-MNIST                         | Train Loss: 2.2462 | Train Acc: 0.2139
 Site-USPS                          | Train Loss: 2.2367 | Train Acc: 0.3875
 Site-USPS                          | Train Loss: 2.2441 | Train Acc: 0.3056
 Site-USPS                          | Train Loss: 2.2250 | Train Acc: 0.3745
 Site-USPS                          | Train Loss: 2.2368 | Train Acc: 0.3597
 Site-USPS                          | Train Loss: 2.2328 | Train Acc: 0.3798
 Site-USPS                          | Train Loss: 2.2326 | Train Acc: 0.3860
 Site-SynthDigits                   | Train Loss: 2.2951 | Train Acc: 0.1155
 Site-SynthDigits                   | Train Loss: 2.2980 | Train Acc: 0.1499
 Site-SynthDigits                   | Train Loss: 2.2974 | Train Acc: 0.1321
 Site-MNIST-M                       | Train Loss: 2.3120 | Train Acc: 0.1044
 Site-MNIST-M                       | Train Loss: 2.3078 | Train Acc: 0.1084
 Site-SVHN                          | Train Loss: 2.2952 | Train Acc: 0.1166
Average Train Accuracy: 0.2416
 Site-MNIST                         | Val  Loss: 2.2858 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.2433 | Val  Acc: 0.1667
 Site-MNIST                         | Val  Loss: 2.2324 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.2226 | Val  Acc: 0.3158
 Site-MNIST                         | Val  Loss: 2.2604 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.2546 | Val  Acc: 0.2381
 Site-MNIST                         | Val  Loss: 2.2544 | Val  Acc: 0.1858
 Site-MNIST                         | Val  Loss: 2.2399 | Val  Acc: 0.1814
 Site-MNIST                         | Val  Loss: 2.2504 | Val  Acc: 0.1929
 Site-MNIST                         | Val  Loss: 2.2479 | Val  Acc: 0.2205
 Site-USPS                          | Val  Loss: 2.2460 | Val  Acc: 0.3000
 Site-USPS                          | Val  Loss: 2.2361 | Val  Acc: 0.3889
 Site-USPS                          | Val  Loss: 2.2252 | Val  Acc: 0.4062
 Site-USPS                          | Val  Loss: 2.2309 | Val  Acc: 0.4052
 Site-USPS                          | Val  Loss: 2.2254 | Val  Acc: 0.3857
 Site-USPS                          | Val  Loss: 2.2343 | Val  Acc: 0.3677
 Site-SynthDigits                   | Val  Loss: 2.2886 | Val  Acc: 0.1600
 Site-SynthDigits                   | Val  Loss: 2.2884 | Val  Acc: 0.1324
 Site-SynthDigits                   | Val  Loss: 2.2993 | Val  Acc: 0.1306
 Site-MNIST-M                       | Val  Loss: 2.3292 | Val  Acc: 0.0556
 Site-MNIST-M                       | Val  Loss: 2.3256 | Val  Acc: 0.0798
 Site-SVHN                          | Val  Loss: 2.2860 | Val  Acc: 0.0922
Average Valid Accuracy: 0.2184
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1667
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.3158
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.2000
