===2023-06-29 20:17:50===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
cnt=[10, 6, 3, 2, 1, ]
cnt=[6, 10, 3, 2, 1, ]
 Site-MNIST                         | Train Loss: 1.8059 | Train Acc: 0.5000
 Site-MNIST                         | Train Loss: 1.7211 | Train Acc: 0.5833
 Site-MNIST                         | Train Loss: 1.4692 | Train Acc: 0.6667
 Site-MNIST                         | Train Loss: 1.6284 | Train Acc: 0.6579
 Site-MNIST                         | Train Loss: 1.5688 | Train Acc: 0.7000
 Site-MNIST                         | Train Loss: 1.5596 | Train Acc: 0.7381
 Site-MNIST                         | Train Loss: 1.5630 | Train Acc: 0.7269
 Site-MNIST                         | Train Loss: 1.6310 | Train Acc: 0.6577
 Site-MNIST                         | Train Loss: 1.6137 | Train Acc: 0.6549
 Site-MNIST                         | Train Loss: 1.5854 | Train Acc: 0.6770
 Site-USPS                          | Train Loss: 1.6334 | Train Acc: 0.7000
 Site-USPS                          | Train Loss: 1.6744 | Train Acc: 0.6528
 Site-USPS                          | Train Loss: 1.6069 | Train Acc: 0.6899
 Site-USPS                          | Train Loss: 1.6441 | Train Acc: 0.6695
 Site-USPS                          | Train Loss: 1.6740 | Train Acc: 0.6786
 Site-USPS                          | Train Loss: 1.6728 | Train Acc: 0.6468
 Site-SynthDigits                   | Train Loss: 2.1164 | Train Acc: 0.2715
 Site-SynthDigits                   | Train Loss: 2.1333 | Train Acc: 0.2198
 Site-SynthDigits                   | Train Loss: 2.1014 | Train Acc: 0.2566
 Site-MNIST_M                       | Train Loss: 2.2422 | Train Acc: 0.1823
 Site-MNIST_M                       | Train Loss: 2.2174 | Train Acc: 0.1835
 Site-SVHN                          | Train Loss: 2.2396 | Train Acc: 0.1773
Average Train Accuracy: 0.5405
 Site-MNIST                         | Val  Loss: 1.8972 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 1.7297 | Val  Acc: 0.6667
 Site-MNIST                         | Val  Loss: 1.4888 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 1.6271 | Val  Acc: 0.6667
 Site-MNIST                         | Val  Loss: 1.5821 | Val  Acc: 0.7059
 Site-MNIST                         | Val  Loss: 1.6160 | Val  Acc: 0.7097
 Site-MNIST                         | Val  Loss: 1.5526 | Val  Acc: 0.7321
 Site-MNIST                         | Val  Loss: 1.5504 | Val  Acc: 0.7451
 Site-MNIST                         | Val  Loss: 1.5933 | Val  Acc: 0.6885
 Site-MNIST                         | Val  Loss: 1.5599 | Val  Acc: 0.6798
 Site-USPS                          | Val  Loss: 1.6009 | Val  Acc: 0.9000
 Site-USPS                          | Val  Loss: 1.8103 | Val  Acc: 0.6111
 Site-USPS                          | Val  Loss: 1.7532 | Val  Acc: 0.6250
 Site-USPS                          | Val  Loss: 1.7151 | Val  Acc: 0.5517
 Site-USPS                          | Val  Loss: 1.6452 | Val  Acc: 0.6571
 Site-USPS                          | Val  Loss: 1.6217 | Val  Acc: 0.7143
 Site-SynthDigits                   | Val  Loss: 2.1155 | Val  Acc: 0.2703
 Site-SynthDigits                   | Val  Loss: 2.0581 | Val  Acc: 0.2647
 Site-SynthDigits                   | Val  Loss: 2.1311 | Val  Acc: 0.2377
 Site-MNIST_M                       | Val  Loss: 2.2644 | Val  Acc: 0.1556
 Site-MNIST_M                       | Val  Loss: 2.2256 | Val  Acc: 0.1481
 Site-SVHN                          | Val  Loss: 2.1610 | Val  Acc: 0.0714
Average Valid Accuracy: 0.5728
 Best site-MNIST                     | Epoch:0 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.6667
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.6667
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7059
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7097
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7321
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7451
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.6885
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.6798
 Best site-USPS                      | Epoch:0 | Val Acc: 0.9000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.6111
 Best site-USPS                      | Epoch:0 | Val Acc: 0.6250
 Best site-USPS                      | Epoch:0 | Val Acc: 0.5517
 Best site-USPS                      | Epoch:0 | Val Acc: 0.6571
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7143
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2703
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2647
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2377
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.1556
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.1481
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.0714
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1/only_dcnet...
============ Train epoch 1 ============
cnt=[3, 10, 2, 6, 1, ]
cnt=[6, 1, 3, 3, 9, ]
 Site-MNIST                         | Train Loss: 1.2645 | Train Acc: 0.6667
 Site-MNIST                         | Train Loss: 1.2316 | Train Acc: 0.6667
 Site-MNIST                         | Train Loss: 0.9246 | Train Acc: 0.9524
 Site-MNIST                         | Train Loss: 1.0590 | Train Acc: 0.8158
 Site-MNIST                         | Train Loss: 1.2823 | Train Acc: 0.8571
 Site-MNIST                         | Train Loss: 1.0234 | Train Acc: 0.8651
 Site-MNIST                         | Train Loss: 1.0307 | Train Acc: 0.8546
 Site-MNIST                         | Train Loss: 1.1421 | Train Acc: 0.7800
 Site-MNIST                         | Train Loss: 1.0997 | Train Acc: 0.7840
 Site-MNIST                         | Train Loss: 1.0486 | Train Acc: 0.8136
 Site-USPS                          | Train Loss: 1.0996 | Train Acc: 0.8250
 Site-USPS                          | Train Loss: 1.0233 | Train Acc: 0.8056
 Site-USPS                          | Train Loss: 1.3250 | Train Acc: 0.8295
 Site-USPS                          | Train Loss: 1.1532 | Train Acc: 0.7725
 Site-USPS                          | Train Loss: 1.1476 | Train Acc: 0.7929
 Site-USPS                          | Train Loss: 1.1612 | Train Acc: 0.7844
 Site-SynthDigits                   | Train Loss: 1.9511 | Train Acc: 0.3709
 Site-SynthDigits                   | Train Loss: 1.9385 | Train Acc: 0.3077
 Site-SynthDigits                   | Train Loss: 1.8939 | Train Acc: 0.3157
 Site-MNIST_M                       | Train Loss: 2.1241 | Train Acc: 0.2486
 Site-MNIST_M                       | Train Loss: 2.1029 | Train Acc: 0.2966
 Site-SVHN                          | Train Loss: 2.1299 | Train Acc: 0.2376
Average Train Accuracy: 0.6656
 Site-MNIST                         | Val  Loss: 1.2335 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 1.0769 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.9619 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 1.1373 | Val  Acc: 0.7778
 Site-MNIST                         | Val  Loss: 1.0729 | Val  Acc: 0.8235
 Site-MNIST                         | Val  Loss: 1.0926 | Val  Acc: 0.8387
 Site-MNIST                         | Val  Loss: 1.0177 | Val  Acc: 0.8571
 Site-MNIST                         | Val  Loss: 1.0349 | Val  Acc: 0.8333
 Site-MNIST                         | Val  Loss: 1.0983 | Val  Acc: 0.7923
 Site-MNIST                         | Val  Loss: 1.0560 | Val  Acc: 0.8036
 Site-USPS                          | Val  Loss: 1.0006 | Val  Acc: 0.9000
 Site-USPS                          | Val  Loss: 1.3823 | Val  Acc: 0.6667
 Site-USPS                          | Val  Loss: 1.3179 | Val  Acc: 0.7188
 Site-USPS                          | Val  Loss: 1.2982 | Val  Acc: 0.6724
 Site-USPS                          | Val  Loss: 1.1718 | Val  Acc: 0.7619
 Site-USPS                          | Val  Loss: 1.1208 | Val  Acc: 0.8148
 Site-SynthDigits                   | Val  Loss: 2.0125 | Val  Acc: 0.3243
 Site-SynthDigits                   | Val  Loss: 1.9270 | Val  Acc: 0.3235
 Site-SynthDigits                   | Val  Loss: 1.9329 | Val  Acc: 0.3279
 Site-MNIST_M                       | Val  Loss: 2.1783 | Val  Acc: 0.1556
 Site-MNIST_M                       | Val  Loss: 2.1120 | Val  Acc: 0.2593
 Site-SVHN                          | Val  Loss: 1.9460 | Val  Acc: 0.2286
Average Valid Accuracy: 0.6673
 Best site-MNIST                     | Epoch:1 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:1 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7778
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8235
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8387
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8571
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8333
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7923
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.8036
 Best site-USPS                      | Epoch:1 | Val Acc: 0.9000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6667
 Best site-USPS                      | Epoch:1 | Val Acc: 0.7188
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6724
 Best site-USPS                      | Epoch:1 | Val Acc: 0.7619
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8148
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3243
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3235
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3279
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.1556
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.2593
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.2286
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1/only_dcnet...
============ Train epoch 2 ============
cnt=[2, 10, 3, 1, 6, ]
cnt=[1, 3, 6, 9, 3, ]
 Site-MNIST                         | Train Loss: 0.9060 | Train Acc: 0.8333
 Site-MNIST                         | Train Loss: 0.9864 | Train Acc: 0.7500
 Site-MNIST                         | Train Loss: 0.6927 | Train Acc: 0.9524
 Site-MNIST                         | Train Loss: 0.8029 | Train Acc: 0.8158
 Site-MNIST                         | Train Loss: 0.8769 | Train Acc: 0.8429
 Site-MNIST                         | Train Loss: 0.7792 | Train Acc: 0.8492
 Site-MNIST                         | Train Loss: 0.7705 | Train Acc: 0.8722
 Site-MNIST                         | Train Loss: 0.8957 | Train Acc: 0.8191
 Site-MNIST                         | Train Loss: 0.8364 | Train Acc: 0.8356
 Site-MNIST                         | Train Loss: 0.8046 | Train Acc: 0.8415
 Site-USPS                          | Train Loss: 0.8328 | Train Acc: 0.8250
 Site-USPS                          | Train Loss: 0.8567 | Train Acc: 0.8194
 Site-USPS                          | Train Loss: 0.8893 | Train Acc: 0.8527
 Site-USPS                          | Train Loss: 0.9024 | Train Acc: 0.8069
 Site-USPS                          | Train Loss: 0.8939 | Train Acc: 0.8143
 Site-USPS                          | Train Loss: 0.9055 | Train Acc: 0.8135
 Site-SynthDigits                   | Train Loss: 1.7619 | Train Acc: 0.4238
 Site-SynthDigits                   | Train Loss: 1.8721 | Train Acc: 0.3443
 Site-SynthDigits                   | Train Loss: 1.7846 | Train Acc: 0.3707
 Site-MNIST_M                       | Train Loss: 2.0432 | Train Acc: 0.2652
 Site-MNIST_M                       | Train Loss: 1.9714 | Train Acc: 0.3150
 Site-SVHN                          | Train Loss: 2.1222 | Train Acc: 0.2553
Average Train Accuracy: 0.6963
 Site-MNIST                         | Val  Loss: 0.8545 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.6681 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.6668 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.8128 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.7991 | Val  Acc: 0.9412
 Site-MNIST                         | Val  Loss: 0.8521 | Val  Acc: 0.8387
 Site-MNIST                         | Val  Loss: 0.7831 | Val  Acc: 0.8393
 Site-MNIST                         | Val  Loss: 0.7960 | Val  Acc: 0.8333
 Site-MNIST                         | Val  Loss: 0.8565 | Val  Acc: 0.8306
 Site-MNIST                         | Val  Loss: 0.8243 | Val  Acc: 0.8369
 Site-USPS                          | Val  Loss: 0.7171 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 1.1486 | Val  Acc: 0.6111
 Site-USPS                          | Val  Loss: 1.1041 | Val  Acc: 0.5938
 Site-USPS                          | Val  Loss: 1.0900 | Val  Acc: 0.6724
 Site-USPS                          | Val  Loss: 0.9459 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.8727 | Val  Acc: 0.8571
 Site-SynthDigits                   | Val  Loss: 1.9354 | Val  Acc: 0.4054
 Site-SynthDigits                   | Val  Loss: 1.8815 | Val  Acc: 0.4118
 Site-SynthDigits                   | Val  Loss: 1.8348 | Val  Acc: 0.3607
 Site-MNIST_M                       | Val  Loss: 2.1068 | Val  Acc: 0.2222
 Site-MNIST_M                       | Val  Loss: 2.0245 | Val  Acc: 0.2716
 Site-SVHN                          | Val  Loss: 1.9379 | Val  Acc: 0.2286
Average Valid Accuracy: 0.6979
 Best site-MNIST                     | Epoch:2 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:2 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:2 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:2 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.9412
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8387
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8393
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8333
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8306
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.8369
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8000
 Best site-USPS                      | Epoch:2 | Val Acc: 0.6111
 Best site-USPS                      | Epoch:2 | Val Acc: 0.5938
 Best site-USPS                      | Epoch:2 | Val Acc: 0.6724
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8000
 Best site-USPS                      | Epoch:2 | Val Acc: 0.8571
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.4054
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.4118
 Best site-SynthDigits               | Epoch:2 | Val Acc: 0.3607
 Best site-MNIST_M                   | Epoch:2 | Val Acc: 0.2222
 Best site-MNIST_M                   | Epoch:2 | Val Acc: 0.2716
 Best site-SVHN                      | Epoch:2 | Val Acc: 0.2286
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1/only_dcnet...
============ Train epoch 3 ============
cnt=[10, 2, 3, 1, 6, ]
cnt=[3, 1, 6, 3, 9, ]
 Site-MNIST                         | Train Loss: 0.7189 | Train Acc: 0.8333
 Site-MNIST                         | Train Loss: 0.8084 | Train Acc: 0.7500
 Site-MNIST                         | Train Loss: 0.5655 | Train Acc: 0.9524
 Site-MNIST                         | Train Loss: 0.6329 | Train Acc: 0.8684
 Site-MNIST                         | Train Loss: 0.5755 | Train Acc: 0.8571
 Site-MNIST                         | Train Loss: 0.6413 | Train Acc: 0.9127
 Site-MNIST                         | Train Loss: 0.6368 | Train Acc: 0.8899
 Site-MNIST                         | Train Loss: 0.7310 | Train Acc: 0.8411
 Site-MNIST                         | Train Loss: 0.6919 | Train Acc: 0.8573
 Site-MNIST                         | Train Loss: 0.6585 | Train Acc: 0.8709
 Site-USPS                          | Train Loss: 0.6921 | Train Acc: 0.8500
 Site-USPS                          | Train Loss: 0.8214 | Train Acc: 0.8611
 Site-USPS                          | Train Loss: 0.6592 | Train Acc: 0.8682
 Site-USPS                          | Train Loss: 0.7924 | Train Acc: 0.8369
 Site-USPS                          | Train Loss: 0.7605 | Train Acc: 0.8333
 Site-USPS                          | Train Loss: 0.7683 | Train Acc: 0.8333
 Site-SynthDigits                   | Train Loss: 1.6824 | Train Acc: 0.4172
 Site-SynthDigits                   | Train Loss: 1.7632 | Train Acc: 0.3590
 Site-SynthDigits                   | Train Loss: 1.6998 | Train Acc: 0.3849
 Site-MNIST_M                       | Train Loss: 1.9471 | Train Acc: 0.3149
 Site-MNIST_M                       | Train Loss: 1.8612 | Train Acc: 0.3761
 Site-SVHN                          | Train Loss: 2.0801 | Train Acc: 0.2518
Average Train Accuracy: 0.7191
 Site-MNIST                         | Val  Loss: 0.5766 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.4790 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.5460 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 0.6882 | Val  Acc: 0.8889
 Site-MNIST                         | Val  Loss: 0.6681 | Val  Acc: 0.8824
 Site-MNIST                         | Val  Loss: 0.6956 | Val  Acc: 0.8710
 Site-MNIST                         | Val  Loss: 0.6225 | Val  Acc: 0.8750
 Site-MNIST                         | Val  Loss: 0.6412 | Val  Acc: 0.8627
 Site-MNIST                         | Val  Loss: 0.7144 | Val  Acc: 0.8525
 Site-MNIST                         | Val  Loss: 0.6886 | Val  Acc: 0.8671
 Site-USPS                          | Val  Loss: 0.5550 | Val  Acc: 0.9000
 Site-USPS                          | Val  Loss: 1.0585 | Val  Acc: 0.6667
 Site-USPS                          | Val  Loss: 1.0030 | Val  Acc: 0.6875
 Site-USPS                          | Val  Loss: 0.9688 | Val  Acc: 0.7414
 Site-USPS                          | Val  Loss: 0.8147 | Val  Acc: 0.8286
 Site-USPS                          | Val  Loss: 0.7376 | Val  Acc: 0.8730
 Site-SynthDigits                   | Val  Loss: 1.8573 | Val  Acc: 0.4054
 Site-SynthDigits                   | Val  Loss: 1.7901 | Val  Acc: 0.3971
 Site-SynthDigits                   | Val  Loss: 1.7714 | Val  Acc: 0.3852
 Site-MNIST_M                       | Val  Loss: 2.0197 | Val  Acc: 0.2222
 Site-MNIST_M                       | Val  Loss: 1.9349 | Val  Acc: 0.3086
 Site-SVHN                          | Val  Loss: 1.8891 | Val  Acc: 0.2286
Average Valid Accuracy: 0.7065
 Best site-MNIST                     | Epoch:3 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:3 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8889
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8824
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8710
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8750
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8627
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8525
 Best site-MNIST                     | Epoch:3 | Val Acc: 0.8671
 Best site-USPS                      | Epoch:3 | Val Acc: 0.9000
 Best site-USPS                      | Epoch:3 | Val Acc: 0.6667
 Best site-USPS                      | Epoch:3 | Val Acc: 0.6875
 Best site-USPS                      | Epoch:3 | Val Acc: 0.7414
 Best site-USPS                      | Epoch:3 | Val Acc: 0.8286
 Best site-USPS                      | Epoch:3 | Val Acc: 0.8730
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.4054
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.3971
 Best site-SynthDigits               | Epoch:3 | Val Acc: 0.3852
 Best site-MNIST_M                   | Epoch:3 | Val Acc: 0.2222
 Best site-MNIST_M                   | Epoch:3 | Val Acc: 0.3086
 Best site-SVHN                      | Epoch:3 | Val Acc: 0.2286
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1/only_dcnet...
============ Train epoch 4 ============
cnt=[3, 10, 2, 1, 6, ]
cnt=[3, 6, 9, 1, 3, ]
 Site-MNIST                         | Train Loss: 0.6188 | Train Acc: 0.8333
 Site-MNIST                         | Train Loss: 0.7252 | Train Acc: 0.8333
 Site-MNIST                         | Train Loss: 0.4494 | Train Acc: 0.9524
 Site-MNIST                         | Train Loss: 0.5134 | Train Acc: 0.8684
 Site-MNIST                         | Train Loss: 0.4678 | Train Acc: 0.8714
 Site-MNIST                         | Train Loss: 0.5422 | Train Acc: 0.9048
 Site-MNIST                         | Train Loss: 0.5247 | Train Acc: 0.8767
 Site-MNIST                         | Train Loss: 0.6178 | Train Acc: 0.8484
 Site-MNIST                         | Train Loss: 0.5873 | Train Acc: 0.8696
 Site-MNIST                         | Train Loss: 0.5561 | Train Acc: 0.8875
 Site-USPS                          | Train Loss: 0.5956 | Train Acc: 0.8250
 Site-USPS                          | Train Loss: 0.7769 | Train Acc: 0.8611
 Site-USPS                          | Train Loss: 0.6178 | Train Acc: 0.8605
 Site-USPS                          | Train Loss: 0.6811 | Train Acc: 0.8326
 Site-USPS                          | Train Loss: 0.6497 | Train Acc: 0.8476
 Site-USPS                          | Train Loss: 0.6634 | Train Acc: 0.8347
 Site-SynthDigits                   | Train Loss: 1.6791 | Train Acc: 0.4702
 Site-SynthDigits                   | Train Loss: 1.7125 | Train Acc: 0.3883
 Site-SynthDigits                   | Train Loss: 1.6277 | Train Acc: 0.4196
 Site-MNIST_M                       | Train Loss: 1.8940 | Train Acc: 0.3370
 Site-MNIST_M                       | Train Loss: 1.7802 | Train Acc: 0.4037
 Site-SVHN                          | Train Loss: 2.0871 | Train Acc: 0.2340
Average Train Accuracy: 0.7300
 Site-MNIST                         | Val  Loss: 0.4249 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.3054 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.4298 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.5651 | Val  Acc: 1.0000
