===2023-06-22 11:22:51===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[13,24,43,77,140,252,454,818,1473,2651,80,144,259,467,840,1513,303,547,984,364,655,566,
client_nums=[10,6,3,2,1,]
len_dataset=[7438,4132,2295,1275,708,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.2592 | Train Acc: 0.3077
 Site-MNIST                         | Train Loss: 2.2846 | Train Acc: 0.0833
 Site-MNIST                         | Train Loss: 2.2582 | Train Acc: 0.2326
 Site-MNIST                         | Train Loss: 2.2481 | Train Acc: 0.2078
 Site-MNIST                         | Train Loss: 2.2839 | Train Acc: 0.0714
 Site-MNIST                         | Train Loss: 2.2776 | Train Acc: 0.1468
 Site-MNIST                         | Train Loss: 2.2708 | Train Acc: 0.1520
 Site-MNIST                         | Train Loss: 2.2761 | Train Acc: 0.1369
 Site-MNIST                         | Train Loss: 2.2758 | Train Acc: 0.1392
 Site-MNIST                         | Train Loss: 2.2731 | Train Acc: 0.1490
 Site-USPS                          | Train Loss: 2.2667 | Train Acc: 0.2375
 Site-USPS                          | Train Loss: 2.2759 | Train Acc: 0.2083
 Site-USPS                          | Train Loss: 2.2578 | Train Acc: 0.2046
 Site-USPS                          | Train Loss: 2.2667 | Train Acc: 0.2441
 Site-USPS                          | Train Loss: 2.2665 | Train Acc: 0.2214
 Site-USPS                          | Train Loss: 2.2654 | Train Acc: 0.2472
 Site-SynthDigits                   | Train Loss: 2.2995 | Train Acc: 0.1056
 Site-SynthDigits                   | Train Loss: 2.3039 | Train Acc: 0.1243
 Site-SynthDigits                   | Train Loss: 2.3038 | Train Acc: 0.1067
 Site-MNIST-M                       | Train Loss: 2.3159 | Train Acc: 0.1016
 Site-MNIST-M                       | Train Loss: 2.3110 | Train Acc: 0.1069
 Site-SVHN                          | Train Loss: 2.2975 | Train Acc: 0.1131
Average Train Accuracy: 0.1658
 Site-MNIST                         | Val  Loss: 2.3091 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.2856 | Val  Acc: 0.1667
 Site-MNIST                         | Val  Loss: 2.2702 | Val  Acc: 0.1000
 Site-MNIST                         | Val  Loss: 2.2622 | Val  Acc: 0.1579
 Site-MNIST                         | Val  Loss: 2.2886 | Val  Acc: 0.1143
 Site-MNIST                         | Val  Loss: 2.2801 | Val  Acc: 0.1587
 Site-MNIST                         | Val  Loss: 2.2815 | Val  Acc: 0.1327
 Site-MNIST                         | Val  Loss: 2.2655 | Val  Acc: 0.1422
 Site-MNIST                         | Val  Loss: 2.2762 | Val  Acc: 0.1332
 Site-MNIST                         | Val  Loss: 2.2728 | Val  Acc: 0.1420
 Site-USPS                          | Val  Loss: 2.2823 | Val  Acc: 0.1000
 Site-USPS                          | Val  Loss: 2.2746 | Val  Acc: 0.2500
 Site-USPS                          | Val  Loss: 2.2650 | Val  Acc: 0.2656
 Site-USPS                          | Val  Loss: 2.2656 | Val  Acc: 0.2414
 Site-USPS                          | Val  Loss: 2.2600 | Val  Acc: 0.2524
 Site-USPS                          | Val  Loss: 2.2637 | Val  Acc: 0.2460
 Site-SynthDigits                   | Val  Loss: 2.2957 | Val  Acc: 0.1200
 Site-SynthDigits                   | Val  Loss: 2.2955 | Val  Acc: 0.1029
 Site-SynthDigits                   | Val  Loss: 2.3047 | Val  Acc: 0.1143
 Site-MNIST-M                       | Val  Loss: 2.3339 | Val  Acc: 0.0556
 Site-MNIST-M                       | Val  Loss: 2.3301 | Val  Acc: 0.0798
 Site-SVHN                          | Val  Loss: 2.2889 | Val  Acc: 0.0922
Average Valid Accuracy: 0.1440
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1667
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1579
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1143
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1587
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1327
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1422
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1332
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1420
 Best site-USPS                      | Epoch:0 | Val Acc: 0.1000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2500
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2656
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2414
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2524
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2460
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1200
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1029
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1143
 Best site-MNIST-M                   | Epoch:0 | Val Acc: 0.0556
 Best site-MNIST-M                   | Epoch:0 | Val Acc: 0.0798
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.0922
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1/propfair...
============ Train epoch 1 ============
 Site-MNIST                         | Train Loss: 2.2321 | Train Acc: 0.3077
 Site-MNIST                         | Train Loss: 2.2583 | Train Acc: 0.1250
 Site-MNIST                         | Train Loss: 2.2304 | Train Acc: 0.3721
 Site-MNIST                         | Train Loss: 2.2250 | Train Acc: 0.3117
 Site-MNIST                         | Train Loss: 2.2486 | Train Acc: 0.2071
 Site-MNIST                         | Train Loss: 2.2491 | Train Acc: 0.2460
 Site-MNIST                         | Train Loss: 2.2480 | Train Acc: 0.2423
 Site-MNIST                         | Train Loss: 2.2478 | Train Acc: 0.2274
 Site-MNIST                         | Train Loss: 2.2425 | Train Acc: 0.2464
 Site-MNIST                         | Train Loss: 2.2455 | Train Acc: 0.2331
 Site-USPS                          | Train Loss: 2.2397 | Train Acc: 0.3625
 Site-USPS                          | Train Loss: 2.2587 | Train Acc: 0.3056
 Site-USPS                          | Train Loss: 2.2217 | Train Acc: 0.3822
 Site-USPS                          | Train Loss: 2.2386 | Train Acc: 0.3619
 Site-USPS                          | Train Loss: 2.2358 | Train Acc: 0.3774
 Site-USPS                          | Train Loss: 2.2322 | Train Acc: 0.3880
 Site-SynthDigits                   | Train Loss: 2.2946 | Train Acc: 0.1221
 Site-SynthDigits                   | Train Loss: 2.2979 | Train Acc: 0.1444
 Site-SynthDigits                   | Train Loss: 2.2983 | Train Acc: 0.1341
 Site-MNIST-M                       | Train Loss: 2.3132 | Train Acc: 0.1044
 Site-MNIST-M                       | Train Loss: 2.3035 | Train Acc: 0.1084
 Site-SVHN                          | Train Loss: 2.2950 | Train Acc: 0.1113
Average Train Accuracy: 0.2464
 Site-MNIST                         | Val  Loss: 2.2849 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.2376 | Val  Acc: 0.3333
 Site-MNIST                         | Val  Loss: 2.2297 | Val  Acc: 0.3000
 Site-MNIST                         | Val  Loss: 2.2214 | Val  Acc: 0.3684
 Site-MNIST                         | Val  Loss: 2.2595 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.2536 | Val  Acc: 0.2698
 Site-MNIST                         | Val  Loss: 2.2529 | Val  Acc: 0.2301
 Site-MNIST                         | Val  Loss: 2.2385 | Val  Acc: 0.2206
 Site-MNIST                         | Val  Loss: 2.2491 | Val  Acc: 0.2147
 Site-MNIST                         | Val  Loss: 2.2470 | Val  Acc: 0.2356
 Site-USPS                          | Val  Loss: 2.2463 | Val  Acc: 0.3500
 Site-USPS                          | Val  Loss: 2.2363 | Val  Acc: 0.4167
 Site-USPS                          | Val  Loss: 2.2250 | Val  Acc: 0.4219
 Site-USPS                          | Val  Loss: 2.2311 | Val  Acc: 0.4052
 Site-USPS                          | Val  Loss: 2.2254 | Val  Acc: 0.3905
 Site-USPS                          | Val  Loss: 2.2349 | Val  Acc: 0.3677
 Site-SynthDigits                   | Val  Loss: 2.2888 | Val  Acc: 0.1467
 Site-SynthDigits                   | Val  Loss: 2.2887 | Val  Acc: 0.1176
 Site-SynthDigits                   | Val  Loss: 2.2992 | Val  Acc: 0.1184
 Site-MNIST-M                       | Val  Loss: 2.3291 | Val  Acc: 0.0556
 Site-MNIST-M                       | Val  Loss: 2.3254 | Val  Acc: 0.0798
 Site-SVHN                          | Val  Loss: 2.2855 | Val  Acc: 0.0851
Average Valid Accuracy: 0.2422
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3333
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.3684
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2698
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2301
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2206
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.2147
