===2023-06-04 07:11:09===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 32
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[13,24,43,77,140,252,454,818,1473,2651,80,144,259,467,840,1513,303,547,984,364,655,566,
client_nums=[10,6,3,2,1,]
len_dataset=[7438,4132,2295,1275,708,]
domain number = 5
============ Train epoch 0 ============
denominator: 50331.546875
 Site-MNIST                    | Train Loss: 2.2364 | Train Acc: 0.3077
 Site-MNIST                    | Train Loss: 2.2480 | Train Acc: 0.2500
 Site-MNIST                    | Train Loss: 2.2354 | Train Acc: 0.2326
 Site-MNIST                    | Train Loss: 2.2467 | Train Acc: 0.1429
 Site-MNIST                    | Train Loss: 2.2511 | Train Acc: 0.2000
 Site-MNIST                    | Train Loss: 2.2509 | Train Acc: 0.1984
 Site-MNIST                    | Train Loss: 2.2554 | Train Acc: 0.1916
 Site-MNIST                    | Train Loss: 2.2558 | Train Acc: 0.2262
 Site-MNIST                    | Train Loss: 2.2573 | Train Acc: 0.2410
 Site-MNIST                    | Train Loss: 2.2560 | Train Acc: 0.2210
 Site-USPS                     | Train Loss: 2.2578 | Train Acc: 0.2625
 Site-USPS                     | Train Loss: 2.2554 | Train Acc: 0.2361
 Site-USPS                     | Train Loss: 2.2527 | Train Acc: 0.2355
 Site-USPS                     | Train Loss: 2.2480 | Train Acc: 0.2612
 Site-USPS                     | Train Loss: 2.2510 | Train Acc: 0.2357
 Site-USPS                     | Train Loss: 2.2494 | Train Acc: 0.2578
 Site-SynthDigits              | Train Loss: 2.2958 | Train Acc: 0.1089
 Site-SynthDigits              | Train Loss: 2.2961 | Train Acc: 0.1225
 Site-SynthDigits              | Train Loss: 2.2845 | Train Acc: 0.1575
 Site-MNIST-M                  | Train Loss: 2.3011 | Train Acc: 0.1236
 Site-MNIST-M                  | Train Loss: 2.3011 | Train Acc: 0.1038
 Site-SVHN                     | Train Loss: 2.2937 | Train Acc: 0.1078
 Site-MNIST                         | Val  Loss: 2.2991 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.2450 | Val  Acc: 0.1667
 Site-MNIST                         | Val  Loss: 2.2334 | Val  Acc: 0.3000
 Site-MNIST                         | Val  Loss: 2.2477 | Val  Acc: 0.2105
 Site-MNIST                         | Val  Loss: 2.2262 | Val  Acc: 0.3143
 Site-MNIST                         | Val  Loss: 2.2615 | Val  Acc: 0.2698
 Site-MNIST                         | Val  Loss: 2.2521 | Val  Acc: 0.2832
 Site-MNIST                         | Val  Loss: 2.2531 | Val  Acc: 0.2402
 Site-MNIST                         | Val  Loss: 2.2545 | Val  Acc: 0.2283
 Site-MNIST                         | Val  Loss: 2.2550 | Val  Acc: 0.2160
 Site-USPS                          | Val  Loss: 2.2643 | Val  Acc: 0.1500
