===2023-06-21 00:50:20===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.2509 | Train Acc: 0.5000
 Site-MNIST                         | Train Loss: 2.2838 | Train Acc: 0.0833
 Site-MNIST                         | Train Loss: 2.2667 | Train Acc: 0.1429
 Site-MNIST                         | Train Loss: 2.2565 | Train Acc: 0.2368
 Site-MNIST                         | Train Loss: 2.2608 | Train Acc: 0.2571
 Site-MNIST                         | Train Loss: 2.2816 | Train Acc: 0.0873
 Site-MNIST                         | Train Loss: 2.2753 | Train Acc: 0.1542
 Site-MNIST                         | Train Loss: 2.2742 | Train Acc: 0.1589
 Site-MNIST                         | Train Loss: 2.2731 | Train Acc: 0.1522
 Site-MNIST                         | Train Loss: 2.2713 | Train Acc: 0.1517
 Site-USPS                          | Train Loss: 2.2664 | Train Acc: 0.2750
 Site-USPS                          | Train Loss: 2.2966 | Train Acc: 0.2083
 Site-USPS                          | Train Loss: 2.2995 | Train Acc: 0.2171
 Site-USPS                          | Train Loss: 2.2662 | Train Acc: 0.1888
 Site-USPS                          | Train Loss: 2.2684 | Train Acc: 0.2310
 Site-USPS                          | Train Loss: 2.2650 | Train Acc: 0.2421
 Site-SynthDigits                   | Train Loss: 2.2976 | Train Acc: 0.1258
 Site-SynthDigits                   | Train Loss: 2.3039 | Train Acc: 0.1026
 Site-SynthDigits                   | Train Loss: 2.3039 | Train Acc: 0.1202
 Site-MNIST-M                       | Train Loss: 2.3071 | Train Acc: 0.1105
 Site-MNIST-M                       | Train Loss: 2.3108 | Train Acc: 0.0917
 Site-SVHN                          | Train Loss: 2.2960 | Train Acc: 0.1028
Average Train Accuracy: 0.1791
 Site-MNIST                         | Val  Loss: 2.1843 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 2.3336 | Val  Acc: 0.3333
 Site-MNIST                         | Val  Loss: 2.3259 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.3478 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.3101 | Val  Acc: 0.0588
