===2023-06-10 12:55:52===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[13,24,43,77,140,252,454,818,1473,2651,80,144,259,467,840,1513,303,547,984,364,655,566,
client_nums=[10,6,3,2,1,]
len_dataset=[7438,4132,2295,1275,708,]
domain number = 5
multiply 100 for Ea!
use train loss for Ea
============ Train epoch 0 ============
cnt=[10, 6, 3, 2, 1, ]
power_decay: 0.9, powerI: 0.9500, powerC: 0.0500
 Site-MNIST                    | Train Loss: 1.7938 | Train Acc: 0.4615
 Site-MNIST                    | Train Loss: 1.6235 | Train Acc: 0.6667
 Site-MNIST                    | Train Loss: 1.6426 | Train Acc: 0.6279
 Site-MNIST                    | Train Loss: 1.6025 | Train Acc: 0.6753
 Site-MNIST                    | Train Loss: 1.5178 | Train Acc: 0.6286
 Site-MNIST                    | Train Loss: 1.6136 | Train Acc: 0.6310
 Site-MNIST                    | Train Loss: 1.6572 | Train Acc: 0.5881
 Site-MNIST                    | Train Loss: 1.6487 | Train Acc: 0.5770
 Site-MNIST                    | Train Loss: 1.6155 | Train Acc: 0.5981
 Site-MNIST                    | Train Loss: 1.6396 | Train Acc: 0.5919
 Site-USPS                     | Train Loss: 1.6252 | Train Acc: 0.7125
 Site-USPS                     | Train Loss: 1.5783 | Train Acc: 0.6875
 Site-USPS                     | Train Loss: 1.5223 | Train Acc: 0.6680
 Site-USPS                     | Train Loss: 1.5850 | Train Acc: 0.6874
 Site-USPS                     | Train Loss: 1.6068 | Train Acc: 0.6298
 Site-USPS                     | Train Loss: 1.5658 | Train Acc: 0.7112
 Site-SynthDigits              | Train Loss: 2.0744 | Train Acc: 0.2706
 Site-SynthDigits              | Train Loss: 2.0443 | Train Acc: 0.2797
 Site-SynthDigits              | Train Loss: 2.0204 | Train Acc: 0.3140
 Site-MNIST-M                  | Train Loss: 2.1678 | Train Acc: 0.2335
 Site-MNIST-M                  | Train Loss: 2.1798 | Train Acc: 0.2183
 Site-SVHN                     | Train Loss: 2.1592 | Train Acc: 0.2261
 Site-MNIST                     (0) | Val  Loss: 2.0333 | Val  Acc: 0.3333
 Site-MNIST                     (0) | Val  Loss: 1.5537 | Val  Acc: 0.6667
 Site-MNIST                     (0) | Val  Loss: 1.5507 | Val  Acc: 0.6000
 Site-MNIST                     (0) | Val  Loss: 1.5622 | Val  Acc: 0.5789
 Site-MNIST                     (0) | Val  Loss: 1.7368 | Val  Acc: 0.4571
 Site-MNIST                     (0) | Val  Loss: 1.7470 | Val  Acc: 0.4603
 Site-MNIST                     (0) | Val  Loss: 1.7018 | Val  Acc: 0.5221
 Site-MNIST                     (0) | Val  Loss: 1.6114 | Val  Acc: 0.6127
 Site-MNIST                     (0) | Val  Loss: 1.6477 | Val  Acc: 0.5842
 Site-MNIST                     (0) | Val  Loss: 1.6665 | Val  Acc: 0.5710
 Site-USPS                      (1) | Val  Loss: 1.6532 | Val  Acc: 0.5500
 Site-USPS                      (1) | Val  Loss: 1.5844 | Val  Acc: 0.6111
 Site-USPS                      (1) | Val  Loss: 1.5155 | Val  Acc: 0.7031
 Site-USPS                      (1) | Val  Loss: 1.5586 | Val  Acc: 0.7241
 Site-USPS                      (1) | Val  Loss: 1.5361 | Val  Acc: 0.7238
 Site-USPS                      (1) | Val  Loss: 1.5940 | Val  Acc: 0.6720
 Site-SynthDigits               (2) | Val  Loss: 2.0407 | Val  Acc: 0.3467
 Site-SynthDigits               (2) | Val  Loss: 1.9701 | Val  Acc: 0.3309
 Site-SynthDigits               (2) | Val  Loss: 2.0652 | Val  Acc: 0.2531
 Site-MNIST-M                   (3) | Val  Loss: 2.0901 | Val  Acc: 0.3000
 Site-MNIST-M                   (3) | Val  Loss: 2.1521 | Val  Acc: 0.2515
 Site-SVHN                      (4) | Val  Loss: 2.1180 | Val  Acc: 0.2270
Average Valid Accuracy: 0.5036
 Best site-MNIST                    (0)  | Epoch:0 | Val Acc: 0.3333
 Best site-MNIST                    (0)  | Epoch:0 | Val Acc: 0.6667
 Best site-MNIST                    (0)  | Epoch:0 | Val Acc: 0.6000
 Best site-MNIST                    (0)  | Epoch:0 | Val Acc: 0.5789
 Best site-MNIST                    (0)  | Epoch:0 | Val Acc: 0.4571
 Best site-MNIST                    (0)  | Epoch:0 | Val Acc: 0.4603
 Best site-MNIST                    (0)  | Epoch:0 | Val Acc: 0.5221
 Best site-MNIST                    (0)  | Epoch:0 | Val Acc: 0.6127
 Best site-MNIST                    (0)  | Epoch:0 | Val Acc: 0.5842
 Best site-MNIST                    (0)  | Epoch:0 | Val Acc: 0.5710
 Best site-USPS                     (1)  | Epoch:0 | Val Acc: 0.5500
 Best site-USPS                     (1)  | Epoch:0 | Val Acc: 0.6111
 Best site-USPS                     (1)  | Epoch:0 | Val Acc: 0.7031
 Best site-USPS                     (1)  | Epoch:0 | Val Acc: 0.7241
 Best site-USPS                     (1)  | Epoch:0 | Val Acc: 0.7238
 Best site-USPS                     (1)  | Epoch:0 | Val Acc: 0.6720
 Best site-SynthDigits              (2)  | Epoch:0 | Val Acc: 0.3467
 Best site-SynthDigits              (2)  | Epoch:0 | Val Acc: 0.3309
 Best site-SynthDigits              (2)  | Epoch:0 | Val Acc: 0.2531
 Best site-MNIST-M                  (3)  | Epoch:0 | Val Acc: 0.3000
 Best site-MNIST-M                  (3)  | Epoch:0 | Val Acc: 0.2515
 Best site-SVHN                     (4)  | Epoch:0 | Val Acc: 0.2270
 Saving the gmap checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_cb/ccop_q=1_gmap...
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_cb/ccop_q=1...
============ Train epoch 1 ============
cnt=[6, 10, 3, 1, 2, ]
power_decay: 0.9, powerI: 0.9050, powerC: 0.0950
 Site-MNIST                    | Train Loss: 1.3072 | Train Acc: 0.6923
 Site-MNIST                    | Train Loss: 1.1627 | Train Acc: 0.7500
 Site-MNIST                    | Train Loss: 1.1648 | Train Acc: 0.7442
 Site-MNIST                    | Train Loss: 1.2309 | Train Acc: 0.7922
 Site-MNIST                    | Train Loss: 1.1293 | Train Acc: 0.7857
 Site-MNIST                    | Train Loss: 1.1629 | Train Acc: 0.7500
 Site-MNIST                    | Train Loss: 1.2228 | Train Acc: 0.7291
 Site-MNIST                    | Train Loss: 1.2037 | Train Acc: 0.7286
 Site-MNIST                    | Train Loss: 1.1743 | Train Acc: 0.7346
 Site-MNIST                    | Train Loss: 1.1962 | Train Acc: 0.7276
 Site-USPS                     | Train Loss: 1.0625 | Train Acc: 0.7750
 Site-USPS                     | Train Loss: 1.0831 | Train Acc: 0.7361
 Site-USPS                     | Train Loss: 1.0855 | Train Acc: 0.7761
 Site-USPS                     | Train Loss: 1.1009 | Train Acc: 0.7580
 Site-USPS                     | Train Loss: 1.1519 | Train Acc: 0.7607
 Site-USPS                     | Train Loss: 1.0767 | Train Acc: 0.7852
 Site-SynthDigits              | Train Loss: 1.8142 | Train Acc: 0.3894
 Site-SynthDigits              | Train Loss: 1.7807 | Train Acc: 0.4022
 Site-SynthDigits              | Train Loss: 1.7317 | Train Acc: 0.4157
 Site-MNIST-M                  | Train Loss: 1.9677 | Train Acc: 0.3269
 Site-MNIST-M                  | Train Loss: 1.9980 | Train Acc: 0.3389
 Site-SVHN                     | Train Loss: 2.0022 | Train Acc: 0.3145
 Site-MNIST                     (1) | Val  Loss: 1.3618 | Val  Acc: 0.6667
 Site-MNIST                     (1) | Val  Loss: 0.9223 | Val  Acc: 0.8333
 Site-MNIST                     (1) | Val  Loss: 0.9992 | Val  Acc: 0.7000
 Site-MNIST                     (1) | Val  Loss: 0.9831 | Val  Acc: 0.7368
 Site-MNIST                     (1) | Val  Loss: 1.2543 | Val  Acc: 0.6571
 Site-MNIST                     (1) | Val  Loss: 1.3132 | Val  Acc: 0.6667
 Site-MNIST                     (1) | Val  Loss: 1.2845 | Val  Acc: 0.6903
 Site-MNIST                     (1) | Val  Loss: 1.1611 | Val  Acc: 0.7598
 Site-MNIST                     (1) | Val  Loss: 1.2155 | Val  Acc: 0.7283
 Site-MNIST                     (1) | Val  Loss: 1.2335 | Val  Acc: 0.7160
 Site-USPS                      (0) | Val  Loss: 1.1937 | Val  Acc: 0.7000
 Site-USPS                      (0) | Val  Loss: 1.0682 | Val  Acc: 0.7778
 Site-USPS                      (0) | Val  Loss: 0.9868 | Val  Acc: 0.8281
 Site-USPS                      (0) | Val  Loss: 1.0552 | Val  Acc: 0.8017
 Site-USPS                      (0) | Val  Loss: 1.0558 | Val  Acc: 0.7810
