===2023-06-30 02:24:36===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                          | Train Loss: 0.7145 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.9740 | Train Acc: 0.8333
 Site-USPS                          | Train Loss: 1.1929 | Train Acc: 0.6667
 Site-USPS                          | Train Loss: 1.0320 | Train Acc: 0.7632
 Site-USPS                          | Train Loss: 0.8741 | Train Acc: 0.8286
 Site-USPS                          | Train Loss: 0.9099 | Train Acc: 0.8730
 Site-USPS                          | Train Loss: 0.9805 | Train Acc: 0.7974
 Site-USPS                          | Train Loss: 0.9680 | Train Acc: 0.8313
 Site-USPS                          | Train Loss: 0.9572 | Train Acc: 0.8261
 Site-USPS                          | Train Loss: 0.9089 | Train Acc: 0.8581
 Site-MNIST                         | Train Loss: 1.3138 | Train Acc: 0.6750
 Site-MNIST                         | Train Loss: 1.1826 | Train Acc: 0.7639
 Site-MNIST                         | Train Loss: 1.6226 | Train Acc: 0.6977
 Site-MNIST                         | Train Loss: 1.3170 | Train Acc: 0.7382
 Site-MNIST                         | Train Loss: 1.3541 | Train Acc: 0.6762
 Site-MNIST                         | Train Loss: 1.3368 | Train Acc: 0.6931
 Site-SynthDigits                   | Train Loss: 2.0504 | Train Acc: 0.3311
 Site-SynthDigits                   | Train Loss: 2.0454 | Train Acc: 0.3297
 Site-SynthDigits                   | Train Loss: 1.9919 | Train Acc: 0.3707
 Site-SVHN                          | Train Loss: 2.2619 | Train Acc: 0.1823
 Site-SVHN                          | Train Loss: 2.2110 | Train Acc: 0.1896
 Site-MNIST_M                       | Train Loss: 2.1961 | Train Acc: 0.2482
Average Train Accuracy: 0.6442
 Site-USPS                          | Val  Loss: 2.1279 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.6127 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 1.2072 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.9822 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.9650 | Val  Acc: 0.8824
