===2023-06-29 23:24:40===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                          | Train Loss: 2.2416 | Train Acc: 0.1667
 Site-USPS                          | Train Loss: 2.2439 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.2839 | Train Acc: 0.1429
 Site-USPS                          | Train Loss: 2.2716 | Train Acc: 0.2105
 Site-USPS                          | Train Loss: 2.2989 | Train Acc: 0.2429
 Site-USPS                          | Train Loss: 2.2585 | Train Acc: 0.2381
 Site-USPS                          | Train Loss: 2.2635 | Train Acc: 0.2203
 Site-USPS                          | Train Loss: 2.2623 | Train Acc: 0.2225
 Site-USPS                          | Train Loss: 2.2594 | Train Acc: 0.2215
 Site-USPS                          | Train Loss: 2.2553 | Train Acc: 0.2392
 Site-MNIST                         | Train Loss: 2.2592 | Train Acc: 0.2250
 Site-MNIST                         | Train Loss: 2.2723 | Train Acc: 0.1667
 Site-MNIST                         | Train Loss: 2.2654 | Train Acc: 0.1705
 Site-MNIST                         | Train Loss: 2.2683 | Train Acc: 0.1459
 Site-MNIST                         | Train Loss: 2.2678 | Train Acc: 0.1595
 Site-MNIST                         | Train Loss: 2.2719 | Train Acc: 0.1852
 Site-SynthDigits                   | Train Loss: 2.2977 | Train Acc: 0.1258
 Site-SynthDigits                   | Train Loss: 2.2986 | Train Acc: 0.0952
 Site-SynthDigits                   | Train Loss: 2.2951 | Train Acc: 0.1161
 Site-SVHN                          | Train Loss: 2.2947 | Train Acc: 0.1215
 Site-SVHN                          | Train Loss: 2.2913 | Train Acc: 0.0979
 Site-MNIST_M                       | Train Loss: 2.3024 | Train Acc: 0.1312
Average Train Accuracy: 0.1808
 Site-USPS                          | Val  Loss: 2.1857 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2523 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2420 | Val  Acc: 0.2000
 Site-USPS                          | Val  Loss: 2.2937 | Val  Acc: 0.2222
 Site-USPS                          | Val  Loss: 2.3222 | Val  Acc: 0.1765
 Site-USPS                          | Val  Loss: 2.3004 | Val  Acc: 0.0968
 Site-USPS                          | Val  Loss: 2.2746 | Val  Acc: 0.1786
 Site-USPS                          | Val  Loss: 2.2570 | Val  Acc: 0.2255
 Site-USPS                          | Val  Loss: 2.2536 | Val  Acc: 0.2623
 Site-USPS                          | Val  Loss: 2.2649 | Val  Acc: 0.2508
 Site-MNIST                         | Val  Loss: 2.3216 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.2944 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.2621 | Val  Acc: 0.0938
 Site-MNIST                         | Val  Loss: 2.2620 | Val  Acc: 0.1897
 Site-MNIST                         | Val  Loss: 2.2618 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.2630 | Val  Acc: 0.1481
 Site-SynthDigits                   | Val  Loss: 2.3016 | Val  Acc: 0.0541
 Site-SynthDigits                   | Val  Loss: 2.3247 | Val  Acc: 0.1029
 Site-SynthDigits                   | Val  Loss: 2.3106 | Val  Acc: 0.0820
 Site-SVHN                          | Val  Loss: 2.2745 | Val  Acc: 0.1778
