===2023-06-29 21:52:26===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                          | Train Loss: 2.2360 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.2485 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.2668 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.2547 | Train Acc: 0.2368
 Site-USPS                          | Train Loss: 2.2825 | Train Acc: 0.3000
 Site-USPS                          | Train Loss: 2.2574 | Train Acc: 0.2937
 Site-USPS                          | Train Loss: 2.2531 | Train Acc: 0.3040
 Site-USPS                          | Train Loss: 2.2575 | Train Acc: 0.2934
 Site-USPS                          | Train Loss: 2.2510 | Train Acc: 0.3071
 Site-USPS                          | Train Loss: 2.2507 | Train Acc: 0.3117
 Site-MNIST                         | Train Loss: 2.2769 | Train Acc: 0.1250
 Site-MNIST                         | Train Loss: 2.2438 | Train Acc: 0.2778
 Site-MNIST                         | Train Loss: 2.2961 | Train Acc: 0.1240
 Site-MNIST                         | Train Loss: 2.2761 | Train Acc: 0.1245
 Site-MNIST                         | Train Loss: 2.2789 | Train Acc: 0.1452
 Site-MNIST                         | Train Loss: 2.2768 | Train Acc: 0.1310
 Site-SynthDigits                   | Train Loss: 2.2934 | Train Acc: 0.1126
 Site-SynthDigits                   | Train Loss: 2.2988 | Train Acc: 0.0879
 Site-SynthDigits                   | Train Loss: 2.3027 | Train Acc: 0.1303
 Site-SVHN                          | Train Loss: 2.2959 | Train Acc: 0.0884
 Site-SVHN                          | Train Loss: 2.3006 | Train Acc: 0.1223
 Site-MNIST_M                       | Train Loss: 2.3092 | Train Acc: 0.1028
Average Train Accuracy: 0.2175
 Site-USPS                          | Val  Loss: 2.3258 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2815 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 2.2646 | Val  Acc: 0.2000
 Site-USPS                          | Val  Loss: 2.2695 | Val  Acc: 0.2222
 Site-USPS                          | Val  Loss: 2.2973 | Val  Acc: 0.1176
 Site-USPS                          | Val  Loss: 2.2723 | Val  Acc: 0.2258
 Site-USPS                          | Val  Loss: 2.2599 | Val  Acc: 0.2857
 Site-USPS                          | Val  Loss: 2.2441 | Val  Acc: 0.3235
 Site-USPS                          | Val  Loss: 2.2564 | Val  Acc: 0.2896
 Site-USPS                          | Val  Loss: 2.2553 | Val  Acc: 0.2961
 Site-MNIST                         | Val  Loss: 2.2520 | Val  Acc: 0.0000
 Site-MNIST                         | Val  Loss: 2.2541 | Val  Acc: 0.1111
 Site-MNIST                         | Val  Loss: 2.2615 | Val  Acc: 0.1250
 Site-MNIST                         | Val  Loss: 2.2706 | Val  Acc: 0.1724
 Site-MNIST                         | Val  Loss: 2.2785 | Val  Acc: 0.1238
 Site-MNIST                         | Val  Loss: 2.2811 | Val  Acc: 0.1005
 Site-SynthDigits                   | Val  Loss: 2.3059 | Val  Acc: 0.1351
 Site-SynthDigits                   | Val  Loss: 2.3311 | Val  Acc: 0.1176
 Site-SynthDigits                   | Val  Loss: 2.2965 | Val  Acc: 0.0574
 Site-SVHN                          | Val  Loss: 2.3067 | Val  Acc: 0.0667
 Site-SVHN                          | Val  Loss: 2.2962 | Val  Acc: 0.1111
 Site-MNIST_M                       | Val  Loss: 2.3155 | Val  Acc: 0.1143
Average Valid Accuracy: 0.1604
 Best site-USPS                      | Epoch:0 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2222
 Best site-USPS                      | Epoch:0 | Val Acc: 0.1176
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2258
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2857
 Best site-USPS                      | Epoch:0 | Val Acc: 0.3235
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2896
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2961
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1111
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1250
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1724
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1238
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.1005
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1351
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1176
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.0574
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.0667
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1111
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.1143
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/fedmix...
============ Train epoch 1 ============
 Site-USPS                          | Train Loss: 2.1843 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.1966 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.2343 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.2173 | Train Acc: 0.3684
 Site-USPS                          | Train Loss: 2.2093 | Train Acc: 0.4286
 Site-USPS                          | Train Loss: 2.2120 | Train Acc: 0.3889
 Site-USPS                          | Train Loss: 2.2084 | Train Acc: 0.3789
 Site-USPS                          | Train Loss: 2.2167 | Train Acc: 0.3790
 Site-USPS                          | Train Loss: 2.2083 | Train Acc: 0.4062
 Site-USPS                          | Train Loss: 2.2053 | Train Acc: 0.4083
 Site-MNIST                         | Train Loss: 2.2582 | Train Acc: 0.1750
 Site-MNIST                         | Train Loss: 2.2499 | Train Acc: 0.2500
 Site-MNIST                         | Train Loss: 2.2158 | Train Acc: 0.1705
 Site-MNIST                         | Train Loss: 2.2475 | Train Acc: 0.1931
 Site-MNIST                         | Train Loss: 2.2566 | Train Acc: 0.1810
 Site-MNIST                         | Train Loss: 2.2532 | Train Acc: 0.1799
 Site-SynthDigits                   | Train Loss: 2.3011 | Train Acc: 0.1325
 Site-SynthDigits                   | Train Loss: 2.2965 | Train Acc: 0.1099
 Site-SynthDigits                   | Train Loss: 2.2948 | Train Acc: 0.1792
 Site-SVHN                          | Train Loss: 2.2935 | Train Acc: 0.0884
 Site-SVHN                          | Train Loss: 2.2988 | Train Acc: 0.1162
 Site-MNIST_M                       | Train Loss: 2.3057 | Train Acc: 0.1135
Average Train Accuracy: 0.2719
 Site-USPS                          | Val  Loss: 2.3486 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2934 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 2.2559 | Val  Acc: 0.2000
 Site-USPS                          | Val  Loss: 2.2390 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 2.2648 | Val  Acc: 0.2353
 Site-USPS                          | Val  Loss: 2.2346 | Val  Acc: 0.2903
 Site-USPS                          | Val  Loss: 2.2166 | Val  Acc: 0.3571
 Site-USPS                          | Val  Loss: 2.1991 | Val  Acc: 0.4118
 Site-USPS                          | Val  Loss: 2.2187 | Val  Acc: 0.3716
 Site-USPS                          | Val  Loss: 2.2168 | Val  Acc: 0.3686
 Site-MNIST                         | Val  Loss: 2.2385 | Val  Acc: 0.2000
 Site-MNIST                         | Val  Loss: 2.2355 | Val  Acc: 0.1667
 Site-MNIST                         | Val  Loss: 2.2366 | Val  Acc: 0.1875
 Site-MNIST                         | Val  Loss: 2.2464 | Val  Acc: 0.1897
