===2023-07-01 09:43:55===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                          | Train Loss: 0.6727 | Train Acc: 0.8333
 Site-USPS                          | Train Loss: 0.9453 | Train Acc: 0.9167
 Site-USPS                          | Train Loss: 1.1632 | Train Acc: 0.7619
 Site-USPS                          | Train Loss: 0.9421 | Train Acc: 0.8684
 Site-USPS                          | Train Loss: 0.8255 | Train Acc: 0.8429
 Site-USPS                          | Train Loss: 0.8730 | Train Acc: 0.8889
 Site-USPS                          | Train Loss: 0.9881 | Train Acc: 0.7974
 Site-USPS                          | Train Loss: 0.9217 | Train Acc: 0.8386
 Site-USPS                          | Train Loss: 0.9071 | Train Acc: 0.8478
 Site-USPS                          | Train Loss: 0.8806 | Train Acc: 0.8611
 Site-MNIST                         | Train Loss: 1.2120 | Train Acc: 0.7250
 Site-MNIST                         | Train Loss: 1.1085 | Train Acc: 0.7778
 Site-MNIST                         | Train Loss: 1.0209 | Train Acc: 0.7054
 Site-MNIST                         | Train Loss: 1.1894 | Train Acc: 0.7210
 Site-MNIST                         | Train Loss: 1.2746 | Train Acc: 0.6595
 Site-MNIST                         | Train Loss: 1.2533 | Train Acc: 0.7063
 Site-SynthDigits                   | Train Loss: 2.0095 | Train Acc: 0.3642
 Site-SynthDigits                   | Train Loss: 2.0542 | Train Acc: 0.3223
 Site-SynthDigits                   | Train Loss: 1.9794 | Train Acc: 0.3483
 Site-SVHN                          | Train Loss: 2.2530 | Train Acc: 0.1381
 Site-SVHN                          | Train Loss: 2.2161 | Train Acc: 0.1713
 Site-MNIST_M                       | Train Loss: 2.1816 | Train Acc: 0.2837
