===2023-06-29 14:14:31===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                          | Train Loss: 2.2325 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.2484 | Train Acc: 0.5000
 Site-USPS                          | Train Loss: 2.2651 | Train Acc: 0.3333
 Site-USPS                          | Train Loss: 2.2530 | Train Acc: 0.2368
 Site-USPS                          | Train Loss: 2.2442 | Train Acc: 0.2857
 Site-USPS                          | Train Loss: 2.2561 | Train Acc: 0.3016
 Site-USPS                          | Train Loss: 2.2508 | Train Acc: 0.3084
 Site-USPS                          | Train Loss: 2.2518 | Train Acc: 0.2910
 Site-USPS                          | Train Loss: 2.2506 | Train Acc: 0.3084
 Site-USPS                          | Train Loss: 2.2496 | Train Acc: 0.3132
 Site-MNIST                         | Train Loss: 2.2748 | Train Acc: 0.1250
 Site-MNIST                         | Train Loss: 2.2557 | Train Acc: 0.2500
 Site-MNIST                         | Train Loss: 2.2415 | Train Acc: 0.1240
 Site-MNIST                         | Train Loss: 2.2727 | Train Acc: 0.1288
 Site-MNIST                         | Train Loss: 2.2766 | Train Acc: 0.1452
 Site-MNIST                         | Train Loss: 2.2762 | Train Acc: 0.1376
 Site-SynthDigits                   | Train Loss: 2.2975 | Train Acc: 0.1192
 Site-SynthDigits                   | Train Loss: 2.3026 | Train Acc: 0.0952
 Site-SynthDigits                   | Train Loss: 2.3028 | Train Acc: 0.1303
 Site-SVHN                          | Train Loss: 2.2967 | Train Acc: 0.0939
 Site-SVHN                          | Train Loss: 2.2960 | Train Acc: 0.1193
 Site-MNIST_M                       | Train Loss: 2.3176 | Train Acc: 0.1028
Average Train Accuracy: 0.2174
 Site-USPS                          | Val  Loss: 2.3259 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.2792 | Val  Acc: 0.3333
