===2023-06-29 18:52:12===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
cnt=[10, 6, 3, 2, 1, ]
cnt=[6, 10, 3, 1, 2, ]
 Site-USPS                          | Train Loss: 1.4603 | Train Acc: 0.8333
 Site-USPS                          | Train Loss: 1.4014 | Train Acc: 0.7500
 Site-USPS                          | Train Loss: 1.5513 | Train Acc: 0.6667
 Site-USPS                          | Train Loss: 1.5652 | Train Acc: 0.6579
 Site-USPS                          | Train Loss: 1.5581 | Train Acc: 0.6429
 Site-USPS                          | Train Loss: 1.4760 | Train Acc: 0.7619
 Site-USPS                          | Train Loss: 1.5160 | Train Acc: 0.7269
 Site-USPS                          | Train Loss: 1.5190 | Train Acc: 0.7286
 Site-USPS                          | Train Loss: 1.5178 | Train Acc: 0.7147
 Site-USPS                          | Train Loss: 1.4807 | Train Acc: 0.7547
 Site-MNIST                         | Train Loss: 1.7485 | Train Acc: 0.5500
 Site-MNIST                         | Train Loss: 1.6407 | Train Acc: 0.6389
 Site-MNIST                         | Train Loss: 2.0132 | Train Acc: 0.5969
 Site-MNIST                         | Train Loss: 1.6684 | Train Acc: 0.5665
 Site-MNIST                         | Train Loss: 1.7533 | Train Acc: 0.5429
 Site-MNIST                         | Train Loss: 1.7518 | Train Acc: 0.5000
 Site-SynthDigits                   | Train Loss: 2.1256 | Train Acc: 0.2781
 Site-SynthDigits                   | Train Loss: 2.1441 | Train Acc: 0.2051
 Site-SynthDigits                   | Train Loss: 2.0921 | Train Acc: 0.2688
 Site-SVHN                          | Train Loss: 2.2079 | Train Acc: 0.2210
 Site-SVHN                          | Train Loss: 2.1806 | Train Acc: 0.2263
 Site-MNIST_M                       | Train Loss: 2.2392 | Train Acc: 0.1809
Average Train Accuracy: 0.5460
 Site-USPS                          | Val  Loss: 2.4285 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 2.0915 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.8703 | Val  Acc: 0.2000
 Site-USPS                          | Val  Loss: 1.6060 | Val  Acc: 0.6667
 Site-USPS                          | Val  Loss: 1.6061 | Val  Acc: 0.7647
 Site-USPS                          | Val  Loss: 1.5841 | Val  Acc: 0.7419
 Site-USPS                          | Val  Loss: 1.4938 | Val  Acc: 0.7321
 Site-USPS                          | Val  Loss: 1.4719 | Val  Acc: 0.7647
 Site-USPS                          | Val  Loss: 1.5266 | Val  Acc: 0.7268
 Site-USPS                          | Val  Loss: 1.5262 | Val  Acc: 0.7190
 Site-MNIST                         | Val  Loss: 1.8763 | Val  Acc: 0.3000
 Site-MNIST                         | Val  Loss: 1.7158 | Val  Acc: 0.5000
 Site-MNIST                         | Val  Loss: 1.6745 | Val  Acc: 0.5625
 Site-MNIST                         | Val  Loss: 1.6925 | Val  Acc: 0.5517
 Site-MNIST                         | Val  Loss: 1.6674 | Val  Acc: 0.6095
 Site-MNIST                         | Val  Loss: 1.6497 | Val  Acc: 0.6190
 Site-SynthDigits                   | Val  Loss: 2.1463 | Val  Acc: 0.1892
 Site-SynthDigits                   | Val  Loss: 2.0653 | Val  Acc: 0.2206
 Site-SynthDigits                   | Val  Loss: 2.1399 | Val  Acc: 0.2377
 Site-SVHN                          | Val  Loss: 2.1478 | Val  Acc: 0.3556
 Site-SVHN                          | Val  Loss: 2.1446 | Val  Acc: 0.2716
 Site-MNIST_M                       | Val  Loss: 2.3166 | Val  Acc: 0.1286
Average Valid Accuracy: 0.4483
 Best site-USPS                      | Epoch:0 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.2000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.6667
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7647
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7419
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7321
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7647
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7268
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7190
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.3000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5625
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5517
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.6095
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.6190
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.1892
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2206
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2377
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.3556
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.2716
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.1286
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/only_dcnet...
============ Train epoch 1 ============
cnt=[3, 10, 6, 1, 2, ]
cnt=[6, 1, 3, 3, 9, ]
 Site-USPS                          | Train Loss: 0.8351 | Train Acc: 0.8333
 Site-USPS                          | Train Loss: 0.7701 | Train Acc: 0.9167
 Site-USPS                          | Train Loss: 0.9824 | Train Acc: 0.7619
 Site-USPS                          | Train Loss: 1.0021 | Train Acc: 0.8158
 Site-USPS                          | Train Loss: 0.9056 | Train Acc: 0.8429
 Site-USPS                          | Train Loss: 0.9058 | Train Acc: 0.8730
 Site-USPS                          | Train Loss: 0.9634 | Train Acc: 0.8238
 Site-USPS                          | Train Loss: 0.9566 | Train Acc: 0.8093
 Site-USPS                          | Train Loss: 0.9539 | Train Acc: 0.8193
 Site-USPS                          | Train Loss: 0.9005 | Train Acc: 0.8566
 Site-MNIST                         | Train Loss: 1.2752 | Train Acc: 0.6500
 Site-MNIST                         | Train Loss: 1.3629 | Train Acc: 0.6806
 Site-MNIST                         | Train Loss: 1.3946 | Train Acc: 0.7287
 Site-MNIST                         | Train Loss: 1.2424 | Train Acc: 0.7339
 Site-MNIST                         | Train Loss: 1.3306 | Train Acc: 0.7000
 Site-MNIST                         | Train Loss: 1.3187 | Train Acc: 0.6865
 Site-SynthDigits                   | Train Loss: 2.0026 | Train Acc: 0.3510
 Site-SynthDigits                   | Train Loss: 1.9737 | Train Acc: 0.2857
 Site-SynthDigits                   | Train Loss: 1.9131 | Train Acc: 0.3299
 Site-SVHN                          | Train Loss: 2.1321 | Train Acc: 0.2320
 Site-SVHN                          | Train Loss: 2.0742 | Train Acc: 0.2813
 Site-MNIST_M                       | Train Loss: 2.1624 | Train Acc: 0.2411
Average Train Accuracy: 0.6479
 Site-USPS                          | Val  Loss: 2.4729 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.8819 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.5970 | Val  Acc: 0.2000
 Site-USPS                          | Val  Loss: 1.0974 | Val  Acc: 0.6667
 Site-USPS                          | Val  Loss: 1.0223 | Val  Acc: 0.7647
 Site-USPS                          | Val  Loss: 0.9441 | Val  Acc: 0.8387
 Site-USPS                          | Val  Loss: 0.9053 | Val  Acc: 0.8036
 Site-USPS                          | Val  Loss: 0.9013 | Val  Acc: 0.7941
 Site-USPS                          | Val  Loss: 0.9644 | Val  Acc: 0.7814
 Site-USPS                          | Val  Loss: 0.9590 | Val  Acc: 0.7855
 Site-MNIST                         | Val  Loss: 1.3934 | Val  Acc: 0.6000
 Site-MNIST                         | Val  Loss: 1.2276 | Val  Acc: 0.6667
 Site-MNIST                         | Val  Loss: 1.2081 | Val  Acc: 0.6875
 Site-MNIST                         | Val  Loss: 1.2652 | Val  Acc: 0.6897
 Site-MNIST                         | Val  Loss: 1.2351 | Val  Acc: 0.7429
 Site-MNIST                         | Val  Loss: 1.2028 | Val  Acc: 0.7884
 Site-SynthDigits                   | Val  Loss: 2.0457 | Val  Acc: 0.3514
 Site-SynthDigits                   | Val  Loss: 1.9427 | Val  Acc: 0.3382
 Site-SynthDigits                   | Val  Loss: 1.9715 | Val  Acc: 0.3361
 Site-SVHN                          | Val  Loss: 2.0301 | Val  Acc: 0.3778
 Site-SVHN                          | Val  Loss: 2.0185 | Val  Acc: 0.2716
 Site-MNIST_M                       | Val  Loss: 2.2933 | Val  Acc: 0.2286
Average Valid Accuracy: 0.5324
 Best site-USPS                      | Epoch:1 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.2000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6667
 Best site-USPS                      | Epoch:1 | Val Acc: 0.7647
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8387
 Best site-USPS                      | Epoch:1 | Val Acc: 0.8036
 Best site-USPS                      | Epoch:1 | Val Acc: 0.7941
 Best site-USPS                      | Epoch:1 | Val Acc: 0.7814
 Best site-USPS                      | Epoch:1 | Val Acc: 0.7855
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6667
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6875
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6897
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7429
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.7884
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3514
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3382
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.3361
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.3778
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.2716
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.2286
