===2023-06-30 07:31:31===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-USPS                          | Train Loss: 0.6382 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.9158 | Train Acc: 0.9167
 Site-USPS                          | Train Loss: 1.1347 | Train Acc: 0.6667
 Site-USPS                          | Train Loss: 0.9227 | Train Acc: 0.7895
 Site-USPS                          | Train Loss: 0.7541 | Train Acc: 0.8286
 Site-USPS                          | Train Loss: 0.8447 | Train Acc: 0.8889
 Site-USPS                          | Train Loss: 0.9499 | Train Acc: 0.8238
 Site-USPS                          | Train Loss: 0.8809 | Train Acc: 0.8606
 Site-USPS                          | Train Loss: 0.8687 | Train Acc: 0.8438
 Site-USPS                          | Train Loss: 0.8425 | Train Acc: 0.8634
 Site-MNIST                         | Train Loss: 1.2273 | Train Acc: 0.6500
 Site-MNIST                         | Train Loss: 1.1312 | Train Acc: 0.7917
 Site-MNIST                         | Train Loss: 1.0787 | Train Acc: 0.6977
 Site-MNIST                         | Train Loss: 1.2165 | Train Acc: 0.7339
 Site-MNIST                         | Train Loss: 1.3029 | Train Acc: 0.6500
 Site-MNIST                         | Train Loss: 1.2681 | Train Acc: 0.6812
 Site-SynthDigits                   | Train Loss: 2.0008 | Train Acc: 0.3377
 Site-SynthDigits                   | Train Loss: 2.0361 | Train Acc: 0.3187
 Site-SynthDigits                   | Train Loss: 1.9594 | Train Acc: 0.3564
 Site-SVHN                          | Train Loss: 2.2486 | Train Acc: 0.1326
 Site-SVHN                          | Train Loss: 2.2102 | Train Acc: 0.1865
 Site-MNIST_M                       | Train Loss: 2.1539 | Train Acc: 0.2660
Average Train Accuracy: 0.6493
 Site-USPS                          | Val  Loss: 2.2175 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.5901 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 1.1752 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.8020 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.8554 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.8230 | Val  Acc: 0.9032
 Site-USPS                          | Val  Loss: 0.8373 | Val  Acc: 0.8571
 Site-USPS                          | Val  Loss: 0.8165 | Val  Acc: 0.8922
 Site-USPS                          | Val  Loss: 0.8905 | Val  Acc: 0.8470
 Site-USPS                          | Val  Loss: 0.8802 | Val  Acc: 0.8399
 Site-MNIST                         | Val  Loss: 1.4862 | Val  Acc: 0.4000
 Site-MNIST                         | Val  Loss: 1.2572 | Val  Acc: 0.6111
 Site-MNIST                         | Val  Loss: 1.2538 | Val  Acc: 0.6562
 Site-MNIST                         | Val  Loss: 1.2945 | Val  Acc: 0.6724
 Site-MNIST                         | Val  Loss: 1.2489 | Val  Acc: 0.7333
 Site-MNIST                         | Val  Loss: 1.1997 | Val  Acc: 0.7937
 Site-SynthDigits                   | Val  Loss: 2.0534 | Val  Acc: 0.2973
 Site-SynthDigits                   | Val  Loss: 2.1970 | Val  Acc: 0.3676
 Site-SynthDigits                   | Val  Loss: 2.0252 | Val  Acc: 0.3443
 Site-SVHN                          | Val  Loss: 2.2903 | Val  Acc: 0.1111
 Site-SVHN                          | Val  Loss: 2.2850 | Val  Acc: 0.1111
 Site-MNIST_M                       | Val  Loss: 2.1374 | Val  Acc: 0.3286
Average Valid Accuracy: 0.5810
 Best site-USPS                      | Epoch:0 | Val Acc: 0.0000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.3333
 Best site-USPS                      | Epoch:0 | Val Acc: 0.8000
 Best site-USPS                      | Epoch:0 | Val Acc: 1.0000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.8824
 Best site-USPS                      | Epoch:0 | Val Acc: 0.9032
 Best site-USPS                      | Epoch:0 | Val Acc: 0.8571
 Best site-USPS                      | Epoch:0 | Val Acc: 0.8922
 Best site-USPS                      | Epoch:0 | Val Acc: 0.8470
 Best site-USPS                      | Epoch:0 | Val Acc: 0.8399
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.6111
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.6562
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.6724
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7333
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7937
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2973
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.3676
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.3443
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1111
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.1111
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.3286
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_1_shuffle/term...
============ Train epoch 1 ============
 Site-USPS                          | Train Loss: 0.2788 | Train Acc: 1.0000
 Site-USPS                          | Train Loss: 0.4848 | Train Acc: 0.9167
 Site-USPS                          | Train Loss: 0.8525 | Train Acc: 0.7619
 Site-USPS                          | Train Loss: 0.5609 | Train Acc: 0.8158
 Site-USPS                          | Train Loss: 0.5578 | Train Acc: 0.9000
 Site-USPS                          | Train Loss: 0.4704 | Train Acc: 0.8968
 Site-USPS                          | Train Loss: 0.5918 | Train Acc: 0.8414
 Site-USPS                          | Train Loss: 0.5308 | Train Acc: 0.8753
 Site-USPS                          | Train Loss: 0.5100 | Train Acc: 0.8777
 Site-USPS                          | Train Loss: 0.4674 | Train Acc: 0.9034
 Site-MNIST                         | Train Loss: 0.8103 | Train Acc: 0.8000
 Site-MNIST                         | Train Loss: 0.7461 | Train Acc: 0.8472
 Site-MNIST                         | Train Loss: 0.7424 | Train Acc: 0.7287
 Site-MNIST                         | Train Loss: 0.7824 | Train Acc: 0.7983
 Site-MNIST                         | Train Loss: 0.8781 | Train Acc: 0.7452
 Site-MNIST                         | Train Loss: 0.8487 | Train Acc: 0.7751
 Site-SynthDigits                   | Train Loss: 1.9055 | Train Acc: 0.3377
 Site-SynthDigits                   | Train Loss: 1.8856 | Train Acc: 0.3553
 Site-SynthDigits                   | Train Loss: 1.8218 | Train Acc: 0.3646
 Site-SVHN                          | Train Loss: 2.2386 | Train Acc: 0.1436
 Site-SVHN                          | Train Loss: 2.1589 | Train Acc: 0.2110
 Site-MNIST_M                       | Train Loss: 2.0680 | Train Acc: 0.3121
Average Train Accuracy: 0.6913
 Site-USPS                          | Val  Loss: 1.8465 | Val  Acc: 0.0000
 Site-USPS                          | Val  Loss: 1.2388 | Val  Acc: 0.3333
 Site-USPS                          | Val  Loss: 0.7679 | Val  Acc: 0.8000
 Site-USPS                          | Val  Loss: 0.4155 | Val  Acc: 1.0000
 Site-USPS                          | Val  Loss: 0.4797 | Val  Acc: 0.8824
 Site-USPS                          | Val  Loss: 0.4133 | Val  Acc: 0.9032
