===2023-07-29 06:00:31===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 2.1464 | Train Acc: 0.5000
 Site-MNIST                         | Train Loss: 2.1129 | Train Acc: 0.6667
 Site-MNIST                         | Train Loss: 2.1157 | Train Acc: 0.5714
 Site-MNIST                         | Train Loss: 2.1082 | Train Acc: 0.6842
 Site-MNIST                         | Train Loss: 2.0881 | Train Acc: 0.6714
 Site-MNIST                         | Train Loss: 2.1045 | Train Acc: 0.6746
 Site-MNIST                         | Train Loss: 2.1115 | Train Acc: 0.5595
 Site-MNIST                         | Train Loss: 2.1294 | Train Acc: 0.5355
 Site-MNIST                         | Train Loss: 2.1127 | Train Acc: 0.5571
 Site-MNIST                         | Train Loss: 2.1047 | Train Acc: 0.6068
 Site-USPS                          | Train Loss: 2.0991 | Train Acc: 0.6000
 Site-USPS                          | Train Loss: 2.0985 | Train Acc: 0.5972
 Site-USPS                          | Train Loss: 2.0481 | Train Acc: 0.6047
 Site-USPS                          | Train Loss: 2.1017 | Train Acc: 0.6481
 Site-USPS                          | Train Loss: 2.1058 | Train Acc: 0.5929
 Site-USPS                          | Train Loss: 2.1021 | Train Acc: 0.6151
 Site-SynthDigits                   | Train Loss: 2.2704 | Train Acc: 0.1987
 Site-SynthDigits                   | Train Loss: 2.2646 | Train Acc: 0.1941
 Site-SynthDigits                   | Train Loss: 2.2565 | Train Acc: 0.1976
 Site-MNIST_M                       | Train Loss: 2.2751 | Train Acc: 0.1878
 Site-MNIST_M                       | Train Loss: 2.2883 | Train Acc: 0.1315
 Site-SVHN                          | Train Loss: 2.2865 | Train Acc: 0.1277
Average Train Accuracy: 0.4874
 Site-MNIST                         | Val  Loss: 1.9640 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 2.0241 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 2.0580 | Val  Acc: 0.6000
 Site-MNIST                         | Val  Loss: 2.1174 | Val  Acc: 0.4444
 Site-MNIST                         | Val  Loss: 2.1198 | Val  Acc: 0.4706
 Site-MNIST                         | Val  Loss: 2.1294 | Val  Acc: 0.5161
 Site-MNIST                         | Val  Loss: 2.1302 | Val  Acc: 0.5357
 Site-MNIST                         | Val  Loss: 2.1210 | Val  Acc: 0.5686
 Site-MNIST                         | Val  Loss: 2.1138 | Val  Acc: 0.5956
 Site-MNIST                         | Val  Loss: 2.1178 | Val  Acc: 0.5408
 Site-USPS                          | Val  Loss: 2.1091 | Val  Acc: 0.7000
 Site-USPS                          | Val  Loss: 2.1691 | Val  Acc: 0.5000
 Site-USPS                          | Val  Loss: 2.1320 | Val  Acc: 0.5312
 Site-USPS                          | Val  Loss: 2.1207 | Val  Acc: 0.6207
 Site-USPS                          | Val  Loss: 2.1034 | Val  Acc: 0.6667
 Site-USPS                          | Val  Loss: 2.0826 | Val  Acc: 0.6825
 Site-SynthDigits                   | Val  Loss: 2.2659 | Val  Acc: 0.2432
 Site-SynthDigits                   | Val  Loss: 2.2876 | Val  Acc: 0.2353
 Site-SynthDigits                   | Val  Loss: 2.2568 | Val  Acc: 0.2295
 Site-MNIST_M                       | Val  Loss: 2.2615 | Val  Acc: 0.2222
 Site-MNIST_M                       | Val  Loss: 2.2766 | Val  Acc: 0.2099
 Site-SVHN                          | Val  Loss: 2.2914 | Val  Acc: 0.0857
Average Valid Accuracy: 0.5090
 Best site-MNIST                     | Epoch:0 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.6000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4444
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.4706
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5161
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5357
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5686
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5956
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.5408
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.5000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.5312
 Best site-USPS                      | Epoch:0 | Val Acc: 0.6207
 Best site-USPS                      | Epoch:0 | Val Acc: 0.6667
 Best site-USPS                      | Epoch:0 | Val Acc: 0.6825
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2432
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2353
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.2295
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.2222
 Best site-MNIST_M                   | Epoch:0 | Val Acc: 0.2099
 Best site-SVHN                      | Epoch:0 | Val Acc: 0.0857
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_2/afl...
============ Train epoch 1 ============
 Site-MNIST                         | Train Loss: 2.0020 | Train Acc: 0.5000
 Site-MNIST                         | Train Loss: 1.9549 | Train Acc: 0.7500
 Site-MNIST                         | Train Loss: 1.8977 | Train Acc: 0.6667
 Site-MNIST                         | Train Loss: 1.9284 | Train Acc: 0.7368
 Site-MNIST                         | Train Loss: 1.8904 | Train Acc: 0.7286
 Site-MNIST                         | Train Loss: 1.9181 | Train Acc: 0.7540
 Site-MNIST                         | Train Loss: 1.9198 | Train Acc: 0.6916
 Site-MNIST                         | Train Loss: 1.9710 | Train Acc: 0.6137
 Site-MNIST                         | Train Loss: 1.9342 | Train Acc: 0.6522
 Site-MNIST                         | Train Loss: 1.9173 | Train Acc: 0.6943
 Site-USPS                          | Train Loss: 1.8993 | Train Acc: 0.7500
 Site-USPS                          | Train Loss: 1.9507 | Train Acc: 0.6806
 Site-USPS                          | Train Loss: 1.8869 | Train Acc: 0.7287
 Site-USPS                          | Train Loss: 1.8891 | Train Acc: 0.7253
 Site-USPS                          | Train Loss: 1.8936 | Train Acc: 0.7238
 Site-USPS                          | Train Loss: 1.8943 | Train Acc: 0.7447
 Site-SynthDigits                   | Train Loss: 2.2309 | Train Acc: 0.2053
 Site-SynthDigits                   | Train Loss: 2.2145 | Train Acc: 0.2344
 Site-SynthDigits                   | Train Loss: 2.2030 | Train Acc: 0.2505
 Site-MNIST_M                       | Train Loss: 2.2479 | Train Acc: 0.2431
 Site-MNIST_M                       | Train Loss: 2.2644 | Train Acc: 0.2049
 Site-SVHN                          | Train Loss: 2.2776 | Train Acc: 0.1348
Average Train Accuracy: 0.5643
 Site-MNIST                         | Val  Loss: 1.7342 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 1.8272 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 1.8727 | Val  Acc: 0.6000
 Site-MNIST                         | Val  Loss: 1.9572 | Val  Acc: 0.5556
 Site-MNIST                         | Val  Loss: 1.9365 | Val  Acc: 0.5882
 Site-MNIST                         | Val  Loss: 1.9524 | Val  Acc: 0.6129
 Site-MNIST                         | Val  Loss: 1.9446 | Val  Acc: 0.6250
 Site-MNIST                         | Val  Loss: 1.9377 | Val  Acc: 0.6471
 Site-MNIST                         | Val  Loss: 1.9418 | Val  Acc: 0.6503
 Site-MNIST                         | Val  Loss: 1.9415 | Val  Acc: 0.6375
 Site-USPS                          | Val  Loss: 1.8535 | Val  Acc: 0.9000
 Site-USPS                          | Val  Loss: 1.9906 | Val  Acc: 0.6111
 Site-USPS                          | Val  Loss: 1.9321 | Val  Acc: 0.6875
 Site-USPS                          | Val  Loss: 1.9326 | Val  Acc: 0.6724
 Site-USPS                          | Val  Loss: 1.9020 | Val  Acc: 0.7143
 Site-USPS                          | Val  Loss: 1.8695 | Val  Acc: 0.7302
 Site-SynthDigits                   | Val  Loss: 2.2169 | Val  Acc: 0.2703
 Site-SynthDigits                   | Val  Loss: 2.2719 | Val  Acc: 0.2647
 Site-SynthDigits                   | Val  Loss: 2.2143 | Val  Acc: 0.2295
 Site-MNIST_M                       | Val  Loss: 2.2303 | Val  Acc: 0.2667
 Site-MNIST_M                       | Val  Loss: 2.2468 | Val  Acc: 0.2716
 Site-SVHN                          | Val  Loss: 2.2968 | Val  Acc: 0.1286
Average Valid Accuracy: 0.5756
 Best site-MNIST                     | Epoch:1 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:1 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6000
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5556
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.5882
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6129
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6250
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6471
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6503
 Best site-MNIST                     | Epoch:1 | Val Acc: 0.6375
 Best site-USPS                      | Epoch:1 | Val Acc: 0.9000
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6111
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6875
 Best site-USPS                      | Epoch:1 | Val Acc: 0.6724
 Best site-USPS                      | Epoch:1 | Val Acc: 0.7143
 Best site-USPS                      | Epoch:1 | Val Acc: 0.7302
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.2703
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.2647
 Best site-SynthDigits               | Epoch:1 | Val Acc: 0.2295
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.2667
 Best site-MNIST_M                   | Epoch:1 | Val Acc: 0.2716
 Best site-SVHN                      | Epoch:1 | Val Acc: 0.1286
 Saving the local and server checkpoint to ../checkpoint/fed_digit_uneven_1.8_2/afl...
============ Train epoch 2 ============
 Site-MNIST                         | Train Loss: 1.8616 | Train Acc: 0.5000
 Site-MNIST                         | Train Loss: 1.8185 | Train Acc: 0.6667
 Site-MNIST                         | Train Loss: 1.7129 | Train Acc: 0.7619
 Site-MNIST                         | Train Loss: 1.7460 | Train Acc: 0.8158
 Site-MNIST                         | Train Loss: 1.6928 | Train Acc: 0.7429
 Site-MNIST                         | Train Loss: 1.7442 | Train Acc: 0.7857
 Site-MNIST                         | Train Loss: 1.7511 | Train Acc: 0.7181
 Site-MNIST                         | Train Loss: 1.8061 | Train Acc: 0.6699
 Site-MNIST                         | Train Loss: 1.7603 | Train Acc: 0.6984
 Site-MNIST                         | Train Loss: 1.7374 | Train Acc: 0.7351
 Site-USPS                          | Train Loss: 1.7307 | Train Acc: 0.6750
 Site-USPS                          | Train Loss: 1.7336 | Train Acc: 0.6944
 Site-USPS                          | Train Loss: 1.7544 | Train Acc: 0.7209
 Site-USPS                          | Train Loss: 1.7172 | Train Acc: 0.6867
 Site-USPS                          | Train Loss: 1.7123 | Train Acc: 0.7262
 Site-USPS                          | Train Loss: 1.7129 | Train Acc: 0.7487
 Site-SynthDigits                   | Train Loss: 2.1628 | Train Acc: 0.2318
 Site-SynthDigits                   | Train Loss: 2.1766 | Train Acc: 0.2418
 Site-SynthDigits                   | Train Loss: 2.1384 | Train Acc: 0.2851
 Site-MNIST_M                       | Train Loss: 2.2154 | Train Acc: 0.2983
 Site-MNIST_M                       | Train Loss: 2.2178 | Train Acc: 0.2508
 Site-SVHN                          | Train Loss: 2.2687 | Train Acc: 0.1525
Average Train Accuracy: 0.5821
 Site-MNIST                         | Val  Loss: 1.5275 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 1.6735 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 1.6977 | Val  Acc: 0.6000
 Site-MNIST                         | Val  Loss: 1.8122 | Val  Acc: 0.5556
 Site-MNIST                         | Val  Loss: 1.7677 | Val  Acc: 0.6471
 Site-MNIST                         | Val  Loss: 1.7791 | Val  Acc: 0.7742
 Site-MNIST                         | Val  Loss: 1.7671 | Val  Acc: 0.7679
 Site-MNIST                         | Val  Loss: 1.7587 | Val  Acc: 0.7451
 Site-MNIST                         | Val  Loss: 1.7733 | Val  Acc: 0.6940
 Site-MNIST                         | Val  Loss: 1.7705 | Val  Acc: 0.6737
 Site-USPS                          | Val  Loss: 1.6443 | Val  Acc: 0.9000
 Site-USPS                          | Val  Loss: 1.8438 | Val  Acc: 0.5556
 Site-USPS                          | Val  Loss: 1.7731 | Val  Acc: 0.5938
 Site-USPS                          | Val  Loss: 1.7769 | Val  Acc: 0.6034
 Site-USPS                          | Val  Loss: 1.7336 | Val  Acc: 0.6762
 Site-USPS                          | Val  Loss: 1.6907 | Val  Acc: 0.7090
 Site-SynthDigits                   | Val  Loss: 2.1672 | Val  Acc: 0.2432
 Site-SynthDigits                   | Val  Loss: 2.2395 | Val  Acc: 0.2941
 Site-SynthDigits                   | Val  Loss: 2.1681 | Val  Acc: 0.2705
 Site-MNIST_M                       | Val  Loss: 2.1819 | Val  Acc: 0.3556
 Site-MNIST_M                       | Val  Loss: 2.2036 | Val  Acc: 0.3457
 Site-SVHN                          | Val  Loss: 2.2961 | Val  Acc: 0.1286
Average Valid Accuracy: 0.5970
 Best site-MNIST                     | Epoch:2 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:2 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.6000
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.5556
 Best site-MNIST                     | Epoch:2 | Val Acc: 0.6471
