===2023-07-29 17:41:29===
===Setting===
    dataset: digit
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 5
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,12,21,38,70,126,227,409,736,1325,40,72,129,233,420,756,151,273,491,181,327,282,
client_nums=[10,6,3,2,1,]
len_dataset=[3719,2066,1147,637,353,]
domain number = 5
============ Train epoch 0 ============
 Site-MNIST                         | Train Loss: 1.1739 | Train Acc: 0.6667
 Site-MNIST                         | Train Loss: 1.1754 | Train Acc: 0.7500
 Site-MNIST                         | Train Loss: 0.9473 | Train Acc: 0.9524
 Site-MNIST                         | Train Loss: 0.9802 | Train Acc: 0.8684
 Site-MNIST                         | Train Loss: 1.0828 | Train Acc: 0.8143
 Site-MNIST                         | Train Loss: 1.1095 | Train Acc: 0.7778
 Site-MNIST                         | Train Loss: 1.0953 | Train Acc: 0.8326
 Site-MNIST                         | Train Loss: 1.1743 | Train Acc: 0.7433
 Site-MNIST                         | Train Loss: 1.1116 | Train Acc: 0.7962
 Site-MNIST                         | Train Loss: 1.0782 | Train Acc: 0.8106
 Site-USPS                          | Train Loss: 1.1163 | Train Acc: 0.8250
 Site-USPS                          | Train Loss: 1.1614 | Train Acc: 0.7778
 Site-USPS                          | Train Loss: 0.8167 | Train Acc: 0.8450
 Site-USPS                          | Train Loss: 1.0911 | Train Acc: 0.7811
 Site-USPS                          | Train Loss: 1.0455 | Train Acc: 0.7952
 Site-USPS                          | Train Loss: 1.0683 | Train Acc: 0.7831
 Site-SynthDigits                   | Train Loss: 1.8838 | Train Acc: 0.3974
 Site-SynthDigits                   | Train Loss: 1.9014 | Train Acc: 0.3773
 Site-SynthDigits                   | Train Loss: 1.8576 | Train Acc: 0.3951
 Site-MNIST_M                       | Train Loss: 2.0615 | Train Acc: 0.2818
 Site-MNIST_M                       | Train Loss: 2.0044 | Train Acc: 0.3609
 Site-SVHN                          | Train Loss: 2.2160 | Train Acc: 0.2021
Average Train Accuracy: 0.6743
 Site-MNIST                         | Val  Loss: 0.7637 | Val  Acc: 1.0000
 Site-MNIST                         | Val  Loss: 0.9939 | Val  Acc: 0.6667
 Site-MNIST                         | Val  Loss: 1.0629 | Val  Acc: 0.8000
 Site-MNIST                         | Val  Loss: 1.2011 | Val  Acc: 0.7778
 Site-MNIST                         | Val  Loss: 1.0804 | Val  Acc: 0.7647
 Site-MNIST                         | Val  Loss: 1.1261 | Val  Acc: 0.8065
 Site-MNIST                         | Val  Loss: 1.0914 | Val  Acc: 0.8214
 Site-MNIST                         | Val  Loss: 1.0791 | Val  Acc: 0.8137
 Site-MNIST                         | Val  Loss: 1.1220 | Val  Acc: 0.7650
 Site-MNIST                         | Val  Loss: 1.1261 | Val  Acc: 0.7704
 Site-USPS                          | Val  Loss: 0.8335 | Val  Acc: 0.9000
 Site-USPS                          | Val  Loss: 1.2415 | Val  Acc: 0.6667
 Site-USPS                          | Val  Loss: 1.2331 | Val  Acc: 0.6562
 Site-USPS                          | Val  Loss: 1.2082 | Val  Acc: 0.7241
 Site-USPS                          | Val  Loss: 1.1276 | Val  Acc: 0.7714
 Site-USPS                          | Val  Loss: 1.0367 | Val  Acc: 0.8042
 Site-SynthDigits                   | Val  Loss: 1.9358 | Val  Acc: 0.4054
 Site-SynthDigits                   | Val  Loss: 2.0906 | Val  Acc: 0.4265
 Site-SynthDigits                   | Val  Loss: 1.9053 | Val  Acc: 0.4180
 Site-MNIST_M                       | Val  Loss: 2.0504 | Val  Acc: 0.3111
 Site-MNIST_M                       | Val  Loss: 1.9987 | Val  Acc: 0.3457
 Site-SVHN                          | Val  Loss: 2.3165 | Val  Acc: 0.1429
Average Valid Accuracy: 0.6617
 Best site-MNIST                     | Epoch:0 | Val Acc: 1.0000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.6667
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.8000
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7778
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7647
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.8065
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.8214
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.8137
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7650
 Best site-MNIST                     | Epoch:0 | Val Acc: 0.7704
 Best site-USPS                      | Epoch:0 | Val Acc: 0.9000
 Best site-USPS                      | Epoch:0 | Val Acc: 0.6667
 Best site-USPS                      | Epoch:0 | Val Acc: 0.6562
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7241
 Best site-USPS                      | Epoch:0 | Val Acc: 0.7714
 Best site-USPS                      | Epoch:0 | Val Acc: 0.8042
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.4054
 Best site-SynthDigits               | Epoch:0 | Val Acc: 0.4265
