===2023-07-29 08:45:04===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[157,472,157,472,157,472,157,472,157,472,157,472,
client_nums=[2,2,2,2,2,2,]
len_dataset=[2103,2103,2103,2103,2103,2103,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 1.3326 | Train Acc: 0.7643
 Site-Clipart                       | Train Loss: 1.2938 | Train Acc: 0.7669
 Site-Real                          | Train Loss: 1.0602 | Train Acc: 0.9108
 Site-Real                          | Train Loss: 0.9710 | Train Acc: 0.9449
 Site-Painting                      | Train Loss: 1.2008 | Train Acc: 0.7962
 Site-Painting                      | Train Loss: 1.1913 | Train Acc: 0.8432
 Site-Sketch                        | Train Loss: 1.3191 | Train Acc: 0.6752
 Site-Sketch                        | Train Loss: 1.2868 | Train Acc: 0.7097
 Site-QuickDraw                     | Train Loss: 1.9582 | Train Acc: 0.4076
 Site-QuickDraw                     | Train Loss: 1.9728 | Train Acc: 0.3941
 Site-Infograph                     | Train Loss: 1.9149 | Train Acc: 0.4586
 Site-Infograph                     | Train Loss: 1.8179 | Train Acc: 0.5233
Average Train Accuracy: 0.6829
 Site-Clipart                       | Val  Loss: 1.3192 | Val  Acc: 0.7714
 Site-Clipart                       | Val  Loss: 1.3313 | Val  Acc: 0.7651
 Site-Real                          | Val  Loss: 1.0066 | Val  Acc: 0.9333
 Site-Real                          | Val  Loss: 0.9935 | Val  Acc: 0.9365
 Site-Painting                      | Val  Loss: 1.0532 | Val  Acc: 0.8571
 Site-Painting                      | Val  Loss: 1.1610 | Val  Acc: 0.8222
 Site-Sketch                        | Val  Loss: 1.2519 | Val  Acc: 0.7714
 Site-Sketch                        | Val  Loss: 1.2647 | Val  Acc: 0.7587
 Site-QuickDraw                     | Val  Loss: 1.9506 | Val  Acc: 0.3619
 Site-QuickDraw                     | Val  Loss: 1.9648 | Val  Acc: 0.3683
 Site-Infograph                     | Val  Loss: 1.8962 | Val  Acc: 0.3905
 Site-Infograph                     | Val  Loss: 1.8516 | Val  Acc: 0.4730
Average Valid Accuracy: 0.6841
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7714
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.7651
 Best site-Real                      | Epoch:0 | Val Acc: 0.9333
 Best site-Real                      | Epoch:0 | Val Acc: 0.9365
 Best site-Painting                  | Epoch:0 | Val Acc: 0.8571
 Best site-Painting                  | Epoch:0 | Val Acc: 0.8222
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.7714
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.7587
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.3619
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.3683
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.3905
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.4730
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1.0_0/harmo-fl...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 0.9589 | Train Acc: 0.8408
 Site-Clipart                       | Train Loss: 0.8962 | Train Acc: 0.8369
 Site-Real                          | Train Loss: 0.5921 | Train Acc: 0.8981
 Site-Real                          | Train Loss: 0.4889 | Train Acc: 0.9534
 Site-Painting                      | Train Loss: 0.7806 | Train Acc: 0.8471
 Site-Painting                      | Train Loss: 0.7674 | Train Acc: 0.8369
 Site-Sketch                        | Train Loss: 0.9182 | Train Acc: 0.7134
 Site-Sketch                        | Train Loss: 0.8342 | Train Acc: 0.7797
 Site-QuickDraw                     | Train Loss: 1.7463 | Train Acc: 0.4777
 Site-QuickDraw                     | Train Loss: 1.7178 | Train Acc: 0.5021
 Site-Infograph                     | Train Loss: 1.6859 | Train Acc: 0.4713
 Site-Infograph                     | Train Loss: 1.5993 | Train Acc: 0.5381
Average Train Accuracy: 0.7246
 Site-Clipart                       | Val  Loss: 0.8664 | Val  Acc: 0.8381
 Site-Clipart                       | Val  Loss: 0.8812 | Val  Acc: 0.8349
 Site-Real                          | Val  Loss: 0.4849 | Val  Acc: 0.9619
 Site-Real                          | Val  Loss: 0.5031 | Val  Acc: 0.9556
 Site-Painting                      | Val  Loss: 0.6054 | Val  Acc: 0.9048
 Site-Painting                      | Val  Loss: 0.7188 | Val  Acc: 0.8730
 Site-Sketch                        | Val  Loss: 0.8078 | Val  Acc: 0.7905
 Site-Sketch                        | Val  Loss: 0.8546 | Val  Acc: 0.7683
 Site-QuickDraw                     | Val  Loss: 1.7361 | Val  Acc: 0.4571
 Site-QuickDraw                     | Val  Loss: 1.7010 | Val  Acc: 0.5238
 Site-Infograph                     | Val  Loss: 1.7163 | Val  Acc: 0.4952
 Site-Infograph                     | Val  Loss: 1.6478 | Val  Acc: 0.4952
Average Valid Accuracy: 0.7415
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.8381
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.8349
 Best site-Real                      | Epoch:1 | Val Acc: 0.9619
 Best site-Real                      | Epoch:1 | Val Acc: 0.9556
 Best site-Painting                  | Epoch:1 | Val Acc: 0.9048
 Best site-Painting                  | Epoch:1 | Val Acc: 0.8730
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.7905
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.7683
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.4571
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.5238
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.4952
