===2023-05-12 18:30:33===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[315,945,315,945,315,945,315,945,315,945,315,945,
client_nums=[2,2,2,2,2,2,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart         | Train Loss: 1.7665 | Train Acc: 0.5524
 Site-Clipart         | Train Loss: 1.7998 | Train Acc: 0.5291
 Site-Real            | Train Loss: 1.6480 | Train Acc: 0.7079
 Site-Real            | Train Loss: 1.6672 | Train Acc: 0.6688
 Site-Painting        | Train Loss: 1.7449 | Train Acc: 0.5683
 Site-Painting        | Train Loss: 1.7116 | Train Acc: 0.6222
 Site-Sketch          | Train Loss: 1.7073 | Train Acc: 0.6127
 Site-Sketch          | Train Loss: 1.7337 | Train Acc: 0.5894
 Site-QuickDraw       | Train Loss: 2.1976 | Train Acc: 0.2000
 Site-QuickDraw       | Train Loss: 2.1681 | Train Acc: 0.2487
 Site-Infograph       | Train Loss: 2.1267 | Train Acc: 0.3048
 Site-Infograph       | Train Loss: 2.0692 | Train Acc: 0.3259
 Site-Clipart         | Val  Loss: 1.8271 | Val  Acc: 0.5381
 Site-Clipart         | Val  Loss: 1.7966 | Val  Acc: 0.5381
 Site-Real            | Val  Loss: 1.7398 | Val  Acc: 0.6762
 Site-Real            | Val  Loss: 1.6953 | Val  Acc: 0.6444
 Site-Painting        | Val  Loss: 1.7474 | Val  Acc: 0.6095
 Site-Painting        | Val  Loss: 1.7211 | Val  Acc: 0.6175
 Site-Sketch          | Val  Loss: 1.7827 | Val  Acc: 0.6143
 Site-Sketch          | Val  Loss: 1.7329 | Val  Acc: 0.5841
 Site-QuickDraw       | Val  Loss: 2.1555 | Val  Acc: 0.2667
 Site-QuickDraw       | Val  Loss: 2.1714 | Val  Acc: 0.2206
 Site-Infograph       | Val  Loss: 2.0556 | Val  Acc: 0.3048
 Site-Infograph       | Val  Loss: 2.0658 | Val  Acc: 0.3095
Average Valid Accuracy: 0.4937
 Best site-Clipart          | Epoch:0 | Val Acc: 0.5381
 Best site-Clipart          | Epoch:0 | Val Acc: 0.5381
 Best site-Real             | Epoch:0 | Val Acc: 0.6762
 Best site-Real             | Epoch:0 | Val Acc: 0.6444
 Best site-Painting         | Epoch:0 | Val Acc: 0.6095
 Best site-Painting         | Epoch:0 | Val Acc: 0.6175
 Best site-Sketch           | Epoch:0 | Val Acc: 0.6143
 Best site-Sketch           | Epoch:0 | Val Acc: 0.5841
 Best site-QuickDraw        | Epoch:0 | Val Acc: 0.2667
 Best site-QuickDraw        | Epoch:0 | Val Acc: 0.2206
 Best site-Infograph        | Epoch:0 | Val Acc: 0.3048
 Best site-Infograph        | Epoch:0 | Val Acc: 0.3095
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1.0_1/CoCoOP...
============ Train epoch 1 ============
 Site-Clipart         | Train Loss: 1.1073 | Train Acc: 0.7746
 Site-Clipart         | Train Loss: 1.1620 | Train Acc: 0.7376
 Site-Real            | Train Loss: 0.8434 | Train Acc: 0.8857
 Site-Real            | Train Loss: 0.8548 | Train Acc: 0.9048
 Site-Painting        | Train Loss: 1.0098 | Train Acc: 0.7905
 Site-Painting        | Train Loss: 0.9483 | Train Acc: 0.8190
 Site-Sketch          | Train Loss: 1.0168 | Train Acc: 0.7746
 Site-Sketch          | Train Loss: 1.0705 | Train Acc: 0.7492
 Site-QuickDraw       | Train Loss: 2.0372 | Train Acc: 0.2825
 Site-QuickDraw       | Train Loss: 2.0034 | Train Acc: 0.2921
 Site-Infograph       | Train Loss: 1.7088 | Train Acc: 0.4698
 Site-Infograph       | Train Loss: 1.7378 | Train Acc: 0.4497
 Site-Clipart         | Val  Loss: 1.2131 | Val  Acc: 0.7286
 Site-Clipart         | Val  Loss: 1.1498 | Val  Acc: 0.7476
 Site-Real            | Val  Loss: 0.9552 | Val  Acc: 0.8714
 Site-Real            | Val  Loss: 0.8777 | Val  Acc: 0.9016
 Site-Painting        | Val  Loss: 0.9655 | Val  Acc: 0.7810
 Site-Painting        | Val  Loss: 0.9395 | Val  Acc: 0.8302
 Site-Sketch          | Val  Loss: 1.1027 | Val  Acc: 0.7190
 Site-Sketch          | Val  Loss: 1.0530 | Val  Acc: 0.7492
 Site-QuickDraw       | Val  Loss: 1.9776 | Val  Acc: 0.2905
 Site-QuickDraw       | Val  Loss: 1.9925 | Val  Acc: 0.2810
 Site-Infograph       | Val  Loss: 1.6960 | Val  Acc: 0.4810
 Site-Infograph       | Val  Loss: 1.7272 | Val  Acc: 0.4635
