===2023-05-13 02:20:37===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[157,472,157,472,157,472,157,472,157,472,157,472,
client_nums=[2,2,2,2,2,2,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart         | Train Loss: 1.3568 | Train Acc: 0.7707
 Site-Clipart         | Train Loss: 1.3128 | Train Acc: 0.7797
 Site-Real            | Train Loss: 1.0916 | Train Acc: 0.8790
 Site-Real            | Train Loss: 0.9627 | Train Acc: 0.9322
 Site-Painting        | Train Loss: 1.1471 | Train Acc: 0.8344
 Site-Painting        | Train Loss: 1.1612 | Train Acc: 0.8093
 Site-Sketch          | Train Loss: 1.2973 | Train Acc: 0.6879
 Site-Sketch          | Train Loss: 1.2807 | Train Acc: 0.7415
 Site-QuickDraw       | Train Loss: 1.9623 | Train Acc: 0.4331
 Site-QuickDraw       | Train Loss: 1.9678 | Train Acc: 0.4407
 Site-Infograph       | Train Loss: 1.8470 | Train Acc: 0.4841
 Site-Infograph       | Train Loss: 1.8324 | Train Acc: 0.4703
 Site-Clipart         | Val  Loss: 1.3371 | Val  Acc: 0.8095
 Site-Clipart         | Val  Loss: 1.3281 | Val  Acc: 0.7778
 Site-Real            | Val  Loss: 0.9648 | Val  Acc: 0.9619
 Site-Real            | Val  Loss: 1.0018 | Val  Acc: 0.9270
 Site-Painting        | Val  Loss: 1.0797 | Val  Acc: 0.8381
 Site-Painting        | Val  Loss: 1.1777 | Val  Acc: 0.8159
 Site-Sketch          | Val  Loss: 1.2463 | Val  Acc: 0.7714
 Site-Sketch          | Val  Loss: 1.2545 | Val  Acc: 0.7429
 Site-QuickDraw       | Val  Loss: 1.9417 | Val  Acc: 0.4571
 Site-QuickDraw       | Val  Loss: 1.9428 | Val  Acc: 0.4667
 Site-Infograph       | Val  Loss: 1.9205 | Val  Acc: 0.4381
 Site-Infograph       | Val  Loss: 1.8471 | Val  Acc: 0.4571
Average Valid Accuracy: 0.7053
 Best site-Clipart          | Epoch:0 | Val Acc: 0.8095
 Best site-Clipart          | Epoch:0 | Val Acc: 0.7778
 Best site-Real             | Epoch:0 | Val Acc: 0.9619
 Best site-Real             | Epoch:0 | Val Acc: 0.9270
 Best site-Painting         | Epoch:0 | Val Acc: 0.8381
 Best site-Painting         | Epoch:0 | Val Acc: 0.8159
 Best site-Sketch           | Epoch:0 | Val Acc: 0.7714
 Best site-Sketch           | Epoch:0 | Val Acc: 0.7429
 Best site-QuickDraw        | Epoch:0 | Val Acc: 0.4571
 Best site-QuickDraw        | Epoch:0 | Val Acc: 0.4667
 Best site-Infograph        | Epoch:0 | Val Acc: 0.4381
 Best site-Infograph        | Epoch:0 | Val Acc: 0.4571
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1.0_1/harmo-fl...
============ Train epoch 1 ============
 Site-Clipart         | Train Loss: 0.8986 | Train Acc: 0.8217
 Site-Clipart         | Train Loss: 0.8996 | Train Acc: 0.8369
 Site-Real            | Train Loss: 0.5823 | Train Acc: 0.9236
 Site-Real            | Train Loss: 0.4840 | Train Acc: 0.9619
 Site-Painting        | Train Loss: 0.7278 | Train Acc: 0.8535
 Site-Painting        | Train Loss: 0.7154 | Train Acc: 0.8814
 Site-Sketch          | Train Loss: 0.9057 | Train Acc: 0.7389
 Site-Sketch          | Train Loss: 0.8333 | Train Acc: 0.7797
 Site-QuickDraw       | Train Loss: 1.7226 | Train Acc: 0.5032
 Site-QuickDraw       | Train Loss: 1.7314 | Train Acc: 0.5064
 Site-Infograph       | Train Loss: 1.6199 | Train Acc: 0.4968
 Site-Infograph       | Train Loss: 1.6103 | Train Acc: 0.5318
 Site-Clipart         | Val  Loss: 0.8715 | Val  Acc: 0.8762
 Site-Clipart         | Val  Loss: 0.9102 | Val  Acc: 0.8190
 Site-Real            | Val  Loss: 0.5029 | Val  Acc: 0.9714
 Site-Real            | Val  Loss: 0.4919 | Val  Acc: 0.9683
 Site-Painting        | Val  Loss: 0.5770 | Val  Acc: 0.9048
 Site-Painting        | Val  Loss: 0.7227 | Val  Acc: 0.8540
 Site-Sketch          | Val  Loss: 0.7484 | Val  Acc: 0.8476
 Site-Sketch          | Val  Loss: 0.8711 | Val  Acc: 0.7937
 Site-QuickDraw       | Val  Loss: 1.7230 | Val  Acc: 0.4571
 Site-QuickDraw       | Val  Loss: 1.7155 | Val  Acc: 0.5111
 Site-Infograph       | Val  Loss: 1.7038 | Val  Acc: 0.4952
 Site-Infograph       | Val  Loss: 1.6398 | Val  Acc: 0.5016
Average Valid Accuracy: 0.7500
 Best site-Clipart          | Epoch:1 | Val Acc: 0.8762
 Best site-Clipart          | Epoch:1 | Val Acc: 0.8190
