===2023-06-03 13:33:26===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 32
    iters: 2
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
data_number=[157,472,157,472,157,472,157,472,157,472,157,472,
client_nums=[2,2,2,2,2,2,]
len_dataset=[2103,2103,2103,2103,2103,2103,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                  | Train Loss: 2.2815 | Train Acc: 0.1465
 Site-Clipart                  | Train Loss: 2.2778 | Train Acc: 0.1525
 Site-Real                     | Train Loss: 2.2562 | Train Acc: 0.1338
 Site-Real                     | Train Loss: 2.2586 | Train Acc: 0.1525
 Site-Painting                 | Train Loss: 2.2561 | Train Acc: 0.2229
 Site-Painting                 | Train Loss: 2.2460 | Train Acc: 0.2055
 Site-Sketch                   | Train Loss: 2.2608 | Train Acc: 0.2102
 Site-Sketch                   | Train Loss: 2.2656 | Train Acc: 0.2055
 Site-QuickDraw                | Train Loss: 2.2995 | Train Acc: 0.0955
 Site-QuickDraw                | Train Loss: 2.2997 | Train Acc: 0.0975
 Site-Infograph                | Train Loss: 2.2758 | Train Acc: 0.1338
 Site-Infograph                | Train Loss: 2.2823 | Train Acc: 0.1038
 Site-Clipart                       | Val  Loss: 2.2773 | Val  Acc: 0.1143
 Site-Clipart                       | Val  Loss: 2.2798 | Val  Acc: 0.1651
 Site-Real                          | Val  Loss: 2.2438 | Val  Acc: 0.2381
 Site-Real                          | Val  Loss: 2.2590 | Val  Acc: 0.1460
 Site-Painting                      | Val  Loss: 2.2461 | Val  Acc: 0.2286
 Site-Painting                      | Val  Loss: 2.2463 | Val  Acc: 0.1714
 Site-Sketch                        | Val  Loss: 2.2770 | Val  Acc: 0.2000
 Site-Sketch                        | Val  Loss: 2.2638 | Val  Acc: 0.2159
 Site-QuickDraw                     | Val  Loss: 2.3004 | Val  Acc: 0.0952
 Site-QuickDraw                     | Val  Loss: 2.3005 | Val  Acc: 0.1175
 Site-Infograph                     | Val  Loss: 2.2734 | Val  Acc: 0.1714
 Site-Infograph                     | Val  Loss: 2.2827 | Val  Acc: 0.1270
Average Valid Accuracy: 0.1659
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1143
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1651
 Best site-Real                      | Epoch:0 | Val Acc: 0.2381
 Best site-Real                      | Epoch:0 | Val Acc: 0.1460
 Best site-Painting                  | Epoch:0 | Val Acc: 0.2286
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1714
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.2000
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.2159
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.0952
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1175
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.1714
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.1270
 Saving the gmap checkpoint to ../checkpoint/fed_domainnet_even_1.0_1/ccop_q=1_gmap...
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1.0_1/fedavg...
============ Train epoch 1 ============
