===2023-06-27 07:07:09===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[157,472,157,472,157,472,157,472,157,472,157,472,
client_nums=[2,2,2,2,2,2,]
len_dataset=[2103,2103,2103,2103,2103,2103,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.2575 | Train Acc: 0.1911
 Site-Clipart                       | Train Loss: 2.2732 | Train Acc: 0.1547
 Site-Real                          | Train Loss: 2.2637 | Train Acc: 0.1847
 Site-Real                          | Train Loss: 2.2579 | Train Acc: 0.2161
 Site-Painting                      | Train Loss: 2.2523 | Train Acc: 0.2229
 Site-Painting                      | Train Loss: 2.2642 | Train Acc: 0.1716
 Site-Sketch                        | Train Loss: 2.2793 | Train Acc: 0.1338
 Site-Sketch                        | Train Loss: 2.2727 | Train Acc: 0.1716
 Site-QuickDraw                     | Train Loss: 2.3087 | Train Acc: 0.0828
 Site-QuickDraw                     | Train Loss: 2.3046 | Train Acc: 0.1271
 Site-Infograph                     | Train Loss: 2.2819 | Train Acc: 0.1083
 Site-Infograph                     | Train Loss: 2.2880 | Train Acc: 0.1250
Average Train Accuracy: 0.1575
 Site-Clipart                       | Val  Loss: 2.2671 | Val  Acc: 0.1524
 Site-Clipart                       | Val  Loss: 2.2711 | Val  Acc: 0.1333
 Site-Real                          | Val  Loss: 2.2516 | Val  Acc: 0.2286
 Site-Real                          | Val  Loss: 2.2525 | Val  Acc: 0.2349
 Site-Painting                      | Val  Loss: 2.2660 | Val  Acc: 0.2000
 Site-Painting                      | Val  Loss: 2.2633 | Val  Acc: 0.2190
 Site-Sketch                        | Val  Loss: 2.2620 | Val  Acc: 0.2000
 Site-Sketch                        | Val  Loss: 2.2737 | Val  Acc: 0.1619
 Site-QuickDraw                     | Val  Loss: 2.3080 | Val  Acc: 0.1238
 Site-QuickDraw                     | Val  Loss: 2.3069 | Val  Acc: 0.1111
 Site-Infograph                     | Val  Loss: 2.2922 | Val  Acc: 0.1238
 Site-Infograph                     | Val  Loss: 2.2931 | Val  Acc: 0.1270
Average Valid Accuracy: 0.1680
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1524
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1333
 Best site-Real                      | Epoch:0 | Val Acc: 0.2286
 Best site-Real                      | Epoch:0 | Val Acc: 0.2349
