===2023-07-29 22:03:40===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[157,472,157,472,157,472,157,472,157,472,157,472,
client_nums=[2,2,2,2,2,2,]
len_dataset=[2103,2103,2103,2103,2103,2103,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1783 | Train Acc: 0.4013
 Site-Clipart                       | Train Loss: 2.1620 | Train Acc: 0.4619
 Site-Real                          | Train Loss: 2.1602 | Train Acc: 0.5223
 Site-Real                          | Train Loss: 2.1547 | Train Acc: 0.5742
 Site-Painting                      | Train Loss: 2.1813 | Train Acc: 0.4777
 Site-Painting                      | Train Loss: 2.1828 | Train Acc: 0.4894
 Site-Sketch                        | Train Loss: 2.1870 | Train Acc: 0.5223
 Site-Sketch                        | Train Loss: 2.1634 | Train Acc: 0.5042
 Site-QuickDraw                     | Train Loss: 2.2628 | Train Acc: 0.2357
 Site-QuickDraw                     | Train Loss: 2.2694 | Train Acc: 0.1992
 Site-Infograph                     | Train Loss: 2.2444 | Train Acc: 0.2611
 Site-Infograph                     | Train Loss: 2.2460 | Train Acc: 0.2669
Average Train Accuracy: 0.4097
 Site-Clipart                       | Val  Loss: 2.1733 | Val  Acc: 0.4381
 Site-Clipart                       | Val  Loss: 2.1701 | Val  Acc: 0.4286
 Site-Real                          | Val  Loss: 2.1455 | Val  Acc: 0.6190
 Site-Real                          | Val  Loss: 2.1492 | Val  Acc: 0.5873
 Site-Painting                      | Val  Loss: 2.1908 | Val  Acc: 0.4476
 Site-Painting                      | Val  Loss: 2.1798 | Val  Acc: 0.4540
 Site-Sketch                        | Val  Loss: 2.1657 | Val  Acc: 0.4857
 Site-Sketch                        | Val  Loss: 2.1722 | Val  Acc: 0.4667
 Site-QuickDraw                     | Val  Loss: 2.2689 | Val  Acc: 0.1619
 Site-QuickDraw                     | Val  Loss: 2.2697 | Val  Acc: 0.1778
 Site-Infograph                     | Val  Loss: 2.2604 | Val  Acc: 0.2381
 Site-Infograph                     | Val  Loss: 2.2549 | Val  Acc: 0.2413
Average Valid Accuracy: 0.3955
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4381
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4286
 Best site-Real                      | Epoch:0 | Val Acc: 0.6190
 Best site-Real                      | Epoch:0 | Val Acc: 0.5873
 Best site-Painting                  | Epoch:0 | Val Acc: 0.4476
 Best site-Painting                  | Epoch:0 | Val Acc: 0.4540
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.4857
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.4667
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1619
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1778
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2381
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2413
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1.0_2/afl...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.0582 | Train Acc: 0.7134
