===2023-07-29 20:31:21===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[157,472,157,472,157,472,157,472,157,472,157,472,
client_nums=[2,2,2,2,2,2,]
len_dataset=[2103,2103,2103,2103,2103,2103,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1714 | Train Acc: 0.4459
 Site-Clipart                       | Train Loss: 2.1704 | Train Acc: 0.4831
 Site-Real                          | Train Loss: 2.1315 | Train Acc: 0.6497
 Site-Real                          | Train Loss: 2.1294 | Train Acc: 0.7076
 Site-Painting                      | Train Loss: 2.1373 | Train Acc: 0.6497
 Site-Painting                      | Train Loss: 2.1467 | Train Acc: 0.5805
 Site-Sketch                        | Train Loss: 2.1704 | Train Acc: 0.4650
 Site-Sketch                        | Train Loss: 2.1700 | Train Acc: 0.4534
 Site-QuickDraw                     | Train Loss: 2.2803 | Train Acc: 0.1656
 Site-QuickDraw                     | Train Loss: 2.2733 | Train Acc: 0.1631
 Site-Infograph                     | Train Loss: 2.2622 | Train Acc: 0.2229
 Site-Infograph                     | Train Loss: 2.2545 | Train Acc: 0.2564
Average Train Accuracy: 0.4369
 Site-Clipart                       | Val  Loss: 2.1692 | Val  Acc: 0.4762
 Site-Clipart                       | Val  Loss: 2.1673 | Val  Acc: 0.4698
 Site-Real                          | Val  Loss: 2.1368 | Val  Acc: 0.7048
 Site-Real                          | Val  Loss: 2.1320 | Val  Acc: 0.7048
 Site-Painting                      | Val  Loss: 2.1552 | Val  Acc: 0.5429
 Site-Painting                      | Val  Loss: 2.1507 | Val  Acc: 0.5619
 Site-Sketch                        | Val  Loss: 2.1771 | Val  Acc: 0.4857
 Site-Sketch                        | Val  Loss: 2.1711 | Val  Acc: 0.4635
 Site-QuickDraw                     | Val  Loss: 2.2714 | Val  Acc: 0.1714
 Site-QuickDraw                     | Val  Loss: 2.2793 | Val  Acc: 0.1873
 Site-Infograph                     | Val  Loss: 2.2662 | Val  Acc: 0.1905
 Site-Infograph                     | Val  Loss: 2.2611 | Val  Acc: 0.2317
Average Valid Accuracy: 0.4325
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4762
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4698
 Best site-Real                      | Epoch:0 | Val Acc: 0.7048
 Best site-Real                      | Epoch:0 | Val Acc: 0.7048
 Best site-Painting                  | Epoch:0 | Val Acc: 0.5429
 Best site-Painting                  | Epoch:0 | Val Acc: 0.5619
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.4857
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.4635
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1714
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1873
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.1905
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2317
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1.0_2/fedavg...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.0467 | Train Acc: 0.6306
 Site-Clipart                       | Train Loss: 2.0398 | Train Acc: 0.6229
 Site-Real                          | Train Loss: 1.9809 | Train Acc: 0.8599
 Site-Real                          | Train Loss: 1.9617 | Train Acc: 0.8750
 Site-Painting                      | Train Loss: 1.9999 | Train Acc: 0.7516
 Site-Painting                      | Train Loss: 2.0128 | Train Acc: 0.7246
 Site-Sketch                        | Train Loss: 2.0197 | Train Acc: 0.6306
 Site-Sketch                        | Train Loss: 2.0380 | Train Acc: 0.6419
 Site-QuickDraw                     | Train Loss: 2.2300 | Train Acc: 0.2548
 Site-QuickDraw                     | Train Loss: 2.2259 | Train Acc: 0.3051
 Site-Infograph                     | Train Loss: 2.2141 | Train Acc: 0.2866
 Site-Infograph                     | Train Loss: 2.1896 | Train Acc: 0.3347
Average Train Accuracy: 0.5765
 Site-Clipart                       | Val  Loss: 2.0493 | Val  Acc: 0.6476
 Site-Clipart                       | Val  Loss: 2.0416 | Val  Acc: 0.6349
 Site-Real                          | Val  Loss: 1.9647 | Val  Acc: 0.8762
 Site-Real                          | Val  Loss: 1.9639 | Val  Acc: 0.8698
 Site-Painting                      | Val  Loss: 2.0086 | Val  Acc: 0.6667
 Site-Painting                      | Val  Loss: 2.0138 | Val  Acc: 0.7238
 Site-Sketch                        | Val  Loss: 2.0305 | Val  Acc: 0.6286
 Site-Sketch                        | Val  Loss: 2.0352 | Val  Acc: 0.6286
 Site-QuickDraw                     | Val  Loss: 2.2208 | Val  Acc: 0.2857
 Site-QuickDraw                     | Val  Loss: 2.2310 | Val  Acc: 0.2825
 Site-Infograph                     | Val  Loss: 2.2047 | Val  Acc: 0.3048
 Site-Infograph                     | Val  Loss: 2.1927 | Val  Acc: 0.3556
Average Valid Accuracy: 0.5754
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6476
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6349
 Best site-Real                      | Epoch:1 | Val Acc: 0.8762
 Best site-Real                      | Epoch:1 | Val Acc: 0.8698
 Best site-Painting                  | Epoch:1 | Val Acc: 0.6667
 Best site-Painting                  | Epoch:1 | Val Acc: 0.7238
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.6286
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.6286
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.2857
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.2825
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.3048
