===2023-07-30 08:19:51===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[157,472,157,472,157,472,157,472,157,472,157,472,
client_nums=[2,2,2,2,2,2,]
len_dataset=[2103,2103,2103,2103,2103,2103,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1706 | Train Acc: 0.4777
 Site-Clipart                       | Train Loss: 2.1662 | Train Acc: 0.4449
 Site-Real                          | Train Loss: 2.1576 | Train Acc: 0.5796
 Site-Real                          | Train Loss: 2.1472 | Train Acc: 0.6165
 Site-Painting                      | Train Loss: 2.1715 | Train Acc: 0.5096
 Site-Painting                      | Train Loss: 2.1703 | Train Acc: 0.4958
 Site-Sketch                        | Train Loss: 2.1676 | Train Acc: 0.5159
 Site-Sketch                        | Train Loss: 2.1665 | Train Acc: 0.4873
 Site-QuickDraw                     | Train Loss: 2.2595 | Train Acc: 0.2420
 Site-QuickDraw                     | Train Loss: 2.2710 | Train Acc: 0.1970
 Site-Infograph                     | Train Loss: 2.2476 | Train Acc: 0.2420
 Site-Infograph                     | Train Loss: 2.2439 | Train Acc: 0.2691
Average Train Accuracy: 0.4231
 Site-Clipart                       | Val  Loss: 2.1737 | Val  Acc: 0.4762
 Site-Clipart                       | Val  Loss: 2.1655 | Val  Acc: 0.4698
 Site-Real                          | Val  Loss: 2.1495 | Val  Acc: 0.6095
 Site-Real                          | Val  Loss: 2.1470 | Val  Acc: 0.6190
 Site-Painting                      | Val  Loss: 2.1728 | Val  Acc: 0.4952
 Site-Painting                      | Val  Loss: 2.1740 | Val  Acc: 0.4857
 Site-Sketch                        | Val  Loss: 2.1556 | Val  Acc: 0.5048
 Site-Sketch                        | Val  Loss: 2.1731 | Val  Acc: 0.5238
 Site-QuickDraw                     | Val  Loss: 2.2651 | Val  Acc: 0.1714
 Site-QuickDraw                     | Val  Loss: 2.2697 | Val  Acc: 0.1968
 Site-Infograph                     | Val  Loss: 2.2541 | Val  Acc: 0.2571
 Site-Infograph                     | Val  Loss: 2.2533 | Val  Acc: 0.2254
Average Valid Accuracy: 0.4196
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4762
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4698
 Best site-Real                      | Epoch:0 | Val Acc: 0.6095
 Best site-Real                      | Epoch:0 | Val Acc: 0.6190
 Best site-Painting                  | Epoch:0 | Val Acc: 0.4952
 Best site-Painting                  | Epoch:0 | Val Acc: 0.4857
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.5048
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.5238
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1714
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1968
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2571
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2254
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1.0_2/fedmix...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.0434 | Train Acc: 0.7516
 Site-Clipart                       | Train Loss: 2.0373 | Train Acc: 0.6377
 Site-Real                          | Train Loss: 2.0137 | Train Acc: 0.8408
 Site-Real                          | Train Loss: 1.9813 | Train Acc: 0.8517
 Site-Painting                      | Train Loss: 2.0377 | Train Acc: 0.7006
 Site-Painting                      | Train Loss: 2.0218 | Train Acc: 0.6992
 Site-Sketch                        | Train Loss: 2.0361 | Train Acc: 0.6369
 Site-Sketch                        | Train Loss: 2.0324 | Train Acc: 0.6547
 Site-QuickDraw                     | Train Loss: 2.2171 | Train Acc: 0.3185
 Site-QuickDraw                     | Train Loss: 2.2281 | Train Acc: 0.2775
 Site-Infograph                     | Train Loss: 2.2040 | Train Acc: 0.3631
 Site-Infograph                     | Train Loss: 2.1765 | Train Acc: 0.3898
Average Train Accuracy: 0.5935
 Site-Clipart                       | Val  Loss: 2.0508 | Val  Acc: 0.6381
 Site-Clipart                       | Val  Loss: 2.0389 | Val  Acc: 0.6603
 Site-Real                          | Val  Loss: 1.9872 | Val  Acc: 0.8190
 Site-Real                          | Val  Loss: 1.9808 | Val  Acc: 0.8730
 Site-Painting                      | Val  Loss: 2.0042 | Val  Acc: 0.7619
 Site-Painting                      | Val  Loss: 2.0253 | Val  Acc: 0.7111
 Site-Sketch                        | Val  Loss: 2.0196 | Val  Acc: 0.6571
 Site-Sketch                        | Val  Loss: 2.0386 | Val  Acc: 0.6444
 Site-QuickDraw                     | Val  Loss: 2.2258 | Val  Acc: 0.3048
 Site-QuickDraw                     | Val  Loss: 2.2153 | Val  Acc: 0.3333
 Site-Infograph                     | Val  Loss: 2.2086 | Val  Acc: 0.3143
 Site-Infograph                     | Val  Loss: 2.1915 | Val  Acc: 0.3460
Average Valid Accuracy: 0.5886
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6381
 Best site-Clipart                   | Epoch:1 | Val Acc: 0.6603
 Best site-Real                      | Epoch:1 | Val Acc: 0.8190
 Best site-Real                      | Epoch:1 | Val Acc: 0.8730
 Best site-Painting                  | Epoch:1 | Val Acc: 0.7619
 Best site-Painting                  | Epoch:1 | Val Acc: 0.7111
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.6571
 Best site-Sketch                    | Epoch:1 | Val Acc: 0.6444
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.3048
 Best site-QuickDraw                 | Epoch:1 | Val Acc: 0.3333
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.3143
 Best site-Infograph                 | Epoch:1 | Val Acc: 0.3460
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1.0_2/fedmix...
============ Train epoch 2 ============
 Site-Clipart                       | Train Loss: 1.9125 | Train Acc: 0.7707
 Site-Clipart                       | Train Loss: 1.9107 | Train Acc: 0.7458
 Site-Real                          | Train Loss: 1.8597 | Train Acc: 0.8662
