===2023-07-30 01:02:48===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[157,472,157,472,157,472,157,472,157,472,157,472,
client_nums=[2,2,2,2,2,2,]
len_dataset=[2103,2103,2103,2103,2103,2103,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1753 | Train Acc: 0.4204
 Site-Clipart                       | Train Loss: 2.1587 | Train Acc: 0.4619
 Site-Real                          | Train Loss: 2.1559 | Train Acc: 0.5414
 Site-Real                          | Train Loss: 2.1499 | Train Acc: 0.6017
 Site-Painting                      | Train Loss: 2.1778 | Train Acc: 0.4904
 Site-Painting                      | Train Loss: 2.1790 | Train Acc: 0.5021
 Site-Sketch                        | Train Loss: 2.1841 | Train Acc: 0.5223
 Site-Sketch                        | Train Loss: 2.1599 | Train Acc: 0.5042
 Site-QuickDraw                     | Train Loss: 2.2626 | Train Acc: 0.2293
 Site-QuickDraw                     | Train Loss: 2.2692 | Train Acc: 0.2034
 Site-Infograph                     | Train Loss: 2.2436 | Train Acc: 0.2675
 Site-Infograph                     | Train Loss: 2.2449 | Train Acc: 0.2691
Average Train Accuracy: 0.4178
 Site-Clipart                       | Val  Loss: 2.1701 | Val  Acc: 0.4476
 Site-Clipart                       | Val  Loss: 2.1669 | Val  Acc: 0.4317
 Site-Real                          | Val  Loss: 2.1407 | Val  Acc: 0.6190
 Site-Real                          | Val  Loss: 2.1445 | Val  Acc: 0.5937
 Site-Painting                      | Val  Loss: 2.1865 | Val  Acc: 0.4571
 Site-Painting                      | Val  Loss: 2.1761 | Val  Acc: 0.4698
 Site-Sketch                        | Val  Loss: 2.1624 | Val  Acc: 0.4857
 Site-Sketch                        | Val  Loss: 2.1688 | Val  Acc: 0.4794
 Site-QuickDraw                     | Val  Loss: 2.2684 | Val  Acc: 0.1619
 Site-QuickDraw                     | Val  Loss: 2.2695 | Val  Acc: 0.1778
 Site-Infograph                     | Val  Loss: 2.2596 | Val  Acc: 0.2476
 Site-Infograph                     | Val  Loss: 2.2539 | Val  Acc: 0.2444
Average Valid Accuracy: 0.4013
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4476
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.4317
 Best site-Real                      | Epoch:0 | Val Acc: 0.6190
 Best site-Real                      | Epoch:0 | Val Acc: 0.5937
 Best site-Painting                  | Epoch:0 | Val Acc: 0.4571
 Best site-Painting                  | Epoch:0 | Val Acc: 0.4698
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.4857
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.4794
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1619
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1778
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2476
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2444
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1.0_2/term...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.0503 | Train Acc: 0.7134
 Site-Clipart                       | Train Loss: 2.0310 | Train Acc: 0.6568
 Site-Real                          | Train Loss: 1.9969 | Train Acc: 0.8535
 Site-Real                          | Train Loss: 1.9723 | Train Acc: 0.8644
 Site-Painting                      | Train Loss: 2.0101 | Train Acc: 0.7006
 Site-Painting                      | Train Loss: 2.0219 | Train Acc: 0.7415
 Site-Sketch                        | Train Loss: 2.0463 | Train Acc: 0.6115
 Site-Sketch                        | Train Loss: 2.0202 | Train Acc: 0.6780
 Site-QuickDraw                     | Train Loss: 2.2109 | Train Acc: 0.3185
 Site-QuickDraw                     | Train Loss: 2.2269 | Train Acc: 0.2839
 Site-Infograph                     | Train Loss: 2.2013 | Train Acc: 0.3822
 Site-Infograph                     | Train Loss: 2.1817 | Train Acc: 0.3877
Average Train Accuracy: 0.5993
 Site-Clipart                       | Val  Loss: 2.0556 | Val  Acc: 0.6667
 Site-Clipart                       | Val  Loss: 2.0501 | Val  Acc: 0.6063
 Site-Real                          | Val  Loss: 1.9889 | Val  Acc: 0.8286
 Site-Real                          | Val  Loss: 1.9764 | Val  Acc: 0.8381
 Site-Painting                      | Val  Loss: 2.0095 | Val  Acc: 0.7524
 Site-Painting                      | Val  Loss: 2.0207 | Val  Acc: 0.7206
 Site-Sketch                        | Val  Loss: 2.0193 | Val  Acc: 0.6762
