===2023-04-21 10:26:06===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[84,168,31,62,29,58,32,64,38,77,35,70,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 2.2997 | Train Acc: 0.1071
 Site-Clipart   | Train Loss: 2.2976 | Train Acc: 0.0952
 Site-Infograph | Train Loss: 2.2884 | Train Acc: 0.0968
 Site-Infograph | Train Loss: 2.3415 | Train Acc: 0.0484
 Site-Painting  | Train Loss: 2.2968 | Train Acc: 0.1034
 Site-Painting  | Train Loss: 2.2716 | Train Acc: 0.1724
 Site-QuickDraw | Train Loss: 2.2633 | Train Acc: 0.2188
 Site-QuickDraw | Train Loss: 2.3348 | Train Acc: 0.0938
 Site-Real      | Train Loss: 2.2992 | Train Acc: 0.0263
 Site-Real      | Train Loss: 2.2980 | Train Acc: 0.0779
 Site-Sketch    | Train Loss: 2.2913 | Train Acc: 0.1143
 Site-Sketch    | Train Loss: 2.3082 | Train Acc: 0.0714
 Site-Clipart   | Val  Loss: 2.2868 | Val  Acc: 0.0893
 Site-Clipart   | Val  Loss: 2.2983 | Val  Acc: 0.0982
 Site-Infograph | Val  Loss: 2.3592 | Val  Acc: 0.0500
 Site-Infograph | Val  Loss: 2.3365 | Val  Acc: 0.0976
 Site-Painting  | Val  Loss: 2.3289 | Val  Acc: 0.0526
 Site-Painting  | Val  Loss: 2.2928 | Val  Acc: 0.1282
 Site-QuickDraw | Val  Loss: 2.2808 | Val  Acc: 0.0000
 Site-QuickDraw | Val  Loss: 2.3056 | Val  Acc: 0.0476
 Site-Real      | Val  Loss: 2.3352 | Val  Acc: 0.0000
 Site-Real      | Val  Loss: 2.3049 | Val  Acc: 0.0392
 Site-Sketch    | Val  Loss: 2.2844 | Val  Acc: 0.0435
 Site-Sketch    | Val  Loss: 2.3233 | Val  Acc: 0.0652
Average Valid Accuracy: 0.0593
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0893
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0982
 Best site-Infograph  | Epoch:0 | Val Acc: 0.0500
 Best site-Infograph  | Epoch:0 | Val Acc: 0.0976
 Best site-Painting   | Epoch:0 | Val Acc: 0.0526
 Best site-Painting   | Epoch:0 | Val Acc: 0.1282
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.0000
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.0476
 Best site-Real       | Epoch:0 | Val Acc: 0.0000
 Best site-Real       | Epoch:0 | Val Acc: 0.0392
 Best site-Sketch     | Epoch:0 | Val Acc: 0.0435
 Best site-Sketch     | Epoch:0 | Val Acc: 0.0652
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1/fedavg...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 2.2950 | Train Acc: 0.1071
 Site-Clipart   | Train Loss: 2.2771 | Train Acc: 0.1488
 Site-Infograph | Train Loss: 2.2754 | Train Acc: 0.1290
 Site-Infograph | Train Loss: 2.3368 | Train Acc: 0.0323
 Site-Painting  | Train Loss: 2.2758 | Train Acc: 0.1379
 Site-Painting  | Train Loss: 2.2699 | Train Acc: 0.1379
 Site-QuickDraw | Train Loss: 2.2592 | Train Acc: 0.2188
 Site-QuickDraw | Train Loss: 2.3236 | Train Acc: 0.0469
 Site-Real      | Train Loss: 2.2714 | Train Acc: 0.1053
 Site-Real      | Train Loss: 2.2877 | Train Acc: 0.1688
 Site-Sketch    | Train Loss: 2.2685 | Train Acc: 0.1714
 Site-Sketch    | Train Loss: 2.3040 | Train Acc: 0.0857
 Site-Clipart   | Val  Loss: 2.2573 | Val  Acc: 0.1071
 Site-Clipart   | Val  Loss: 2.2845 | Val  Acc: 0.1339
 Site-Infograph | Val  Loss: 2.3589 | Val  Acc: 0.0500
 Site-Infograph | Val  Loss: 2.3243 | Val  Acc: 0.0976
 Site-Painting  | Val  Loss: 2.3123 | Val  Acc: 0.0526
 Site-Painting  | Val  Loss: 2.2818 | Val  Acc: 0.1538
 Site-QuickDraw | Val  Loss: 2.2747 | Val  Acc: 0.0476
 Site-QuickDraw | Val  Loss: 2.3005 | Val  Acc: 0.0476
 Site-Real      | Val  Loss: 2.3268 | Val  Acc: 0.0800
 Site-Real      | Val  Loss: 2.2905 | Val  Acc: 0.1569
 Site-Sketch    | Val  Loss: 2.2923 | Val  Acc: 0.0435
 Site-Sketch    | Val  Loss: 2.2922 | Val  Acc: 0.0652
Average Valid Accuracy: 0.0863
 Best site-Clipart    | Epoch:1 | Val Acc: 0.1071
 Best site-Clipart    | Epoch:1 | Val Acc: 0.1339
 Best site-Infograph  | Epoch:1 | Val Acc: 0.0500
 Best site-Infograph  | Epoch:1 | Val Acc: 0.0976
 Best site-Painting   | Epoch:1 | Val Acc: 0.0526
 Best site-Painting   | Epoch:1 | Val Acc: 0.1538
 Best site-QuickDraw  | Epoch:1 | Val Acc: 0.0476
 Best site-QuickDraw  | Epoch:1 | Val Acc: 0.0476
 Best site-Real       | Epoch:1 | Val Acc: 0.0800
 Best site-Real       | Epoch:1 | Val Acc: 0.1569
 Best site-Sketch     | Epoch:1 | Val Acc: 0.0435
 Best site-Sketch     | Epoch:1 | Val Acc: 0.0652
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1/fedavg...
============ Train epoch 2 ============
 Site-Clipart   | Train Loss: 2.2720 | Train Acc: 0.1905
 Site-Clipart   | Train Loss: 2.2531 | Train Acc: 0.1667
 Site-Infograph | Train Loss: 2.2781 | Train Acc: 0.1613
 Site-Infograph | Train Loss: 2.3268 | Train Acc: 0.0323
 Site-Painting  | Train Loss: 2.2466 | Train Acc: 0.3103
 Site-Painting  | Train Loss: 2.2485 | Train Acc: 0.2414
 Site-QuickDraw | Train Loss: 2.2653 | Train Acc: 0.1875
 Site-QuickDraw | Train Loss: 2.3071 | Train Acc: 0.0625
 Site-Real      | Train Loss: 2.2455 | Train Acc: 0.2105
 Site-Real      | Train Loss: 2.2556 | Train Acc: 0.2857
 Site-Sketch    | Train Loss: 2.2238 | Train Acc: 0.2286
 Site-Sketch    | Train Loss: 2.2860 | Train Acc: 0.1143
 Site-Clipart   | Val  Loss: 2.2373 | Val  Acc: 0.1786
 Site-Clipart   | Val  Loss: 2.2572 | Val  Acc: 0.1964
 Site-Infograph | Val  Loss: 2.3520 | Val  Acc: 0.0000
 Site-Infograph | Val  Loss: 2.3110 | Val  Acc: 0.0488
 Site-Painting  | Val  Loss: 2.3030 | Val  Acc: 0.1053
 Site-Painting  | Val  Loss: 2.2388 | Val  Acc: 0.2564
 Site-QuickDraw | Val  Loss: 2.2490 | Val  Acc: 0.0952
 Site-QuickDraw | Val  Loss: 2.3121 | Val  Acc: 0.0714
 Site-Real      | Val  Loss: 2.2884 | Val  Acc: 0.2000
 Site-Real      | Val  Loss: 2.2669 | Val  Acc: 0.2157
 Site-Sketch    | Val  Loss: 2.2765 | Val  Acc: 0.0870
 Site-Sketch    | Val  Loss: 2.2891 | Val  Acc: 0.0652
Average Valid Accuracy: 0.1267
 Best site-Clipart    | Epoch:2 | Val Acc: 0.1786
 Best site-Clipart    | Epoch:2 | Val Acc: 0.1964
 Best site-Infograph  | Epoch:2 | Val Acc: 0.0000
 Best site-Infograph  | Epoch:2 | Val Acc: 0.0488
 Best site-Painting   | Epoch:2 | Val Acc: 0.1053
 Best site-Painting   | Epoch:2 | Val Acc: 0.2564
 Best site-QuickDraw  | Epoch:2 | Val Acc: 0.0952
 Best site-QuickDraw  | Epoch:2 | Val Acc: 0.0714
 Best site-Real       | Epoch:2 | Val Acc: 0.2000
 Best site-Real       | Epoch:2 | Val Acc: 0.2157
 Best site-Sketch     | Epoch:2 | Val Acc: 0.0870
 Best site-Sketch     | Epoch:2 | Val Acc: 0.0652
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1/fedavg...
============ Train epoch 3 ============
 Site-Clipart   | Train Loss: 2.2377 | Train Acc: 0.2857
 Site-Clipart   | Train Loss: 2.2369 | Train Acc: 0.2500
 Site-Infograph | Train Loss: 2.2845 | Train Acc: 0.0968
 Site-Infograph | Train Loss: 2.3307 | Train Acc: 0.0161
 Site-Painting  | Train Loss: 2.2501 | Train Acc: 0.2759
 Site-Painting  | Train Loss: 2.2390 | Train Acc: 0.2069
 Site-QuickDraw | Train Loss: 2.2583 | Train Acc: 0.2188
 Site-QuickDraw | Train Loss: 2.3080 | Train Acc: 0.0625
 Site-Real      | Train Loss: 2.2292 | Train Acc: 0.2632
 Site-Real      | Train Loss: 2.2505 | Train Acc: 0.3247
 Site-Sketch    | Train Loss: 2.2364 | Train Acc: 0.3429
 Site-Sketch    | Train Loss: 2.2684 | Train Acc: 0.1571
 Site-Clipart   | Val  Loss: 2.2162 | Val  Acc: 0.2143
 Site-Clipart   | Val  Loss: 2.2355 | Val  Acc: 0.2232
 Site-Infograph | Val  Loss: 2.3376 | Val  Acc: 0.0500
 Site-Infograph | Val  Loss: 2.3151 | Val  Acc: 0.0976
 Site-Painting  | Val  Loss: 2.3041 | Val  Acc: 0.0526
 Site-Painting  | Val  Loss: 2.2484 | Val  Acc: 0.2821
 Site-QuickDraw | Val  Loss: 2.2763 | Val  Acc: 0.0952
 Site-QuickDraw | Val  Loss: 2.2831 | Val  Acc: 0.0952
 Site-Real      | Val  Loss: 2.2688 | Val  Acc: 0.1600
 Site-Real      | Val  Loss: 2.2478 | Val  Acc: 0.2353
 Site-Sketch    | Val  Loss: 2.2297 | Val  Acc: 0.2174
 Site-Sketch    | Val  Loss: 2.2677 | Val  Acc: 0.1087
Average Valid Accuracy: 0.1526
 Best site-Clipart    | Epoch:3 | Val Acc: 0.2143
 Best site-Clipart    | Epoch:3 | Val Acc: 0.2232
 Best site-Infograph  | Epoch:3 | Val Acc: 0.0500
 Best site-Infograph  | Epoch:3 | Val Acc: 0.0976
 Best site-Painting   | Epoch:3 | Val Acc: 0.0526
 Best site-Painting   | Epoch:3 | Val Acc: 0.2821
 Best site-QuickDraw  | Epoch:3 | Val Acc: 0.0952
 Best site-QuickDraw  | Epoch:3 | Val Acc: 0.0952
 Best site-Real       | Epoch:3 | Val Acc: 0.1600
 Best site-Real       | Epoch:3 | Val Acc: 0.2353
 Best site-Sketch     | Epoch:3 | Val Acc: 0.2174
 Best site-Sketch     | Epoch:3 | Val Acc: 0.1087
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1/fedavg...
============ Train epoch 4 ============
 Site-Clipart   | Train Loss: 2.2145 | Train Acc: 0.2857
 Site-Clipart   | Train Loss: 2.2174 | Train Acc: 0.2857
 Site-Infograph | Train Loss: 2.2731 | Train Acc: 0.1935
 Site-Infograph | Train Loss: 2.3164 | Train Acc: 0.0806
 Site-Painting  | Train Loss: 2.2252 | Train Acc: 0.3103
 Site-Painting  | Train Loss: 2.2258 | Train Acc: 0.2931
 Site-QuickDraw | Train Loss: 2.2574 | Train Acc: 0.1875
 Site-QuickDraw | Train Loss: 2.2990 | Train Acc: 0.0625
 Site-Real      | Train Loss: 2.1931 | Train Acc: 0.3947
 Site-Real      | Train Loss: 2.2209 | Train Acc: 0.3506
 Site-Sketch    | Train Loss: 2.2123 | Train Acc: 0.2571
 Site-Sketch    | Train Loss: 2.2601 | Train Acc: 0.1857
 Site-Clipart   | Val  Loss: 2.1936 | Val  Acc: 0.2679
 Site-Clipart   | Val  Loss: 2.2071 | Val  Acc: 0.2679
 Site-Infograph | Val  Loss: 2.3652 | Val  Acc: 0.1000
 Site-Infograph | Val  Loss: 2.3160 | Val  Acc: 0.0244
 Site-Painting  | Val  Loss: 2.2772 | Val  Acc: 0.2105
 Site-Painting  | Val  Loss: 2.2345 | Val  Acc: 0.2821
 Site-QuickDraw | Val  Loss: 2.2742 | Val  Acc: 0.0476
 Site-QuickDraw | Val  Loss: 2.3003 | Val  Acc: 0.0476
