===2023-04-21 07:54:59===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 8
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[84,168,31,62,29,58,32,64,38,77,35,70,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 2.2738 | Train Acc: 0.1310
 Site-Clipart   | Train Loss: 2.2691 | Train Acc: 0.1488
 Site-Infograph | Train Loss: 2.2978 | Train Acc: 0.0645
 Site-Infograph | Train Loss: 2.3130 | Train Acc: 0.1452
 Site-Painting  | Train Loss: 2.2768 | Train Acc: 0.1724
 Site-Painting  | Train Loss: 2.2710 | Train Acc: 0.1552
 Site-QuickDraw | Train Loss: 2.3076 | Train Acc: 0.0625
 Site-QuickDraw | Train Loss: 2.2884 | Train Acc: 0.1406
 Site-Real      | Train Loss: 2.2727 | Train Acc: 0.1316
 Site-Real      | Train Loss: 2.2602 | Train Acc: 0.2208
 Site-Sketch    | Train Loss: 2.2890 | Train Acc: 0.1429
 Site-Sketch    | Train Loss: 2.2782 | Train Acc: 0.1714
 Site-Clipart   | Val  Loss: 2.2817 | Val  Acc: 0.1250
 Site-Clipart   | Val  Loss: 2.2718 | Val  Acc: 0.1429
 Site-Infograph | Val  Loss: 2.2934 | Val  Acc: 0.2500
 Site-Infograph | Val  Loss: 2.3030 | Val  Acc: 0.1707
 Site-Painting  | Val  Loss: 2.2751 | Val  Acc: 0.0526
 Site-Painting  | Val  Loss: 2.2714 | Val  Acc: 0.1795
 Site-QuickDraw | Val  Loss: 2.2885 | Val  Acc: 0.0476
 Site-QuickDraw | Val  Loss: 2.3040 | Val  Acc: 0.2381
 Site-Real      | Val  Loss: 2.2718 | Val  Acc: 0.2000
 Site-Real      | Val  Loss: 2.2593 | Val  Acc: 0.1765
 Site-Sketch    | Val  Loss: 2.2821 | Val  Acc: 0.2174
 Site-Sketch    | Val  Loss: 2.2711 | Val  Acc: 0.3261
Average Valid Accuracy: 0.1772
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1250
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1429
 Best site-Infograph  | Epoch:0 | Val Acc: 0.2500
 Best site-Infograph  | Epoch:0 | Val Acc: 0.1707
 Best site-Painting   | Epoch:0 | Val Acc: 0.0526
 Best site-Painting   | Epoch:0 | Val Acc: 0.1795
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.0476
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.2381
 Best site-Real       | Epoch:0 | Val Acc: 0.2000
 Best site-Real       | Epoch:0 | Val Acc: 0.1765
 Best site-Sketch     | Epoch:0 | Val Acc: 0.2174
 Best site-Sketch     | Epoch:0 | Val Acc: 0.3261
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1/full...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 2.2248 | Train Acc: 0.3333
 Site-Clipart   | Train Loss: 2.2220 | Train Acc: 0.2976
 Site-Infograph | Train Loss: 2.2988 | Train Acc: 0.0645
 Site-Infograph | Train Loss: 2.2912 | Train Acc: 0.1452
 Site-Painting  | Train Loss: 2.2430 | Train Acc: 0.3103
 Site-Painting  | Train Loss: 2.2118 | Train Acc: 0.3276
 Site-QuickDraw | Train Loss: 2.2823 | Train Acc: 0.0625
 Site-QuickDraw | Train Loss: 2.2790 | Train Acc: 0.2031
 Site-Real      | Train Loss: 2.2246 | Train Acc: 0.2368
 Site-Real      | Train Loss: 2.2215 | Train Acc: 0.2987
 Site-Sketch    | Train Loss: 2.2468 | Train Acc: 0.2857
 Site-Sketch    | Train Loss: 2.2346 | Train Acc: 0.2857
 Site-Clipart   | Val  Loss: 2.2278 | Val  Acc: 0.2321
 Site-Clipart   | Val  Loss: 2.2181 | Val  Acc: 0.3125
 Site-Infograph | Val  Loss: 2.2807 | Val  Acc: 0.2000
 Site-Infograph | Val  Loss: 2.3054 | Val  Acc: 0.0976
 Site-Painting  | Val  Loss: 2.2388 | Val  Acc: 0.1579
 Site-Painting  | Val  Loss: 2.2308 | Val  Acc: 0.2564
 Site-QuickDraw | Val  Loss: 2.2918 | Val  Acc: 0.0476
 Site-QuickDraw | Val  Loss: 2.2680 | Val  Acc: 0.1190
 Site-Real      | Val  Loss: 2.2391 | Val  Acc: 0.2400
 Site-Real      | Val  Loss: 2.2257 | Val  Acc: 0.2745
 Site-Sketch    | Val  Loss: 2.2242 | Val  Acc: 0.2609
 Site-Sketch    | Val  Loss: 2.2362 | Val  Acc: 0.3261
Average Valid Accuracy: 0.2104
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2321
 Best site-Clipart    | Epoch:1 | Val Acc: 0.3125
 Best site-Infograph  | Epoch:1 | Val Acc: 0.2000
 Best site-Infograph  | Epoch:1 | Val Acc: 0.0976
 Best site-Painting   | Epoch:1 | Val Acc: 0.1579
 Best site-Painting   | Epoch:1 | Val Acc: 0.2564
 Best site-QuickDraw  | Epoch:1 | Val Acc: 0.0476
 Best site-QuickDraw  | Epoch:1 | Val Acc: 0.1190
 Best site-Real       | Epoch:1 | Val Acc: 0.2400
 Best site-Real       | Epoch:1 | Val Acc: 0.2745
 Best site-Sketch     | Epoch:1 | Val Acc: 0.2609
 Best site-Sketch     | Epoch:1 | Val Acc: 0.3261
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_even_1/full...
============ Train epoch 2 ============
 Site-Clipart   | Train Loss: 2.1832 | Train Acc: 0.4286
 Site-Clipart   | Train Loss: 2.1575 | Train Acc: 0.4762
