===2023-05-07 21:42:58===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[16,33,50,67,84,31,39,48,58,116,35,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 2.3952 | Train Acc: 0.0625
 Site-Clipart   | Train Loss: 2.2103 | Train Acc: 0.0909
 Site-Clipart   | Train Loss: 2.3358 | Train Acc: 0.0800
 Site-Clipart   | Train Loss: 2.1868 | Train Acc: 0.1940
 Site-Clipart   | Train Loss: 2.2411 | Train Acc: 0.1310
 Site-Infograph | Train Loss: 2.2790 | Train Acc: 0.2581
 Site-Painting  | Train Loss: 2.3682 | Train Acc: 0.1538
 Site-QuickDraw | Train Loss: 2.4121 | Train Acc: 0.0625
 Site-Real      | Train Loss: 2.2268 | Train Acc: 0.2241
 Site-Real      | Train Loss: 2.2513 | Train Acc: 0.1810
 Site-Sketch    | Train Loss: 2.1661 | Train Acc: 0.1714
 Site-Clipart   | Val  Loss: 2.1556 | Val  Acc: 0.0909
 Site-Clipart   | Val  Loss: 2.2753 | Val  Acc: 0.0455
 Site-Clipart   | Val  Loss: 2.1884 | Val  Acc: 0.1818
 Site-Clipart   | Val  Loss: 2.1914 | Val  Acc: 0.1818
 Site-Clipart   | Val  Loss: 2.3361 | Val  Acc: 0.0893
 Site-Infograph | Val  Loss: 2.4823 | Val  Acc: 0.0500
 Site-Painting  | Val  Loss: 2.2725 | Val  Acc: 0.0769
 Site-QuickDraw | Val  Loss: 2.4647 | Val  Acc: 0.0938
 Site-Real      | Val  Loss: 2.2244 | Val  Acc: 0.1842
 Site-Real      | Val  Loss: 2.2693 | Val  Acc: 0.1948
 Site-Sketch    | Val  Loss: 2.1567 | Val  Acc: 0.1739
Average Valid Accuracy: 0.1239
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0909
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0455
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1818
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1818
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0893
 Best site-Infograph  | Epoch:0 | Val Acc: 0.0500
 Best site-Painting   | Epoch:0 | Val Acc: 0.0769
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.0938
 Best site-Real       | Epoch:0 | Val Acc: 0.1842
 Best site-Real       | Epoch:0 | Val Acc: 0.1948
 Best site-Sketch     | Epoch:0 | Val Acc: 0.1739
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-1-scratch_1/CoCoOP...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 2.3783 | Train Acc: 0.1250
 Site-Clipart   | Train Loss: 2.1927 | Train Acc: 0.1515
 Site-Clipart   | Train Loss: 2.2784 | Train Acc: 0.2000
 Site-Clipart   | Train Loss: 2.2136 | Train Acc: 0.1791
 Site-Clipart   | Train Loss: 2.2685 | Train Acc: 0.1905
 Site-Infograph | Train Loss: 2.2380 | Train Acc: 0.2258
 Site-Painting  | Train Loss: 2.2580 | Train Acc: 0.1795
 Site-QuickDraw | Train Loss: 2.3412 | Train Acc: 0.1250
 Site-Real      | Train Loss: 2.1438 | Train Acc: 0.2759
 Site-Real      | Train Loss: 2.2060 | Train Acc: 0.1379
 Site-Sketch    | Train Loss: 2.2192 | Train Acc: 0.1429
 Site-Clipart   | Val  Loss: 2.2375 | Val  Acc: 0.1818
 Site-Clipart   | Val  Loss: 2.3291 | Val  Acc: 0.2273
 Site-Clipart   | Val  Loss: 2.2133 | Val  Acc: 0.2424
 Site-Clipart   | Val  Loss: 2.1500 | Val  Acc: 0.1818
 Site-Clipart   | Val  Loss: 2.3450 | Val  Acc: 0.2143
 Site-Infograph | Val  Loss: 2.4628 | Val  Acc: 0.2500
 Site-Painting  | Val  Loss: 2.2528 | Val  Acc: 0.1538
 Site-QuickDraw | Val  Loss: 2.3726 | Val  Acc: 0.1250
 Site-Real      | Val  Loss: 2.1399 | Val  Acc: 0.1316
 Site-Real      | Val  Loss: 2.1972 | Val  Acc: 0.1948
 Site-Sketch    | Val  Loss: 2.1551 | Val  Acc: 0.1739
Average Valid Accuracy: 0.1888
 Best site-Clipart    | Epoch:1 | Val Acc: 0.1818
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2273
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2424
 Best site-Clipart    | Epoch:1 | Val Acc: 0.1818
