===2023-04-27 01:00:42===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[16,33,50,67,84,31,39,48,58,116,35,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 2.2952 | Train Acc: 0.0625
 Site-Clipart   | Train Loss: 2.0720 | Train Acc: 0.2727
 Site-Clipart   | Train Loss: 2.2553 | Train Acc: 0.2000
 Site-Clipart   | Train Loss: 2.1758 | Train Acc: 0.1940
 Site-Clipart   | Train Loss: 2.2925 | Train Acc: 0.1667
 Site-Infograph | Train Loss: 2.3236 | Train Acc: 0.0968
 Site-Painting  | Train Loss: 2.1670 | Train Acc: 0.2564
 Site-QuickDraw | Train Loss: 2.3216 | Train Acc: 0.1042
 Site-Real      | Train Loss: 2.0528 | Train Acc: 0.2931
 Site-Real      | Train Loss: 2.1332 | Train Acc: 0.3103
 Site-Sketch    | Train Loss: 2.1103 | Train Acc: 0.2571
 Site-Clipart   | Val  Loss: 2.0825 | Val  Acc: 0.2727
 Site-Clipart   | Val  Loss: 2.2568 | Val  Acc: 0.2273
 Site-Clipart   | Val  Loss: 2.1217 | Val  Acc: 0.2121
 Site-Clipart   | Val  Loss: 2.1261 | Val  Acc: 0.2045
 Site-Clipart   | Val  Loss: 2.2901 | Val  Acc: 0.1071
 Site-Infograph | Val  Loss: 2.3349 | Val  Acc: 0.1500
 Site-Painting  | Val  Loss: 2.1159 | Val  Acc: 0.1923
 Site-QuickDraw | Val  Loss: 2.2309 | Val  Acc: 0.1562
 Site-Real      | Val  Loss: 2.0543 | Val  Acc: 0.3158
 Site-Real      | Val  Loss: 2.1006 | Val  Acc: 0.2208
 Site-Sketch    | Val  Loss: 2.1447 | Val  Acc: 0.3478
Average Valid Accuracy: 0.2188
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2727
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2273
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2121
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2045
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1071
 Best site-Infograph  | Epoch:0 | Val Acc: 0.1500
 Best site-Painting   | Epoch:0 | Val Acc: 0.1923
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.1562
 Best site-Real       | Epoch:0 | Val Acc: 0.3158
 Best site-Real       | Epoch:0 | Val Acc: 0.2208
 Best site-Sketch     | Epoch:0 | Val Acc: 0.3478
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-1_1/CoCoOP...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 2.0831 | Train Acc: 0.3125
 Site-Clipart   | Train Loss: 1.7925 | Train Acc: 0.4848
 Site-Clipart   | Train Loss: 1.9428 | Train Acc: 0.3200
 Site-Clipart   | Train Loss: 2.0552 | Train Acc: 0.3134
 Site-Clipart   | Train Loss: 1.9816 | Train Acc: 0.3929
 Site-Infograph | Train Loss: 2.2820 | Train Acc: 0.0968
 Site-Painting  | Train Loss: 2.0248 | Train Acc: 0.3333
 Site-QuickDraw | Train Loss: 2.2960 | Train Acc: 0.1042
 Site-Real      | Train Loss: 1.7758 | Train Acc: 0.5690
 Site-Real      | Train Loss: 1.7989 | Train Acc: 0.5259
 Site-Sketch    | Train Loss: 1.9607 | Train Acc: 0.3714
 Site-Clipart   | Val  Loss: 1.9936 | Val  Acc: 0.3636
 Site-Clipart   | Val  Loss: 2.0995 | Val  Acc: 0.2727
 Site-Clipart   | Val  Loss: 1.8785 | Val  Acc: 0.3636
 Site-Clipart   | Val  Loss: 1.9121 | Val  Acc: 0.4318
 Site-Clipart   | Val  Loss: 2.1559 | Val  Acc: 0.3036
 Site-Infograph | Val  Loss: 2.3980 | Val  Acc: 0.1500
 Site-Painting  | Val  Loss: 1.9276 | Val  Acc: 0.3846
 Site-QuickDraw | Val  Loss: 2.2374 | Val  Acc: 0.1250
 Site-Real      | Val  Loss: 1.7955 | Val  Acc: 0.5526
 Site-Real      | Val  Loss: 1.8510 | Val  Acc: 0.5455
 Site-Sketch    | Val  Loss: 1.9276 | Val  Acc: 0.3478
Average Valid Accuracy: 0.3492
 Best site-Clipart    | Epoch:1 | Val Acc: 0.3636
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2727
 Best site-Clipart    | Epoch:1 | Val Acc: 0.3636
