===2023-04-27 09:40:31===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: True
    lambda for constrastive: 0.5
data_number=[16,33,50,67,84,31,39,48,58,116,35,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, ]
domain number = 6
============ Train epoch 0 ============
===2023-04-27 09:40:39===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 1
    iters: 10
    wk_iters: 5
    si: False
    lambda for constrastive: 0.5
data_number=[16,33,50,67,84,31,39,48,58,116,35,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, ]
domain number = 6
Loading snapshots...
===2023-04-27 12:22:57===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[16,33,50,67,84,31,39,48,58,116,35,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 2.2691 | Train Acc: 0.1875
 Site-Clipart   | Train Loss: 2.2735 | Train Acc: 0.0606
 Site-Clipart   | Train Loss: 2.2874 | Train Acc: 0.1400
 Site-Clipart   | Train Loss: 2.2655 | Train Acc: 0.1791
 Site-Clipart   | Train Loss: 2.2690 | Train Acc: 0.1429
 Site-Infograph | Train Loss: 2.2927 | Train Acc: 0.1290
 Site-Painting  | Train Loss: 2.2937 | Train Acc: 0.1026
 Site-QuickDraw | Train Loss: 2.2969 | Train Acc: 0.0000
 Site-Real      | Train Loss: 2.2961 | Train Acc: 0.1379
 Site-Real      | Train Loss: 2.2875 | Train Acc: 0.1121
 Site-Sketch    | Train Loss: 2.3399 | Train Acc: 0.1143
 Site-Clipart   | Val  Loss: 2.2817 | Val  Acc: 0.0909
 Site-Clipart   | Val  Loss: 2.3034 | Val  Acc: 0.0909
 Site-Clipart   | Val  Loss: 2.3223 | Val  Acc: 0.1212
 Site-Clipart   | Val  Loss: 2.2590 | Val  Acc: 0.2273
 Site-Clipart   | Val  Loss: 2.2757 | Val  Acc: 0.1250
 Site-Infograph | Val  Loss: 2.2918 | Val  Acc: 0.1500
 Site-Painting  | Val  Loss: 2.2869 | Val  Acc: 0.2692
 Site-QuickDraw | Val  Loss: 2.2823 | Val  Acc: 0.1250
 Site-Real      | Val  Loss: 2.2852 | Val  Acc: 0.1316
 Site-Real      | Val  Loss: 2.2883 | Val  Acc: 0.0909
 Site-Sketch    | Val  Loss: 2.2540 | Val  Acc: 0.2174
Average Valid Accuracy: 0.1490
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0909
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0909
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1212
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2273
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1250
 Best site-Infograph  | Epoch:0 | Val Acc: 0.1500
 Best site-Painting   | Epoch:0 | Val Acc: 0.2692
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.1250
 Best site-Real       | Epoch:0 | Val Acc: 0.1316
 Best site-Real       | Epoch:0 | Val Acc: 0.0909
 Best site-Sketch     | Epoch:0 | Val Acc: 0.2174
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-1_1/fedavg...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 2.2624 | Train Acc: 0.2500
 Site-Clipart   | Train Loss: 2.2808 | Train Acc: 0.0909
 Site-Clipart   | Train Loss: 2.2699 | Train Acc: 0.2000
 Site-Clipart   | Train Loss: 2.2634 | Train Acc: 0.2239
 Site-Clipart   | Train Loss: 2.2565 | Train Acc: 0.1786
 Site-Infograph | Train Loss: 2.3109 | Train Acc: 0.1935
 Site-Painting  | Train Loss: 2.2911 | Train Acc: 0.1538
