===2023-04-26 06:30:48===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[12,24,36,48,60,72,63,59,64,48,97,145,53,]
label set of clients: [9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 6
============ Train epoch 0 ============
===2023-04-26 06:30:56===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 1
    iters: 10
    wk_iters: 5
    si: False
    lambda for constrastive: 0.5
data_number=[12,24,36,48,60,72,63,59,64,48,97,145,53,]
label set of clients: [9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, ]
domain number = 6
Loading snapshots...
===2023-04-27 01:43:15===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[16,33,50,67,84,31,39,48,58,116,35,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 1.7926 | Train Acc: 0.5625
 Site-Clipart   | Train Loss: 1.6714 | Train Acc: 0.8182
 Site-Clipart   | Train Loss: 1.6371 | Train Acc: 0.7200
 Site-Clipart   | Train Loss: 1.5595 | Train Acc: 0.7612
 Site-Clipart   | Train Loss: 1.5230 | Train Acc: 0.7738
 Site-Infograph | Train Loss: 2.1446 | Train Acc: 0.2258
 Site-Painting  | Train Loss: 1.6571 | Train Acc: 0.6667
 Site-QuickDraw | Train Loss: 2.1718 | Train Acc: 0.1250
 Site-Real      | Train Loss: 1.4285 | Train Acc: 0.8448
 Site-Real      | Train Loss: 1.3718 | Train Acc: 0.9483
 Site-Sketch    | Train Loss: 1.6627 | Train Acc: 0.7429
 Site-Clipart   | Val  Loss: 1.6667 | Val  Acc: 0.6364
 Site-Clipart   | Val  Loss: 1.5671 | Val  Acc: 0.7727
 Site-Clipart   | Val  Loss: 1.4133 | Val  Acc: 0.6970
 Site-Clipart   | Val  Loss: 1.5688 | Val  Acc: 0.7500
 Site-Clipart   | Val  Loss: 1.6921 | Val  Acc: 0.6964
 Site-Infograph | Val  Loss: 2.3468 | Val  Acc: 0.2000
 Site-Painting  | Val  Loss: 1.4260 | Val  Acc: 0.8846
 Site-QuickDraw | Val  Loss: 2.1378 | Val  Acc: 0.1562
 Site-Real      | Val  Loss: 1.2950 | Val  Acc: 1.0000
 Site-Real      | Val  Loss: 1.3641 | Val  Acc: 0.9610
 Site-Sketch    | Val  Loss: 1.5377 | Val  Acc: 0.6522
Average Valid Accuracy: 0.6733
 Best site-Clipart    | Epoch:0 | Val Acc: 0.6364
 Best site-Clipart    | Epoch:0 | Val Acc: 0.7727
 Best site-Clipart    | Epoch:0 | Val Acc: 0.6970
 Best site-Clipart    | Epoch:0 | Val Acc: 0.7500
 Best site-Clipart    | Epoch:0 | Val Acc: 0.6964
 Best site-Infograph  | Epoch:0 | Val Acc: 0.2000
 Best site-Painting   | Epoch:0 | Val Acc: 0.8846
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.1562
 Best site-Real       | Epoch:0 | Val Acc: 1.0000
 Best site-Real       | Epoch:0 | Val Acc: 0.9610
 Best site-Sketch     | Epoch:0 | Val Acc: 0.6522
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-1_1/harmo-fl...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 1.4971 | Train Acc: 0.5625
 Site-Clipart   | Train Loss: 1.0980 | Train Acc: 0.9091
 Site-Clipart   | Train Loss: 1.2798 | Train Acc: 0.7200
 Site-Clipart   | Train Loss: 1.0635 | Train Acc: 0.8209
 Site-Clipart   | Train Loss: 1.0368 | Train Acc: 0.8214
 Site-Infograph | Train Loss: 1.9420 | Train Acc: 0.4516
 Site-Painting  | Train Loss: 1.1241 | Train Acc: 0.7949
 Site-QuickDraw | Train Loss: 2.0417 | Train Acc: 0.3333
 Site-Real      | Train Loss: 0.8618 | Train Acc: 0.9483
 Site-Real      | Train Loss: 0.7456 | Train Acc: 0.9828
 Site-Sketch    | Train Loss: 1.2958 | Train Acc: 0.7429
 Site-Clipart   | Val  Loss: 1.3059 | Val  Acc: 0.7273
 Site-Clipart   | Val  Loss: 1.0737 | Val  Acc: 0.9091
 Site-Clipart   | Val  Loss: 0.8447 | Val  Acc: 0.7879
 Site-Clipart   | Val  Loss: 1.0288 | Val  Acc: 0.8636
 Site-Clipart   | Val  Loss: 1.1693 | Val  Acc: 0.8036
 Site-Infograph | Val  Loss: 2.2589 | Val  Acc: 0.3000
 Site-Painting  | Val  Loss: 0.9145 | Val  Acc: 0.9231
 Site-QuickDraw | Val  Loss: 2.0410 | Val  Acc: 0.3750
 Site-Real      | Val  Loss: 0.6409 | Val  Acc: 1.0000
 Site-Real      | Val  Loss: 0.7499 | Val  Acc: 0.9740
 Site-Sketch    | Val  Loss: 1.1391 | Val  Acc: 0.7826
Average Valid Accuracy: 0.7678
 Best site-Clipart    | Epoch:1 | Val Acc: 0.7273
 Best site-Clipart    | Epoch:1 | Val Acc: 0.9091
 Best site-Clipart    | Epoch:1 | Val Acc: 0.7879
 Best site-Clipart    | Epoch:1 | Val Acc: 0.8636
 Best site-Clipart    | Epoch:1 | Val Acc: 0.8036
 Best site-Infograph  | Epoch:1 | Val Acc: 0.3000
 Best site-Painting   | Epoch:1 | Val Acc: 0.9231
 Best site-QuickDraw  | Epoch:1 | Val Acc: 0.3750
 Best site-Real       | Epoch:1 | Val Acc: 1.0000
 Best site-Real       | Epoch:1 | Val Acc: 0.9740
 Best site-Sketch     | Epoch:1 | Val Acc: 0.7826
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-1_1/harmo-fl...
============ Train epoch 2 ============
 Site-Clipart   | Train Loss: 1.1634 | Train Acc: 0.7500
 Site-Clipart   | Train Loss: 1.0761 | Train Acc: 0.9091
 Site-Clipart   | Train Loss: 1.0105 | Train Acc: 0.7400
 Site-Clipart   | Train Loss: 0.6971 | Train Acc: 0.8657
 Site-Clipart   | Train Loss: 0.6791 | Train Acc: 0.8452
 Site-Infograph | Train Loss: 1.9330 | Train Acc: 0.4194
 Site-Painting  | Train Loss: 0.9525 | Train Acc: 0.7436
 Site-QuickDraw | Train Loss: 2.0028 | Train Acc: 0.3542
 Site-Real      | Train Loss: 0.5918 | Train Acc: 0.9138
 Site-Real      | Train Loss: 0.4001 | Train Acc: 0.9914
 Site-Sketch    | Train Loss: 0.7281 | Train Acc: 0.8571
 Site-Clipart   | Val  Loss: 0.9401 | Val  Acc: 0.8182
 Site-Clipart   | Val  Loss: 0.7660 | Val  Acc: 0.9545
 Site-Clipart   | Val  Loss: 0.5482 | Val  Acc: 0.9091
 Site-Clipart   | Val  Loss: 0.8298 | Val  Acc: 0.8864
 Site-Clipart   | Val  Loss: 0.8953 | Val  Acc: 0.8571
 Site-Infograph | Val  Loss: 2.1138 | Val  Acc: 0.3500
 Site-Painting  | Val  Loss: 0.5470 | Val  Acc: 0.9231
 Site-QuickDraw | Val  Loss: 1.9922 | Val  Acc: 0.3125
 Site-Real      | Val  Loss: 0.3746 | Val  Acc: 1.0000
 Site-Real      | Val  Loss: 0.4403 | Val  Acc: 0.9610
 Site-Sketch    | Val  Loss: 0.9306 | Val  Acc: 0.7826
Average Valid Accuracy: 0.7959
 Best site-Clipart    | Epoch:2 | Val Acc: 0.8182
 Best site-Clipart    | Epoch:2 | Val Acc: 0.9545
 Best site-Clipart    | Epoch:2 | Val Acc: 0.9091
 Best site-Clipart    | Epoch:2 | Val Acc: 0.8864
 Best site-Clipart    | Epoch:2 | Val Acc: 0.8571
