===2023-04-27 19:06:05===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[16,33,50,67,84,31,39,48,58,116,35,]
label set of clients: [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, ]
domain number = 6
============ Train epoch 0 ============
denominator: 25313.0390625
 Site-Clipart   | Train Loss: 2.2711 | Train Acc: 0.1875
 Site-Clipart   | Train Loss: 2.2783 | Train Acc: 0.0606
 Site-Clipart   | Train Loss: 2.2899 | Train Acc: 0.1200
 Site-Clipart   | Train Loss: 2.2701 | Train Acc: 0.1642
 Site-Clipart   | Train Loss: 2.2738 | Train Acc: 0.1310
 Site-Infograph | Train Loss: 2.2934 | Train Acc: 0.1290
 Site-Painting  | Train Loss: 2.2988 | Train Acc: 0.0769
 Site-QuickDraw | Train Loss: 2.2973 | Train Acc: 0.0000
 Site-Real      | Train Loss: 2.3025 | Train Acc: 0.0862
 Site-Real      | Train Loss: 2.2951 | Train Acc: 0.1034
 Site-Sketch    | Train Loss: 2.3433 | Train Acc: 0.1143
 Site-Clipart   | Val  Loss: 2.2842 | Val  Acc: 0.0909
 Site-Clipart   | Val  Loss: 2.3068 | Val  Acc: 0.0455
 Site-Clipart   | Val  Loss: 2.3281 | Val  Acc: 0.1212
 Site-Clipart   | Val  Loss: 2.2631 | Val  Acc: 0.2045
 Site-Clipart   | Val  Loss: 2.2790 | Val  Acc: 0.0893
 Site-Infograph | Val  Loss: 2.2920 | Val  Acc: 0.1000
 Site-Painting  | Val  Loss: 2.2927 | Val  Acc: 0.2308
 Site-QuickDraw | Val  Loss: 2.2829 | Val  Acc: 0.1250
 Site-Real      | Val  Loss: 2.2937 | Val  Acc: 0.1316
 Site-Real      | Val  Loss: 2.2963 | Val  Acc: 0.0649
 Site-Sketch    | Val  Loss: 2.2589 | Val  Acc: 0.2174
Average Valid Accuracy: 0.1292
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0909
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0455
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1212
 Best site-Clipart    | Epoch:0 | Val Acc: 0.2045
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0893
 Best site-Infograph  | Epoch:0 | Val Acc: 0.1000
 Best site-Painting   | Epoch:0 | Val Acc: 0.2308
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.1250
 Best site-Real       | Epoch:0 | Val Acc: 0.1316
 Best site-Real       | Epoch:0 | Val Acc: 0.0649
 Best site-Sketch     | Epoch:0 | Val Acc: 0.2174
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-1_1/q-ffl...
============ Train epoch 1 ============
denominator: 25241.267578125
 Site-Clipart   | Train Loss: 2.2659 | Train Acc: 0.2500
 Site-Clipart   | Train Loss: 2.2866 | Train Acc: 0.0606
 Site-Clipart   | Train Loss: 2.2771 | Train Acc: 0.1400
 Site-Clipart   | Train Loss: 2.2738 | Train Acc: 0.1791
 Site-Clipart   | Train Loss: 2.2663 | Train Acc: 0.1310
 Site-Infograph | Train Loss: 2.3124 | Train Acc: 0.1613
 Site-Painting  | Train Loss: 2.2999 | Train Acc: 0.1026
 Site-QuickDraw | Train Loss: 2.2865 | Train Acc: 0.0208
 Site-Real      | Train Loss: 2.2841 | Train Acc: 0.1207
 Site-Real      | Train Loss: 2.2812 | Train Acc: 0.0948
 Site-Sketch    | Train Loss: 2.3098 | Train Acc: 0.1429
 Site-Clipart   | Val  Loss: 2.2770 | Val  Acc: 0.0909
 Site-Clipart   | Val  Loss: 2.2814 | Val  Acc: 0.0909
 Site-Clipart   | Val  Loss: 2.3169 | Val  Acc: 0.2424
 Site-Clipart   | Val  Loss: 2.2548 | Val  Acc: 0.2727
 Site-Clipart   | Val  Loss: 2.2669 | Val  Acc: 0.2143
 Site-Infograph | Val  Loss: 2.2721 | Val  Acc: 0.1500
 Site-Painting  | Val  Loss: 2.2549 | Val  Acc: 0.3077
 Site-QuickDraw | Val  Loss: 2.2962 | Val  Acc: 0.0625
 Site-Real      | Val  Loss: 2.2780 | Val  Acc: 0.0526
 Site-Real      | Val  Loss: 2.2844 | Val  Acc: 0.0779
 Site-Sketch    | Val  Loss: 2.2437 | Val  Acc: 0.2609
Average Valid Accuracy: 0.1657
 Best site-Clipart    | Epoch:1 | Val Acc: 0.0909
 Best site-Clipart    | Epoch:1 | Val Acc: 0.0909
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2424
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2727
 Best site-Clipart    | Epoch:1 | Val Acc: 0.2143
