===2023-04-21 14:23:28===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[12,24,36,48,60,72,31,63,94,59,32,38,35,]
label set of clients: [9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 2.3125 | Train Acc: 0.1667
 Site-Clipart   | Train Loss: 2.3258 | Train Acc: 0.0833
 Site-Clipart   | Train Loss: 2.2662 | Train Acc: 0.1389
 Site-Clipart   | Train Loss: 2.3161 | Train Acc: 0.0417
 Site-Clipart   | Train Loss: 2.2962 | Train Acc: 0.0667
 Site-Clipart   | Train Loss: 2.2934 | Train Acc: 0.0417
 Site-Infograph | Train Loss: 2.3049 | Train Acc: 0.0968
 Site-Infograph | Train Loss: 2.2990 | Train Acc: 0.0635
 Site-Infograph | Train Loss: 2.2974 | Train Acc: 0.0745
 Site-Painting  | Train Loss: 2.3248 | Train Acc: 0.1525
 Site-QuickDraw | Train Loss: 2.2889 | Train Acc: 0.0938
 Site-Real      | Train Loss: 2.2994 | Train Acc: 0.1316
 Site-Sketch    | Train Loss: 2.3085 | Train Acc: 0.1143
 Site-Clipart   | Val  Loss: 2.2911 | Val  Acc: 0.1250
 Site-Clipart   | Val  Loss: 2.2827 | Val  Acc: 0.1250
 Site-Clipart   | Val  Loss: 2.2782 | Val  Acc: 0.0000
 Site-Clipart   | Val  Loss: 2.2953 | Val  Acc: 0.0000
 Site-Clipart   | Val  Loss: 2.2887 | Val  Acc: 0.1000
 Site-Clipart   | Val  Loss: 2.2974 | Val  Acc: 0.1458
 Site-Infograph | Val  Loss: 2.2975 | Val  Acc: 0.0476
 Site-Infograph | Val  Loss: 2.2812 | Val  Acc: 0.1190
 Site-Infograph | Val  Loss: 2.3069 | Val  Acc: 0.0317
 Site-Painting  | Val  Loss: 2.3306 | Val  Acc: 0.0513
 Site-QuickDraw | Val  Loss: 2.2675 | Val  Acc: 0.0476
 Site-Real      | Val  Loss: 2.3071 | Val  Acc: 0.0000
 Site-Sketch    | Val  Loss: 2.3046 | Val  Acc: 0.1304
Average Valid Accuracy: 0.0710
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1250
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1250
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0000
 Best site-Clipart    | Epoch:0 | Val Acc: 0.0000
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1000
 Best site-Clipart    | Epoch:0 | Val Acc: 0.1458
 Best site-Infograph  | Epoch:0 | Val Acc: 0.0476
 Best site-Infograph  | Epoch:0 | Val Acc: 0.1190
 Best site-Infograph  | Epoch:0 | Val Acc: 0.0317
 Best site-Painting   | Epoch:0 | Val Acc: 0.0513
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.0476
 Best site-Real       | Epoch:0 | Val Acc: 0.0000
 Best site-Sketch     | Epoch:0 | Val Acc: 0.1304
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-2_1/fedavg...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 2.2969 | Train Acc: 0.0833
 Site-Clipart   | Train Loss: 2.3198 | Train Acc: 0.1667
 Site-Clipart   | Train Loss: 2.2672 | Train Acc: 0.1389
 Site-Clipart   | Train Loss: 2.3061 | Train Acc: 0.0417
 Site-Clipart   | Train Loss: 2.2759 | Train Acc: 0.0833
 Site-Clipart   | Train Loss: 2.2757 | Train Acc: 0.1389
 Site-Infograph | Train Loss: 2.3085 | Train Acc: 0.0968
 Site-Infograph | Train Loss: 2.3009 | Train Acc: 0.0159
 Site-Infograph | Train Loss: 2.2809 | Train Acc: 0.0745
 Site-Painting  | Train Loss: 2.2903 | Train Acc: 0.1525
 Site-QuickDraw | Train Loss: 2.2860 | Train Acc: 0.0625
 Site-Real      | Train Loss: 2.2879 | Train Acc: 0.1053
 Site-Sketch    | Train Loss: 2.3177 | Train Acc: 0.0857
 Site-Clipart   | Val  Loss: 2.2699 | Val  Acc: 0.1250
 Site-Clipart   | Val  Loss: 2.2743 | Val  Acc: 0.0625
 Site-Clipart   | Val  Loss: 2.2702 | Val  Acc: 0.0833
 Site-Clipart   | Val  Loss: 2.2698 | Val  Acc: 0.0938
 Site-Clipart   | Val  Loss: 2.2964 | Val  Acc: 0.0250
 Site-Clipart   | Val  Loss: 2.2944 | Val  Acc: 0.1458
 Site-Infograph | Val  Loss: 2.2640 | Val  Acc: 0.0952
 Site-Infograph | Val  Loss: 2.2798 | Val  Acc: 0.0476
 Site-Infograph | Val  Loss: 2.2882 | Val  Acc: 0.0635
 Site-Painting  | Val  Loss: 2.3229 | Val  Acc: 0.1026
 Site-QuickDraw | Val  Loss: 2.2655 | Val  Acc: 0.0476
 Site-Real      | Val  Loss: 2.2990 | Val  Acc: 0.0000
 Site-Sketch    | Val  Loss: 2.2687 | Val  Acc: 0.0435
Average Valid Accuracy: 0.0720
 Best site-Clipart    | Epoch:1 | Val Acc: 0.1250
 Best site-Clipart    | Epoch:1 | Val Acc: 0.0625
 Best site-Clipart    | Epoch:1 | Val Acc: 0.0833
 Best site-Clipart    | Epoch:1 | Val Acc: 0.0938
 Best site-Clipart    | Epoch:1 | Val Acc: 0.0250
 Best site-Clipart    | Epoch:1 | Val Acc: 0.1458
 Best site-Infograph  | Epoch:1 | Val Acc: 0.0952
 Best site-Infograph  | Epoch:1 | Val Acc: 0.0476
 Best site-Infograph  | Epoch:1 | Val Acc: 0.0635
 Best site-Painting   | Epoch:1 | Val Acc: 0.1026
 Best site-QuickDraw  | Epoch:1 | Val Acc: 0.0476
 Best site-Real       | Epoch:1 | Val Acc: 0.0000
 Best site-Sketch     | Epoch:1 | Val Acc: 0.0435
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-2_1/fedavg...
============ Train epoch 2 ============
 Site-Clipart   | Train Loss: 2.2804 | Train Acc: 0.2500
 Site-Clipart   | Train Loss: 2.2932 | Train Acc: 0.2083
 Site-Clipart   | Train Loss: 2.2635 | Train Acc: 0.1111
 Site-Clipart   | Train Loss: 2.2917 | Train Acc: 0.1250
 Site-Clipart   | Train Loss: 2.2547 | Train Acc: 0.1167
 Site-Clipart   | Train Loss: 2.2785 | Train Acc: 0.0833
 Site-Infograph | Train Loss: 2.2992 | Train Acc: 0.0968
 Site-Infograph | Train Loss: 2.2865 | Train Acc: 0.0794
 Site-Infograph | Train Loss: 2.2768 | Train Acc: 0.1170
 Site-Painting  | Train Loss: 2.2846 | Train Acc: 0.2203
 Site-QuickDraw | Train Loss: 2.2855 | Train Acc: 0.0625
 Site-Real      | Train Loss: 2.2645 | Train Acc: 0.1842
 Site-Sketch    | Train Loss: 2.2857 | Train Acc: 0.1143
 Site-Clipart   | Val  Loss: 2.2410 | Val  Acc: 0.1250
 Site-Clipart   | Val  Loss: 2.2637 | Val  Acc: 0.1875
 Site-Clipart   | Val  Loss: 2.2615 | Val  Acc: 0.1250
 Site-Clipart   | Val  Loss: 2.2651 | Val  Acc: 0.0312
 Site-Clipart   | Val  Loss: 2.2697 | Val  Acc: 0.1000
 Site-Clipart   | Val  Loss: 2.2858 | Val  Acc: 0.1458
 Site-Infograph | Val  Loss: 2.2607 | Val  Acc: 0.1905
 Site-Infograph | Val  Loss: 2.2733 | Val  Acc: 0.0952
 Site-Infograph | Val  Loss: 2.2867 | Val  Acc: 0.0952
 Site-Painting  | Val  Loss: 2.3063 | Val  Acc: 0.1282
 Site-QuickDraw | Val  Loss: 2.2599 | Val  Acc: 0.0476
 Site-Real      | Val  Loss: 2.2882 | Val  Acc: 0.0000
 Site-Sketch    | Val  Loss: 2.2678 | Val  Acc: 0.1304
Average Valid Accuracy: 0.1078
 Best site-Clipart    | Epoch:2 | Val Acc: 0.1250
 Best site-Clipart    | Epoch:2 | Val Acc: 0.1875
 Best site-Clipart    | Epoch:2 | Val Acc: 0.1250
 Best site-Clipart    | Epoch:2 | Val Acc: 0.0312
 Best site-Clipart    | Epoch:2 | Val Acc: 0.1000
 Best site-Clipart    | Epoch:2 | Val Acc: 0.1458
 Best site-Infograph  | Epoch:2 | Val Acc: 0.1905
 Best site-Infograph  | Epoch:2 | Val Acc: 0.0952
 Best site-Infograph  | Epoch:2 | Val Acc: 0.0952
 Best site-Painting   | Epoch:2 | Val Acc: 0.1282
 Best site-QuickDraw  | Epoch:2 | Val Acc: 0.0476
 Best site-Real       | Epoch:2 | Val Acc: 0.0000
 Best site-Sketch     | Epoch:2 | Val Acc: 0.1304
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-2_1/fedavg...
============ Train epoch 3 ============
 Site-Clipart   | Train Loss: 2.2969 | Train Acc: 0.1667
 Site-Clipart   | Train Loss: 2.2689 | Train Acc: 0.1667
 Site-Clipart   | Train Loss: 2.2323 | Train Acc: 0.2222
 Site-Clipart   | Train Loss: 2.2854 | Train Acc: 0.1667
 Site-Clipart   | Train Loss: 2.2504 | Train Acc: 0.1333
 Site-Clipart   | Train Loss: 2.2632 | Train Acc: 0.0833
 Site-Infograph | Train Loss: 2.2961 | Train Acc: 0.0968
 Site-Infograph | Train Loss: 2.2838 | Train Acc: 0.1111
 Site-Infograph | Train Loss: 2.2649 | Train Acc: 0.1702
 Site-Painting  | Train Loss: 2.2851 | Train Acc: 0.1695
 Site-QuickDraw | Train Loss: 2.2805 | Train Acc: 0.0625
 Site-Real      | Train Loss: 2.2651 | Train Acc: 0.1579
 Site-Sketch    | Train Loss: 2.2889 | Train Acc: 0.1714
 Site-Clipart   | Val  Loss: 2.2142 | Val  Acc: 0.1250
 Site-Clipart   | Val  Loss: 2.2329 | Val  Acc: 0.2500
 Site-Clipart   | Val  Loss: 2.2491 | Val  Acc: 0.1667
 Site-Clipart   | Val  Loss: 2.2444 | Val  Acc: 0.1875
 Site-Clipart   | Val  Loss: 2.2637 | Val  Acc: 0.1000
 Site-Clipart   | Val  Loss: 2.2602 | Val  Acc: 0.1875
 Site-Infograph | Val  Loss: 2.2388 | Val  Acc: 0.2857
 Site-Infograph | Val  Loss: 2.2566 | Val  Acc: 0.1190
 Site-Infograph | Val  Loss: 2.2797 | Val  Acc: 0.0794
 Site-Painting  | Val  Loss: 2.2925 | Val  Acc: 0.1026
 Site-QuickDraw | Val  Loss: 2.2513 | Val  Acc: 0.0952
 Site-Real      | Val  Loss: 2.2787 | Val  Acc: 0.0800
 Site-Sketch    | Val  Loss: 2.2716 | Val  Acc: 0.0870
Average Valid Accuracy: 0.1435
 Best site-Clipart    | Epoch:3 | Val Acc: 0.1250
 Best site-Clipart    | Epoch:3 | Val Acc: 0.2500
 Best site-Clipart    | Epoch:3 | Val Acc: 0.1667
 Best site-Clipart    | Epoch:3 | Val Acc: 0.1875
 Best site-Clipart    | Epoch:3 | Val Acc: 0.1000
 Best site-Clipart    | Epoch:3 | Val Acc: 0.1875
 Best site-Infograph  | Epoch:3 | Val Acc: 0.2857
 Best site-Infograph  | Epoch:3 | Val Acc: 0.1190
 Best site-Infograph  | Epoch:3 | Val Acc: 0.0794
 Best site-Painting   | Epoch:3 | Val Acc: 0.1026
 Best site-QuickDraw  | Epoch:3 | Val Acc: 0.0952
 Best site-Real       | Epoch:3 | Val Acc: 0.0800
 Best site-Sketch     | Epoch:3 | Val Acc: 0.0870
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-2_1/fedavg...
============ Train epoch 4 ============
 Site-Clipart   | Train Loss: 2.2745 | Train Acc: 0.1667
 Site-Clipart   | Train Loss: 2.2791 | Train Acc: 0.2083
 Site-Clipart   | Train Loss: 2.2388 | Train Acc: 0.1667
 Site-Clipart   | Train Loss: 2.2735 | Train Acc: 0.2083
 Site-Clipart   | Train Loss: 2.2396 | Train Acc: 0.1833
 Site-Clipart   | Train Loss: 2.2499 | Train Acc: 0.1806
 Site-Infograph | Train Loss: 2.2997 | Train Acc: 0.0968
 Site-Infograph | Train Loss: 2.2805 | Train Acc: 0.0635
 Site-Infograph | Train Loss: 2.2677 | Train Acc: 0.1383
 Site-Painting  | Train Loss: 2.2770 | Train Acc: 0.1525
 Site-QuickDraw | Train Loss: 2.2798 | Train Acc: 0.0625
 Site-Real      | Train Loss: 2.2662 | Train Acc: 0.1316
 Site-Sketch    | Train Loss: 2.2735 | Train Acc: 0.1429
 Site-Clipart   | Val  Loss: 2.2226 | Val  Acc: 0.2500
 Site-Clipart   | Val  Loss: 2.2117 | Val  Acc: 0.3750
 Site-Clipart   | Val  Loss: 2.2269 | Val  Acc: 0.2083
 Site-Clipart   | Val  Loss: 2.2333 | Val  Acc: 0.2188
 Site-Clipart   | Val  Loss: 2.2548 | Val  Acc: 0.2500
 Site-Clipart   | Val  Loss: 2.2619 | Val  Acc: 0.2083
 Site-Infograph | Val  Loss: 2.2299 | Val  Acc: 0.3810
