===2023-04-23 02:27:20===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 16
    iters: 50
    wk_iters: 1
    si: False
    lambda for constrastive: 0.5
data_number=[12,24,36,48,60,72,31,63,94,59,32,38,35,]
label set of clients: [9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, ]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart   | Train Loss: 1.9315 | Train Acc: 0.6667
 Site-Clipart   | Train Loss: 1.7477 | Train Acc: 0.7500
 Site-Clipart   | Train Loss: 1.8719 | Train Acc: 0.5000
 Site-Clipart   | Train Loss: 1.8175 | Train Acc: 0.6875
 Site-Clipart   | Train Loss: 1.7584 | Train Acc: 0.6833
 Site-Clipart   | Train Loss: 1.8029 | Train Acc: 0.7083
 Site-Infograph | Train Loss: 2.1423 | Train Acc: 0.2581
 Site-Infograph | Train Loss: 2.0756 | Train Acc: 0.3016
 Site-Infograph | Train Loss: 1.9613 | Train Acc: 0.4894
 Site-Painting  | Train Loss: 1.8775 | Train Acc: 0.6949
 Site-QuickDraw | Train Loss: 2.2042 | Train Acc: 0.1562
 Site-Real      | Train Loss: 1.7903 | Train Acc: 0.8684
 Site-Sketch    | Train Loss: 1.8810 | Train Acc: 0.6286
 Site-Clipart   | Val  Loss: 1.8905 | Val  Acc: 0.6250
 Site-Clipart   | Val  Loss: 1.7129 | Val  Acc: 0.6875
 Site-Clipart   | Val  Loss: 1.6861 | Val  Acc: 0.7500
 Site-Clipart   | Val  Loss: 1.7935 | Val  Acc: 0.6562
 Site-Clipart   | Val  Loss: 1.7719 | Val  Acc: 0.7250
 Site-Clipart   | Val  Loss: 1.8628 | Val  Acc: 0.5833
 Site-Infograph | Val  Loss: 1.7949 | Val  Acc: 0.6190
 Site-Infograph | Val  Loss: 1.8410 | Val  Acc: 0.5714
 Site-Infograph | Val  Loss: 2.0248 | Val  Acc: 0.4286
 Site-Painting  | Val  Loss: 1.8203 | Val  Acc: 0.7949
 Site-QuickDraw | Val  Loss: 2.1569 | Val  Acc: 0.2381
 Site-Real      | Val  Loss: 1.7992 | Val  Acc: 0.8400
 Site-Sketch    | Val  Loss: 1.8099 | Val  Acc: 0.6087
Average Valid Accuracy: 0.6252
 Best site-Clipart    | Epoch:0 | Val Acc: 0.6250
 Best site-Clipart    | Epoch:0 | Val Acc: 0.6875
 Best site-Clipart    | Epoch:0 | Val Acc: 0.7500
 Best site-Clipart    | Epoch:0 | Val Acc: 0.6562
 Best site-Clipart    | Epoch:0 | Val Acc: 0.7250
 Best site-Clipart    | Epoch:0 | Val Acc: 0.5833
 Best site-Infograph  | Epoch:0 | Val Acc: 0.6190
 Best site-Infograph  | Epoch:0 | Val Acc: 0.5714
 Best site-Infograph  | Epoch:0 | Val Acc: 0.4286
 Best site-Painting   | Epoch:0 | Val Acc: 0.7949
 Best site-QuickDraw  | Epoch:0 | Val Acc: 0.2381
 Best site-Real       | Epoch:0 | Val Acc: 0.8400
 Best site-Sketch     | Epoch:0 | Val Acc: 0.6087
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven-2_1/harmo-fl...
============ Train epoch 1 ============
 Site-Clipart   | Train Loss: 1.6531 | Train Acc: 0.7500
 Site-Clipart   | Train Loss: 1.3427 | Train Acc: 0.7917
 Site-Clipart   | Train Loss: 1.5058 | Train Acc: 0.6111
 Site-Clipart   | Train Loss: 1.4446 | Train Acc: 0.8333
 Site-Clipart   | Train Loss: 1.3088 | Train Acc: 0.8667
 Site-Clipart   | Train Loss: 1.3737 | Train Acc: 0.7917
